run_time,iteration,loss,style_loss,content_loss,time
0.2345,0,4.6207e+08,4.6207e+08,0.0000e+00,0.2345
0.3704,1,3.4664e+08,3.4628e+08,3.5657e+05,0.1255
0.5000,2,2.2240e+08,2.2162e+08,7.8535e+05,0.1222
0.6329,3,1.7148e+08,1.7040e+08,1.0767e+06,0.1251
0.7639,4,1.4847e+08,1.4731e+08,1.1561e+06,0.1235
0.8973,5,1.2526e+08,1.2410e+08,1.1595e+06,0.1253
1.0278,6,1.1373e+08,1.1255e+08,1.1770e+06,0.1225
1.1619,7,1.0638e+08,1.0515e+08,1.2346e+06,0.1263
1.2932,8,9.8791e+07,9.7470e+07,1.3207e+06,0.1238
1.4251,9,9.2111e+07,9.0697e+07,1.4146e+06,0.1243
1.5543,10,8.6836e+07,8.5339e+07,1.4969e+06,0.1217
1.6884,11,8.1818e+07,8.0266e+07,1.5521e+06,0.1263
1.8191,12,7.6270e+07,7.4691e+07,1.5782e+06,0.1232
1.9523,13,7.0625e+07,6.9044e+07,1.5807e+06,0.1255
2.0828,14,6.5742e+07,6.4173e+07,1.5697e+06,0.1231
2.2154,15,6.1851e+07,6.0297e+07,1.5536e+06,0.1250
2.3455,16,5.8596e+07,5.7056e+07,1.5400e+06,0.1224
2.4781,17,5.5630e+07,5.4098e+07,1.5316e+06,0.1247
2.6082,18,5.2897e+07,5.1366e+07,1.5305e+06,0.1226
2.7411,19,5.0455e+07,4.8921e+07,1.5339e+06,0.1250
2.8713,20,4.8341e+07,4.6803e+07,1.5383e+06,0.1224
3.0043,21,4.6502e+07,4.4958e+07,1.5438e+06,0.1251
3.1374,22,4.4863e+07,4.3314e+07,1.5485e+06,0.1254
3.2698,23,4.3401e+07,4.1852e+07,1.5499e+06,0.1247
3.4004,24,4.2157e+07,4.0608e+07,1.5490e+06,0.1232
3.5328,25,4.1158e+07,3.9612e+07,1.5461e+06,0.1247
3.6628,26,4.0349e+07,3.8807e+07,1.5422e+06,0.1224
3.7963,27,3.9624e+07,3.8086e+07,1.5384e+06,0.1255
3.9265,28,3.8887e+07,3.7352e+07,1.5345e+06,0.1228
4.0587,29,3.8094e+07,3.6563e+07,1.5314e+06,0.1246
4.1913,30,3.7271e+07,3.5742e+07,1.5291e+06,0.1252
4.3246,31,3.6490e+07,3.4963e+07,1.5272e+06,0.1252
4.4576,32,3.5787e+07,3.4261e+07,1.5255e+06,0.1250
4.5893,33,3.5164e+07,3.3640e+07,1.5239e+06,0.1241
4.7201,34,3.4591e+07,3.3069e+07,1.5221e+06,0.1234
4.8519,35,3.4035e+07,3.2514e+07,1.5206e+06,0.1244
4.9813,36,3.3489e+07,3.1969e+07,1.5194e+06,0.1220
5.1157,37,3.2961e+07,3.1442e+07,1.5192e+06,0.1269
5.2459,38,3.2462e+07,3.0942e+07,1.5203e+06,0.1221
5.3786,39,3.1993e+07,3.0470e+07,1.5228e+06,0.1254
5.5083,40,3.1551e+07,3.0025e+07,1.5268e+06,0.1222
5.6417,41,3.1122e+07,2.9591e+07,1.5313e+06,0.1259
5.7718,42,3.0685e+07,2.9149e+07,1.5357e+06,0.1222
5.9039,43,3.0234e+07,2.8694e+07,1.5399e+06,0.1246
6.0359,44,2.9775e+07,2.8232e+07,1.5430e+06,0.1246
6.1683,45,2.9326e+07,2.7781e+07,1.5445e+06,0.1247
6.2986,46,2.8898e+07,2.7354e+07,1.5440e+06,0.1227
