run_time,iteration,loss,style_loss,content_loss,time
0.1170,0,1.8562e+07,1.8562e+07,0.0000e+00,0.1170
0.2499,1,3.5495e+07,3.5204e+07,2.9152e+05,0.1243
0.3760,2,2.8848e+07,2.8464e+07,3.8457e+05,0.1254
0.5004,3,2.7633e+07,2.7238e+07,3.9577e+05,0.1236
0.6267,4,2.6753e+07,2.6323e+07,4.2984e+05,0.1256
0.7552,5,2.5645e+07,2.5197e+07,4.4845e+05,0.1277
0.8867,6,2.4517e+07,2.4058e+07,4.5974e+05,0.1306
1.0170,7,2.3379e+07,2.2905e+07,4.7353e+05,0.1296
1.1456,8,2.2268e+07,2.1779e+07,4.8907e+05,0.1279
1.2721,9,2.1307e+07,2.0802e+07,5.0588e+05,0.1255
1.3977,10,2.0474e+07,1.9952e+07,5.2191e+05,0.1249
1.5249,11,1.9742e+07,1.9206e+07,5.3574e+05,0.1265
1.6509,12,1.9068e+07,1.8520e+07,5.4786e+05,0.1245
1.7775,13,1.8410e+07,1.7851e+07,5.5922e+05,0.1259
1.9145,14,1.7798e+07,1.7229e+07,5.6808e+05,0.1293
2.0462,15,1.7241e+07,1.6668e+07,5.7349e+05,0.1240
2.1770,16,1.6731e+07,1.6155e+07,5.7589e+05,0.1236
2.3065,17,1.6256e+07,1.5679e+07,5.7743e+05,0.1222
2.4385,18,1.5811e+07,1.5231e+07,5.7953e+05,0.1246
2.5684,19,1.5385e+07,1.4802e+07,5.8266e+05,0.1225
2.7001,20,1.4980e+07,1.4394e+07,5.8629e+05,0.1241
2.8300,21,1.4607e+07,1.4016e+07,5.9025e+05,0.1226
2.9626,22,1.4269e+07,1.3674e+07,5.9475e+05,0.1252
3.0917,23,1.3955e+07,1.3356e+07,5.9909e+05,0.1218
3.2243,24,1.3644e+07,1.3042e+07,6.0277e+05,0.1251
3.3538,25,1.3333e+07,1.2728e+07,6.0472e+05,0.1219
3.4878,26,1.3032e+07,1.2426e+07,6.0613e+05,0.1266
3.6177,27,1.2748e+07,1.2141e+07,6.0702e+05,0.1225
3.7501,28,1.2483e+07,1.1875e+07,6.0799e+05,0.1250
3.8788,29,1.2226e+07,1.1617e+07,6.0925e+05,0.1216
4.0104,30,1.1972e+07,1.1362e+07,6.1026e+05,0.1239
4.1412,31,1.1729e+07,1.1119e+07,6.1071e+05,0.1231
4.2699,32,1.1501e+07,1.0890e+07,6.1096e+05,0.1215
4.4025,33,1.1287e+07,1.0676e+07,6.1077e+05,0.1250
4.5323,34,1.1078e+07,1.0468e+07,6.0988e+05,0.1222
4.6661,35,1.0872e+07,1.0264e+07,6.0875e+05,0.1261
4.7949,36,1.0670e+07,1.0062e+07,6.0747e+05,0.1214
4.9269,37,1.0477e+07,9.8704e+06,6.0618e+05,0.1247
5.0550,38,1.0291e+07,9.6851e+06,6.0551e+05,0.1209
5.1862,39,1.0115e+07,9.5092e+06,6.0529e+05,0.1239
5.3166,40,9.9432e+06,9.3381e+06,6.0517e+05,0.1233
5.4474,41,9.7770e+06,9.1715e+06,6.0547e+05,0.1235
5.5796,42,9.6126e+06,9.0065e+06,6.0606e+05,0.1243
5.7087,43,9.4515e+06,8.8449e+06,6.0659e+05,0.1219
5.8419,44,9.2966e+06,8.6896e+06,6.0701e+05,0.1259
5.9724,45,9.1480e+06,8.5411e+06,6.0688e+05,0.1232
6.1039,46,9.0009e+06,8.3945e+06,6.0632e+05,0.1237
6.2337,47,8.8563e+06,8.2506e+06,6.0564e+05,0.1225
6.3678,48,8.7157e+06,8.1109e+06,6.0482e+05,0.1265
6.4982,49,8.5793e+06,7.9755e+06,6.0383e+05,0.1228
6.6314,50,8.4444e+06,7.8417e+06,6.0272e+05,0.1256
6.7607,51,8.3133e+06,7.7116e+06,6.0165e+05,0.1220
6.8937,52,8.1889e+06,7.5880e+06,6.0087e+05,0.1257
7.0236,53,8.0706e+06,7.4704e+06,6.0021e+05,0.1226
7.1563,54,7.9553e+06,7.3558e+06,5.9946e+05,0.1254
7.2861,55,7.8404e+06,7.2417e+06,5.9872e+05,0.1223
7.4187,56,7.7255e+06,7.1276e+06,5.9786e+05,0.1252
7.5485,57,7.6132e+06,7.0163e+06,5.9690e+05,0.1225
7.6838,58,7.5052e+06,6.9092e+06,5.9602e+05,0.1278
7.8133,59,7.4014e+06,6.8060e+06,5.9540e+05,0.1221
7.9455,60,7.3005e+06,6.7056e+06,5.9497e+05,0.1250
8.0752,61,7.2020e+06,6.6076e+06,5.9445e+05,0.1226
8.2118,62,7.1044e+06,6.5107e+06,5.9372e+05,0.1294
8.3461,63,7.0082e+06,6.4155e+06,5.9274e+05,0.1219
8.4787,64,6.9115e+06,6.3202e+06,5.9135e+05,0.1254
8.6114,65,6.8162e+06,6.2265e+06,5.8973e+05,0.1254
8.7431,66,6.7243e+06,6.1361e+06,5.8818e+05,0.1241
8.8757,67,6.6347e+06,6.0477e+06,5.8694e+05,0.1252
9.0074,68,6.5464e+06,5.9602e+06,5.8620e+05,0.1244
9.1386,69,6.4619e+06,5.8763e+06,5.8561e+05,0.1237
9.2694,70,6.3797e+06,5.7947e+06,5.8505e+05,0.1236
9.4004,71,6.2981e+06,5.7135e+06,5.8456e+05,0.1237
9.5333,72,6.2171e+06,5.6330e+06,5.8411e+05,0.1248
9.6659,73,6.1369e+06,5.5534e+06,5.8351e+05,0.1247
9.7965,74,6.0591e+06,5.4764e+06,5.8270e+05,0.1230
9.9308,75,5.9837e+06,5.4019e+06,5.8177e+05,0.1269
10.0614,76,5.9115e+06,5.3310e+06,5.8055e+05,0.1232
10.1942,77,5.8419e+06,5.2627e+06,5.7922e+05,0.1254
10.3240,78,5.7724e+06,5.1946e+06,5.7779e+05,0.1226
10.4547,79,5.7024e+06,5.1261e+06,5.7637e+05,0.1235
10.5859,80,5.6341e+06,5.0591e+06,5.7498e+05,0.1240
10.7167,81,5.5681e+06,4.9942e+06,5.7386e+05,0.1233
10.8486,82,5.5046e+06,4.9318e+06,5.7288e+05,0.1247
10.9780,83,5.4433e+06,4.8714e+06,5.7193e+05,0.1223
11.1120,84,5.3839e+06,4.8127e+06,5.7114e+05,0.1259
11.2438,85,5.3257e+06,4.7554e+06,5.7032e+05,0.1241
11.3758,86,5.2699e+06,4.7006e+06,5.6926e+05,0.1242
11.5065,87,5.2181e+06,4.6500e+06,5.6810e+05,0.1233
11.6403,88,5.1672e+06,4.6002e+06,5.6706e+05,0.1264
11.7722,89,5.1151e+06,4.5490e+06,5.6608e+05,0.1245
11.9029,90,5.0627e+06,4.4975e+06,5.6519e+05,0.1236
12.0368,91,5.0098e+06,4.4456e+06,5.6418e+05,0.1266
12.1683,92,4.9560e+06,4.3929e+06,5.6314e+05,0.1241
12.2998,93,4.9027e+06,4.3405e+06,5.6216e+05,0.1240
12.4315,94,4.8502e+06,4.2889e+06,5.6125e+05,0.1243
12.5634,95,4.7984e+06,4.2379e+06,5.6048e+05,0.1247
12.6944,96,4.7474e+06,4.1876e+06,5.5980e+05,0.1235
12.8247,97,4.6981e+06,4.1388e+06,5.5925e+05,0.1232
12.9609,98,4.6508e+06,4.0920e+06,5.5871e+05,0.1288
13.0946,99,4.6054e+06,4.0473e+06,5.5812e+05,0.1237
13.2240,100,4.5612e+06,4.0037e+06,5.5756e+05,0.1220
13.3586,101,4.5173e+06,3.9604e+06,5.5689e+05,0.1246
13.4896,102,4.4733e+06,3.9173e+06,5.5603e+05,0.1234
13.6246,103,4.4300e+06,3.8748e+06,5.5519e+05,0.1275
13.7543,104,4.3872e+06,3.8328e+06,5.5435e+05,0.1219
13.8876,105,4.3451e+06,3.7915e+06,5.5358e+05,0.1258
14.0177,106,4.3030e+06,3.7501e+06,5.5288e+05,0.1226
14.1505,107,4.2618e+06,3.7097e+06,5.5205e+05,0.1250
14.2803,108,4.2217e+06,3.6706e+06,5.5109e+05,0.1223
14.4121,109,4.1829e+06,3.6328e+06,5.5007e+05,0.1244
14.5414,110,4.1451e+06,3.5961e+06,5.4905e+05,0.1219
14.6734,111,4.1093e+06,3.5612e+06,5.4810e+05,0.1240
14.8030,112,4.0751e+06,3.5280e+06,5.4708e+05,0.1221
14.9343,113,4.0408e+06,3.4949e+06,5.4589e+05,0.1241
15.0679,114,4.0062e+06,3.4617e+06,5.4459e+05,0.1264
15.2012,115,3.9718e+06,3.4286e+06,5.4317e+05,0.1255
15.3311,116,3.9380e+06,3.3962e+06,5.4180e+05,0.1226
15.4640,117,3.9042e+06,3.3638e+06,5.4041e+05,0.1253
15.5950,118,3.8711e+06,3.3320e+06,5.3909e+05,0.1234
15.7283,119,3.8380e+06,3.3001e+06,5.3787e+05,0.1258
15.8575,120,3.8051e+06,3.2684e+06,5.3672e+05,0.1219
15.9886,121,3.7730e+06,3.2375e+06,5.3554e+05,0.1237
16.1196,122,3.7408e+06,3.2065e+06,5.3435e+05,0.1216
16.2516,123,3.7086e+06,3.1755e+06,5.3310e+05,0.1247
16.3834,124,3.6766e+06,3.1449e+06,5.3174e+05,0.1246
16.5152,125,3.6447e+06,3.1143e+06,5.3039e+05,0.1244
16.6470,126,3.6134e+06,3.0843e+06,5.2909e+05,0.1246
16.7781,127,3.5831e+06,3.0551e+06,5.2794e+05,0.1235
16.9098,128,3.5541e+06,3.0272e+06,5.2689e+05,0.1243
17.0414,129,3.5272e+06,3.0012e+06,5.2604e+05,0.1244
17.1733,130,3.5012e+06,2.9758e+06,5.2537e+05,0.1248
17.3047,131,3.4750e+06,2.9503e+06,5.2474e+05,0.1239
17.4360,132,3.4485e+06,2.9243e+06,5.2417e+05,0.1237
17.5666,133,3.4223e+06,2.8987e+06,5.2356e+05,0.1233
17.6987,134,3.3963e+06,2.8734e+06,5.2289e+05,0.1239
