run_time,iteration,loss,style_loss,content_loss,time
0.0898,0,3.9211e+09,3.9211e+09,0.0000e+00,0.0898
0.1951,1,3.5486e+09,3.5477e+09,8.3258e+05,0.0963
0.2976,2,3.1444e+09,3.1425e+09,1.9279e+06,0.0961
0.4003,3,2.7507e+09,2.7479e+09,2.8425e+06,0.0963
0.5022,4,2.4037e+09,2.4002e+09,3.4926e+06,0.0967
0.6050,5,2.1182e+09,2.1143e+09,3.9114e+06,0.0969
0.7075,6,1.8974e+09,1.8932e+09,4.1571e+06,0.0969
0.8128,7,1.7308e+09,1.7265e+09,4.2763e+06,0.0994
0.9163,8,1.5985e+09,1.5942e+09,4.3189e+06,0.0981
1.0193,9,1.4850e+09,1.4807e+09,4.3269e+06,0.0970
1.1205,10,1.3831e+09,1.3788e+09,4.3211e+06,0.0960
1.2219,11,1.2905e+09,1.2862e+09,4.3190e+06,0.0955
1.3232,12,1.2069e+09,1.2025e+09,4.3257e+06,0.0960
1.4250,13,1.1317e+09,1.1273e+09,4.3428e+06,0.0950
1.5263,14,1.0640e+09,1.0597e+09,4.3712e+06,0.0960
1.6295,15,1.0029e+09,9.9854e+08,4.4097e+06,0.0946
1.7314,16,9.4787e+08,9.4341e+08,4.4592e+06,0.0966
1.8327,17,8.9810e+08,8.9359e+08,4.5134e+06,0.0951
1.9344,18,8.5347e+08,8.4890e+08,4.5696e+06,0.0962
2.0366,19,8.1321e+08,8.0859e+08,4.6251e+06,0.0960
2.1386,20,7.7693e+08,7.7225e+08,4.6793e+06,0.0965
2.2415,21,7.4425e+08,7.3952e+08,4.7283e+06,0.0967
2.3433,22,7.1475e+08,7.0998e+08,4.7693e+06,0.0964
2.4459,23,6.8786e+08,6.8306e+08,4.8024e+06,0.0963
2.5510,24,6.6318e+08,6.5835e+08,4.8299e+06,0.0982
2.6550,25,6.4051e+08,6.3565e+08,4.8541e+06,0.0964
2.7567,26,6.1959e+08,6.1472e+08,4.8762e+06,0.0962
2.8594,27,6.0011e+08,5.9521e+08,4.8957e+06,0.0967
2.9617,28,5.8194e+08,5.7703e+08,4.9125e+06,0.0968
3.0640,29,5.6495e+08,5.6002e+08,4.9300e+06,0.0958
3.1660,30,5.4906e+08,5.4411e+08,4.9483e+06,0.0965
3.2685,31,5.3405e+08,5.2908e+08,4.9674e+06,0.0963
3.3694,32,5.1983e+08,5.1484e+08,4.9870e+06,0.0955
3.4718,33,5.0643e+08,5.0142e+08,5.0055e+06,0.0961
3.5728,34,4.9383e+08,4.8880e+08,5.0230e+06,0.0955
3.6746,35,4.8175e+08,4.7671e+08,5.0408e+06,0.0957
3.7755,36,4.7025e+08,4.6519e+08,5.0568e+06,0.0954
3.8772,37,4.5928e+08,4.5421e+08,5.0699e+06,0.0954
3.9787,38,4.4889e+08,4.4381e+08,5.0800e+06,0.0959
4.0811,39,4.3899e+08,4.3390e+08,5.0888e+06,0.0962
4.1826,40,4.2948e+08,4.2438e+08,5.0970e+06,0.0959
4.2844,41,4.2046e+08,4.1536e+08,5.1031e+06,0.0956
4.3858,42,4.1188e+08,4.0677e+08,5.1084e+06,0.0959
4.4878,43,4.0369e+08,3.9858e+08,5.1131e+06,0.0958
4.5890,44,3.9582e+08,3.9070e+08,5.1171e+06,0.0956
4.6911,45,3.8828e+08,3.8316e+08,5.1206e+06,0.0958
4.7923,46,3.8115e+08,3.7603e+08,5.1228e+06,0.0956
4.8947,47,3.7439e+08,3.6926e+08,5.1248e+06,0.0961
4.9963,48,3.6795e+08,3.6283e+08,5.1265e+06,0.0960
5.0984,49,3.6170e+08,3.5658e+08,5.1278e+06,0.0957
5.2009,50,3.5565e+08,3.5052e+08,5.1295e+06,0.0967
5.3045,51,3.4980e+08,3.4467e+08,5.1327e+06,0.0972
5.4058,52,3.4412e+08,3.3898e+08,5.1374e+06,0.0955
5.5082,53,3.3860e+08,3.3346e+08,5.1422e+06,0.0959
5.6110,54,3.3329e+08,3.2814e+08,5.1469e+06,0.0971
5.7147,55,3.2813e+08,3.2298e+08,5.1521e+06,0.0972
5.8186,56,3.2315e+08,3.1800e+08,5.1574e+06,0.0981
5.9211,57,3.1833e+08,3.1317e+08,5.1637e+06,0.0961
6.0227,58,3.1365e+08,3.0848e+08,5.1697e+06,0.0959
6.1255,59,3.0908e+08,3.0391e+08,5.1750e+06,0.0965
