run_time,iteration,loss,style_loss,content_loss,time
0.0902,0,5.9695e+08,5.9695e+08,0.0000e+00,0.0902
0.1942,1,4.1738e+08,4.1637e+08,1.0061e+06,0.0951
0.2963,2,2.7106e+08,2.6894e+08,2.1156e+06,0.0966
0.3986,3,2.0545e+08,2.0285e+08,2.5975e+06,0.0964
0.4996,4,1.7730e+08,1.7477e+08,2.5306e+06,0.0957
0.6031,5,1.5588e+08,1.5353e+08,2.3570e+06,0.0974
0.7052,6,1.4682e+08,1.4456e+08,2.2640e+06,0.0965
0.8076,7,1.3868e+08,1.3639e+08,2.2908e+06,0.0964
0.9099,8,1.2762e+08,1.2522e+08,2.3991e+06,0.0970
1.0138,9,1.1752e+08,1.1497e+08,2.5430e+06,0.0979
1.1160,10,1.1047e+08,1.0779e+08,2.6764e+06,0.0970
1.2204,11,1.0473e+08,1.0197e+08,2.7633e+06,0.0983
1.3229,12,9.8237e+07,9.5442e+07,2.7952e+06,0.0972
1.4254,13,9.1155e+07,8.8375e+07,2.7803e+06,0.0960
1.5271,14,8.4787e+07,8.2044e+07,2.7436e+06,0.0964
1.6292,15,7.9734e+07,7.7023e+07,2.7110e+06,0.0962
1.7303,16,7.5584e+07,7.2889e+07,2.6942e+06,0.0956
1.8321,17,7.1838e+07,6.9141e+07,2.6968e+06,0.0957
1.9340,18,6.8416e+07,6.5700e+07,2.7161e+06,0.0966
2.0363,19,6.5432e+07,6.2688e+07,2.7443e+06,0.0964
2.1382,20,6.2891e+07,6.0117e+07,2.7739e+06,0.0965
2.2402,21,6.0500e+07,5.7701e+07,2.7990e+06,0.0960
2.3414,22,5.8060e+07,5.5243e+07,2.8173e+06,0.0959
2.4430,23,5.5623e+07,5.2794e+07,2.8295e+06,0.0956
2.5446,24,5.3446e+07,5.0609e+07,2.8368e+06,0.0958
2.6470,25,5.1671e+07,4.8829e+07,2.8420e+06,0.0962
2.7491,26,5.0179e+07,4.7332e+07,2.8469e+06,0.0966
2.8519,27,4.8805e+07,4.5951e+07,2.8536e+06,0.0962
2.9544,28,4.7405e+07,4.4542e+07,2.8628e+06,0.0971
3.0568,29,4.6008e+07,4.3134e+07,2.8743e+06,0.0963
3.1591,30,4.4717e+07,4.1831e+07,2.8859e+06,0.0970
3.2630,31,4.3598e+07,4.0703e+07,2.8954e+06,0.0972
3.3666,32,4.2656e+07,3.9754e+07,2.9018e+06,0.0983
3.4698,33,4.1809e+07,3.8904e+07,2.9050e+06,0.0970
3.5722,34,4.0990e+07,3.8085e+07,2.9050e+06,0.0970
3.6752,35,4.0175e+07,3.7272e+07,2.9026e+06,0.0970
3.7786,36,3.9388e+07,3.6489e+07,2.8988e+06,0.0981
3.8804,37,3.8651e+07,3.5756e+07,2.8948e+06,0.0957
3.9823,38,3.7967e+07,3.5074e+07,2.8925e+06,0.0966
4.0842,39,3.7304e+07,3.4411e+07,2.8927e+06,0.0960
4.1857,40,3.6625e+07,3.3730e+07,2.8955e+06,0.0962
4.2880,41,3.5931e+07,3.3029e+07,2.9011e+06,0.0963
4.3902,42,3.5253e+07,3.2344e+07,2.9088e+06,0.0969
4.4933,43,3.4623e+07,3.1705e+07,2.9180e+06,0.0968
4.5959,44,3.4059e+07,3.1132e+07,2.9272e+06,0.0972
4.6978,45,3.3555e+07,3.0620e+07,2.9343e+06,0.0958
4.8003,46,3.3083e+07,3.0144e+07,2.9382e+06,0.0971
4.9035,47,3.2614e+07,2.9675e+07,2.9386e+06,0.0970
5.0062,48,3.2133e+07,2.9197e+07,2.9360e+06,0.0973
5.1104,49,3.1662e+07,2.8731e+07,2.9309e+06,0.0982
5.2132,50,3.1216e+07,2.8292e+07,2.9245e+06,0.0975
5.3158,51,3.0812e+07,2.7895e+07,2.9176e+06,0.0967
5.4176,52,3.0440e+07,2.7529e+07,2.9112e+06,0.0960
5.5200,53,3.0076e+07,2.7169e+07,2.9065e+06,0.0963
5.6213,54,2.9707e+07,2.6803e+07,2.9040e+06,0.0959
5.7232,55,2.9325e+07,2.6421e+07,2.9042e+06,0.0958
5.8242,56,2.8939e+07,2.6033e+07,2.9064e+06,0.0957
5.9257,57,2.8559e+07,2.5650e+07,2.9092e+06,0.0955
6.0268,58,2.8192e+07,2.5280e+07,2.9119e+06,0.0956
6.1284,59,2.7836e+07,2.4922e+07,2.9137e+06,0.0957
6.2300,60,2.7487e+07,2.4573e+07,2.9138e+06,0.0961
6.3336,61,2.7139e+07,2.4227e+07,2.9119e+06,0.0974
6.4351,62,2.6790e+07,2.3882e+07,2.9080e+06,0.0958
6.5373,63,2.6454e+07,2.3550e+07,2.9034e+06,0.0961
6.6389,64,2.6142e+07,2.3243e+07,2.8983e+06,0.0962
6.7412,65,2.5855e+07,2.2962e+07,2.8931e+06,0.0963
6.8457,66,2.5586e+07,2.2699e+07,2.8879e+06,0.0953
6.9488,67,2.5325e+07,2.2441e+07,2.8838e+06,0.0970
7.0507,68,2.5061e+07,2.2180e+07,2.8809e+06,0.0964
7.1534,69,2.4795e+07,2.1916e+07,2.8793e+06,0.0967
7.2565,70,2.4535e+07,2.1656e+07,2.8788e+06,0.0978
7.3607,71,2.4286e+07,2.1407e+07,2.8791e+06,0.0981
7.4631,72,2.4052e+07,2.1172e+07,2.8794e+06,0.0969
7.5658,73,2.3830e+07,2.0951e+07,2.8793e+06,0.0967
7.6680,74,2.3612e+07,2.0734e+07,2.8780e+06,0.0965
7.7704,75,2.3387e+07,2.0511e+07,2.8756e+06,0.0963
7.8720,76,2.3147e+07,2.0275e+07,2.8721e+06,0.0962
7.9746,77,2.2898e+07,2.0030e+07,2.8676e+06,0.0966
8.0763,78,2.2645e+07,1.9783e+07,2.8621e+06,0.0962
8.1787,79,2.2397e+07,1.9541e+07,2.8563e+06,0.0964
8.2809,80,2.2156e+07,1.9306e+07,2.8502e+06,0.0967
8.3838,81,2.1926e+07,1.9082e+07,2.8445e+06,0.0964
8.4865,82,2.1702e+07,1.8862e+07,2.8398e+06,0.0970
8.5892,83,2.1478e+07,1.8642e+07,2.8358e+06,0.0966
8.6909,84,2.1255e+07,1.8423e+07,2.8324e+06,0.0963
8.7939,85,2.1034e+07,1.8205e+07,2.8297e+06,0.0971
8.8971,86,2.0820e+07,1.7993e+07,2.8273e+06,0.0977
9.0012,87,2.0614e+07,1.7789e+07,2.8248e+06,0.0979
9.1047,88,2.0414e+07,1.7592e+07,2.8221e+06,0.0981
9.2071,89,2.0221e+07,1.7402e+07,2.8189e+06,0.0963
9.3085,90,2.0031e+07,1.7217e+07,2.8146e+06,0.0958
9.4107,91,1.9842e+07,1.7032e+07,2.8093e+06,0.0961
9.5123,92,1.9652e+07,1.6849e+07,2.8030e+06,0.0962
9.6136,93,1.9466e+07,1.6670e+07,2.7964e+06,0.0951
9.7156,94,1.9285e+07,1.6496e+07,2.7893e+06,0.0966
9.8178,95,1.9111e+07,1.6329e+07,2.7822e+06,0.0960
9.9189,96,1.8943e+07,1.6167e+07,2.7757e+06,0.0957
10.0226,97,1.8773e+07,1.6003e+07,2.7699e+06,0.0977
10.1250,98,1.8600e+07,1.5835e+07,2.7653e+06,0.0958
10.2303,99,1.8420e+07,1.5658e+07,2.7619e+06,0.0979
10.3336,100,1.8236e+07,1.5477e+07,2.7595e+06,0.0972
10.4429,101,1.8053e+07,1.5295e+07,2.7576e+06,0.0987
10.5470,102,1.7876e+07,1.5120e+07,2.7561e+06,0.0980
10.6512,103,1.7707e+07,1.4952e+07,2.7546e+06,0.0973
10.7537,104,1.7544e+07,1.4792e+07,2.7525e+06,0.0964
10.8620,105,1.7386e+07,1.4636e+07,2.7499e+06,0.1012
10.9657,106,1.7230e+07,1.4483e+07,2.7468e+06,0.0977
11.0727,107,1.7075e+07,1.4332e+07,2.7428e+06,0.0982
11.1757,108,1.6922e+07,1.4184e+07,2.7382e+06,0.0969
11.2797,109,1.6772e+07,1.4039e+07,2.7329e+06,0.0971
11.3832,110,1.6626e+07,1.3899e+07,2.7272e+06,0.0969
11.4890,111,1.6484e+07,1.3763e+07,2.7215e+06,0.0980
11.5928,112,1.6345e+07,1.3629e+07,2.7160e+06,0.0974
11.6991,113,1.6208e+07,1.3497e+07,2.7108e+06,0.0991
11.8043,114,1.6070e+07,1.3364e+07,2.7060e+06,0.0992
11.9106,115,1.5931e+07,1.3230e+07,2.7019e+06,0.0975
12.0167,116,1.5794e+07,1.3095e+07,2.6986e+06,0.1000
12.1227,117,1.5661e+07,1.2965e+07,2.6958e+06,0.0991
12.2279,118,1.5531e+07,1.2838e+07,2.6932e+06,0.0991
12.3321,119,1.5405e+07,1.2714e+07,2.6908e+06,0.0973
12.4347,120,1.5278e+07,1.2590e+07,2.6882e+06,0.0964
