run_time,iteration,loss,style_loss,content_loss,time
0.0895,0,1.2049e+09,1.2049e+09,0.0000e+00,0.0895
0.1955,1,8.2360e+08,8.2258e+08,1.0188e+06,0.0971
0.2971,2,5.2176e+08,5.1937e+08,2.3861e+06,0.0958
0.3995,3,3.7369e+08,3.7032e+08,3.3687e+06,0.0964
0.5016,4,3.0370e+08,3.0003e+08,3.6717e+06,0.0966
0.6048,5,2.4182e+08,2.3829e+08,3.5312e+06,0.0972
0.7077,6,2.0119e+08,1.9791e+08,3.2878e+06,0.0977
0.8131,7,1.8087e+08,1.7773e+08,3.1366e+06,0.0993
0.9181,8,1.6684e+08,1.6373e+08,3.1092e+06,0.0996
1.0215,9,1.5346e+08,1.5029e+08,3.1740e+06,0.0974
1.1235,10,1.4174e+08,1.3845e+08,3.2903e+06,0.0965
1.2261,11,1.3296e+08,1.2955e+08,3.4152e+06,0.0965
1.3300,12,1.2649e+08,1.2297e+08,3.5124e+06,0.0984
1.4331,13,1.2050e+08,1.1694e+08,3.5599e+06,0.0967
1.5347,14,1.1387e+08,1.1031e+08,3.5646e+06,0.0964
1.6370,15,1.0662e+08,1.0309e+08,3.5378e+06,0.0963
1.7395,16,9.9270e+07,9.5770e+07,3.5005e+06,0.0972
1.8434,17,9.2065e+07,8.8597e+07,3.4688e+06,0.0978
1.9471,18,8.5148e+07,8.1700e+07,3.4477e+06,0.0983
2.0492,19,7.8950e+07,7.5510e+07,3.4401e+06,0.0961
2.1509,20,7.3881e+07,7.0437e+07,3.4438e+06,0.0964
2.2525,21,7.0067e+07,6.6610e+07,3.4570e+06,0.0956
2.3535,22,6.7237e+07,6.3762e+07,3.4749e+06,0.0957
2.4553,23,6.4815e+07,6.1324e+07,3.4909e+06,0.0956
2.5560,24,6.2420e+07,5.8916e+07,3.5039e+06,0.0954
2.6577,25,6.0031e+07,5.6518e+07,3.5136e+06,0.0958
2.7602,26,5.7730e+07,5.4208e+07,3.5223e+06,0.0972
2.8621,27,5.5651e+07,5.2119e+07,3.5325e+06,0.0959
2.9643,28,5.3789e+07,5.0244e+07,3.5456e+06,0.0968
3.0660,29,5.2087e+07,4.8522e+07,3.5643e+06,0.0956
3.1675,30,5.0503e+07,4.6915e+07,3.5878e+06,0.0963
3.2699,31,4.9068e+07,4.5453e+07,3.6156e+06,0.0963
3.3718,32,4.7831e+07,4.4185e+07,3.6461e+06,0.0965
3.4746,33,4.6805e+07,4.3132e+07,3.6739e+06,0.0965
3.5769,34,4.5948e+07,4.2251e+07,3.6965e+06,0.0967
3.6810,35,4.5157e+07,4.1445e+07,3.7123e+06,0.0980
3.7872,36,4.4344e+07,4.0624e+07,3.7196e+06,0.0968
3.8902,37,4.3514e+07,3.9795e+07,3.7194e+06,0.0969
3.9918,38,4.2724e+07,3.9011e+07,3.7133e+06,0.0962
4.0944,39,4.2038e+07,3.8334e+07,3.7045e+06,0.0964
4.1963,40,4.1462e+07,3.7767e+07,3.6951e+06,0.0965
4.2985,41,4.0926e+07,3.7239e+07,3.6874e+06,0.0961
4.4001,42,4.0354e+07,3.6673e+07,3.6813e+06,0.0962
4.5026,43,3.9704e+07,3.6027e+07,3.6773e+06,0.0963
4.6035,44,3.8991e+07,3.5315e+07,3.6757e+06,0.0954
4.7055,45,3.8269e+07,3.4592e+07,3.6771e+06,0.0960
4.8068,46,3.7576e+07,3.3897e+07,3.6794e+06,0.0960
4.9106,47,3.6928e+07,3.3248e+07,3.6806e+06,0.0976
5.0132,48,3.6309e+07,3.2629e+07,3.6800e+06,0.0962
5.1153,49,3.5685e+07,3.2008e+07,3.6764e+06,0.0959
5.2180,50,3.5056e+07,3.1386e+07,3.6702e+06,0.0974
5.3204,51,3.4446e+07,3.0784e+07,3.6621e+06,0.0963
5.4229,52,3.3888e+07,3.0235e+07,3.6528e+06,0.0971
5.5259,53,3.3395e+07,2.9752e+07,3.6431e+06,0.0967
5.6292,54,3.2964e+07,2.9329e+07,3.6350e+06,0.0979
5.7332,55,3.2561e+07,2.8932e+07,3.6287e+06,0.0980
5.8359,56,3.2144e+07,2.8520e+07,3.6248e+06,0.0972
5.9383,57,3.1694e+07,2.8071e+07,3.6236e+06,0.0964
6.0401,58,3.1219e+07,2.7594e+07,3.6245e+06,0.0964
6.1440,59,3.0739e+07,2.7112e+07,3.6268e+06,0.0977
6.2494,60,3.0279e+07,2.6650e+07,3.6297e+06,0.0942
6.3525,61,2.9858e+07,2.6226e+07,3.6321e+06,0.0969
6.4554,62,2.9470e+07,2.5836e+07,3.6332e+06,0.0968
6.5579,63,2.9099e+07,2.5467e+07,3.6321e+06,0.0964
6.6604,64,2.8736e+07,2.5108e+07,3.6284e+06,0.0967
6.7646,65,2.8379e+07,2.4757e+07,3.6226e+06,0.0981
6.8701,66,2.8035e+07,2.4420e+07,3.6150e+06,0.1000
6.9731,67,2.7711e+07,2.4105e+07,3.6068e+06,0.0942
7.0759,68,2.7404e+07,2.3805e+07,3.5988e+06,0.0971
7.1786,69,2.7098e+07,2.3507e+07,3.5914e+06,0.0965
7.2805,70,2.6774e+07,2.3189e+07,3.5851e+06,0.0965
7.3839,71,2.6425e+07,2.2845e+07,3.5801e+06,0.0971
7.4859,72,2.6052e+07,2.2476e+07,3.5766e+06,0.0965
7.5885,73,2.5666e+07,2.2092e+07,3.5746e+06,0.0966
7.6904,74,2.5290e+07,2.1716e+07,3.5735e+06,0.0964
7.7932,75,2.4935e+07,2.1362e+07,3.5729e+06,0.0968
7.8950,76,2.4605e+07,2.1033e+07,3.5723e+06,0.0964
7.9983,77,2.4293e+07,2.0722e+07,3.5709e+06,0.0971
8.1021,78,2.3986e+07,2.0418e+07,3.5683e+06,0.0983
8.2052,79,2.3676e+07,2.0112e+07,3.5647e+06,0.0970
8.3077,80,2.3363e+07,1.9803e+07,3.5604e+06,0.0970
8.4102,81,2.3058e+07,1.9502e+07,3.5556e+06,0.0962
8.5130,82,2.2766e+07,1.9216e+07,3.5505e+06,0.0972
8.6158,83,2.2492e+07,1.8946e+07,3.5459e+06,0.0964
8.7178,84,2.2231e+07,1.8688e+07,3.5422e+06,0.0966
8.8211,85,2.1979e+07,1.8440e+07,3.5396e+06,0.0970
8.9238,86,2.1734e+07,1.8197e+07,3.5377e+06,0.0972
9.0263,87,2.1494e+07,1.7957e+07,3.5364e+06,0.0960
9.1278,88,2.1261e+07,1.7725e+07,3.5353e+06,0.0958
9.2307,89,2.1041e+07,1.7507e+07,3.5339e+06,0.0968
9.3391,90,2.0831e+07,1.7300e+07,3.5311e+06,0.1010
9.4415,91,2.0627e+07,1.7100e+07,3.5267e+06,0.0960
9.5435,92,2.0417e+07,1.6897e+07,3.5202e+06,0.0965
9.6468,93,2.0197e+07,1.6685e+07,3.5117e+06,0.0969
9.7491,94,1.9964e+07,1.6463e+07,3.5012e+06,0.0968
9.8512,95,1.9727e+07,1.6238e+07,3.4894e+06,0.0960
9.9529,96,1.9496e+07,1.6019e+07,3.4767e+06,0.0962
10.0550,97,1.9277e+07,1.5813e+07,3.4639e+06,0.0960
10.1567,98,1.9074e+07,1.5621e+07,3.4525e+06,0.0963
10.2593,99,1.8881e+07,1.5437e+07,3.4431e+06,0.0964
10.3620,100,1.8690e+07,1.5254e+07,3.4358e+06,0.0972
10.4666,101,1.8495e+07,1.5065e+07,3.4305e+06,0.0971
10.5692,102,1.8297e+07,1.4869e+07,3.4274e+06,0.0970
10.6730,103,1.8101e+07,1.4674e+07,3.4262e+06,0.0977
10.7765,104,1.7912e+07,1.4486e+07,3.4260e+06,0.0981
10.8791,105,1.7734e+07,1.4307e+07,3.4265e+06,0.0963
10.9852,106,1.7560e+07,1.4134e+07,3.4263e+06,0.1006
11.0872,107,1.7387e+07,1.3962e+07,3.4251e+06,0.0957
11.1895,108,1.7211e+07,1.3788e+07,3.4229e+06,0.0968
11.2922,109,1.7032e+07,1.3613e+07,3.4190e+06,0.0964
11.3942,110,1.6854e+07,1.3441e+07,3.4131e+06,0.0965
11.4974,111,1.6682e+07,1.3276e+07,3.4060e+06,0.0969
11.5998,112,1.6519e+07,1.3121e+07,3.3982e+06,0.0969
11.7030,113,1.6362e+07,1.2972e+07,3.3899e+06,0.0965
11.8065,114,1.6206e+07,1.2824e+07,3.3819e+06,0.0976
11.9119,115,1.6045e+07,1.2670e+07,3.3745e+06,0.0986
12.0139,116,1.5877e+07,1.2509e+07,3.3678e+06,0.0959
12.1169,117,1.5707e+07,1.2345e+07,3.3618e+06,0.0968
12.2192,118,1.5542e+07,1.2186e+07,3.3562e+06,0.0968
12.3214,119,1.5388e+07,1.2037e+07,3.3507e+06,0.0961
12.4232,120,1.5244e+07,1.1899e+07,3.3449e+06,0.0964
12.5251,121,1.5106e+07,1.1768e+07,3.3381e+06,0.0958
12.6273,122,1.4967e+07,1.1637e+07,3.3303e+06,0.0967
12.7304,123,1.4823e+07,1.1502e+07,3.3217e+06,0.0965
12.8339,124,1.4676e+07,1.1363e+07,3.3126e+06,0.0979
12.9390,125,1.4530e+07,1.1227e+07,3.3032e+06,0.0989
13.0430,126,1.4390e+07,1.1096e+07,3.2939e+06,0.0975
13.1467,127,1.4258e+07,1.0973e+07,3.2851e+06,0.0974
13.2492,128,1.4132e+07,1.0854e+07,3.2775e+06,0.0967
13.3527,129,1.4007e+07,1.0735e+07,3.2714e+06,0.0966
13.4546,130,1.3880e+07,1.0613e+07,3.2668e+06,0.0961
13.5565,131,1.3751e+07,1.0487e+07,3.2636e+06,0.0957
13.6588,132,1.3624e+07,1.0362e+07,3.2617e+06,0.0969
13.7607,133,1.3501e+07,1.0241e+07,3.2603e+06,0.0957
13.8625,134,1.3386e+07,1.0127e+07,3.2588e+06,0.0963
13.9644,135,1.3276e+07,1.0019e+07,3.2566e+06,0.0958
14.0663,136,1.3167e+07,9.9133e+06,3.2534e+06,0.0965
14.1682,137,1.3054e+07,9.8054e+06,3.2488e+06,0.0956
14.2710,138,1.2937e+07,9.6942e+06,3.2426e+06,0.0974
14.3751,139,1.2818e+07,9.5828e+06,3.2351e+06,0.0975
14.4786,140,1.2702e+07,9.4750e+06,3.2267e+06,0.0978
14.5830,141,1.2591e+07,9.3735e+06,3.2178e+06,0.0980
14.6862,142,1.2486e+07,9.2773e+06,3.2089e+06,0.0977
14.7888,143,1.2384e+07,9.1833e+06,3.2006e+06,0.0964
14.8903,144,1.2280e+07,9.0874e+06,3.1930e+06,0.0960
14.9926,145,1.2175e+07,8.9890e+06,3.1863e+06,0.0961
15.0944,146,1.2069e+07,8.8887e+06,3.1804e+06,0.0964
15.1965,147,1.1964e+07,8.7891e+06,3.1753e+06,0.0960
15.2980,148,1.1864e+07,8.6929e+06,3.1707e+06,0.0960
15.3999,149,1.1767e+07,8.6007e+06,3.1664e+06,0.0957
15.5013,150,1.1672e+07,8.5104e+06,3.1619e+06,0.0960
15.6029,151,1.1576e+07,8.4195e+06,3.1570e+06,0.0955
15.7044,152,1.1478e+07,8.3266e+06,3.1514e+06,0.0960
15.8063,153,1.1378e+07,8.2330e+06,3.1449e+06,0.0958
15.9078,154,1.1279e+07,8.1415e+06,3.1377e+06,0.0960
16.0101,155,1.1185e+07,8.0544e+06,3.1304e+06,0.0961
16.1125,156,1.1095e+07,7.9720e+06,3.1232e+06,0.0966
16.2156,157,1.1008e+07,7.8917e+06,3.1163e+06,0.0966
16.3180,158,1.0921e+07,7.8108e+06,3.1100e+06,0.0966
16.4217,159,1.0832e+07,7.7281e+06,3.1044e+06,0.0972
16.5245,160,1.0744e+07,7.6444e+06,3.0993e+06,0.0973
16.6283,161,1.0657e+07,7.5625e+06,3.0946e+06,0.0975
16.7321,162,1.0575e+07,7.4844e+06,3.0901e+06,0.0982
16.8351,163,1.0495e+07,7.4097e+06,3.0856e+06,0.0967
16.9373,164,1.0416e+07,7.3358e+06,3.0805e+06,0.0968
17.0412,165,1.0335e+07,7.2602e+06,3.0748e+06,0.0978
17.1435,166,1.0250e+07,7.1820e+06,3.0684e+06,0.0968
17.2464,167,1.0165e+07,7.1032e+06,3.0613e+06,0.0968
17.3486,168,1.0081e+07,7.0277e+06,3.0537e+06,0.0963
17.4520,169,1.0004e+07,6.9583e+06,3.0461e+06,0.0967
17.5598,170,9.9345e+06,6.8957e+06,3.0388e+06,0.1022
17.6639,171,9.8690e+06,6.8370e+06,3.0320e+06,0.0978
17.7664,172,9.8044e+06,6.7784e+06,3.0260e+06,0.0971
17.8691,173,9.7376e+06,6.7168e+06,3.0208e+06,0.0965
17.9701,174,9.6684e+06,6.6519e+06,3.0165e+06,0.0956
18.0717,175,9.5988e+06,6.5862e+06,3.0126e+06,0.0955
18.1729,176,9.5311e+06,6.5220e+06,3.0090e+06,0.0958
18.2754,177,9.4658e+06,6.4605e+06,3.0053e+06,0.0961
18.3777,178,9.4017e+06,6.4007e+06,3.0010e+06,0.0967
18.4803,179,9.3372e+06,6.3412e+06,2.9960e+06,0.0957
18.5820,180,9.2720e+06,6.2817e+06,2.9903e+06,0.0962
18.6851,181,9.2076e+06,6.2237e+06,2.9840e+06,0.0970
18.7874,182,9.1462e+06,6.1689e+06,2.9772e+06,0.0966
18.8902,183,9.0881e+06,6.1178e+06,2.9703e+06,0.0965
18.9934,184,9.0328e+06,6.0693e+06,2.9635e+06,0.0974
19.0987,185,8.9769e+06,6.0199e+06,2.9570e+06,0.0968
19.2016,186,8.9176e+06,5.9667e+06,2.9509e+06,0.0974
19.3057,187,8.8542e+06,5.9090e+06,2.9452e+06,0.0979
19.4082,188,8.7885e+06,5.8486e+06,2.9399e+06,0.0971
19.5109,189,8.7230e+06,5.7884e+06,2.9346e+06,0.0965
