run_time,iteration,loss,style_loss,content_loss,time
0.0909,0,6.7231e+07,6.7231e+07,0.0000e+00,0.0909
0.1961,1,3.4173e+07,3.3167e+07,1.0056e+06,0.0970
0.2995,2,2.4021e+07,2.2936e+07,1.0852e+06,0.0971
0.4022,3,2.0542e+07,1.9311e+07,1.2306e+06,0.0963
0.5039,4,1.7350e+07,1.6019e+07,1.3308e+06,0.0956
0.6094,5,1.5352e+07,1.3951e+07,1.4014e+06,0.0981
0.7121,6,1.4156e+07,1.2703e+07,1.4531e+06,0.0957
0.8149,7,1.3151e+07,1.1669e+07,1.4817e+06,0.0961
0.9192,8,1.2430e+07,1.0941e+07,1.4893e+06,0.0980
1.0220,9,1.1757e+07,1.0279e+07,1.4782e+06,0.0961
1.1245,10,1.1171e+07,9.7060e+06,1.4649e+06,0.0963
1.2279,11,1.0728e+07,9.2717e+06,1.4563e+06,0.0972
1.3316,12,1.0316e+07,8.8641e+06,1.4524e+06,0.0977
1.4355,13,9.9675e+06,8.5223e+06,1.4452e+06,0.0971
1.5375,14,9.6573e+06,8.2248e+06,1.4326e+06,0.0958
1.6402,15,9.3149e+06,7.8990e+06,1.4159e+06,0.0966
1.7421,16,8.9864e+06,7.5855e+06,1.4010e+06,0.0957
1.8455,17,8.7187e+06,7.3250e+06,1.3937e+06,0.0942
1.9474,18,8.4709e+06,7.0797e+06,1.3911e+06,0.0957
2.0499,19,8.2292e+06,6.8391e+06,1.3901e+06,0.0960
2.1527,20,8.0164e+06,6.6269e+06,1.3895e+06,0.0964
2.2554,21,7.8375e+06,6.4515e+06,1.3860e+06,0.0962
2.3571,22,7.6709e+06,6.2913e+06,1.3795e+06,0.0954
2.4601,23,7.4911e+06,6.1192e+06,1.3719e+06,0.0969
2.5637,24,7.3003e+06,5.9356e+06,1.3647e+06,0.0975
2.6682,25,7.1257e+06,5.7671e+06,1.3586e+06,0.0984
2.7716,26,6.9789e+06,5.6252e+06,1.3537e+06,0.0972
2.8733,27,6.8348e+06,5.4856e+06,1.3492e+06,0.0955
2.9749,28,6.6895e+06,5.3464e+06,1.3431e+06,0.0955
3.0772,29,6.5560e+06,5.2199e+06,1.3361e+06,0.0960
3.1795,30,6.4404e+06,5.1115e+06,1.3289e+06,0.0961
3.2815,31,6.3230e+06,5.0024e+06,1.3206e+06,0.0959
3.3835,32,6.1931e+06,4.8811e+06,1.3120e+06,0.0959
3.4853,33,6.0629e+06,4.7590e+06,1.3039e+06,0.0956
3.5868,34,5.9494e+06,4.6532e+06,1.2962e+06,0.0954
3.6890,35,5.8498e+06,4.5604e+06,1.2894e+06,0.0961
3.7909,36,5.7503e+06,4.4665e+06,1.2837e+06,0.0958
3.8930,37,5.6522e+06,4.3729e+06,1.2794e+06,0.0960
3.9956,38,5.5612e+06,4.2861e+06,1.2751e+06,0.0962
4.0989,39,5.4755e+06,4.2051e+06,1.2704e+06,0.0966
4.2019,40,5.3883e+06,4.1235e+06,1.2648e+06,0.0966
4.3042,41,5.2974e+06,4.0391e+06,1.2583e+06,0.0960
4.4064,42,5.2066e+06,3.9555e+06,1.2511e+06,0.0961
