run_time,iteration,loss,style_loss,content_loss,time
0.1308,0,8.2705e+07,8.2705e+07,0.0000e+00,0.1308
0.2442,1,3.9932e+07,3.8967e+07,9.6560e+05,0.1046
0.3552,2,2.6670e+07,2.5445e+07,1.2252e+06,0.1023
0.4567,3,2.3354e+07,2.1881e+07,1.4737e+06,0.0960
0.5589,4,2.0803e+07,1.9198e+07,1.6052e+06,0.0969
0.6605,5,1.9141e+07,1.7509e+07,1.6323e+06,0.0962
0.7623,6,1.8011e+07,1.6381e+07,1.6297e+06,0.0965
0.8643,7,1.7218e+07,1.5579e+07,1.6389e+06,0.0967
0.9659,8,1.6622e+07,1.4974e+07,1.6479e+06,0.0963
1.0677,9,1.5966e+07,1.4318e+07,1.6480e+06,0.0966
1.1694,10,1.5368e+07,1.3724e+07,1.6434e+06,0.0964
1.2715,11,1.4905e+07,1.3264e+07,1.6410e+06,0.0968
1.3745,12,1.4465e+07,1.2825e+07,1.6392e+06,0.0968
1.4769,13,1.4021e+07,1.2388e+07,1.6331e+06,0.0968
1.5791,14,1.3630e+07,1.2007e+07,1.6224e+06,0.0969
1.6810,15,1.3261e+07,1.1652e+07,1.6091e+06,0.0965
1.7834,16,1.2874e+07,1.1277e+07,1.5965e+06,0.0968
1.8875,17,1.2507e+07,1.0918e+07,1.5888e+06,0.0985
1.9912,18,1.2174e+07,1.0588e+07,1.5866e+06,0.0984
2.0941,19,1.1862e+07,1.0274e+07,1.5884e+06,0.0977
2.1969,20,1.1566e+07,9.9739e+06,1.5919e+06,0.0976
2.3013,21,1.1299e+07,9.7037e+06,1.5955e+06,0.0988
2.4035,22,1.1055e+07,9.4573e+06,1.5978e+06,0.0968
2.5057,23,1.0809e+07,9.2124e+06,1.5971e+06,0.0968
2.6076,24,1.0565e+07,8.9724e+06,1.5924e+06,0.0966
2.7093,25,1.0329e+07,8.7436e+06,1.5856e+06,0.0964
2.8114,26,1.0110e+07,8.5313e+06,1.5785e+06,0.0967
2.9135,27,9.8978e+06,8.3252e+06,1.5727e+06,0.0968
3.0162,28,9.6945e+06,8.1254e+06,1.5690e+06,0.0973
3.1195,29,9.5030e+06,7.9360e+06,1.5670e+06,0.0978
3.2225,30,9.3293e+06,7.7642e+06,1.5651e+06,0.0976
3.3254,31,9.1637e+06,7.6016e+06,1.5621e+06,0.0973
3.4280,32,8.9985e+06,7.4394e+06,1.5591e+06,0.0972
3.5300,33,8.8364e+06,7.2816e+06,1.5548e+06,0.0968
3.6328,34,8.6815e+06,7.1313e+06,1.5502e+06,0.0975
3.7373,35,8.5318e+06,6.9873e+06,1.5445e+06,0.0993
3.8393,36,8.3854e+06,6.8472e+06,1.5382e+06,0.0967
3.9491,37,8.2436e+06,6.7116e+06,1.5320e+06,0.1045
4.0518,38,8.1067e+06,6.5810e+06,1.5256e+06,0.0973
4.1539,39,7.9701e+06,6.4504e+06,1.5197e+06,0.0969
4.2564,40,7.8331e+06,6.3190e+06,1.5141e+06,0.0970
4.3607,41,7.6945e+06,6.1859e+06,1.5085e+06,0.0986
4.4635,42,7.5591e+06,6.0560e+06,1.5031e+06,0.0974
4.5668,43,7.4321e+06,5.9349e+06,1.4972e+06,0.0982
4.6695,44,7.3105e+06,5.8189e+06,1.4916e+06,0.0974
4.7718,45,7.1907e+06,5.7046e+06,1.4861e+06,0.0970
4.8743,46,7.0718e+06,5.5906e+06,1.4812e+06,0.0973
4.9766,47,6.9552e+06,5.4788e+06,1.4764e+06,0.0969
5.0787,48,6.8414e+06,5.3693e+06,1.4721e+06,0.0968
5.1808,49,6.7326e+06,5.2645e+06,1.4681e+06,0.0968
5.2824,50,6.6251e+06,5.1615e+06,1.4636e+06,0.0961
5.3846,51,6.5199e+06,5.0611e+06,1.4588e+06,0.0966
5.4865,52,6.4170e+06,4.9628e+06,1.4542e+06,0.0965
5.5880,53,6.3175e+06,4.8676e+06,1.4499e+06,0.0962
5.6898,54,6.2211e+06,4.7758e+06,1.4453e+06,0.0965
5.7915,55,6.1283e+06,4.6878e+06,1.4405e+06,0.0965
5.8941,56,6.0395e+06,4.6041e+06,1.4354e+06,0.0969
5.9961,57,5.9533e+06,4.5230e+06,1.4303e+06,0.0967
6.0976,58,5.8701e+06,4.4454e+06,1.4247e+06,0.0962
6.2000,59,5.7898e+06,4.3714e+06,1.4184e+06,0.0971
6.3024,60,5.7111e+06,4.2998e+06,1.4113e+06,0.0971
6.4062,61,5.6328e+06,4.2294e+06,1.4034e+06,0.0982
6.5088,62,5.5550e+06,4.1594e+06,1.3955e+06,0.0969
6.6108,63,5.4785e+06,4.0907e+06,1.3878e+06,0.0964
6.7138,64,5.4040e+06,4.0234e+06,1.3806e+06,0.0976
6.8176,65,5.3301e+06,3.9559e+06,1.3742e+06,0.0984
6.9215,66,5.2569e+06,3.8881e+06,1.3688e+06,0.0982
