run_time,iteration,loss,style_loss,content_loss,time
0.0916,0,2.0328e+09,2.0328e+09,0.0000e+00,0.0916
0.1969,1,1.5485e+09,1.5474e+09,1.1044e+06,0.0969
0.2994,2,1.0445e+09,1.0420e+09,2.5738e+06,0.0972
0.4062,3,6.6320e+08,6.5953e+08,3.6722e+06,0.1014
0.5060,4,4.6190e+08,4.5754e+08,4.3667e+06,0.0943
0.6077,5,3.6843e+08,3.6377e+08,4.6573e+06,0.0963
0.7095,6,3.0747e+08,3.0280e+08,4.6731e+06,0.0964
0.8113,7,2.7758e+08,2.7300e+08,4.5711e+06,0.0965
0.9137,8,2.7186e+08,2.6740e+08,4.4580e+06,0.0971
1.0160,9,2.6667e+08,2.6228e+08,4.3852e+06,0.0970
1.1178,10,2.5151e+08,2.4715e+08,4.3651e+06,0.0965
1.2200,11,2.2937e+08,2.2499e+08,4.3881e+06,0.0967
1.3219,12,2.0630e+08,2.0186e+08,4.4489e+06,0.0964
1.4249,13,1.8611e+08,1.8158e+08,4.5329e+06,0.0975
1.5278,14,1.6994e+08,1.6532e+08,4.6164e+06,0.0973
1.6360,15,1.5682e+08,1.5214e+08,4.6795e+06,0.1021
1.7394,16,1.4558e+08,1.4086e+08,4.7135e+06,0.0976
1.8419,17,1.3563e+08,1.3092e+08,4.7170e+06,0.0969
1.9441,18,1.2710e+08,1.2241e+08,4.6964e+06,0.0967
2.0452,19,1.2029e+08,1.1563e+08,4.6589e+06,0.0957
2.1468,20,1.1508e+08,1.1046e+08,4.6174e+06,0.0961
2.2484,21,1.1113e+08,1.0655e+08,4.5805e+06,0.0963
2.3503,22,1.0785e+08,1.0330e+08,4.5544e+06,0.0965
2.4533,23,1.0504e+08,1.0050e+08,4.5394e+06,0.0973
2.5548,24,1.0250e+08,9.7967e+07,4.5343e+06,0.0960
2.6570,25,1.0025e+08,9.5712e+07,4.5360e+06,0.0966
2.7596,26,9.8280e+07,9.3738e+07,4.5414e+06,0.0971
2.8615,27,9.6478e+07,9.1932e+07,4.5456e+06,0.0965
2.9638,28,9.4643e+07,9.0094e+07,4.5483e+06,0.0966
3.0667,29,9.2575e+07,8.8029e+07,4.5462e+06,0.0973
3.1692,30,9.0224e+07,8.5684e+07,4.5400e+06,0.0969
3.2712,31,8.7718e+07,8.3188e+07,4.5303e+06,0.0966
3.3734,32,8.5187e+07,8.0669e+07,4.5180e+06,0.0967
3.4767,33,8.2780e+07,7.8276e+07,4.5044e+06,0.0977
3.5804,34,8.0612e+07,7.6121e+07,4.4910e+06,0.0982
3.6839,35,7.8724e+07,7.4245e+07,4.4786e+06,0.0981
