run_time,iteration,loss,style_loss,content_loss,time
0.0893,0,1.1523e+09,1.1523e+09,0.0000e+00,0.0893
0.1985,1,8.6560e+08,8.6459e+08,1.0081e+06,0.0982
0.3007,2,6.3007e+08,6.2785e+08,2.2222e+06,0.0969
0.4046,3,4.8810e+08,4.8517e+08,2.9293e+06,0.0979
0.5080,4,4.0647e+08,4.0337e+08,3.0988e+06,0.0980
0.6102,5,3.4516e+08,3.4216e+08,3.0019e+06,0.0964
0.7134,6,3.0371e+08,3.0083e+08,2.8850e+06,0.0966
0.8162,7,2.7702e+08,2.7415e+08,2.8679e+06,0.0970
0.9202,8,2.5599e+08,2.5306e+08,2.9390e+06,0.0987
1.0244,9,2.3851e+08,2.3546e+08,3.0503e+06,0.0983
1.1262,10,2.2562e+08,2.2247e+08,3.1577e+06,0.0965
1.2289,11,2.1664e+08,2.1341e+08,3.2356e+06,0.0969
1.3306,12,2.0960e+08,2.0633e+08,3.2689e+06,0.0961
1.4362,13,2.0314e+08,1.9988e+08,3.2573e+06,0.0995
1.5397,14,1.9693e+08,1.9370e+08,3.2243e+06,0.0980
1.6424,15,1.9081e+08,1.8761e+08,3.1926e+06,0.0969
1.7453,16,1.8434e+08,1.8116e+08,3.1730e+06,0.0976
1.8480,17,1.7776e+08,1.7459e+08,3.1675e+06,0.0968
1.9498,18,1.7144e+08,1.6827e+08,3.1712e+06,0.0962
2.0523,19,1.6554e+08,1.6236e+08,3.1792e+06,0.0964
2.1543,20,1.5992e+08,1.5673e+08,3.1859e+06,0.0965
2.2564,21,1.5443e+08,1.5124e+08,3.1875e+06,0.0957
2.3582,22,1.4906e+08,1.4588e+08,3.1859e+06,0.0965
2.4606,23,1.4395e+08,1.4077e+08,3.1818e+06,0.0963
2.5628,24,1.3907e+08,1.3589e+08,3.1799e+06,0.0969
2.6651,25,1.3440e+08,1.3121e+08,3.1815e+06,0.0964
2.7674,26,1.3001e+08,1.2683e+08,3.1875e+06,0.0968
2.8704,27,1.2601e+08,1.2281e+08,3.1955e+06,0.0968
2.9721,28,1.2236e+08,1.1915e+08,3.2050e+06,0.0963
3.0737,29,1.1904e+08,1.1582e+08,3.2137e+06,0.0957
3.1759,30,1.1599e+08,1.1277e+08,3.2195e+06,0.0967
3.2795,31,1.1318e+08,1.0996e+08,3.2220e+06,0.0971
3.3836,32,1.1058e+08,1.0736e+08,3.2225e+06,0.0988
3.4875,33,1.0819e+08,1.0497e+08,3.2221e+06,0.0979
3.5907,34,1.0595e+08,1.0273e+08,3.2219e+06,0.0979
3.6930,35,1.0378e+08,1.0055e+08,3.2220e+06,0.0962
3.7947,36,1.0164e+08,9.8417e+07,3.2243e+06,0.0964
3.8975,37,9.9582e+07,9.6352e+07,3.2297e+06,0.0967
4.0019,38,9.7617e+07,9.4381e+07,3.2360e+06,0.0985
4.1050,39,9.5749e+07,9.2507e+07,3.2414e+06,0.0948
4.2075,40,9.3943e+07,9.0697e+07,3.2461e+06,0.0970
4.3102,41,9.2200e+07,8.8950e+07,3.2500e+06,0.0966
4.4139,42,9.0532e+07,8.7279e+07,3.2527e+06,0.0982
4.5162,43,8.8921e+07,8.5667e+07,3.2546e+06,0.0961
4.6194,44,8.7366e+07,8.4109e+07,3.2570e+06,0.0978
4.7237,45,8.5850e+07,8.2588e+07,3.2618e+06,0.0983
4.8260,46,8.4353e+07,8.1084e+07,3.2688e+06,0.0969
4.9290,47,8.2873e+07,7.9597e+07,3.2752e+06,0.0970
5.0306,48,8.1422e+07,7.8140e+07,3.2818e+06,0.0962
5.1318,49,8.0028e+07,7.6741e+07,3.2873e+06,0.0953
5.2336,50,7.8680e+07,7.5389e+07,3.2903e+06,0.0964
5.3362,51,7.7375e+07,7.4085e+07,3.2896e+06,0.0965
5.4382,52,7.6116e+07,7.2830e+07,3.2862e+06,0.0965
5.5402,53,7.4894e+07,7.1613e+07,3.2810e+06,0.0959
5.6414,54,7.3684e+07,7.0409e+07,3.2752e+06,0.0958
5.7435,55,7.2482e+07,6.9213e+07,3.2692e+06,0.0961
5.8451,56,7.1287e+07,6.8023e+07,3.2644e+06,0.0961
5.9470,57,7.0099e+07,6.6838e+07,3.2608e+06,0.0957
6.0485,58,6.8918e+07,6.5660e+07,3.2581e+06,0.0962
6.1503,59,6.7762e+07,6.4507e+07,3.2556e+06,0.0958
6.2525,60,6.6639e+07,6.3386e+07,3.2526e+06,0.0968
6.3549,61,6.5556e+07,6.2307e+07,3.2492e+06,0.0958
6.4577,62,6.4510e+07,6.1265e+07,3.2455e+06,0.0974
6.5603,63,6.3504e+07,6.0262e+07,3.2415e+06,0.0964
6.6626,64,6.2535e+07,5.9297e+07,3.2376e+06,0.0968
6.7660,65,6.1604e+07,5.8369e+07,3.2346e+06,0.0973
6.8707,66,6.0693e+07,5.7460e+07,3.2332e+06,0.0987
6.9749,67,5.9795e+07,5.6562e+07,3.2331e+06,0.0977
7.0771,68,5.8900e+07,5.5666e+07,3.2341e+06,0.0964
7.1791,69,5.8017e+07,5.4780e+07,3.2367e+06,0.0958
7.2810,70,5.7154e+07,5.3914e+07,3.2401e+06,0.0965
7.3839,71,5.6315e+07,5.3071e+07,3.2435e+06,0.0966
7.4856,72,5.5490e+07,5.2244e+07,3.2463e+06,0.0960
7.5876,73,5.4691e+07,5.1442e+07,3.2482e+06,0.0958
7.6893,74,5.3899e+07,5.0651e+07,3.2482e+06,0.0962
7.7917,75,5.3121e+07,4.9875e+07,3.2468e+06,0.0962
7.8934,76,5.2366e+07,4.9121e+07,3.2450e+06,0.0962
7.9956,77,5.1623e+07,4.8380e+07,3.2436e+06,0.0960
8.0972,78,5.0890e+07,4.7646e+07,3.2433e+06,0.0961
8.1999,79,5.0164e+07,4.6920e+07,3.2442e+06,0.0964
8.3030,80,4.9459e+07,4.6213e+07,3.2458e+06,0.0977
8.4065,81,4.8779e+07,4.5531e+07,3.2477e+06,0.0973
8.5100,82,4.8116e+07,4.4866e+07,3.2505e+06,0.0981
8.6144,83,4.7471e+07,4.4218e+07,3.2534e+06,0.0977
8.7170,84,4.6845e+07,4.3590e+07,3.2557e+06,0.0970
8.8199,85,4.6244e+07,4.2986e+07,3.2579e+06,0.0966
8.9219,86,4.5656e+07,4.2396e+07,3.2600e+06,0.0966
9.0245,87,4.5082e+07,4.1820e+07,3.2622e+06,0.0966
9.1268,88,4.4517e+07,4.1253e+07,3.2640e+06,0.0969
9.2294,89,4.3953e+07,4.0687e+07,3.2661e+06,0.0965
9.3311,90,4.3391e+07,4.0122e+07,3.2683e+06,0.0964
9.4333,91,4.2829e+07,3.9558e+07,3.2705e+06,0.0961
9.5368,92,4.2274e+07,3.9002e+07,3.2726e+06,0.0979
9.6406,93,4.1731e+07,3.8457e+07,3.2744e+06,0.0967
9.7433,94,4.1199e+07,3.7924e+07,3.2753e+06,0.0972
9.8463,95,4.0683e+07,3.7408e+07,3.2753e+06,0.0968
9.9487,96,4.0181e+07,3.6906e+07,3.2749e+06,0.0969
10.0516,97,3.9696e+07,3.6422e+07,3.2739e+06,0.0968
10.1548,98,3.9222e+07,3.5949e+07,3.2727e+06,0.0979
10.2585,99,3.8756e+07,3.5484e+07,3.2718e+06,0.0974
10.3604,100,3.8300e+07,3.5028e+07,3.2717e+06,0.0966
10.4657,101,3.7845e+07,3.4573e+07,3.2721e+06,0.0960
10.5682,102,3.7390e+07,3.4117e+07,3.2733e+06,0.0972
10.6708,103,3.6940e+07,3.3665e+07,3.2746e+06,0.0962
10.7728,104,3.6496e+07,3.3220e+07,3.2756e+06,0.0966
10.8762,105,3.6058e+07,3.2782e+07,3.2764e+06,0.0967
10.9802,106,3.5628e+07,3.2351e+07,3.2767e+06,0.0981
11.0836,107,3.5206e+07,3.1930e+07,3.2765e+06,0.0973
11.1861,108,3.4792e+07,3.1516e+07,3.2763e+06,0.0972
11.2895,109,3.4384e+07,3.1108e+07,3.2761e+06,0.0974
11.3927,110,3.3981e+07,3.0705e+07,3.2762e+06,0.0978
11.4953,111,3.3584e+07,3.0308e+07,3.2762e+06,0.0965
11.5983,112,3.3195e+07,2.9919e+07,3.2765e+06,0.0960
11.7005,113,3.2813e+07,2.9537e+07,3.2766e+06,0.0962
11.8021,114,3.2436e+07,2.9160e+07,3.2766e+06,0.0962
11.9046,115,3.2063e+07,2.8787e+07,3.2766e+06,0.0964
12.0064,116,3.1697e+07,2.8421e+07,3.2761e+06,0.0964
12.1085,117,3.1341e+07,2.8065e+07,3.2753e+06,0.0960
12.2101,118,3.0990e+07,2.7717e+07,3.2739e+06,0.0960
12.3117,119,3.0647e+07,2.7375e+07,3.2718e+06,0.0955
12.4137,120,3.0310e+07,2.7041e+07,3.2691e+06,0.0966
12.5160,121,2.9980e+07,2.6714e+07,3.2660e+06,0.0960
12.6176,122,2.9655e+07,2.6392e+07,3.2631e+06,0.0961
12.7202,123,2.9334e+07,2.6073e+07,3.2601e+06,0.0962
12.8220,124,2.9014e+07,2.5756e+07,3.2577e+06,0.0963
12.9248,125,2.8696e+07,2.5440e+07,3.2560e+06,0.0964
13.0270,126,2.8382e+07,2.5128e+07,3.2547e+06,0.0967
13.1298,127,2.8074e+07,2.4821e+07,3.2534e+06,0.0966
13.2315,128,2.7772e+07,2.4520e+07,3.2518e+06,0.0963
13.3356,129,2.7477e+07,2.4227e+07,3.2498e+06,0.0977
13.4393,130,2.7189e+07,2.3941e+07,3.2474e+06,0.0981
13.5432,131,2.6904e+07,2.3659e+07,3.2449e+06,0.0979
13.6456,132,2.6623e+07,2.3380e+07,3.2429e+06,0.0969
13.7475,133,2.6347e+07,2.3106e+07,3.2410e+06,0.0959
13.8488,134,2.6075e+07,2.2836e+07,3.2394e+06,0.0959
13.9508,135,2.5808e+07,2.2570e+07,3.2381e+06,0.0960
14.0521,136,2.5544e+07,2.2307e+07,3.2371e+06,0.0960
14.1552,137,2.5284e+07,2.2048e+07,3.2362e+06,0.0969
14.2570,138,2.5028e+07,2.1792e+07,3.2353e+06,0.0958
14.3593,139,2.4774e+07,2.1540e+07,3.2344e+06,0.0960
14.4613,140,2.4526e+07,2.1292e+07,3.2332e+06,0.0964
14.5637,141,2.4280e+07,2.1048e+07,3.2318e+06,0.0958
14.6660,142,2.4038e+07,2.0808e+07,3.2304e+06,0.0968
14.7700,143,2.3797e+07,2.0568e+07,3.2292e+06,0.0974
14.8730,144,2.3560e+07,2.0332e+07,3.2279e+06,0.0973
14.9759,145,2.3325e+07,2.0098e+07,3.2271e+06,0.0963
15.0786,146,2.3091e+07,1.9865e+07,3.2267e+06,0.0967
15.1841,147,2.2863e+07,1.9636e+07,3.2266e+06,0.0993
15.2877,148,2.2637e+07,1.9411e+07,3.2263e+06,0.0969
15.3904,149,2.2417e+07,1.9191e+07,3.2261e+06,0.0964
15.4932,150,2.2202e+07,1.8977e+07,3.2256e+06,0.0973
15.5972,151,2.1992e+07,1.8767e+07,3.2251e+06,0.0974
15.6997,152,2.1785e+07,1.8561e+07,3.2243e+06,0.0967
15.8029,153,2.1582e+07,1.8359e+07,3.2233e+06,0.0965
15.9051,154,2.1381e+07,1.8159e+07,3.2221e+06,0.0966
16.0089,155,2.1182e+07,1.7962e+07,3.2209e+06,0.0976
16.1111,156,2.0984e+07,1.7765e+07,3.2194e+06,0.0965
16.2141,157,2.0789e+07,1.7571e+07,3.2177e+06,0.0968
16.3181,158,2.0596e+07,1.7380e+07,3.2161e+06,0.0984
16.4223,159,2.0408e+07,1.7193e+07,3.2143e+06,0.0975
16.5243,160,2.0222e+07,1.7010e+07,3.2124e+06,0.0965
16.6280,161,2.0041e+07,1.6831e+07,3.2106e+06,0.0972
16.7302,162,1.9864e+07,1.6656e+07,3.2085e+06,0.0963
16.8331,163,1.9690e+07,1.6484e+07,3.2064e+06,0.0968
16.9349,164,1.9520e+07,1.6316e+07,3.2042e+06,0.0959
17.0379,165,1.9353e+07,1.6151e+07,3.2022e+06,0.0964
17.1406,166,1.9186e+07,1.5986e+07,3.2002e+06,0.0968
17.2437,167,1.9020e+07,1.5822e+07,3.1982e+06,0.0969
17.3460,168,1.8855e+07,1.5659e+07,3.1961e+06,0.0968
17.4497,169,1.8693e+07,1.5499e+07,3.1940e+06,0.0968
17.5550,170,1.8533e+07,1.5341e+07,3.1920e+06,0.0999
17.6604,171,1.8378e+07,1.5187e+07,3.1901e+06,0.0954
17.7632,172,1.8226e+07,1.5038e+07,3.1882e+06,0.0971
17.8651,173,1.8077e+07,1.4891e+07,3.1861e+06,0.0957
17.9669,174,1.7931e+07,1.4747e+07,3.1841e+06,0.0964
18.0688,175,1.7787e+07,1.4605e+07,3.1820e+06,0.0958
18.1707,176,1.7645e+07,1.4465e+07,3.1797e+06,0.0964
18.2729,177,1.7504e+07,1.4326e+07,3.1772e+06,0.0961
18.3743,178,1.7364e+07,1.4189e+07,3.1746e+06,0.0960
18.4766,179,1.7225e+07,1.4053e+07,3.1719e+06,0.0960
18.5812,180,1.7088e+07,1.3919e+07,3.1693e+06,0.0990
18.6847,181,1.6952e+07,1.3785e+07,3.1669e+06,0.0971
18.7873,182,1.6817e+07,1.3653e+07,3.1647e+06,0.0969
18.8913,183,1.6685e+07,1.3522e+07,3.1626e+06,0.0980
18.9944,184,1.6554e+07,1.3393e+07,3.1605e+06,0.0978
19.0978,185,1.6424e+07,1.3265e+07,3.1586e+06,0.0974
19.1996,186,1.6296e+07,1.3140e+07,3.1568e+06,0.0966
19.3018,187,1.6171e+07,1.3016e+07,3.1551e+06,0.0962
19.4035,188,1.6047e+07,1.2893e+07,3.1536e+06,0.0963
19.5062,189,1.5923e+07,1.2771e+07,3.1522e+06,0.0963
19.6104,190,1.5802e+07,1.2651e+07,3.1509e+06,0.0989
19.7127,191,1.5681e+07,1.2532e+07,3.1494e+06,0.0961
19.8152,192,1.5563e+07,1.2415e+07,3.1478e+06,0.0969
19.9181,193,1.5447e+07,1.2302e+07,3.1458e+06,0.0965
20.0200,194,1.5334e+07,1.2190e+07,3.1437e+06,0.0965
20.1225,195,1.5221e+07,1.2080e+07,3.1415e+06,0.0963
20.2245,196,1.5111e+07,1.1971e+07,3.1391e+06,0.0967
20.3267,197,1.5001e+07,1.1864e+07,3.1369e+06,0.0963
20.4296,198,1.4893e+07,1.1758e+07,3.1350e+06,0.0975
20.5336,199,1.4785e+07,1.1652e+07,3.1330e+06,0.0974
20.6375,200,1.4678e+07,1.1547e+07,3.1311e+06,0.0983
20.7418,201,1.4571e+07,1.1442e+07,3.1288e+06,0.0955
20.8434,202,1.4465e+07,1.1339e+07,3.1261e+06,0.0962
20.9457,203,1.4360e+07,1.1236e+07,3.1231e+06,0.0963
21.0479,204,1.4256e+07,1.1136e+07,3.1199e+06,0.0968
21.1497,205,1.4153e+07,1.1036e+07,3.1169e+06,0.0957
21.2513,206,1.4051e+07,1.0938e+07,3.1136e+06,0.0962
21.3537,207,1.3951e+07,1.0840e+07,3.1105e+06,0.0962
21.4558,208,1.3851e+07,1.0744e+07,3.1077e+06,0.0968
21.5581,209,1.3754e+07,1.0649e+07,3.1049e+06,0.0962
21.6612,210,1.3658e+07,1.0557e+07,3.1018e+06,0.0976
21.7639,211,1.3565e+07,1.0466e+07,3.0987e+06,0.0966
21.8650,212,1.3473e+07,1.0377e+07,3.0954e+06,0.0957
21.9687,213,1.3382e+07,1.0290e+07,3.0920e+06,0.0977
22.0711,214,1.3291e+07,1.0203e+07,3.0884e+06,0.0969
22.1749,215,1.3201e+07,1.0116e+07,3.0850e+06,0.0977
22.2778,216,1.3111e+07,1.0029e+07,3.0815e+06,0.0975
22.3810,217,1.3021e+07,9.9426e+06,3.0782e+06,0.0971
22.4833,218,1.2932e+07,9.8574e+06,3.0750e+06,0.0970
22.5853,219,1.2845e+07,9.7737e+06,3.0717e+06,0.0960
22.6887,220,1.2760e+07,9.6919e+06,3.0685e+06,0.0978
22.7900,221,1.2677e+07,9.6116e+06,3.0651e+06,0.0952
22.8925,222,1.2594e+07,9.5323e+06,3.0620e+06,0.0972
22.9949,223,1.2513e+07,9.4542e+06,3.0587e+06,0.0961
23.0977,224,1.2433e+07,9.3772e+06,3.0555e+06,0.0974
23.2009,225,1.2353e+07,9.3007e+06,3.0525e+06,0.0970
23.3029,226,1.2274e+07,9.2248e+06,3.0494e+06,0.0965
23.4053,227,1.2196e+07,9.1496e+06,3.0462e+06,0.0963
23.5074,228,1.2118e+07,9.0750e+06,3.0431e+06,0.0966
23.6105,229,1.2041e+07,9.0012e+06,3.0400e+06,0.0970
23.7145,230,1.1965e+07,8.9280e+06,3.0367e+06,0.0986
23.8184,231,1.1889e+07,8.8553e+06,3.0332e+06,0.0978
23.9209,232,1.1813e+07,8.7831e+06,3.0296e+06,0.0971
24.0230,233,1.1738e+07,8.7116e+06,3.0260e+06,0.0961
24.1245,234,1.1663e+07,8.6409e+06,3.0226e+06,0.0962
24.2264,235,1.1590e+07,8.5710e+06,3.0193e+06,0.0959
24.3281,236,1.1518e+07,8.5022e+06,3.0161e+06,0.0962
24.4307,237,1.1448e+07,8.4345e+06,3.0131e+06,0.0966
24.5317,238,1.1378e+07,8.3678e+06,3.0100e+06,0.0956
24.6348,239,1.1309e+07,8.3023e+06,3.0068e+06,0.0971
24.7370,240,1.1241e+07,8.2376e+06,3.0036e+06,0.0945
24.8395,241,1.1174e+07,8.1738e+06,3.0004e+06,0.0964
24.9413,242,1.1108e+07,8.1110e+06,2.9972e+06,0.0965
