run_time,iteration,loss,style_loss,content_loss,time
0.0926,0,1.0929e+09,1.0929e+09,0.0000e+00,0.0926
0.1972,1,7.6011e+08,7.5909e+08,1.0121e+06,0.0962
0.2987,2,4.9531e+08,4.9283e+08,2.4783e+06,0.0952
0.4007,3,3.7774e+08,3.7421e+08,3.5309e+06,0.0957
0.5062,4,3.2315e+08,3.1934e+08,3.8112e+06,0.0993
0.6114,5,2.6743e+08,2.6380e+08,3.6298e+06,0.0948
0.7148,6,2.3384e+08,2.3044e+08,3.3984e+06,0.0966
0.8181,7,2.1734e+08,2.1403e+08,3.3032e+06,0.0967
0.9223,8,2.0299e+08,1.9966e+08,3.3323e+06,0.0979
1.0258,9,1.8697e+08,1.8353e+08,3.4364e+06,0.0973
1.1279,10,1.7141e+08,1.6785e+08,3.5636e+06,0.0958
1.2307,11,1.5799e+08,1.5431e+08,3.6793e+06,0.0965
1.3324,12,1.4635e+08,1.4260e+08,3.7576e+06,0.0952
1.4345,13,1.3581e+08,1.3203e+08,3.7842e+06,0.0959
1.5364,14,1.2624e+08,1.2247e+08,3.7650e+06,0.0958
1.6390,15,1.1782e+08,1.1410e+08,3.7217e+06,0.0965
1.7407,16,1.1037e+08,1.0670e+08,3.6740e+06,0.0953
1.8430,17,1.0353e+08,9.9892e+07,3.6357e+06,0.0958
1.9448,18,9.6953e+07,9.3335e+07,3.6179e+06,0.0953
2.0467,19,9.0783e+07,8.7164e+07,3.6198e+06,0.0956
2.1489,20,8.5415e+07,8.1780e+07,3.6354e+06,0.0960
2.2509,21,8.1102e+07,7.7444e+07,3.6582e+06,0.0958
2.3530,22,7.7810e+07,7.4126e+07,3.6839e+06,0.0959
2.4551,23,7.5222e+07,7.1518e+07,3.7041e+06,0.0957
2.5575,24,7.2986e+07,6.9270e+07,3.7163e+06,0.0959
2.6601,25,7.0854e+07,6.7132e+07,3.7218e+06,0.0962
2.7627,26,6.8751e+07,6.5030e+07,3.7215e+06,0.0963
2.8678,27,6.6720e+07,6.3000e+07,3.7196e+06,0.0967
