run_time,iteration,loss,style_loss,content_loss,time
0.5267,0,1.9342e+08,1.9342e+08,0.0000e+00,0.5267
0.6312,1,1.0232e+08,1.0139e+08,9.2873e+05,0.0940
0.7352,2,6.6212e+07,6.4615e+07,1.5969e+06,0.0963
0.8395,3,4.9544e+07,4.7835e+07,1.7085e+06,0.0970
0.9460,4,4.6903e+07,4.5121e+07,1.7826e+06,0.0992
1.0523,5,4.4633e+07,4.2730e+07,1.9029e+06,0.0990
1.1575,6,3.9559e+07,3.7532e+07,2.0265e+06,0.0978
1.2607,7,3.4460e+07,3.2335e+07,2.1250e+06,0.0963
1.3636,8,3.0409e+07,2.8235e+07,2.1743e+06,0.0964
1.4665,9,2.7137e+07,2.4955e+07,2.1817e+06,0.0964
1.5691,10,2.4393e+07,2.2221e+07,2.1720e+06,0.0961
1.6712,11,2.2226e+07,2.0061e+07,2.1653e+06,0.0956
1.7742,12,2.0663e+07,1.8489e+07,2.1739e+06,0.0962
1.8775,13,1.9626e+07,1.7431e+07,2.1945e+06,0.0962
1.9818,14,1.8926e+07,1.6709e+07,2.2174e+06,0.0974
2.0855,15,1.8313e+07,1.6074e+07,2.2394e+06,0.0972
2.1895,16,1.7658e+07,1.5401e+07,2.2566e+06,0.0975
2.2928,17,1.7036e+07,1.4766e+07,2.2700e+06,0.0967
2.3960,18,1.6541e+07,1.4262e+07,2.2800e+06,0.0966
2.4988,19,1.6131e+07,1.3846e+07,2.2851e+06,0.0962
2.6017,20,1.5720e+07,1.3434e+07,2.2859e+06,0.0962
2.7089,21,1.5265e+07,1.2980e+07,2.2847e+06,0.1007
2.8129,22,1.4797e+07,1.2515e+07,2.2817e+06,0.0973
2.9215,23,1.4354e+07,1.2076e+07,2.2777e+06,0.1015
3.0249,24,1.3935e+07,1.1665e+07,2.2708e+06,0.0969
3.1275,25,1.3533e+07,1.1271e+07,2.2620e+06,0.0960
3.2298,26,1.3171e+07,1.0918e+07,2.2525e+06,0.0957
3.3316,27,1.2865e+07,1.0620e+07,2.2449e+06,0.0953
3.4340,28,1.2612e+07,1.0372e+07,2.2394e+06,0.0957
3.5371,29,1.2391e+07,1.0154e+07,2.2365e+06,0.0960
3.6412,30,1.2181e+07,9.9446e+06,2.2361e+06,0.0972
3.7478,31,1.1970e+07,9.7337e+06,2.2367e+06,0.0976
3.8518,32,1.1757e+07,9.5190e+06,2.2378e+06,0.0970
3.9563,33,1.1541e+07,9.3035e+06,2.2372e+06,0.0979
4.0594,34,1.1323e+07,9.0887e+06,2.2343e+06,0.0963
4.1628,35,1.1110e+07,8.8816e+06,2.2287e+06,0.0968
4.2656,36,1.0915e+07,8.6954e+06,2.2200e+06,0.0958
4.3678,37,1.0745e+07,8.5364e+06,2.2086e+06,0.0956
4.4705,38,1.0599e+07,8.4033e+06,2.1961e+06,0.0963
4.5737,39,1.0460e+07,8.2761e+06,2.1841e+06,0.0964
4.6785,40,1.0307e+07,8.1338e+06,2.1728e+06,0.0980
4.7822,41,1.0129e+07,7.9667e+06,2.1627e+06,0.0968
4.8873,42,9.9407e+06,7.7870e+06,2.1537e+06,0.0985
4.9903,43,9.7569e+06,7.6111e+06,2.1458e+06,0.0965
5.0929,44,9.5884e+06,7.4499e+06,2.1385e+06,0.0959
5.1955,45,9.4359e+06,7.3051e+06,2.1308e+06,0.0960
5.2985,46,9.2934e+06,7.1713e+06,2.1221e+06,0.0962
5.4015,47,9.1557e+06,7.0433e+06,2.1124e+06,0.0963
5.5053,48,9.0205e+06,6.9178e+06,2.1027e+06,0.0971
5.6089,49,8.8896e+06,6.7967e+06,2.0929e+06,0.0967
5.7123,50,8.7615e+06,6.6783e+06,2.0832e+06,0.0969
5.8157,51,8.6378e+06,6.5631e+06,2.0746e+06,0.0966
5.9210,52,8.5193e+06,6.4520e+06,2.0672e+06,0.0984
6.0243,53,8.4078e+06,6.3469e+06,2.0609e+06,0.0967
6.1268,54,8.3035e+06,6.2483e+06,2.0552e+06,0.0960
6.2307,55,8.2044e+06,6.1542e+06,2.0502e+06,0.0965
6.3337,56,8.1076e+06,6.0626e+06,2.0450e+06,0.0963
6.4361,57,8.0112e+06,5.9716e+06,2.0396e+06,0.0959
6.5390,58,7.9155e+06,5.8818e+06,2.0337e+06,0.0961
6.6428,59,7.8225e+06,5.7955e+06,2.0270e+06,0.0968
6.7491,60,7.7330e+06,5.7134e+06,2.0196e+06,0.0996
6.8533,61,7.6454e+06,5.6338e+06,2.0116e+06,0.0973
6.9571,62,7.5544e+06,5.5511e+06,2.0033e+06,0.0969
7.0606,63,7.4572e+06,5.4621e+06,1.9951e+06,0.0966
7.1633,64,7.3558e+06,5.3688e+06,1.9869e+06,0.0959
7.2661,65,7.2536e+06,5.2748e+06,1.9789e+06,0.0961
7.3683,66,7.1539e+06,5.1831e+06,1.9708e+06,0.0957
7.4710,67,7.0577e+06,5.0947e+06,1.9630e+06,0.0960
7.5744,68,6.9634e+06,5.0083e+06,1.9550e+06,0.0966
7.6781,69,6.8689e+06,4.9222e+06,1.9468e+06,0.0968
7.7827,70,6.7767e+06,4.8384e+06,1.9383e+06,0.0978
7.8883,71,6.6891e+06,4.7592e+06,1.9299e+06,0.0983
7.9907,72,6.6084e+06,4.6865e+06,1.9219e+06,0.0955
8.0933,73,6.5349e+06,4.6204e+06,1.9145e+06,0.0960
8.1961,74,6.4672e+06,4.5597e+06,1.9076e+06,0.0959
8.2989,75,6.4043e+06,4.5029e+06,1.9013e+06,0.0957
