run_time,iteration,loss,style_loss,content_loss,time
0.0927,0,3.9971e+08,3.9971e+08,0.0000e+00,0.0927
0.1977,1,2.6565e+08,2.6457e+08,1.0796e+06,0.0964
0.2995,2,1.6948e+08,1.6759e+08,1.8947e+06,0.0965
0.4007,3,1.0258e+08,1.0031e+08,2.2666e+06,0.0959
0.5021,4,6.6492e+07,6.4053e+07,2.4392e+06,0.0961
0.6035,5,5.7918e+07,5.5380e+07,2.5377e+06,0.0962
0.7049,6,5.8057e+07,5.5466e+07,2.5915e+06,0.0962
0.8052,7,5.6181e+07,5.3552e+07,2.6289e+06,0.0995
0.9075,8,5.0974e+07,4.8311e+07,2.6623e+06,0.0970
1.0089,9,4.4499e+07,4.1810e+07,2.6892e+06,0.0962
1.1105,10,3.9438e+07,3.6727e+07,2.7112e+06,0.0963
1.2114,11,3.6492e+07,3.3759e+07,2.7334e+06,0.0955
1.3127,12,3.4690e+07,3.1935e+07,2.7558e+06,0.0960
1.4142,13,3.3076e+07,3.0299e+07,2.7777e+06,0.0963
1.5166,14,3.1436e+07,2.8637e+07,2.7997e+06,0.0969
1.6175,15,2.9944e+07,2.7124e+07,2.8203e+06,0.0956
1.7190,16,2.8722e+07,2.5883e+07,2.8393e+06,0.0962
1.8205,17,2.7716e+07,2.4864e+07,2.8523e+06,0.0960
1.9218,18,2.6829e+07,2.3967e+07,2.8625e+06,0.0959
2.0239,19,2.6033e+07,2.3165e+07,2.8687e+06,0.0967
2.1247,20,2.5359e+07,2.2487e+07,2.8719e+06,0.0955
2.2265,21,2.4806e+07,2.1934e+07,2.8717e+06,0.0965
2.3279,22,2.4274e+07,2.1408e+07,2.8663e+06,0.0961
2.4298,23,2.3636e+07,2.0779e+07,2.8572e+06,0.0967
2.5306,24,2.2862e+07,2.0015e+07,2.8464e+06,0.0954
2.6323,25,2.1997e+07,1.9162e+07,2.8355e+06,0.0964
2.7340,26,2.1126e+07,1.8301e+07,2.8247e+06,0.0963
2.8354,27,2.0312e+07,1.7496e+07,2.8164e+06,0.0962
2.9366,28,1.9586e+07,1.6775e+07,2.8103e+06,0.0958
3.0385,29,1.8938e+07,1.6130e+07,2.8075e+06,0.0965
3.1395,30,1.8363e+07,1.5555e+07,2.8082e+06,0.0957
3.2409,31,1.7853e+07,1.5043e+07,2.8102e+06,0.0961
3.3423,32,1.7407e+07,1.4594e+07,2.8131e+06,0.0961
3.4438,33,1.7018e+07,1.4202e+07,2.8164e+06,0.0962
3.5449,34,1.6681e+07,1.3862e+07,2.8199e+06,0.0952
3.6459,35,1.6398e+07,1.3576e+07,2.8221e+06,0.0957
3.7469,36,1.6166e+07,1.3342e+07,2.8235e+06,0.0957
3.8489,37,1.5976e+07,1.3153e+07,2.8230e+06,0.0967
3.9502,38,1.5811e+07,1.2991e+07,2.8201e+06,0.0959
4.0512,39,1.5644e+07,1.2829e+07,2.8149e+06,0.0958
4.1524,40,1.5455e+07,1.2647e+07,2.8085e+06,0.0958
4.2535,41,1.5233e+07,1.2431e+07,2.8019e+06,0.0957
4.3554,42,1.4980e+07,1.2184e+07,2.7954e+06,0.0965
4.4573,43,1.4708e+07,1.1918e+07,2.7897e+06,0.0967
4.5585,44,1.4441e+07,1.1656e+07,2.7848e+06,0.0958
4.6598,45,1.4189e+07,1.1408e+07,2.7808e+06,0.0961
4.7616,46,1.3941e+07,1.1164e+07,2.7773e+06,0.0966
4.8686,47,1.3686e+07,1.0912e+07,2.7741e+06,0.1018
4.9709,48,1.3412e+07,1.0641e+07,2.7705e+06,0.0968
5.0727,49,1.3118e+07,1.0351e+07,2.7668e+06,0.0962
5.1739,50,1.2816e+07,1.0054e+07,2.7628e+06,0.0958
5.2758,51,1.2526e+07,9.7680e+06,2.7581e+06,0.0966
5.3783,52,1.2264e+07,9.5115e+06,2.7526e+06,0.0972
5.4811,53,1.2039e+07,9.2927e+06,2.7466e+06,0.0974
5.5839,54,1.1847e+07,9.1073e+06,2.7397e+06,0.0970
5.6872,55,1.1679e+07,8.9462e+06,2.7328e+06,0.0981
5.7906,56,1.1522e+07,8.7963e+06,2.7257e+06,0.0980
5.8924,57,1.1368e+07,8.6493e+06,2.7191e+06,0.0965
5.9937,58,1.1216e+07,8.5023e+06,2.7133e+06,0.0960
6.0956,59,1.1067e+07,8.3586e+06,2.7085e+06,0.0965
6.1960,60,1.0921e+07,8.2174e+06,2.7040e+06,0.0950
6.2972,61,1.0779e+07,8.0790e+06,2.6996e+06,0.0959
6.4024,62,1.0633e+07,7.9388e+06,2.6945e+06,0.0999
6.5031,63,1.0483e+07,7.7952e+06,2.6881e+06,0.0956
6.6043,64,1.0326e+07,7.6458e+06,2.6805e+06,0.0959
6.7052,65,1.0162e+07,7.4904e+06,2.6720e+06,0.0957
6.8059,66,9.9952e+06,7.3320e+06,2.6632e+06,0.0955
6.9073,67,9.8268e+06,7.1725e+06,2.6542e+06,0.0961
7.0085,68,9.6631e+06,7.0176e+06,2.6456e+06,0.0958
7.1140,69,9.5089e+06,6.8711e+06,2.6378e+06,0.1002
7.2157,70,9.3671e+06,6.7361e+06,2.6310e+06,0.0960
7.3179,71,9.2383e+06,6.6134e+06,2.6249e+06,0.0966
7.4214,72,9.1226e+06,6.5034e+06,2.6192e+06,0.0981
7.5238,73,9.0151e+06,6.4013e+06,2.6137e+06,0.0969
7.6261,74,8.9088e+06,6.3008e+06,2.6081e+06,0.0968
7.7280,75,8.7978e+06,6.1960e+06,2.6018e+06,0.0967
7.8309,76,8.6807e+06,6.0856e+06,2.5951e+06,0.0975
7.9339,77,8.5599e+06,5.9722e+06,2.5876e+06,0.0978
8.0368,78,8.4417e+06,5.8620e+06,2.5797e+06,0.0976
8.1392,79,8.3330e+06,5.7618e+06,2.5712e+06,0.0971
8.2412,80,8.2354e+06,5.6729e+06,2.5626e+06,0.0966
8.3430,81,8.1434e+06,5.5895e+06,2.5539e+06,0.0965
8.4440,82,8.0509e+06,5.5056e+06,2.5453e+06,0.0956
8.5454,83,7.9523e+06,5.4153e+06,2.5370e+06,0.0961
8.6473,84,7.8467e+06,5.3172e+06,2.5295e+06,0.0966
8.7482,85,7.7385e+06,5.2159e+06,2.5227e+06,0.0956
8.8490,86,7.6340e+06,5.1180e+06,2.5160e+06,0.0955
8.9505,87,7.5389e+06,5.0296e+06,2.5093e+06,0.0960
9.0517,88,7.4541e+06,4.9518e+06,2.5024e+06,0.0958
9.1532,89,7.3755e+06,4.8801e+06,2.4954e+06,0.0962
9.2550,90,7.2966e+06,4.8085e+06,2.4881e+06,0.0965
9.3565,91,7.2124e+06,4.7318e+06,2.4805e+06,0.0961
9.4586,92,7.1217e+06,4.6487e+06,2.4731e+06,0.0967
9.5602,93,7.0276e+06,4.5618e+06,2.4658e+06,0.0961
9.6616,94,6.9352e+06,4.4764e+06,2.4588e+06,0.0961
9.7647,95,6.8490e+06,4.3971e+06,2.4519e+06,0.0978
9.8664,96,6.7716e+06,4.3263e+06,2.4453e+06,0.0949
9.9679,97,6.7024e+06,4.2634e+06,2.4390e+06,0.0962
10.0687,98,6.6392e+06,4.2065e+06,2.4327e+06,0.0955
10.1704,99,6.5792e+06,4.1529e+06,2.4262e+06,0.0959
10.2719,100,6.5192e+06,4.0999e+06,2.4193e+06,0.0961
10.3813,101,6.4584e+06,4.0465e+06,2.4119e+06,0.1011
10.4848,102,6.3969e+06,3.9929e+06,2.4040e+06,0.0970
10.5882,103,6.3352e+06,3.9397e+06,2.3955e+06,0.0981
10.6906,104,6.2737e+06,3.8870e+06,2.3867e+06,0.0970
10.7943,105,6.2140e+06,3.8363e+06,2.3778e+06,0.0985
10.8948,106,6.1551e+06,3.7861e+06,2.3690e+06,0.0951
10.9967,107,6.0964e+06,3.7356e+06,2.3608e+06,0.0966
11.0978,108,6.0366e+06,3.6836e+06,2.3531e+06,0.0957
11.1994,109,5.9751e+06,3.6291e+06,2.3460e+06,0.0963
11.3004,110,5.9113e+06,3.5720e+06,2.3394e+06,0.0957
11.4020,111,5.8462e+06,3.5130e+06,2.3332e+06,0.0963
11.5038,112,5.7825e+06,3.4552e+06,2.3274e+06,0.0965
11.6077,113,5.7228e+06,3.4011e+06,2.3218e+06,0.0973
11.7115,114,5.6685e+06,3.3523e+06,2.3162e+06,0.0973
11.8154,115,5.6196e+06,3.3092e+06,2.3104e+06,0.0977
11.9187,116,5.5743e+06,3.2697e+06,2.3045e+06,0.0973
