run_time,iteration,loss,style_loss,content_loss,time
0.1510,0,3.9932e+09,3.9932e+09,0.0000e+00,0.1510
0.2863,1,3.8386e+09,3.8378e+09,8.1899e+05,0.1231
0.4114,2,3.5195e+09,3.5176e+09,1.8802e+06,0.1185
0.5361,3,3.1690e+09,3.1664e+09,2.6458e+06,0.1182
0.6601,4,2.8347e+09,2.8316e+09,3.1622e+06,0.1175
0.7839,5,2.5357e+09,2.5322e+09,3.5336e+06,0.1172
0.9082,6,2.2835e+09,2.2797e+09,3.8132e+06,0.1177
1.0360,7,2.0811e+09,2.0771e+09,4.0274e+06,0.1211
1.1614,8,1.9196e+09,1.9154e+09,4.1880e+06,0.1189
1.2855,9,1.7866e+09,1.7823e+09,4.3019e+06,0.1174
1.4093,10,1.6707e+09,1.6663e+09,4.3765e+06,0.1171
1.5325,11,1.5648e+09,1.5604e+09,4.4176e+06,0.1165
1.6562,12,1.4667e+09,1.4623e+09,4.4325e+06,0.1171
1.7812,13,1.3766e+09,1.3721e+09,4.4351e+06,0.1184
1.9087,14,1.2949e+09,1.2904e+09,4.4343e+06,0.1205
2.0340,15,1.2211e+09,1.2166e+09,4.4369e+06,0.1185
2.1583,16,1.1545e+09,1.1500e+09,4.4461e+06,0.1175
2.2817,17,1.0941e+09,1.0897e+09,4.4598e+06,0.1166
2.4064,18,1.0389e+09,1.0345e+09,4.4787e+06,0.1179
2.5315,19,9.8912e+08,9.8462e+08,4.5049e+06,0.1182
2.6597,20,9.4425e+08,9.3971e+08,4.5369e+06,0.1214
2.7851,21,9.0354e+08,8.9897e+08,4.5711e+06,0.1187
2.9093,22,8.6631e+08,8.6170e+08,4.6063e+06,0.1175
3.0332,23,8.3230e+08,8.2765e+08,4.6443e+06,0.1169
3.1575,24,8.0104e+08,7.9636e+08,4.6814e+06,0.1175
3.2830,25,7.7223e+08,7.6751e+08,4.7149e+06,0.1184
3.4110,26,7.4550e+08,7.4075e+08,4.7462e+06,0.1208
3.5358,27,7.2059e+08,7.1581e+08,4.7749e+06,0.1180
3.6598,28,6.9749e+08,6.9269e+08,4.7994e+06,0.1170
3.7831,29,6.7600e+08,6.7118e+08,4.8195e+06,0.1165
3.9065,30,6.5591e+08,6.5107e+08,4.8364e+06,0.1165
4.0322,31,6.3710e+08,6.3225e+08,4.8536e+06,0.1188
4.1613,32,6.1938e+08,6.1451e+08,4.8710e+06,0.1218
4.2867,33,6.0257e+08,5.9768e+08,4.8880e+06,0.1185
4.4105,34,5.8652e+08,5.8162e+08,4.9055e+06,0.1169
4.5345,35,5.7123e+08,5.6631e+08,4.9234e+06,0.1171
4.6595,36,5.5671e+08,5.5177e+08,4.9425e+06,0.1182
4.7896,37,5.4288e+08,5.3792e+08,4.9618e+06,0.1230
4.9139,38,5.2963e+08,5.2465e+08,4.9816e+06,0.1174
5.0387,39,5.1693e+08,5.1193e+08,5.0012e+06,0.1179
5.1625,40,5.0478e+08,4.9976e+08,5.0209e+06,0.1169
5.2862,41,4.9322e+08,4.8818e+08,5.0411e+06,0.1168
5.4119,42,4.8226e+08,4.7720e+08,5.0615e+06,0.1187
5.5400,43,4.7179e+08,4.6671e+08,5.0804e+06,0.1209
5.6643,44,4.6178e+08,4.5668e+08,5.0967e+06,0.1173
5.7883,45,4.5218e+08,4.4707e+08,5.1106e+06,0.1171
5.9118,46,4.4296e+08,4.3784e+08,5.1223e+06,0.1166
6.0364,47,4.3414e+08,4.2901e+08,5.1326e+06,0.1178
6.1627,48,4.2561e+08,4.2046e+08,5.1423e+06,0.1194
6.2903,49,4.1744e+08,4.1228e+08,5.1510e+06,0.1205
6.4153,50,4.0959e+08,4.0443e+08,5.1598e+06,0.1180
6.5392,51,4.0203e+08,3.9687e+08,5.1680e+06,0.1168
6.6638,52,3.9475e+08,3.8957e+08,5.1761e+06,0.1174
6.7893,53,3.8771e+08,3.8252e+08,5.1840e+06,0.1186
6.9195,54,3.8093e+08,3.7574e+08,5.1925e+06,0.1229
7.0437,55,3.7444e+08,3.6924e+08,5.1997e+06,0.1172
7.1677,56,3.6819e+08,3.6299e+08,5.2062e+06,0.1170
7.2924,57,3.6218e+08,3.5696e+08,5.2130e+06,0.1176
7.4174,58,3.5638e+08,3.5116e+08,5.2205e+06,0.1181
7.5468,59,3.5082e+08,3.4559e+08,5.2282e+06,0.1222
7.6721,60,3.4546e+08,3.4023e+08,5.2356e+06,0.1184
7.7965,61,3.4029e+08,3.3505e+08,5.2425e+06,0.1172
7.9209,62,3.3529e+08,3.3004e+08,5.2488e+06,0.1174
8.0492,63,3.3046e+08,3.2520e+08,5.2551e+06,0.1210
8.1759,64,3.2581e+08,3.2055e+08,5.2611e+06,0.1198
8.3001,65,3.2136e+08,3.1609e+08,5.2666e+06,0.1167
8.4232,66,3.1703e+08,3.1176e+08,5.2720e+06,0.1162
8.5473,67,3.1284e+08,3.0757e+08,5.2773e+06,0.1171
8.6715,68,3.0878e+08,3.0350e+08,5.2826e+06,0.1173
8.7993,69,3.0482e+08,2.9954e+08,5.2882e+06,0.1206
8.9258,70,3.0096e+08,2.9567e+08,5.2938e+06,0.1193
9.0506,71,2.9717e+08,2.9187e+08,5.2996e+06,0.1178
9.1737,72,2.9345e+08,2.8815e+08,5.3051e+06,0.1162
9.3005,73,2.8981e+08,2.8450e+08,5.3103e+06,0.1168
9.4283,74,2.8623e+08,2.8092e+08,5.3152e+06,0.1206
9.5558,75,2.8272e+08,2.7740e+08,5.3191e+06,0.1205
9.6805,76,2.7925e+08,2.7393e+08,5.3230e+06,0.1177
9.8040,77,2.7586e+08,2.7053e+08,5.3270e+06,0.1166
9.9282,78,2.7255e+08,2.6722e+08,5.3308e+06,0.1172
10.0543,79,2.6930e+08,2.6396e+08,5.3345e+06,0.1191
10.1825,80,2.6610e+08,2.6077e+08,5.3374e+06,0.1212
10.3087,81,2.6297e+08,2.5763e+08,5.3398e+06,0.1165
10.4323,82,2.5990e+08,2.5456e+08,5.3425e+06,0.1164
10.5573,83,2.5690e+08,2.5156e+08,5.3456e+06,0.1179
10.6846,84,2.5398e+08,2.4863e+08,5.3488e+06,0.1200
10.8121,85,2.5111e+08,2.4576e+08,5.3521e+06,0.1201
10.9363,86,2.4831e+08,2.4296e+08,5.3560e+06,0.1172
11.0605,87,2.4556e+08,2.4020e+08,5.3600e+06,0.1171
11.1848,88,2.4286e+08,2.3750e+08,5.3633e+06,0.1173
11.3113,89,2.4019e+08,2.3482e+08,5.3667e+06,0.1195
11.4405,90,2.3757e+08,2.3220e+08,5.3703e+06,0.1219
11.5650,91,2.3499e+08,2.2961e+08,5.3737e+06,0.1172
11.6894,92,2.3245e+08,2.2707e+08,5.3771e+06,0.1173
11.8134,93,2.2996e+08,2.2458e+08,5.3805e+06,0.1170
11.9400,94,2.2750e+08,2.2211e+08,5.3842e+06,0.1195
12.0715,95,2.2507e+08,2.1968e+08,5.3877e+06,0.1241
12.1950,96,2.2268e+08,2.1729e+08,5.3911e+06,0.1164
12.3190,97,2.2033e+08,2.1493e+08,5.3943e+06,0.1170
12.4435,98,2.1800e+08,2.1260e+08,5.3973e+06,0.1173
12.5713,99,2.1570e+08,2.1030e+08,5.4006e+06,0.1206
12.6980,100,2.1343e+08,2.0803e+08,5.4038e+06,0.1195
12.8250,101,2.1119e+08,2.0578e+08,5.4073e+06,0.1157
12.9495,102,2.0898e+08,2.0356e+08,5.4109e+06,0.1175
13.0782,103,2.0679e+08,2.0137e+08,5.4146e+06,0.1217
13.2054,104,2.0463e+08,1.9921e+08,5.4186e+06,0.1202
13.3332,105,2.0250e+08,1.9708e+08,5.4229e+06,0.1203
13.4588,106,2.0040e+08,1.9497e+08,5.4276e+06,0.1183
13.5859,107,1.9833e+08,1.9290e+08,5.4322e+06,0.1200
13.7136,108,1.9629e+08,1.9086e+08,5.4368e+06,0.1206
13.8375,109,1.9428e+08,1.8884e+08,5.4412e+06,0.1168
13.9612,110,1.9230e+08,1.8685e+08,5.4458e+06,0.1167
14.0875,111,1.9035e+08,1.8490e+08,5.4504e+06,0.1192
14.2176,112,1.8842e+08,1.8297e+08,5.4550e+06,0.1229
14.3427,113,1.8652e+08,1.8106e+08,5.4595e+06,0.1181
