run_time,iteration,loss,style_loss,content_loss,time
0.1356,0,6.1204e+08,6.1204e+08,0.0000e+00,0.1356
0.2813,1,4.8334e+08,4.8217e+08,1.1660e+06,0.1365
0.4077,2,3.0679e+08,3.0426e+08,2.5312e+06,0.1194
0.5365,3,1.9789e+08,1.9480e+08,3.0962e+06,0.1213
0.6623,4,1.5441e+08,1.5128e+08,3.1234e+06,0.1172
0.7864,5,1.3577e+08,1.3277e+08,2.9954e+06,0.1171
0.9116,6,1.3289e+08,1.2999e+08,2.8939e+06,0.1185
1.0394,7,1.2704e+08,1.2418e+08,2.8579e+06,0.1211
1.1655,8,1.1528e+08,1.1240e+08,2.8748e+06,0.1195
1.2894,9,1.0335e+08,1.0042e+08,2.9239e+06,0.1173
1.4136,10,9.4048e+07,9.1060e+07,2.9883e+06,0.1177
1.5380,11,8.6771e+07,8.3720e+07,3.0507e+06,0.1178
1.6661,12,8.0463e+07,7.7368e+07,3.0951e+06,0.1211
1.7926,13,7.4680e+07,7.1563e+07,3.1171e+06,0.1197
1.9165,14,6.9394e+07,6.6275e+07,3.1195e+06,0.1173
2.0407,15,6.4610e+07,6.1505e+07,3.1048e+06,0.1175
2.1649,16,6.0394e+07,5.7311e+07,3.0823e+06,0.1176
2.2905,17,5.6696e+07,5.3638e+07,3.0576e+06,0.1189
2.4189,18,5.3448e+07,5.0412e+07,3.0361e+06,0.1217
2.5437,19,5.0603e+07,4.7583e+07,3.0195e+06,0.1181
2.6674,20,4.8013e+07,4.5006e+07,3.0065e+06,0.1169
2.7916,21,4.5612e+07,4.2616e+07,2.9963e+06,0.1175
2.9158,22,4.3385e+07,4.0398e+07,2.9876e+06,0.1176
3.0434,23,4.1347e+07,3.8365e+07,2.9820e+06,0.1209
3.1704,24,3.9549e+07,3.6571e+07,2.9781e+06,0.1202
3.2945,25,3.8027e+07,3.5052e+07,2.9756e+06,0.1174
3.4181,26,3.6747e+07,3.3774e+07,2.9724e+06,0.1170
3.5419,27,3.5649e+07,3.2681e+07,2.9684e+06,0.1171
3.6675,28,3.4646e+07,3.1682e+07,2.9642e+06,0.1187
3.7962,29,3.3686e+07,3.0727e+07,2.9589e+06,0.1218
3.9214,30,3.2773e+07,2.9821e+07,2.9519e+06,0.1184
4.0457,31,3.1926e+07,2.8983e+07,2.9430e+06,0.1176
4.1698,32,3.1176e+07,2.8243e+07,2.9331e+06,0.1174
4.2951,33,3.0528e+07,2.7605e+07,2.9226e+06,0.1185
4.4260,34,2.9968e+07,2.7057e+07,2.9112e+06,0.1239
4.5502,35,2.9478e+07,2.6578e+07,2.8997e+06,0.1174
4.6738,36,2.9032e+07,2.6143e+07,2.8893e+06,0.1167
4.7984,37,2.8610e+07,2.5731e+07,2.8795e+06,0.1179
4.9243,38,2.8199e+07,2.5328e+07,2.8712e+06,0.1190
5.0535,39,2.7793e+07,2.4927e+07,2.8655e+06,0.1223
5.1782,40,2.7392e+07,2.4530e+07,2.8624e+06,0.1181
