run_time,iteration,loss,style_loss,content_loss,time
0.1510,0,1.3020e+09,1.3020e+09,0.0000e+00,0.1510
0.2793,1,1.0141e+09,1.0130e+09,1.1754e+06,0.1176
0.4064,2,6.7546e+08,6.7282e+08,2.6361e+06,0.1196
0.5378,3,4.3095e+08,4.2734e+08,3.6056e+06,0.1187
0.6636,4,2.9266e+08,2.8852e+08,4.1429e+06,0.1188
0.7870,5,2.2438e+08,2.2010e+08,4.2827e+06,0.1166
0.9105,6,1.8987e+08,1.8568e+08,4.1886e+06,0.1167
1.0341,7,1.7065e+08,1.6661e+08,4.0369e+06,0.1168
1.1585,8,1.6014e+08,1.5621e+08,3.9233e+06,0.1178
1.2848,9,1.5227e+08,1.4841e+08,3.8531e+06,0.1194
1.4115,10,1.4261e+08,1.3878e+08,3.8272e+06,0.1198
1.5362,11,1.3112e+08,1.2729e+08,3.8290e+06,0.1180
1.6604,12,1.2030e+08,1.1646e+08,3.8420e+06,0.1175
1.7841,13,1.1204e+08,1.0819e+08,3.8557e+06,0.1169
1.9077,14,1.0591e+08,1.0205e+08,3.8613e+06,0.1169
2.0336,15,1.0027e+08,9.6422e+07,3.8506e+06,0.1191
2.1620,16,9.3925e+07,9.0101e+07,3.8239e+06,0.1211
2.2866,17,8.6898e+07,8.3110e+07,3.7878e+06,0.1178
2.4102,18,7.9884e+07,7.6132e+07,3.7513e+06,0.1169
2.5340,19,7.3413e+07,6.9694e+07,3.7189e+06,0.1170
2.6580,20,6.7817e+07,6.4120e+07,3.6970e+06,0.1172
2.7844,21,6.3004e+07,5.9316e+07,3.6884e+06,0.1194
2.9123,22,5.8898e+07,5.5206e+07,3.6922e+06,0.1211
3.0490,23,5.5416e+07,5.1709e+07,3.7071e+06,0.1155
3.1759,24,5.2523e+07,4.8792e+07,3.7307e+06,0.1197
3.3020,25,5.0158e+07,4.6398e+07,3.7592e+06,0.1191
3.4257,26,4.8203e+07,4.4417e+07,3.7866e+06,0.1170
3.5505,27,4.6507e+07,4.2697e+07,3.8097e+06,0.1180
3.6763,28,4.4922e+07,4.1094e+07,3.8272e+06,0.1190
3.8043,29,4.3347e+07,3.9508e+07,3.8395e+06,0.1210
3.9326,30,4.1785e+07,3.7938e+07,3.8470e+06,0.1215
4.0615,31,4.0296e+07,3.6444e+07,3.8521e+06,0.1159
4.1904,32,3.8948e+07,3.5093e+07,3.8558e+06,0.1218
4.3155,33,3.7778e+07,3.3919e+07,3.8588e+06,0.1183
4.4400,34,3.6779e+07,3.2916e+07,3.8628e+06,0.1175
4.5643,35,3.5917e+07,3.2049e+07,3.8676e+06,0.1174
4.6914,36,3.5138e+07,3.1264e+07,3.8737e+06,0.1201
4.8190,37,3.4420e+07,3.0539e+07,3.8811e+06,0.1206
4.9445,38,3.3765e+07,2.9877e+07,3.8879e+06,0.1187
5.0688,39,3.3180e+07,2.9288e+07,3.8918e+06,0.1175
5.1945,40,3.2663e+07,2.8770e+07,3.8932e+06,0.1188
5.3242,41,3.2194e+07,2.8303e+07,3.8908e+06,0.1226
5.4509,42,3.1759e+07,2.7874e+07,3.8843e+06,0.1164
5.5752,43,3.1338e+07,2.7465e+07,3.8737e+06,0.1175
5.7013,44,3.0917e+07,2.7058e+07,3.8597e+06,0.1192
5.8300,45,3.0485e+07,2.6642e+07,3.8430e+06,0.1216
5.9547,46,3.0044e+07,2.6218e+07,3.8256e+06,0.1178
6.0863,47,2.9594e+07,2.5785e+07,3.8088e+06,0.1248
6.3082,48,2.9138e+07,2.5345e+07,3.7932e+06,0.1140
6.4359,49,2.8676e+07,2.4896e+07,3.7800e+06,0.1204
6.5636,50,2.8221e+07,2.4452e+07,3.7685e+06,0.1208
6.6878,51,2.7772e+07,2.4013e+07,3.7587e+06,0.1174
6.8129,52,2.7329e+07,2.3579e+07,3.7503e+06,0.1183
6.9408,53,2.6893e+07,2.3151e+07,3.7424e+06,0.1209
7.0684,54,2.6465e+07,2.2731e+07,3.7341e+06,0.1202
7.1973,55,2.6054e+07,2.2328e+07,3.7257e+06,0.1221
7.3256,56,2.5658e+07,2.1941e+07,3.7172e+06,0.1213
7.4508,57,2.5287e+07,2.1579e+07,3.7085e+06,0.1183
7.5763,58,2.4944e+07,2.1244e+07,3.7000e+06,0.1187
7.7009,59,2.4623e+07,2.0931e+07,3.6919e+06,0.1176
7.8263,60,2.4310e+07,2.0626e+07,3.6842e+06,0.1186
7.9544,61,2.3990e+07,2.0313e+07,3.6779e+06,0.1211
8.0810,62,2.3654e+07,1.9981e+07,3.6733e+06,0.1197
8.2052,63,2.3301e+07,1.9631e+07,3.6703e+06,0.1172
8.3299,64,2.2937e+07,1.9269e+07,3.6684e+06,0.1178
8.4578,65,2.2578e+07,1.8910e+07,3.6673e+06,0.1210
8.5883,66,2.2243e+07,1.8575e+07,3.6676e+06,0.1236
8.7125,67,2.1941e+07,1.8272e+07,3.6685e+06,0.1174
8.8379,68,2.1672e+07,1.8003e+07,3.6692e+06,0.1183
8.9671,69,2.1431e+07,1.7762e+07,3.6694e+06,0.1221
9.0936,70,2.1209e+07,1.7540e+07,3.6692e+06,0.1196
9.2182,71,2.1001e+07,1.7333e+07,3.6683e+06,0.1177
9.3429,72,2.0800e+07,1.7134e+07,3.6669e+06,0.1176
9.4706,73,2.0605e+07,1.6940e+07,3.6645e+06,0.1206
9.6021,74,2.0417e+07,1.6756e+07,3.6614e+06,0.1246
