run_time,iteration,loss,style_loss,content_loss,time
0.1353,0,4.5602e+07,4.5602e+07,0.0000e+00,0.1353
0.2696,1,1.9933e+07,1.8723e+07,1.2104e+06,0.1229
0.3965,2,1.7406e+07,1.5888e+07,1.5183e+06,0.1203
0.5272,3,1.7009e+07,1.5612e+07,1.3962e+06,0.1238
0.6528,4,1.4552e+07,1.3052e+07,1.4993e+06,0.1163
0.7773,5,1.2808e+07,1.1316e+07,1.4921e+06,0.1173
0.9025,6,1.1490e+07,1.0071e+07,1.4185e+06,0.1183
1.0300,7,1.0228e+07,8.8337e+06,1.3938e+06,0.1209
1.1562,8,9.0985e+06,7.6787e+06,1.4198e+06,0.1196
1.2806,9,8.6972e+06,7.2469e+06,1.4503e+06,0.1171
1.4040,10,8.3817e+06,6.9422e+06,1.4395e+06,0.1167
1.5286,11,8.0651e+06,6.6647e+06,1.4004e+06,0.1180
1.6559,12,7.8593e+06,6.4868e+06,1.3725e+06,0.1204
1.7833,13,7.5547e+06,6.1871e+06,1.3677e+06,0.1200
1.9068,14,7.2802e+06,5.9072e+06,1.3731e+06,0.1169
2.0298,15,7.0710e+06,5.7004e+06,1.3706e+06,0.1163
2.1536,16,6.8364e+06,5.4804e+06,1.3560e+06,0.1173
2.2784,17,6.6447e+06,5.3085e+06,1.3362e+06,0.1180
2.4058,18,6.5176e+06,5.1956e+06,1.3219e+06,0.1201
2.5346,19,6.3515e+06,5.0356e+06,1.3160e+06,0.1206
2.6587,20,6.1724e+06,4.8560e+06,1.3163e+06,0.1172
2.7828,21,6.0421e+06,4.7260e+06,1.3161e+06,0.1172
2.9067,22,5.9130e+06,4.6040e+06,1.3089e+06,0.1172
3.0328,23,5.7595e+06,4.4652e+06,1.2943e+06,0.1196
3.1611,24,5.6237e+06,4.3456e+06,1.2781e+06,0.1218
3.2853,25,5.5108e+06,4.2440e+06,1.2669e+06,0.1178
3.4084,26,5.3862e+06,4.1245e+06,1.2617e+06,0.1165
3.5315,27,5.2609e+06,4.0004e+06,1.2606e+06,0.1167
3.6549,28,5.1536e+06,3.8947e+06,1.2589e+06,0.1170
3.7786,29,5.0467e+06,3.7935e+06,1.2532e+06,0.1170
3.9062,30,4.9311e+06,3.6889e+06,1.2422e+06,0.1205
4.0327,31,4.8350e+06,3.6060e+06,1.2289e+06,0.1195
4.1565,32,4.7661e+06,3.5495e+06,1.2166e+06,0.1173
4.2800,33,4.6944e+06,3.4866e+06,1.2078e+06,0.1170
4.4049,34,4.6012e+06,3.3994e+06,1.2017e+06,0.1184
4.5304,35,4.5098e+06,3.3126e+06,1.1972e+06,0.1189
4.6588,36,4.4334e+06,3.2417e+06,1.1916e+06,0.1216
4.7833,37,4.3572e+06,3.1740e+06,1.1833e+06,0.1181
4.9076,38,4.2721e+06,3.1012e+06,1.1710e+06,0.1176
5.0310,39,4.1928e+06,3.0365e+06,1.1563e+06,0.1170
5.1551,40,4.1306e+06,2.9887e+06,1.1419e+06,0.1176
5.2802,41,4.0714e+06,2.9416e+06,1.1297e+06,0.1187
5.4082,42,4.0011e+06,2.8804e+06,1.1207e+06,0.1216
5.5332,43,3.9281e+06,2.8138e+06,1.1144e+06,0.1185
5.6572,44,3.8677e+06,2.7579e+06,1.1098e+06,0.1176
5.7805,45,3.8191e+06,2.7137e+06,1.1054e+06,0.1168
5.9046,46,3.7712e+06,2.6717e+06,1.0995e+06,0.1176
