run_time,iteration,loss,style_loss,content_loss,time
0.2499,0,5.1906e+07,5.1906e+07,0.0000e+00,0.2499
0.4032,1,2.7037e+07,2.5943e+07,1.0940e+06,0.1425
0.5263,2,2.1502e+07,1.9883e+07,1.6189e+06,0.1164
0.6495,3,2.0668e+07,1.9257e+07,1.4111e+06,0.1168
0.7723,4,1.9038e+07,1.7369e+07,1.6695e+06,0.1163
0.8977,5,1.7820e+07,1.6083e+07,1.7368e+06,0.1190
1.0248,6,1.6725e+07,1.5030e+07,1.6956e+06,0.1202
1.1490,7,1.5173e+07,1.3493e+07,1.6805e+06,0.1179
1.2740,8,1.4175e+07,1.2472e+07,1.7034e+06,0.1187
1.3965,9,1.3538e+07,1.1828e+07,1.7102e+06,0.1161
1.5194,10,1.2779e+07,1.1090e+07,1.6892e+06,0.1166
1.6424,11,1.2509e+07,1.0837e+07,1.6728e+06,0.1166
1.7650,12,1.2134e+07,1.0469e+07,1.6648e+06,0.1162
1.8883,13,1.1635e+07,9.9803e+06,1.6551e+06,0.1170
2.0121,14,1.1356e+07,9.7070e+06,1.6493e+06,0.1172
2.1383,15,1.1054e+07,9.4127e+06,1.6414e+06,0.1197
2.2643,16,1.0757e+07,9.1217e+06,1.6352e+06,0.1192
2.3888,17,1.0548e+07,8.9140e+06,1.6340e+06,0.1180
2.5124,18,1.0282e+07,8.6494e+06,1.6326e+06,0.1173
2.6345,19,1.0009e+07,8.3806e+06,1.6280e+06,0.1157
2.7575,20,9.8080e+06,8.1900e+06,1.6180e+06,0.1167
2.8831,21,9.6098e+06,8.0072e+06,1.6025e+06,0.1192
3.0107,22,9.4239e+06,7.8370e+06,1.5868e+06,0.1186
3.1364,23,9.2812e+06,7.7048e+06,1.5763e+06,0.1189
3.2607,24,9.1055e+06,7.5321e+06,1.5735e+06,0.1178
3.3835,25,8.8923e+06,7.3160e+06,1.5763e+06,0.1164
3.5065,26,8.7177e+06,7.1383e+06,1.5794e+06,0.1167
3.6293,27,8.5592e+06,6.9817e+06,1.5775e+06,0.1164
3.7527,28,8.3772e+06,6.8088e+06,1.5683e+06,0.1170
3.8762,29,8.2096e+06,6.6545e+06,1.5551e+06,0.1173
4.0023,30,8.0774e+06,6.5354e+06,1.5420e+06,0.1193
4.1285,31,7.9388e+06,6.4082e+06,1.5306e+06,0.1196
4.2537,32,7.7856e+06,6.2626e+06,1.5229e+06,0.1187
4.3765,33,7.6491e+06,6.1319e+06,1.5173e+06,0.1165
4.5000,34,7.5263e+06,6.0145e+06,1.5118e+06,0.1171
4.6234,35,7.3967e+06,5.8915e+06,1.5052e+06,0.1171
4.7469,36,7.2712e+06,5.7747e+06,1.4965e+06,0.1170
4.8730,37,7.1588e+06,5.6723e+06,1.4865e+06,0.1198
4.9997,38,7.0456e+06,5.5692e+06,1.4764e+06,0.1202
5.1236,39,6.9268e+06,5.4595e+06,1.4673e+06,0.1175
5.2474,40,6.8145e+06,5.3544e+06,1.4601e+06,0.1175
5.3771,41,6.7083e+06,5.2530e+06,1.4553e+06,0.1233
5.5050,42,6.6021e+06,5.1500e+06,1.4521e+06,0.1213
5.6300,43,6.5022e+06,5.0530e+06,1.4492e+06,0.1186
5.7538,44,6.4128e+06,4.9671e+06,1.4457e+06,0.1172
5.8771,45,6.3210e+06,4.8798e+06,1.4412e+06,0.1170
6.0019,46,6.2186e+06,4.7826e+06,1.4360e+06,0.1184
