run_time,iteration,loss,style_loss,content_loss,time
0.1495,0,2.0905e+09,2.0905e+09,0.0000e+00,0.1495
0.3038,1,1.6942e+09,1.6928e+09,1.3566e+06,0.1436
0.4304,2,1.1288e+09,1.1258e+09,2.9970e+06,0.1187
0.5556,3,6.7369e+08,6.6975e+08,3.9413e+06,0.1178
0.6820,4,3.9749e+08,3.9290e+08,4.5910e+06,0.1194
0.8094,5,2.5713e+08,2.5207e+08,5.0585e+06,0.1200
0.9353,6,2.0516e+08,1.9986e+08,5.3048e+06,0.1188
1.0584,7,2.1833e+08,2.1297e+08,5.3629e+06,0.1165
1.1789,8,2.4088e+08,2.3553e+08,5.3550e+06,0.1197
1.3003,9,2.3751e+08,2.3216e+08,5.3462e+06,0.1207
1.4220,10,2.1751e+08,2.1216e+08,5.3440e+06,0.1209
1.5436,11,1.9700e+08,1.9167e+08,5.3334e+06,0.1207
1.6674,12,1.8137e+08,1.7604e+08,5.3289e+06,0.1164
1.7922,13,1.6791e+08,1.6258e+08,5.3352e+06,0.1176
1.9177,14,1.5414e+08,1.4878e+08,5.3553e+06,0.1189
2.0447,15,1.3997e+08,1.3458e+08,5.3864e+06,0.1199
2.1698,16,1.2642e+08,1.2099e+08,5.4281e+06,0.1184
2.2940,17,1.1448e+08,1.0901e+08,5.4706e+06,0.1175
2.4179,18,1.0454e+08,9.9034e+07,5.5083e+06,0.1169
2.5424,19,9.6659e+07,9.1126e+07,5.5324e+06,0.1175
2.6691,20,9.0706e+07,8.5164e+07,5.5421e+06,0.1200
2.7959,21,8.6379e+07,8.0844e+07,5.5349e+06,0.1199
2.9200,22,8.3310e+07,7.7799e+07,5.5106e+06,0.1172
3.0438,23,8.1044e+07,7.5570e+07,5.4747e+06,0.1167
3.1674,24,7.9164e+07,7.3735e+07,5.4291e+06,0.1169
3.2911,25,7.7277e+07,7.1900e+07,5.3771e+06,0.1170
3.4165,26,7.5223e+07,6.9899e+07,5.3246e+06,0.1186
3.5450,27,7.2980e+07,6.7704e+07,5.2757e+06,0.1213
3.6695,28,7.0578e+07,6.5347e+07,5.2307e+06,0.1177
3.7931,29,6.8033e+07,6.2840e+07,5.1926e+06,0.1169
3.9166,30,6.5380e+07,6.0214e+07,5.1654e+06,0.1168
4.0414,31,6.2687e+07,5.7538e+07,5.1493e+06,0.1177
4.1677,32,6.0033e+07,5.4890e+07,5.1433e+06,0.1196
4.2955,33,5.7597e+07,5.2450e+07,5.1469e+06,0.1209
4.4215,34,5.5487e+07,5.0328e+07,5.1588e+06,0.1190
4.5451,35,5.3791e+07,4.8615e+07,5.1758e+06,0.1167
4.6684,36,5.2564e+07,4.7370e+07,5.1945e+06,0.1166
4.7927,37,5.1789e+07,4.6576e+07,5.2129e+06,0.1175
4.9222,38,5.1363e+07,4.6133e+07,5.2300e+06,0.1226
5.0482,39,5.1132e+07,4.5891e+07,5.2416e+06,0.1192
5.1729,40,5.0951e+07,4.5706e+07,5.2458e+06,0.1178
5.2969,41,5.0709e+07,4.5466e+07,5.2428e+06,0.1173
5.4221,42,5.0339e+07,4.5106e+07,5.2327e+06,0.1181
5.5513,43,4.9833e+07,4.4617e+07,5.2162e+06,0.1222
5.6765,44,4.9228e+07,4.4033e+07,5.1947e+06,0.1183
5.8009,45,4.8544e+07,4.3374e+07,5.1698e+06,0.1175
5.9253,46,4.7811e+07,4.2666e+07,5.1446e+06,0.1175
6.0499,47,4.7035e+07,4.1915e+07,5.1199e+06,0.1178
6.1812,48,4.6218e+07,4.1120e+07,5.0973e+06,0.1243
6.3107,49,4.5374e+07,4.0296e+07,5.0775e+06,0.1227
6.4368,50,4.4497e+07,3.9435e+07,5.0616e+06,0.1192
6.5648,51,4.3591e+07,3.8542e+07,5.0498e+06,0.1205
6.6909,52,4.2689e+07,3.7648e+07,5.0417e+06,0.1194
6.8150,53,4.1802e+07,3.6765e+07,5.0373e+06,0.1172
6.9397,54,4.0947e+07,3.5911e+07,5.0355e+06,0.1176
7.0668,55,4.0140e+07,3.5105e+07,5.0349e+06,0.1198
7.1949,56,3.9399e+07,3.4365e+07,5.0347e+06,0.1213
7.3184,57,3.8711e+07,3.3677e+07,5.0341e+06,0.1164
7.4432,58,3.8066e+07,3.3034e+07,5.0323e+06,0.1178
7.5682,59,3.7461e+07,3.2433e+07,5.0286e+06,0.1181
7.6980,60,3.6901e+07,3.1878e+07,5.0222e+06,0.1228
7.8247,61,3.6381e+07,3.1368e+07,5.0133e+06,0.1197
7.9499,62,3.5910e+07,3.0909e+07,5.0016e+06,0.1184
8.0744,63,3.5479e+07,3.0490e+07,4.9885e+06,0.1176
8.2044,64,3.5080e+07,3.0105e+07,4.9743e+06,0.1226
8.3298,65,3.4701e+07,2.9742e+07,4.9597e+06,0.1179
8.4537,66,3.4331e+07,2.9386e+07,4.9454e+06,0.1170
8.5783,67,3.3959e+07,2.9028e+07,4.9315e+06,0.1173
8.7058,68,3.3578e+07,2.8659e+07,4.9189e+06,0.1203
8.8344,69,3.3186e+07,2.8278e+07,4.9074e+06,0.1217
8.9587,70,3.2791e+07,2.7894e+07,4.8964e+06,0.1174
9.0833,71,3.2399e+07,2.7513e+07,4.8858e+06,0.1175
9.2094,72,3.2028e+07,2.7152e+07,4.8753e+06,0.1193
9.3417,73,3.1684e+07,2.6819e+07,4.8651e+06,0.1251
9.4661,74,3.1366e+07,2.6511e+07,4.8545e+06,0.1175
9.5905,75,3.1069e+07,2.6225e+07,4.8436e+06,0.1175
9.7162,76,3.0785e+07,2.5952e+07,4.8324e+06,0.1190
9.8479,77,3.0505e+07,2.5685e+07,4.8206e+06,0.1245
9.9720,78,3.0231e+07,2.5423e+07,4.8077e+06,0.1173
10.0958,79,2.9959e+07,2.5165e+07,4.7941e+06,0.1170
10.2260,80,2.9691e+07,2.4911e+07,4.7801e+06,0.1231
10.3542,81,2.9436e+07,2.4670e+07,4.7664e+06,0.1210
10.4796,82,2.9190e+07,2.4437e+07,4.7531e+06,0.1183
10.6046,83,2.8949e+07,2.4208e+07,4.7408e+06,0.1181
10.7304,84,2.8707e+07,2.3977e+07,4.7299e+06,0.1189
10.8615,85,2.8454e+07,2.3734e+07,4.7201e+06,0.1240
10.9854,86,2.8186e+07,2.3475e+07,4.7115e+06,0.1170
11.1096,87,2.7901e+07,2.3197e+07,4.7042e+06,0.1174
11.2435,88,2.7596e+07,2.2898e+07,4.6981e+06,0.1272
11.3696,89,2.7279e+07,2.2586e+07,4.6928e+06,0.1192
11.4935,90,2.6959e+07,2.2271e+07,4.6882e+06,0.1171
11.6176,91,2.6642e+07,2.1959e+07,4.6839e+06,0.1172
11.7458,92,2.6336e+07,2.1656e+07,4.6797e+06,0.1211
11.8741,93,2.6046e+07,2.1370e+07,4.6754e+06,0.1210
12.0028,94,2.5772e+07,2.1101e+07,4.6706e+06,0.1219
12.1300,95,2.5514e+07,2.0849e+07,4.6652e+06,0.1200
12.2586,96,2.5269e+07,2.0610e+07,4.6589e+06,0.1216
12.3833,97,2.5031e+07,2.0379e+07,4.6518e+06,0.1179
12.5070,98,2.4796e+07,2.0152e+07,4.6439e+06,0.1168
12.6313,99,2.4563e+07,1.9928e+07,4.6354e+06,0.1175
12.7615,100,2.4331e+07,1.9705e+07,4.6260e+06,0.1229
12.8895,101,2.4102e+07,1.9486e+07,4.6161e+06,0.1185
13.0135,102,2.3877e+07,1.9271e+07,4.6061e+06,0.1169
13.1385,103,2.3655e+07,1.9059e+07,4.5961e+06,0.1181
13.2675,104,2.3435e+07,1.8849e+07,4.5865e+06,0.1221
13.3948,105,2.3216e+07,1.8639e+07,4.5773e+06,0.1205
13.5192,106,2.2997e+07,1.8428e+07,4.5688e+06,0.1176
13.6437,107,2.2780e+07,1.8219e+07,4.5612e+06,0.1175
13.7703,108,2.2565e+07,1.8010e+07,4.5542e+06,0.1198
13.8998,109,2.2352e+07,1.7805e+07,4.5477e+06,0.1226
14.0250,110,2.2148e+07,1.7606e+07,4.5416e+06,0.1184
14.1494,111,2.1953e+07,1.7418e+07,4.5356e+06,0.1176
14.2744,112,2.1771e+07,1.7241e+07,4.5298e+06,0.1182
14.4052,113,2.1599e+07,1.7076e+07,4.5239e+06,0.1240
14.5309,114,2.1438e+07,1.6921e+07,4.5177e+06,0.1190
14.6543,115,2.1282e+07,1.6771e+07,4.5110e+06,0.1165
14.7792,116,2.1130e+07,1.6626e+07,4.5040e+06,0.1180
14.9085,117,2.0980e+07,1.6483e+07,4.4967e+06,0.1224
15.0360,118,2.0831e+07,1.6342e+07,4.4890e+06,0.1202
15.1606,119,2.0686e+07,1.6205e+07,4.4811e+06,0.1180
15.2858,120,2.0543e+07,1.6070e+07,4.4733e+06,0.1185
15.4130,121,2.0402e+07,1.5936e+07,4.4657e+06,0.1204
15.5422,122,2.0261e+07,1.5803e+07,4.4584e+06,0.1220
15.6662,123,2.0120e+07,1.5668e+07,4.4519e+06,0.1173
15.7915,124,1.9974e+07,1.5528e+07,4.4461e+06,0.1184
15.9250,125,1.9823e+07,1.5382e+07,4.4409e+06,0.1182
16.0514,126,1.9664e+07,1.5228e+07,4.4365e+06,0.1197
16.1757,127,1.9500e+07,1.5067e+07,4.4331e+06,0.1174
16.3014,128,1.9331e+07,1.4900e+07,4.4302e+06,0.1189
16.4304,129,1.9159e+07,1.4732e+07,4.4279e+06,0.1222
16.5567,130,1.8990e+07,1.4564e+07,4.4258e+06,0.1195
16.6811,131,1.8824e+07,1.4400e+07,4.4237e+06,0.1176
16.8883,132,1.8663e+07,1.4242e+07,4.4213e+06,0.1147
17.0174,133,1.8507e+07,1.4089e+07,4.4183e+06,0.1214
17.1440,134,1.8356e+07,1.3941e+07,4.4149e+06,0.1188
17.2696,135,1.8208e+07,1.3798e+07,4.4106e+06,0.1180
17.3964,136,1.8063e+07,1.3658e+07,4.4054e+06,0.1198
17.5251,137,1.7920e+07,1.3521e+07,4.3994e+06,0.1213
17.6556,138,1.7781e+07,1.3389e+07,4.3927e+06,0.1209
17.7883,139,1.7646e+07,1.3260e+07,4.3854e+06,0.1240
17.9133,140,1.7515e+07,1.3138e+07,4.3777e+06,0.1181
18.0377,141,1.7391e+07,1.3021e+07,4.3699e+06,0.1176
18.1628,142,1.7272e+07,1.2910e+07,4.3619e+06,0.1183
18.2902,143,1.7156e+07,1.2802e+07,4.3542e+06,0.1205
18.4166,144,1.7041e+07,1.2694e+07,4.3470e+06,0.1194
18.5432,145,1.6925e+07,1.2585e+07,4.3403e+06,0.1198
18.6707,146,1.6807e+07,1.2473e+07,4.3342e+06,0.1181
18.8017,147,1.6686e+07,1.2357e+07,4.3288e+06,0.1238
18.9263,148,1.6562e+07,1.2238e+07,4.3238e+06,0.1179
19.0496,149,1.6437e+07,1.2117e+07,4.3193e+06,0.1166
19.1743,150,1.6312e+07,1.1996e+07,4.3152e+06,0.1178
19.2995,151,1.6188e+07,1.1877e+07,4.3114e+06,0.1185
19.4281,152,1.6068e+07,1.1760e+07,4.3077e+06,0.1217
19.5551,153,1.5951e+07,1.1647e+07,4.3040e+06,0.1204
19.6812,154,1.5836e+07,1.1536e+07,4.2999e+06,0.1170
19.8085,155,1.5724e+07,1.1429e+07,4.2953e+06,0.1206
19.9383,156,1.5614e+07,1.1324e+07,4.2903e+06,0.1229
20.0617,157,1.5506e+07,1.1221e+07,4.2848e+06,0.1167
20.1860,158,1.5400e+07,1.1121e+07,4.2787e+06,0.1177
20.3108,159,1.5296e+07,1.1024e+07,4.2721e+06,0.1180
20.4386,160,1.5196e+07,1.0930e+07,4.2651e+06,0.1208
20.5666,161,1.5097e+07,1.0840e+07,4.2578e+06,0.1212
