run_time,iteration,loss,style_loss,content_loss,time
0.1350,0,1.1875e+09,1.1875e+09,0.0000e+00,0.1350
0.2639,1,9.7859e+08,9.7743e+08,1.1667e+06,0.1197
0.3881,2,6.9963e+08,6.9713e+08,2.4959e+06,0.1178
0.5115,3,4.9635e+08,4.9314e+08,3.2166e+06,0.1170
0.6395,4,3.7908e+08,3.7552e+08,3.5581e+06,0.1186
0.7662,5,3.1213e+08,3.0850e+08,3.6254e+06,0.1195
0.8908,6,2.7214e+08,2.6863e+08,3.5155e+06,0.1181
1.0145,7,2.4865e+08,2.4529e+08,3.3644e+06,0.1173
1.1375,8,2.3418e+08,2.3091e+08,3.2740e+06,0.1164
1.2614,9,2.2356e+08,2.2031e+08,3.2522e+06,0.1171
1.3854,10,2.1400e+08,2.1073e+08,3.2727e+06,0.1174
1.5125,11,2.0493e+08,2.0162e+08,3.3112e+06,0.1205
1.6394,12,1.9708e+08,1.9374e+08,3.3455e+06,0.1201
1.7641,13,1.9087e+08,1.8752e+08,3.3566e+06,0.1179
1.8881,14,1.8565e+08,1.8230e+08,3.3443e+06,0.1174
2.0180,15,1.8044e+08,1.7712e+08,3.3156e+06,0.1232
2.1470,16,1.7466e+08,1.7138e+08,3.2809e+06,0.1221
2.2715,17,1.6849e+08,1.6524e+08,3.2504e+06,0.1177
2.3948,18,1.6239e+08,1.5917e+08,3.2295e+06,0.1166
2.5186,19,1.5656e+08,1.5334e+08,3.2200e+06,0.1173
2.6432,20,1.5101e+08,1.4779e+08,3.2189e+06,0.1179
2.7697,21,1.4561e+08,1.4239e+08,3.2252e+06,0.1197
2.8977,22,1.4031e+08,1.3707e+08,3.2372e+06,0.1211
3.0218,23,1.3516e+08,1.3191e+08,3.2553e+06,0.1174
3.1454,24,1.3018e+08,1.2691e+08,3.2766e+06,0.1169
3.2690,25,1.2536e+08,1.2206e+08,3.2985e+06,0.1168
3.3939,26,1.2074e+08,1.1742e+08,3.3201e+06,0.1182
3.5224,27,1.1638e+08,1.1304e+08,3.3387e+06,0.1217
3.6485,28,1.1229e+08,1.0894e+08,3.3551e+06,0.1195
3.7727,29,1.0851e+08,1.0514e+08,3.3691e+06,0.1175
3.8966,30,1.0500e+08,1.0163e+08,3.3796e+06,0.1171
4.0217,31,1.0178e+08,9.8396e+07,3.3868e+06,0.1184
4.1504,32,9.8857e+07,9.5465e+07,3.3916e+06,0.1220
4.2765,33,9.6226e+07,9.2830e+07,3.3964e+06,0.1194
4.4011,34,9.3869e+07,9.0466e+07,3.4021e+06,0.1177
4.5256,35,9.1712e+07,8.8304e+07,3.4077e+06,0.1179
