run_time,iteration,loss,style_loss,content_loss,time
0.1342,0,1.1766e+09,1.1766e+09,0.0000e+00,0.1342
0.2806,1,9.3254e+08,9.3129e+08,1.2444e+06,0.1344
0.4054,2,6.2742e+08,6.2460e+08,2.8200e+06,0.1175
0.5317,3,4.2253e+08,4.1875e+08,3.7779e+06,0.1196
0.6579,4,3.1891e+08,3.1464e+08,4.2683e+06,0.1191
0.7813,5,2.6273e+08,2.5832e+08,4.4075e+06,0.1169
0.9064,6,2.3508e+08,2.3072e+08,4.3575e+06,0.1156
1.0302,7,2.1861e+08,2.1435e+08,4.2582e+06,0.1169
1.1569,8,2.0380e+08,1.9961e+08,4.1920e+06,0.1197
1.2869,9,1.8838e+08,1.8421e+08,4.1648e+06,0.1231
1.4109,10,1.7243e+08,1.6826e+08,4.1714e+06,0.1174
1.5339,11,1.5659e+08,1.5239e+08,4.2034e+06,0.1165
1.6577,12,1.4181e+08,1.3757e+08,4.2450e+06,0.1171
1.7815,13,1.2899e+08,1.2470e+08,4.2880e+06,0.1171
1.9081,14,1.1831e+08,1.1399e+08,4.3197e+06,0.1198
2.0354,15,1.0954e+08,1.0520e+08,4.3349e+06,0.1204
2.1597,16,1.0209e+08,9.7754e+07,4.3355e+06,0.1175
2.2826,17,9.5417e+07,9.1094e+07,4.3223e+06,0.1160
2.4070,18,8.9204e+07,8.4907e+07,4.2977e+06,0.1177
2.5312,19,8.3461e+07,7.9196e+07,4.2647e+06,0.1172
2.6570,20,7.8209e+07,7.3982e+07,4.2273e+06,0.1190
2.7839,21,7.3506e+07,6.9313e+07,4.1928e+06,0.1200
2.9087,22,6.9470e+07,6.5305e+07,4.1643e+06,0.1180
3.0325,23,6.6035e+07,6.1889e+07,4.1462e+06,0.1166
3.1604,24,6.3122e+07,5.8985e+07,4.1370e+06,0.1160
3.2900,25,6.0615e+07,5.6479e+07,4.1351e+06,0.1222
3.4155,26,5.8406e+07,5.4266e+07,4.1400e+06,0.1188
3.5392,27,5.6414e+07,5.2265e+07,4.1495e+06,0.1168
3.6627,28,5.4559e+07,5.0398e+07,4.1608e+06,0.1166
3.7864,29,5.2810e+07,4.8639e+07,4.1715e+06,0.1169
3.9110,30,5.1135e+07,4.6954e+07,4.1801e+06,0.1179
4.0405,31,4.9522e+07,4.5336e+07,4.1854e+06,0.1221
4.1652,32,4.7937e+07,4.3750e+07,4.1865e+06,0.1179
4.2894,33,4.6387e+07,4.2203e+07,4.1831e+06,0.1168
4.4132,34,4.4879e+07,4.0702e+07,4.1765e+06,0.1171
4.5376,35,4.3440e+07,3.9271e+07,4.1691e+06,0.1175
4.6644,36,4.2081e+07,3.7920e+07,4.1611e+06,0.1199
4.7920,37,4.0820e+07,3.6666e+07,4.1535e+06,0.1202
4.9162,38,3.9663e+07,3.5516e+07,4.1467e+06,0.1173
5.0528,39,3.8609e+07,3.4468e+07,4.1413e+06,0.1174
5.1805,40,3.7662e+07,3.3525e+07,4.1369e+06,0.1198
5.3045,41,3.6811e+07,3.2678e+07,4.1332e+06,0.1170
5.4283,42,3.6042e+07,3.1911e+07,4.1306e+06,0.1167
5.5526,43,3.5334e+07,3.1206e+07,4.1281e+06,0.1175
5.6786,44,3.4677e+07,3.0551e+07,4.1257e+06,0.1188
5.8067,45,3.4061e+07,2.9938e+07,4.1227e+06,0.1212
5.9320,46,3.3492e+07,2.9373e+07,4.1189e+06,0.1183
6.0564,47,3.2964e+07,2.8849e+07,4.1151e+06,0.1176
6.1813,48,3.2475e+07,2.8365e+07,4.1106e+06,0.1180
6.3093,49,3.2022e+07,2.7915e+07,4.1064e+06,0.1207
6.4358,50,3.1597e+07,2.7495e+07,4.1019e+06,0.1195
6.5607,51,3.1189e+07,2.7092e+07,4.0975e+06,0.1180
6.6850,52,3.0795e+07,2.6701e+07,4.0931e+06,0.1175
6.8093,53,3.0403e+07,2.6314e+07,4.0886e+06,0.1175
6.9371,54,2.9999e+07,2.5915e+07,4.0837e+06,0.1210
7.0638,55,2.9581e+07,2.5503e+07,4.0781e+06,0.1194
7.1883,56,2.9157e+07,2.5086e+07,4.0714e+06,0.1176
7.3129,57,2.8733e+07,2.4669e+07,4.0637e+06,0.1177
7.4370,58,2.8311e+07,2.4256e+07,4.0550e+06,0.1172
7.5676,59,2.7896e+07,2.3851e+07,4.0449e+06,0.1235
7.6940,60,2.7494e+07,2.3460e+07,4.0341e+06,0.1196
7.8172,61,2.7109e+07,2.3086e+07,4.0230e+06,0.1163
7.9414,62,2.6744e+07,2.2731e+07,4.0127e+06,0.1174
8.0660,63,2.6397e+07,2.2394e+07,4.0028e+06,0.1176
8.1948,64,2.6065e+07,2.2071e+07,3.9936e+06,0.1217
8.3213,65,2.5747e+07,2.1762e+07,3.9855e+06,0.1195
8.4458,66,2.5441e+07,2.1463e+07,3.9782e+06,0.1176
8.5698,67,2.5144e+07,2.1173e+07,3.9716e+06,0.1171
8.6943,68,2.4858e+07,2.0893e+07,3.9653e+06,0.1177
8.8217,69,2.4585e+07,2.0626e+07,3.9597e+06,0.1203
8.9488,70,2.4324e+07,2.0370e+07,3.9543e+06,0.1200
9.0732,71,2.4073e+07,2.0124e+07,3.9487e+06,0.1176
9.1995,72,2.3831e+07,1.9889e+07,3.9427e+06,0.1194
9.3250,73,2.3602e+07,1.9666e+07,3.9362e+06,0.1183
9.4546,74,2.3382e+07,1.9453e+07,3.9292e+06,0.1225
9.5793,75,2.3168e+07,1.9246e+07,3.9215e+06,0.1178
9.7025,76,2.2958e+07,1.9046e+07,3.9124e+06,0.1164
9.8261,77,2.2755e+07,1.8853e+07,3.9021e+06,0.1168
9.9507,78,2.2558e+07,1.8667e+07,3.8909e+06,0.1176
10.0780,79,2.2369e+07,1.8490e+07,3.8791e+06,0.1202
10.2082,80,2.2186e+07,1.8319e+07,3.8667e+06,0.1234
10.3321,81,2.2009e+07,1.8154e+07,3.8541e+06,0.1168
10.4571,82,2.1834e+07,1.7992e+07,3.8413e+06,0.1181
10.5849,83,2.1661e+07,1.7833e+07,3.8287e+06,0.1203
10.7127,84,2.1489e+07,1.7672e+07,3.8168e+06,0.1209
10.8371,85,2.1314e+07,1.7508e+07,3.8056e+06,0.1175
10.9617,86,2.1135e+07,1.7339e+07,3.7958e+06,0.1177
11.0860,87,2.0955e+07,1.7168e+07,3.7871e+06,0.1175
11.2186,88,2.0774e+07,1.6995e+07,3.7793e+06,0.1255
11.3430,89,2.0595e+07,1.6823e+07,3.7721e+06,0.1174
11.4677,90,2.0419e+07,1.6654e+07,3.7649e+06,0.1178
11.5933,91,2.0244e+07,1.6486e+07,3.7578e+06,0.1188
11.7224,92,2.0073e+07,1.6322e+07,3.7506e+06,0.1221
11.8482,93,1.9906e+07,1.6163e+07,3.7431e+06,0.1190
11.9719,94,1.9742e+07,1.6007e+07,3.7349e+06,0.1169
12.0963,95,1.9579e+07,1.5853e+07,3.7263e+06,0.1176
12.2240,96,1.9415e+07,1.5698e+07,3.7171e+06,0.1209
12.3525,97,1.9251e+07,1.5543e+07,3.7077e+06,0.1213
12.4771,98,1.9086e+07,1.5388e+07,3.6980e+06,0.1178
12.6017,99,1.8921e+07,1.5233e+07,3.6882e+06,0.1177
12.7261,100,1.8756e+07,1.5078e+07,3.6783e+06,0.1176
12.8656,101,1.8593e+07,1.4924e+07,3.6684e+06,0.1150
12.9899,102,1.8431e+07,1.4772e+07,3.6588e+06,0.1174
13.1186,103,1.8273e+07,1.4623e+07,3.6499e+06,0.1211
13.2472,104,1.8117e+07,1.4476e+07,3.6416e+06,0.1219
13.3720,105,1.7965e+07,1.4332e+07,3.6336e+06,0.1174
13.4965,106,1.7817e+07,1.4191e+07,3.6259e+06,0.1175
13.6243,107,1.7672e+07,1.4054e+07,3.6186e+06,0.1207
13.7528,108,1.7531e+07,1.3919e+07,3.6116e+06,0.1217
13.8759,109,1.7394e+07,1.3789e+07,3.6048e+06,0.1164
14.0006,110,1.7259e+07,1.3661e+07,3.5983e+06,0.1179
14.1254,111,1.7126e+07,1.3535e+07,3.5919e+06,0.1180
14.2583,112,1.6996e+07,1.3411e+07,3.5857e+06,0.1256
14.3825,113,1.6867e+07,1.3288e+07,3.5794e+06,0.1171
14.5065,114,1.6739e+07,1.3166e+07,3.5733e+06,0.1173
14.6323,115,1.6611e+07,1.3043e+07,3.5671e+06,0.1189
14.7622,116,1.6480e+07,1.2919e+07,3.5609e+06,0.1221
14.8888,117,1.6348e+07,1.2794e+07,3.5547e+06,0.1197
15.0127,118,1.6215e+07,1.2667e+07,3.5484e+06,0.1170
15.1370,119,1.6082e+07,1.2540e+07,3.5419e+06,0.1176
15.2704,120,1.5949e+07,1.2413e+07,3.5355e+06,0.1262
15.3958,121,1.5819e+07,1.2290e+07,3.5291e+06,0.1185
15.5202,122,1.5691e+07,1.2169e+07,3.5226e+06,0.1177
15.6454,123,1.5569e+07,1.2053e+07,3.5163e+06,0.1183
15.7745,124,1.5451e+07,1.1942e+07,3.5099e+06,0.1221
15.9006,125,1.5338e+07,1.1835e+07,3.5035e+06,0.1193
16.0245,126,1.5229e+07,1.1731e+07,3.4972e+06,0.1172
16.1491,127,1.5121e+07,1.1630e+07,3.4907e+06,0.1177
16.2785,128,1.5014e+07,1.1530e+07,3.4841e+06,0.1226
16.4061,129,1.4907e+07,1.1429e+07,3.4773e+06,0.1203
16.5306,130,1.4798e+07,1.1328e+07,3.4705e+06,0.1177
16.6543,131,1.4689e+07,1.1226e+07,3.4635e+06,0.1167
16.7795,132,1.4580e+07,1.1123e+07,3.4562e+06,0.1184
16.9086,133,1.4470e+07,1.1022e+07,3.4486e+06,0.1222
17.0348,134,1.4362e+07,1.0921e+07,3.4411e+06,0.1193
17.1592,135,1.4255e+07,1.0821e+07,3.4336e+06,0.1177
17.2877,136,1.4149e+07,1.0723e+07,3.4262e+06,0.1217
17.4161,137,1.4045e+07,1.0626e+07,3.4190e+06,0.1214
17.5419,138,1.3942e+07,1.0530e+07,3.4118e+06,0.1190
17.6665,139,1.3839e+07,1.0435e+07,3.4048e+06,0.1177
17.7910,140,1.3736e+07,1.0338e+07,3.3979e+06,0.1178
17.9173,141,1.3633e+07,1.0242e+07,3.3910e+06,0.1196
18.0457,142,1.3528e+07,1.0144e+07,3.3841e+06,0.1216
18.1719,143,1.3424e+07,1.0047e+07,3.3773e+06,0.1194
18.3009,144,1.3320e+07,9.9495e+06,3.3706e+06,0.1221
18.4307,145,1.3216e+07,9.8520e+06,3.3637e+06,0.1224
18.5564,146,1.3112e+07,9.7556e+06,3.3568e+06,0.1187
18.6805,147,1.3010e+07,9.6605e+06,3.3498e+06,0.1174
18.8044,148,1.2909e+07,9.5665e+06,3.3426e+06,0.1171
18.9297,149,1.2809e+07,9.4737e+06,3.3354e+06,0.1185
19.0589,150,1.2710e+07,9.3820e+06,3.3280e+06,0.1223
19.1848,151,1.2612e+07,9.2914e+06,3.3206e+06,0.1192
19.3125,152,1.2515e+07,9.2020e+06,3.3133e+06,0.1210
19.4403,153,1.2420e+07,9.1145e+06,3.3060e+06,0.1206
19.5675,154,1.2328e+07,9.0291e+06,3.2988e+06,0.1203
19.6918,155,1.2238e+07,8.9463e+06,3.2917e+06,0.1175
19.8154,156,1.2151e+07,8.8660e+06,3.2846e+06,0.1169
19.9397,157,1.2066e+07,8.7878e+06,3.2777e+06,0.1176
20.0673,158,1.1982e+07,8.7114e+06,3.2708e+06,0.1208
20.1959,159,1.1900e+07,8.6362e+06,3.2638e+06,0.1218
20.3240,160,1.1818e+07,8.5617e+06,3.2567e+06,0.1214
20.4496,161,1.1737e+07,8.4877e+06,3.2494e+06,0.1188
20.5809,162,1.1656e+07,8.4137e+06,3.2419e+06,0.1244
20.7057,163,1.1574e+07,8.3396e+06,3.2343e+06,0.1180
20.8298,164,1.1492e+07,8.2655e+06,3.2267e+06,0.1173
20.9549,165,1.1411e+07,8.1918e+06,3.2190e+06,0.1184
21.0825,166,1.1330e+07,8.1190e+06,3.2113e+06,0.1208
21.2097,167,1.1251e+07,8.0475e+06,3.2036e+06,0.1206
21.3356,168,1.1173e+07,7.9772e+06,3.1962e+06,0.1192
21.4606,169,1.1097e+07,7.9081e+06,3.1888e+06,0.1181
21.5903,170,1.1022e+07,7.8402e+06,3.1816e+06,0.1229
21.7168,171,1.0948e+07,7.7731e+06,3.1747e+06,0.1198
