run_time,iteration,loss,style_loss,content_loss,time
0.6244,0,2.4698e+08,2.4698e+08,0.0000e+00,0.6244
0.7463,1,1.4885e+08,1.4767e+08,1.1725e+06,0.1141
0.8699,2,7.3164e+07,7.0961e+07,2.2031e+06,0.1171
0.9958,3,5.0680e+07,4.8197e+07,2.4838e+06,0.1193
1.1230,4,4.9722e+07,4.7376e+07,2.3459e+06,0.1205
1.2492,5,5.1838e+07,4.9573e+07,2.2648e+06,0.1197
1.3713,6,4.8358e+07,4.6059e+07,2.2986e+06,0.1213
1.4951,7,4.2615e+07,4.0234e+07,2.3806e+06,0.1170
1.6189,8,3.6084e+07,3.3628e+07,2.4559e+06,0.1173
1.7429,9,3.0246e+07,2.7747e+07,2.4994e+06,0.1175
1.8678,10,2.6300e+07,2.3785e+07,2.5147e+06,0.1185
1.9953,11,2.3854e+07,2.1337e+07,2.5169e+06,0.1208
2.1210,12,2.2084e+07,1.9566e+07,2.5181e+06,0.1191
2.2449,13,2.0534e+07,1.8012e+07,2.5222e+06,0.1175
2.3679,14,1.9182e+07,1.6652e+07,2.5296e+06,0.1164
2.4925,15,1.8115e+07,1.5576e+07,2.5395e+06,0.1179
2.6170,16,1.7344e+07,1.4798e+07,2.5466e+06,0.1177
2.7454,17,1.6793e+07,1.4247e+07,2.5462e+06,0.1216
2.8710,18,1.6395e+07,1.3856e+07,2.5388e+06,0.1189
2.9953,19,1.6110e+07,1.3584e+07,2.5259e+06,0.1176
3.1183,20,1.5882e+07,1.3371e+07,2.5115e+06,0.1164
3.2424,21,1.5625e+07,1.3125e+07,2.4999e+06,0.1174
3.3681,22,1.5241e+07,1.2748e+07,2.4928e+06,0.1190
3.4999,23,1.4737e+07,1.2246e+07,2.4913e+06,0.1248
3.6239,24,1.4204e+07,1.1712e+07,2.4927e+06,0.1173
3.7474,25,1.3742e+07,1.1248e+07,2.4944e+06,0.1169
3.8719,26,1.3364e+07,1.0868e+07,2.4959e+06,0.1178
3.9971,27,1.3038e+07,1.0542e+07,2.4960e+06,0.1183
4.1252,28,1.2727e+07,1.0234e+07,2.4932e+06,0.1214
4.2499,29,1.2435e+07,9.9469e+06,2.4878e+06,0.1182
4.3745,30,1.2186e+07,9.7047e+06,2.4812e+06,0.1177
4.5001,31,1.1995e+07,9.5195e+06,2.4750e+06,0.1190
4.6277,32,1.1848e+07,9.3789e+06,2.4694e+06,0.1209
4.7560,33,1.1716e+07,9.2506e+06,2.4652e+06,0.1215
4.8809,34,1.1569e+07,9.1070e+06,2.4621e+06,0.1182
5.0045,35,1.1403e+07,8.9438e+06,2.4589e+06,0.1170
5.1285,36,1.1228e+07,8.7735e+06,2.4548e+06,0.1175
5.2557,37,1.1062e+07,8.6133e+06,2.4489e+06,0.1204
5.3832,38,1.0915e+07,8.4745e+06,2.4400e+06,0.1208
