run_time,iteration,loss,style_loss,content_loss,time
0.1507,0,4.2784e+08,4.2784e+08,0.0000e+00,0.1507
0.2855,1,2.7363e+08,2.7236e+08,1.2625e+06,0.1232
0.4103,2,1.3460e+08,1.3235e+08,2.2486e+06,0.1166
0.5336,3,6.1975e+07,5.9330e+07,2.6455e+06,0.1169
0.6575,4,5.2079e+07,4.9331e+07,2.7479e+06,0.1176
0.7836,5,5.7404e+07,5.4683e+07,2.7211e+06,0.1197
0.9091,6,5.6770e+07,5.4054e+07,2.7152e+06,0.1215
1.0312,7,5.3546e+07,5.0812e+07,2.7336e+06,0.1212
1.1546,8,4.6447e+07,4.3693e+07,2.7541e+06,0.1227
1.2799,9,3.8477e+07,3.5688e+07,2.7895e+06,0.1184
1.4027,10,3.2375e+07,2.9537e+07,2.8375e+06,0.1163
1.5256,11,2.8416e+07,2.5526e+07,2.8904e+06,0.1164
1.6487,12,2.5825e+07,2.2890e+07,2.9352e+06,0.1167
1.7725,13,2.3918e+07,2.0953e+07,2.9655e+06,0.1173
1.8973,14,2.2435e+07,1.9452e+07,2.9825e+06,0.1183
2.0255,15,2.1370e+07,1.8382e+07,2.9889e+06,0.1215
2.1508,16,2.0678e+07,1.7689e+07,2.9889e+06,0.1187
2.2743,17,2.0181e+07,1.7194e+07,2.9872e+06,0.1171
2.3978,18,1.9687e+07,1.6700e+07,2.9869e+06,0.1170
2.5215,19,1.9163e+07,1.6174e+07,2.9894e+06,0.1172
2.6450,20,1.8664e+07,1.5671e+07,2.9924e+06,0.1170
2.7705,21,1.8224e+07,1.5229e+07,2.9950e+06,0.1189
2.8977,22,1.7770e+07,1.4776e+07,2.9934e+06,0.1204
3.0227,23,1.7200e+07,1.4213e+07,2.9870e+06,0.1185
3.1470,24,1.6523e+07,1.3547e+07,2.9760e+06,0.1177
3.2708,25,1.5848e+07,1.2886e+07,2.9622e+06,0.1172
3.3945,26,1.5281e+07,1.2334e+07,2.9474e+06,0.1173
3.5185,27,1.4837e+07,1.1902e+07,2.9350e+06,0.1175
