run_time,iteration,loss,style_loss,content_loss,time
0.1292,0,4.0303e+09,4.0303e+09,0.0000e+00,0.1292
0.2738,1,3.8773e+09,3.8769e+09,4.5972e+05,0.1327
0.4136,2,3.5551e+09,3.5542e+09,9.3263e+05,0.1326
0.5553,3,3.2070e+09,3.2057e+09,1.3277e+06,0.1343
0.6986,4,2.9051e+09,2.9035e+09,1.6825e+06,0.1345
0.8407,5,2.6625e+09,2.6605e+09,1.9986e+06,0.1337
0.9815,6,2.4657e+09,2.4634e+09,2.2792e+06,0.1336
1.1221,7,2.2965e+09,2.2940e+09,2.5194e+06,0.1333
1.2627,8,2.1434e+09,2.1407e+09,2.7176e+06,0.1331
1.4036,9,2.0045e+09,2.0017e+09,2.8817e+06,0.1333
1.5454,10,1.8800e+09,1.8769e+09,3.0190e+06,0.1343
1.6879,11,1.7695e+09,1.7664e+09,3.1418e+06,0.1350
1.8320,12,1.6708e+09,1.6676e+09,3.2539e+06,0.1367
1.9733,13,1.5816e+09,1.5782e+09,3.3591e+06,0.1336
2.1142,14,1.4995e+09,1.4961e+09,3.4586e+06,0.1336
2.2566,15,1.4242e+09,1.4207e+09,3.5540e+06,0.1349
2.3980,16,1.3552e+09,1.3515e+09,3.6435e+06,0.1337
2.5388,17,1.2922e+09,1.2885e+09,3.7216e+06,0.1333
2.6811,18,1.2349e+09,1.2311e+09,3.7871e+06,0.1349
2.8243,19,1.1826e+09,1.1788e+09,3.8387e+06,0.1356
2.9663,20,1.1345e+09,1.1306e+09,3.8784e+06,0.1343
3.1077,21,1.0898e+09,1.0859e+09,3.9044e+06,0.1339
3.2498,22,1.0483e+09,1.0444e+09,3.9220e+06,0.1346
3.3909,23,1.0095e+09,1.0055e+09,3.9352e+06,0.1327
3.5332,24,9.7307e+08,9.6913e+08,3.9419e+06,0.1348
3.6750,25,9.3899e+08,9.3504e+08,3.9458e+06,0.1341
3.8184,26,9.0706e+08,9.0311e+08,3.9498e+06,0.1359
3.9585,27,8.7717e+08,8.7321e+08,3.9550e+06,0.1325
4.1003,28,8.4899e+08,8.4503e+08,3.9631e+06,0.1343
4.2430,29,8.2252e+08,8.1855e+08,3.9740e+06,0.1351
4.3850,30,7.9748e+08,7.9349e+08,3.9874e+06,0.1342
4.5266,31,7.7363e+08,7.6962e+08,4.0049e+06,0.1337
4.6686,32,7.5096e+08,7.4693e+08,4.0255e+06,0.1344
4.8113,33,7.2930e+08,7.2525e+08,4.0492e+06,0.1350
