run_time,iteration,loss,style_loss,content_loss,time
0.1274,0,5.1694e+08,5.1694e+08,0.0000e+00,0.1274
0.2683,1,3.8875e+08,3.8822e+08,5.2881e+05,0.1300
0.4075,2,2.2312e+08,2.2204e+08,1.0819e+06,0.1315
0.5493,3,1.6315e+08,1.6170e+08,1.4437e+06,0.1344
0.6899,4,1.4150e+08,1.3995e+08,1.5546e+06,0.1333
0.8343,5,1.2715e+08,1.2553e+08,1.6211e+06,0.1371
0.9771,6,1.1844e+08,1.1674e+08,1.7005e+06,0.1331
1.1179,7,1.0576e+08,1.0397e+08,1.7952e+06,0.1333
1.2584,8,9.3036e+07,9.1138e+07,1.8981e+06,0.1330
1.4001,9,8.3894e+07,8.1897e+07,1.9970e+06,0.1342
1.5408,10,7.7514e+07,7.5438e+07,2.0763e+06,0.1332
1.6827,11,7.1775e+07,6.9647e+07,2.1279e+06,0.1344
1.8256,12,6.6120e+07,6.3970e+07,2.1497e+06,0.1354
1.9675,13,6.1197e+07,5.9046e+07,2.1507e+06,0.1345
2.1102,14,5.7397e+07,5.5255e+07,2.1412e+06,0.1348
2.2512,15,5.4352e+07,5.2222e+07,2.1301e+06,0.1336
2.3923,16,5.1584e+07,4.9460e+07,2.1243e+06,0.1337
2.5346,17,4.8996e+07,4.6868e+07,2.1277e+06,0.1347
2.6764,18,4.6683e+07,4.4545e+07,2.1387e+06,0.1343
2.8194,19,4.4706e+07,4.2552e+07,2.1548e+06,0.1356
2.9608,20,4.3003e+07,4.0829e+07,2.1743e+06,0.1341
3.1037,21,4.1483e+07,3.9290e+07,2.1926e+06,0.1355
3.2441,22,4.0128e+07,3.7920e+07,2.2088e+06,0.1328
3.3860,23,3.8971e+07,3.6749e+07,2.2221e+06,0.1345
3.5275,24,3.8011e+07,3.5780e+07,2.2315e+06,0.1339
3.6701,25,3.7194e+07,3.4956e+07,2.2377e+06,0.1350
3.8131,26,3.6411e+07,3.4169e+07,2.2414e+06,0.1353
3.9554,27,3.5566e+07,3.3322e+07,2.2441e+06,0.1347
4.0977,28,3.4674e+07,3.2428e+07,2.2463e+06,0.1350
4.2392,29,3.3825e+07,3.1576e+07,2.2485e+06,0.1338
4.3805,30,3.3096e+07,3.0845e+07,2.2505e+06,0.1339
4.5224,31,3.2519e+07,3.0267e+07,2.2520e+06,0.1343
4.6637,32,3.2043e+07,2.9791e+07,2.2520e+06,0.1337
4.8097,33,3.1583e+07,2.9332e+07,2.2510e+06,0.1381
4.9509,34,3.1079e+07,2.8831e+07,2.2486e+06,0.1312
5.0921,35,3.0532e+07,2.8286e+07,2.2456e+06,0.1336
5.2339,36,2.9978e+07,2.7736e+07,2.2421e+06,0.1342
5.3756,37,2.9463e+07,2.7224e+07,2.2394e+06,0.1338
5.5161,38,2.9007e+07,2.6770e+07,2.2372e+06,0.1331
5.6585,39,2.8594e+07,2.6358e+07,2.2364e+06,0.1349
5.8018,40,2.8196e+07,2.5959e+07,2.2370e+06,0.1358
5.9431,41,2.7793e+07,2.5555e+07,2.2385e+06,0.1333
6.0845,42,2.7386e+07,2.5145e+07,2.2406e+06,0.1340
6.2266,43,2.6989e+07,2.4747e+07,2.2423e+06,0.1345
6.3692,44,2.6616e+07,2.4374e+07,2.2430e+06,0.1351
6.5107,45,2.6277e+07,2.4035e+07,2.2422e+06,0.1339
6.6524,46,2.5963e+07,2.3723e+07,2.2395e+06,0.1340
6.7942,47,2.5664e+07,2.3429e+07,2.2349e+06,0.1342
6.9370,48,2.5367e+07,2.3138e+07,2.2287e+06,0.1353
7.0784,49,2.5076e+07,2.2854e+07,2.2220e+06,0.1336
7.2201,50,2.4799e+07,2.2584e+07,2.2153e+06,0.1342
7.3629,51,2.4541e+07,2.2333e+07,2.2088e+06,0.1352
7.5037,52,2.4299e+07,2.2095e+07,2.2034e+06,0.1331
7.6452,53,2.4060e+07,2.1861e+07,2.1998e+06,0.1338
7.7871,54,2.3812e+07,2.1614e+07,2.1982e+06,0.1344
7.9304,55,2.3548e+07,2.1349e+07,2.1985e+06,0.1357
8.0721,56,2.3272e+07,2.1072e+07,2.2000e+06,0.1339
8.2146,57,2.2998e+07,2.0796e+07,2.2021e+06,0.1349
8.3573,58,2.2744e+07,2.0539e+07,2.2045e+06,0.1353
8.4988,59,2.2511e+07,2.0304e+07,2.2064e+06,0.1336
8.6404,60,2.2295e+07,2.0088e+07,2.2071e+06,0.1341
8.7823,61,2.2087e+07,1.9881e+07,2.2058e+06,0.1343
8.9248,62,2.1879e+07,1.9676e+07,2.2029e+06,0.1351
9.0673,63,2.1664e+07,1.9466e+07,2.1980e+06,0.1346
9.2090,64,2.1448e+07,1.9256e+07,2.1920e+06,0.1340
9.3514,65,2.1237e+07,1.9051e+07,2.1851e+06,0.1349
9.4928,66,2.1038e+07,1.8860e+07,2.1782e+06,0.1340
9.6346,67,2.0855e+07,1.8684e+07,2.1715e+06,0.1342
9.7762,68,2.0683e+07,1.8518e+07,2.1655e+06,0.1339
9.9188,69,2.0517e+07,1.8356e+07,2.1605e+06,0.1350
10.0617,70,2.0348e+07,1.8191e+07,2.1569e+06,0.1352
10.2028,71,2.0176e+07,1.8022e+07,2.1544e+06,0.1336
10.3453,72,2.0003e+07,1.7850e+07,2.1528e+06,0.1350
10.4873,73,1.9831e+07,1.7679e+07,2.1519e+06,0.1343
10.6292,74,1.9666e+07,1.7515e+07,2.1514e+06,0.1340
10.7712,75,1.9508e+07,1.7357e+07,2.1509e+06,0.1344
10.9132,76,1.9353e+07,1.7203e+07,2.1497e+06,0.1344
11.0553,77,1.9195e+07,1.7047e+07,2.1477e+06,0.1343
11.1980,78,1.9030e+07,1.6886e+07,2.1445e+06,0.1352
11.3398,79,1.8858e+07,1.6718e+07,2.1400e+06,0.1340
11.4841,80,1.8682e+07,1.6548e+07,2.1345e+06,0.1352
11.6268,81,1.8510e+07,1.6382e+07,2.1283e+06,0.1334
11.7694,82,1.8348e+07,1.6226e+07,2.1219e+06,0.1342
11.9107,83,1.8192e+07,1.6077e+07,2.1155e+06,0.1323
12.0518,84,1.8039e+07,1.5929e+07,2.1095e+06,0.1328
12.1954,85,1.7885e+07,1.5781e+07,2.1040e+06,0.1357
12.3395,86,1.7728e+07,1.5629e+07,2.0994e+06,0.1299
12.4794,87,1.7567e+07,1.5472e+07,2.0957e+06,0.1320
12.6197,88,1.7404e+07,1.5312e+07,2.0927e+06,0.1327
12.7614,89,1.7245e+07,1.5154e+07,2.0904e+06,0.1340
12.9031,90,1.7092e+07,1.5003e+07,2.0885e+06,0.1342
13.0437,91,1.6948e+07,1.4861e+07,2.0869e+06,0.1328
13.1849,92,1.6809e+07,1.4724e+07,2.0854e+06,0.1334
13.3266,93,1.6673e+07,1.4589e+07,2.0834e+06,0.1337
13.4682,94,1.6536e+07,1.4455e+07,2.0811e+06,0.1339
13.6091,95,1.6398e+07,1.4320e+07,2.0784e+06,0.1327
13.7510,96,1.6260e+07,1.4185e+07,2.0755e+06,0.1340
13.8940,97,1.6122e+07,1.4049e+07,2.0722e+06,0.1351
