run_time,iteration,loss,style_loss,content_loss,time
0.1293,0,1.2227e+09,1.2227e+09,0.0000e+00,0.1293
0.2720,1,9.8760e+08,9.8704e+08,5.5929e+05,0.1316
0.4126,2,7.0476e+08,7.0349e+08,1.2689e+06,0.1333
0.5543,3,4.9841e+08,4.9649e+08,1.9118e+06,0.1340
0.6958,4,3.7414e+08,3.7177e+08,2.3666e+06,0.1342
0.8433,5,2.8877e+08,2.8618e+08,2.5906e+06,0.1396
0.9847,6,2.3124e+08,2.2856e+08,2.6778e+06,0.1342
1.1241,7,1.9993e+08,1.9718e+08,2.7418e+06,0.1322
1.2650,8,1.8368e+08,1.8086e+08,2.8138e+06,0.1336
1.4076,9,1.7315e+08,1.7025e+08,2.9008e+06,0.1349
1.5530,10,1.6390e+08,1.6092e+08,2.9866e+06,0.1346
1.6927,11,1.5473e+08,1.5168e+08,3.0541e+06,0.1323
1.8336,12,1.4566e+08,1.4257e+08,3.0900e+06,0.1334
1.9757,13,1.3685e+08,1.3375e+08,3.0980e+06,0.1346
2.1168,14,1.2836e+08,1.2528e+08,3.0848e+06,0.1336
2.2581,15,1.2023e+08,1.1716e+08,3.0646e+06,0.1339
2.4002,16,1.1233e+08,1.0928e+08,3.0489e+06,0.1347
2.5418,17,1.0469e+08,1.0165e+08,3.0433e+06,0.1342
2.6831,18,9.7277e+07,9.4225e+07,3.0522e+06,0.1338
2.8247,19,9.0261e+07,8.7186e+07,3.0745e+06,0.1341
2.9673,20,8.3817e+07,8.0709e+07,3.1080e+06,0.1347
3.1109,21,7.8095e+07,7.4947e+07,3.1481e+06,0.1360
3.2524,22,7.3130e+07,6.9942e+07,3.1883e+06,0.1337
3.3948,23,6.8832e+07,6.5607e+07,3.2244e+06,0.1348
3.5367,24,6.5126e+07,6.1872e+07,3.2540e+06,0.1346
3.6773,25,6.1872e+07,5.8596e+07,3.2762e+06,0.1329
3.8190,26,5.8982e+07,5.5690e+07,3.2921e+06,0.1342
3.9612,27,5.6414e+07,5.3113e+07,3.3011e+06,0.1346
4.1042,28,5.4177e+07,5.0871e+07,3.3065e+06,0.1357
4.2456,29,5.2254e+07,4.8943e+07,3.3108e+06,0.1339
4.3877,30,5.0625e+07,4.7310e+07,3.3149e+06,0.1344
4.5315,31,4.9232e+07,4.5912e+07,3.3199e+06,0.1360
4.6727,32,4.8022e+07,4.4695e+07,3.3261e+06,0.1338
