run_time,iteration,loss,style_loss,content_loss,time
0.1339,0,6.0118e+07,6.0118e+07,0.0000e+00,0.1339
0.2781,1,4.2134e+07,4.1339e+07,7.9513e+05,0.1303
0.4169,2,3.1877e+07,3.0672e+07,1.2049e+06,0.1318
0.5545,3,2.6679e+07,2.5181e+07,1.4977e+06,0.1304
0.7012,4,2.3350e+07,2.1654e+07,1.6959e+06,0.1348
0.8439,5,2.1600e+07,1.9855e+07,1.7451e+06,0.1354
0.9845,6,1.9705e+07,1.7992e+07,1.7124e+06,0.1336
1.1241,7,1.8383e+07,1.6695e+07,1.6876e+06,0.1323
1.2628,8,1.7142e+07,1.5454e+07,1.6878e+06,0.1316
1.4033,9,1.5998e+07,1.4296e+07,1.7016e+06,0.1333
1.5448,10,1.5069e+07,1.3357e+07,1.7121e+06,0.1345
1.6859,11,1.4402e+07,1.2689e+07,1.7123e+06,0.1338
1.8267,12,1.3804e+07,1.2102e+07,1.7019e+06,0.1335
1.9688,13,1.3189e+07,1.1502e+07,1.6867e+06,0.1349
2.1098,14,1.2693e+07,1.1023e+07,1.6707e+06,0.1337
2.2529,15,1.2298e+07,1.0642e+07,1.6560e+06,0.1357
2.3938,16,1.1905e+07,1.0260e+07,1.6442e+06,0.1338
2.5364,17,1.1534e+07,9.8972e+06,1.6364e+06,0.1349
2.6795,18,1.1198e+07,9.5658e+06,1.6324e+06,0.1355
2.8210,19,1.0882e+07,9.2535e+06,1.6289e+06,0.1341
2.9622,20,1.0591e+07,8.9676e+06,1.6231e+06,0.1336
3.1031,21,1.0312e+07,8.6997e+06,1.6126e+06,0.1334
3.2449,22,1.0030e+07,8.4304e+06,1.5995e+06,0.1345
3.3861,23,9.7589e+06,8.1730e+06,1.5859e+06,0.1339
3.5290,24,9.5114e+06,7.9368e+06,1.5746e+06,0.1355
3.6710,25,9.2627e+06,7.6959e+06,1.5668e+06,0.1347
3.8121,26,9.0040e+06,7.4426e+06,1.5614e+06,0.1338
3.9542,27,8.7583e+06,7.2008e+06,1.5576e+06,0.1348
4.0959,28,8.5425e+06,6.9891e+06,1.5534e+06,0.1341
4.2377,29,8.3479e+06,6.8004e+06,1.5475e+06,0.1346
4.3794,30,8.1638e+06,6.6241e+06,1.5397e+06,0.1344
4.5219,31,7.9879e+06,6.4569e+06,1.5310e+06,0.1352
4.6646,32,7.8158e+06,6.2934e+06,1.5224e+06,0.1353
4.8068,33,7.6456e+06,6.1308e+06,1.5148e+06,0.1347
4.9490,34,7.4846e+06,5.9754e+06,1.5092e+06,0.1350
5.0902,35,7.3328e+06,5.8271e+06,1.5057e+06,0.1331
5.2350,36,7.1875e+06,5.6842e+06,1.5033e+06,0.1375
5.3753,37,7.0416e+06,5.5405e+06,1.5010e+06,0.1331
5.5165,38,6.9024e+06,5.4038e+06,1.4986e+06,0.1341
5.6576,39,6.7760e+06,5.2809e+06,1.4952e+06,0.1339
5.8003,40,6.6585e+06,5.1676e+06,1.4909e+06,0.1344
5.9425,41,6.5405e+06,5.0546e+06,1.4859e+06,0.1347
