run_time,iteration,loss,style_loss,content_loss,time
0.1624,0,6.5578e+07,6.5578e+07,0.0000e+00,0.1624
0.3048,1,4.2763e+07,4.1985e+07,7.7808e+05,0.1313
0.4429,2,3.0541e+07,2.9318e+07,1.2228e+06,0.1309
0.5818,3,2.6344e+07,2.4900e+07,1.4441e+06,0.1315
0.7211,4,2.2971e+07,2.1383e+07,1.5886e+06,0.1320
0.8617,5,2.1342e+07,1.9700e+07,1.6414e+06,0.1335
1.0033,6,2.0478e+07,1.8827e+07,1.6510e+06,0.1344
1.1470,7,1.9369e+07,1.7705e+07,1.6641e+06,0.1364
1.2888,8,1.8258e+07,1.6576e+07,1.6823e+06,0.1347
1.4303,9,1.7536e+07,1.5843e+07,1.6926e+06,0.1338
1.5723,10,1.6847e+07,1.5153e+07,1.6940e+06,0.1341
1.7136,11,1.6368e+07,1.4673e+07,1.6946e+06,0.1338
1.8561,12,1.5757e+07,1.4061e+07,1.6965e+06,0.1350
1.9972,13,1.5248e+07,1.3549e+07,1.6995e+06,0.1337
2.1395,14,1.4823e+07,1.3123e+07,1.6997e+06,0.1351
2.2816,15,1.4330e+07,1.2636e+07,1.6937e+06,0.1349
2.4237,16,1.3926e+07,1.2242e+07,1.6843e+06,0.1348
2.5653,17,1.3534e+07,1.1857e+07,1.6771e+06,0.1341
2.7078,18,1.3073e+07,1.1401e+07,1.6724e+06,0.1352
2.8500,19,1.2661e+07,1.0992e+07,1.6686e+06,0.1350
2.9915,20,1.2306e+07,1.0643e+07,1.6629e+06,0.1340
3.1332,21,1.1970e+07,1.0316e+07,1.6542e+06,0.1340
3.2754,22,1.1666e+07,1.0022e+07,1.6442e+06,0.1346
3.4181,23,1.1367e+07,9.7328e+06,1.6344e+06,0.1352
3.5596,24,1.1071e+07,9.4442e+06,1.6265e+06,0.1342
3.7014,25,1.0808e+07,9.1888e+06,1.6197e+06,0.1340
3.8430,26,1.0567e+07,8.9543e+06,1.6125e+06,0.1338
3.9846,27,1.0318e+07,8.7131e+06,1.6052e+06,0.1340
4.1271,28,1.0088e+07,8.4895e+06,1.5988e+06,0.1351
4.2693,29,9.8873e+06,8.2922e+06,1.5951e+06,0.1349
4.4107,30,9.6815e+06,8.0879e+06,1.5936e+06,0.1338
4.5525,31,9.4728e+06,7.8789e+06,1.5939e+06,0.1339
4.6943,32,9.2819e+06,7.6874e+06,1.5945e+06,0.1344
4.8367,33,9.1035e+06,7.5097e+06,1.5938e+06,0.1351
4.9787,34,8.9281e+06,7.3365e+06,1.5916e+06,0.1347
5.1203,35,8.7568e+06,7.1686e+06,1.5882e+06,0.1339
5.2624,36,8.5939e+06,7.0098e+06,1.5841e+06,0.1347
5.4045,37,8.4297e+06,6.8491e+06,1.5806e+06,0.1349
5.5459,38,8.2677e+06,6.6898e+06,1.5779e+06,0.1340
5.6875,39,8.1172e+06,6.5421e+06,1.5751e+06,0.1342
