run_time,iteration,loss,style_loss,content_loss,time
0.1300,0,1.8633e+09,1.8633e+09,0.0000e+00,0.1300
0.2737,1,1.4660e+09,1.4654e+09,5.9241e+05,0.1314
0.4158,2,9.7113e+08,9.6979e+08,1.3459e+06,0.1345
0.5580,3,6.0516e+08,6.0318e+08,1.9785e+06,0.1348
0.6998,4,4.0201e+08,3.9946e+08,2.5532e+06,0.1330
0.8428,5,2.9439e+08,2.9139e+08,3.0004e+06,0.1355
0.9842,6,2.5136e+08,2.4810e+08,3.2571e+06,0.1329
1.1284,7,2.3472e+08,2.3131e+08,3.4158e+06,0.1302
1.2676,8,2.1439e+08,2.1085e+08,3.5429e+06,0.1316
1.4084,9,1.9797e+08,1.9433e+08,3.6364e+06,0.1335
1.5491,10,1.9139e+08,1.8770e+08,3.6924e+06,0.1334
1.6900,11,1.8780e+08,1.8407e+08,3.7210e+06,0.1333
1.8324,12,1.8043e+08,1.7668e+08,3.7422e+06,0.1349
1.9739,13,1.6905e+08,1.6528e+08,3.7678e+06,0.1342
2.1167,14,1.5615e+08,1.5235e+08,3.7988e+06,0.1352
2.2580,15,1.4389e+08,1.4006e+08,3.8303e+06,0.1338
2.3996,16,1.3298e+08,1.2912e+08,3.8555e+06,0.1344
2.5413,17,1.2338e+08,1.1951e+08,3.8699e+06,0.1343
2.6834,18,1.1483e+08,1.1096e+08,3.8677e+06,0.1347
2.8250,19,1.0718e+08,1.0333e+08,3.8504e+06,0.1336
2.9669,20,1.0038e+08,9.6559e+07,3.8173e+06,0.1344
3.1117,21,9.4471e+07,9.0699e+07,3.7721e+06,0.1374
3.2524,22,8.9404e+07,8.5684e+07,3.7194e+06,0.1334
3.3941,23,8.5164e+07,8.1497e+07,3.6668e+06,0.1341
3.5354,24,8.1593e+07,7.7972e+07,3.6208e+06,0.1339
3.6761,25,7.8518e+07,7.4931e+07,3.5866e+06,0.1331
3.8179,26,7.5656e+07,7.2091e+07,3.5648e+06,0.1343
3.9603,27,7.2872e+07,6.9317e+07,3.5556e+06,0.1347
4.1020,28,7.0152e+07,6.6593e+07,3.5598e+06,0.1343
4.2439,29,6.7565e+07,6.3988e+07,3.5773e+06,0.1344
4.3867,30,6.5231e+07,6.1628e+07,3.6032e+06,0.1353
4.5297,31,6.3257e+07,5.9622e+07,3.6348e+06,0.1352
4.6710,32,6.1695e+07,5.8027e+07,3.6682e+06,0.1336
4.8121,33,6.0492e+07,5.6790e+07,3.7012e+06,0.1336
4.9543,34,5.9546e+07,5.5814e+07,3.7318e+06,0.1349
5.0960,35,5.8736e+07,5.4980e+07,3.7560e+06,0.1338
5.2381,36,5.7939e+07,5.4167e+07,3.7721e+06,0.1344
5.3803,37,5.7088e+07,5.3308e+07,3.7800e+06,0.1345
5.5234,38,5.6208e+07,5.2427e+07,3.7811e+06,0.1353
5.6647,39,5.5312e+07,5.1535e+07,3.7771e+06,0.1334
5.8060,40,5.4428e+07,5.0658e+07,3.7698e+06,0.1336
5.9478,41,5.3580e+07,4.9819e+07,3.7616e+06,0.1340
6.0901,42,5.2761e+07,4.9008e+07,3.7530e+06,0.1345
6.2320,43,5.1937e+07,4.8192e+07,3.7450e+06,0.1340
6.3738,44,5.1083e+07,4.7343e+07,3.7398e+06,0.1342
6.5172,45,5.0182e+07,4.6445e+07,3.7373e+06,0.1358
6.6587,46,4.9246e+07,4.5508e+07,3.7371e+06,0.1334
6.8005,47,4.8294e+07,4.4556e+07,3.7384e+06,0.1340
