run_time,iteration,loss,style_loss,content_loss,time
0.1285,0,1.0523e+09,1.0523e+09,0.0000e+00,0.1285
0.2729,1,8.6004e+08,8.5953e+08,5.0416e+05,0.1333
0.4128,2,6.1232e+08,6.1130e+08,1.0233e+06,0.1328
0.5524,3,4.5747e+08,4.5606e+08,1.4075e+06,0.1324
0.6929,4,3.7714e+08,3.7550e+08,1.6344e+06,0.1331
0.8356,5,3.1448e+08,3.1275e+08,1.7271e+06,0.1355
0.9784,6,2.7098e+08,2.6920e+08,1.7806e+06,0.1347
1.1190,7,2.4682e+08,2.4496e+08,1.8563e+06,0.1334
1.2609,8,2.3258e+08,2.3062e+08,1.9576e+06,0.1347
1.4022,9,2.2257e+08,2.2051e+08,2.0624e+06,0.1340
1.5441,10,2.1484e+08,2.1269e+08,2.1494e+06,0.1340
1.6860,11,2.0865e+08,2.0644e+08,2.2029e+06,0.1343
1.8285,12,2.0348e+08,2.0126e+08,2.2156e+06,0.1352
1.9705,13,1.9861e+08,1.9641e+08,2.1978e+06,0.1345
2.1121,14,1.9358e+08,1.9141e+08,2.1723e+06,0.1341
2.2540,15,1.8812e+08,1.8597e+08,2.1485e+06,0.1344
2.3963,16,1.8216e+08,1.8003e+08,2.1346e+06,0.1351
2.5377,17,1.7581e+08,1.7368e+08,2.1321e+06,0.1341
2.6789,18,1.6925e+08,1.6711e+08,2.1405e+06,0.1338
2.8222,19,1.6266e+08,1.6050e+08,2.1568e+06,0.1357
2.9642,20,1.5618e+08,1.5400e+08,2.1774e+06,0.1347
3.1054,21,1.4989e+08,1.4769e+08,2.2011e+06,0.1338
3.2467,22,1.4382e+08,1.4159e+08,2.2259e+06,0.1339
3.3891,23,1.3803e+08,1.3578e+08,2.2486e+06,0.1350
3.5308,24,1.3251e+08,1.3025e+08,2.2666e+06,0.1342
3.6723,25,1.2725e+08,1.2497e+08,2.2820e+06,0.1341
3.8144,26,1.2227e+08,1.1998e+08,2.2948e+06,0.1346
3.9568,27,1.1762e+08,1.1532e+08,2.3057e+06,0.1348
4.0987,28,1.1335e+08,1.1104e+08,2.3145e+06,0.1340
4.2405,29,1.0950e+08,1.0718e+08,2.3231e+06,0.1343
4.3826,30,1.0611e+08,1.0377e+08,2.3323e+06,0.1346
4.5240,31,1.0311e+08,1.0077e+08,2.3422e+06,0.1338
4.6665,32,1.0046e+08,9.8109e+07,2.3519e+06,0.1350
4.8081,33,9.8059e+07,9.5698e+07,2.3611e+06,0.1338
4.9513,34,9.5817e+07,9.3447e+07,2.3697e+06,0.1356
5.0936,35,9.3647e+07,9.1270e+07,2.3779e+06,0.1343
5.2341,36,9.1560e+07,8.9174e+07,2.3863e+06,0.1332
5.3762,37,8.9539e+07,8.7144e+07,2.3949e+06,0.1345
5.5184,38,8.7613e+07,8.5210e+07,2.4030e+06,0.1346
5.6601,39,8.5788e+07,8.3378e+07,2.4102e+06,0.1341
5.8011,40,8.4054e+07,8.1638e+07,2.4163e+06,0.1337
5.9442,41,8.2393e+07,7.9973e+07,2.4205e+06,0.1349
6.0866,42,8.0806e+07,7.8383e+07,2.4232e+06,0.1347
6.2282,43,7.9293e+07,7.6869e+07,2.4241e+06,0.1340
6.3697,44,7.7818e+07,7.5395e+07,2.4233e+06,0.1341
6.5127,45,7.6371e+07,7.3949e+07,2.4214e+06,0.1353
6.6538,46,7.4950e+07,7.2531e+07,2.4184e+06,0.1336
6.7965,47,7.3555e+07,7.1141e+07,2.4145e+06,0.1351
6.9387,48,7.2188e+07,6.9778e+07,2.4100e+06,0.1344
7.0804,49,7.0866e+07,6.8460e+07,2.4054e+06,0.1343
7.2221,50,6.9597e+07,6.7197e+07,2.3997e+06,0.1342
7.3646,51,6.8386e+07,6.5993e+07,2.3933e+06,0.1348
7.5071,52,6.7239e+07,6.4852e+07,2.3865e+06,0.1343
7.6484,53,6.6147e+07,6.3768e+07,2.3789e+06,0.1333
7.7903,54,6.5104e+07,6.2733e+07,2.3711e+06,0.1342
7.9354,55,6.4093e+07,6.1728e+07,2.3643e+06,0.1319
8.0757,56,6.3094e+07,6.0736e+07,2.3583e+06,0.1330
8.2164,57,6.2079e+07,5.9725e+07,2.3534e+06,0.1329
8.3575,58,6.1049e+07,5.8700e+07,2.3494e+06,0.1334
8.4995,59,6.0010e+07,5.7664e+07,2.3458e+06,0.1345
8.6415,60,5.8972e+07,5.6629e+07,2.3425e+06,0.1344
8.7847,61,5.7941e+07,5.5601e+07,2.3396e+06,0.1357
8.9268,62,5.6931e+07,5.4594e+07,2.3367e+06,0.1342
9.0684,63,5.5950e+07,5.3616e+07,2.3340e+06,0.1341
9.2101,64,5.5005e+07,5.2673e+07,2.3316e+06,0.1342
9.3516,65,5.4102e+07,5.1772e+07,2.3300e+06,0.1338
9.4927,66,5.3234e+07,5.0904e+07,2.3294e+06,0.1335
9.6354,67,5.2395e+07,5.0065e+07,2.3302e+06,0.1351
9.7760,68,5.1578e+07,4.9245e+07,2.3327e+06,0.1329
9.9196,69,5.0783e+07,4.8447e+07,2.3364e+06,0.1359
10.0613,70,5.0018e+07,4.7676e+07,2.3412e+06,0.1341
10.2032,71,4.9272e+07,4.6926e+07,2.3466e+06,0.1344
10.3446,72,4.8543e+07,4.6191e+07,2.3520e+06,0.1337
10.4873,73,4.7826e+07,4.5468e+07,2.3571e+06,0.1346
10.6288,74,4.7115e+07,4.4753e+07,2.3618e+06,0.1342
10.7709,75,4.6416e+07,4.4050e+07,2.3658e+06,0.1344
10.9137,76,4.5726e+07,4.3357e+07,2.3692e+06,0.1355
11.0557,77,4.5046e+07,4.2674e+07,2.3720e+06,0.1344
11.1976,78,4.4375e+07,4.2001e+07,2.3744e+06,0.1343
11.3391,79,4.3718e+07,4.1341e+07,2.3765e+06,0.1337
11.4809,80,4.3072e+07,4.0693e+07,2.3788e+06,0.1337
11.6247,81,4.2441e+07,4.0059e+07,2.3814e+06,0.1362
11.7668,82,4.1819e+07,3.9435e+07,2.3841e+06,0.1315
11.9089,83,4.1211e+07,3.8824e+07,2.3866e+06,0.1347
12.0502,84,4.0619e+07,3.8230e+07,2.3888e+06,0.1333
12.1914,85,4.0036e+07,3.7645e+07,2.3908e+06,0.1335
12.3338,86,3.9462e+07,3.7069e+07,2.3923e+06,0.1349
12.4758,87,3.8899e+07,3.6506e+07,2.3932e+06,0.1342
12.6177,88,3.8347e+07,3.5953e+07,2.3939e+06,0.1343
12.7597,89,3.7808e+07,3.5413e+07,2.3946e+06,0.1343
12.9029,90,3.7276e+07,3.4881e+07,2.3952e+06,0.1355
13.0453,91,3.6756e+07,3.4360e+07,2.3961e+06,0.1347
13.1861,92,3.6242e+07,3.3845e+07,2.3970e+06,0.1330
13.3264,93,3.5736e+07,3.3338e+07,2.3981e+06,0.1327
13.4683,94,3.5243e+07,3.2843e+07,2.3994e+06,0.1346
13.6119,95,3.4764e+07,3.2363e+07,2.4006e+06,0.1359
13.7548,96,3.4298e+07,3.1896e+07,2.4015e+06,0.1353
13.8967,97,3.3844e+07,3.1442e+07,2.4019e+06,0.1344
14.0396,98,3.3404e+07,3.1002e+07,2.4018e+06,0.1352
14.1806,99,3.2974e+07,3.0572e+07,2.4013e+06,0.1329
14.3220,100,3.2549e+07,3.0148e+07,2.4005e+06,0.1341
14.4652,101,3.2129e+07,2.9730e+07,2.3995e+06,0.1326
14.6066,102,3.1717e+07,2.9318e+07,2.3985e+06,0.1333
14.7489,103,3.1310e+07,2.8912e+07,2.3974e+06,0.1346
14.8914,104,3.0909e+07,2.8513e+07,2.3961e+06,0.1348
15.0327,105,3.0516e+07,2.8121e+07,2.3952e+06,0.1338
