run_time,iteration,loss,style_loss,content_loss,time
0.1289,0,1.0302e+09,1.0302e+09,0.0000e+00,0.1289
0.2707,1,8.1168e+08,8.1117e+08,5.1180e+05,0.1308
0.4090,2,5.4522e+08,5.4397e+08,1.2430e+06,0.1310
0.5478,3,3.9029e+08,3.8843e+08,1.8585e+06,0.1316
0.6884,4,3.1588e+08,3.1364e+08,2.2381e+06,0.1328
0.8306,5,2.6250e+08,2.6008e+08,2.4184e+06,0.1349
0.9719,6,2.2535e+08,2.2283e+08,2.5225e+06,0.1339
1.1135,7,2.0103e+08,1.9842e+08,2.6061e+06,0.1341
1.2542,8,1.8413e+08,1.8144e+08,2.6946e+06,0.1335
1.3953,9,1.7061e+08,1.6782e+08,2.7860e+06,0.1338
1.5368,10,1.5825e+08,1.5537e+08,2.8778e+06,0.1343
1.6787,11,1.4631e+08,1.4335e+08,2.9577e+06,0.1343
1.8216,12,1.3509e+08,1.3208e+08,3.0186e+06,0.1355
1.9644,13,1.2502e+08,1.2196e+08,3.0564e+06,0.1354
2.1052,14,1.1618e+08,1.1311e+08,3.0758e+06,0.1333
2.2469,15,1.0833e+08,1.0525e+08,3.0826e+06,0.1342
2.3889,16,1.0117e+08,9.8092e+07,3.0831e+06,0.1345
2.5309,17,9.4502e+07,9.1420e+07,3.0820e+06,0.1344
2.6726,18,8.8332e+07,8.5250e+07,3.0813e+06,0.1340
2.8157,19,8.2745e+07,7.9662e+07,3.0826e+06,0.1356
2.9572,20,7.7768e+07,7.4680e+07,3.0882e+06,0.1339
3.0996,21,7.3400e+07,7.0303e+07,3.0966e+06,0.1348
3.2415,22,6.9585e+07,6.6479e+07,3.1062e+06,0.1343
3.3829,23,6.6251e+07,6.3136e+07,3.1155e+06,0.1338
3.5243,24,6.3313e+07,6.0188e+07,3.1246e+06,0.1338
3.6658,25,6.0741e+07,5.7609e+07,3.1327e+06,0.1338
3.8083,26,5.8485e+07,5.5345e+07,3.1400e+06,0.1348
3.9504,27,5.6464e+07,5.3320e+07,3.1449e+06,0.1346
4.0923,28,5.4620e+07,5.1473e+07,3.1469e+06,0.1343
4.2349,29,5.2901e+07,4.9755e+07,3.1463e+06,0.1349
4.3771,30,5.1235e+07,4.8091e+07,3.1435e+06,0.1345
4.5210,31,4.9598e+07,4.6459e+07,3.1394e+06,0.1363
4.6621,32,4.7992e+07,4.4857e+07,3.1357e+06,0.1335
4.8034,33,4.6439e+07,4.3305e+07,3.1330e+06,0.1337
4.9446,34,4.4950e+07,4.1820e+07,3.1299e+06,0.1336
5.0867,35,4.3535e+07,4.0408e+07,3.1273e+06,0.1344
5.2286,36,4.2231e+07,3.9105e+07,3.1256e+06,0.1345
5.3722,37,4.1031e+07,3.7907e+07,3.1243e+06,0.1360
5.5131,38,3.9940e+07,3.6818e+07,3.1224e+06,0.1331
5.6556,39,3.8933e+07,3.5812e+07,3.1201e+06,0.1332
5.7968,40,3.7997e+07,3.4881e+07,3.1169e+06,0.1331
5.9386,41,3.7126e+07,3.4012e+07,3.1135e+06,0.1341
6.0801,42,3.6319e+07,3.3209e+07,3.1100e+06,0.1337
6.2222,43,3.5574e+07,3.2468e+07,3.1060e+06,0.1345
6.3646,44,3.4889e+07,3.1786e+07,3.1023e+06,0.1348
6.5062,45,3.4250e+07,3.1151e+07,3.0991e+06,0.1337
6.6477,46,3.3644e+07,3.0547e+07,3.0968e+06,0.1338
6.7903,47,3.3069e+07,2.9974e+07,3.0952e+06,0.1344
6.9321,48,3.2522e+07,2.9428e+07,3.0942e+06,0.1340
7.0731,49,3.2002e+07,2.8908e+07,3.0935e+06,0.1333
