run_time,iteration,loss,style_loss,content_loss,time
0.7044,0,1.7718e+08,1.7718e+08,0.0000e+00,0.7044
0.8432,1,8.2580e+07,8.1939e+07,6.4101e+05,0.1286
0.9830,2,3.8027e+07,3.6751e+07,1.2758e+06,0.1326
1.1232,3,3.1400e+07,3.0002e+07,1.3978e+06,0.1329
1.2655,4,3.1341e+07,2.9870e+07,1.4710e+06,0.1350
1.4062,5,2.8660e+07,2.7046e+07,1.6140e+06,0.1329
1.5468,6,2.4516e+07,2.2763e+07,1.7528e+06,0.1334
1.6911,7,1.9999e+07,1.8175e+07,1.8241e+06,0.1369
1.8319,8,1.6746e+07,1.4909e+07,1.8366e+06,0.1336
1.9729,9,1.5008e+07,1.3180e+07,1.8283e+06,0.1336
2.1146,10,1.4073e+07,1.2247e+07,1.8259e+06,0.1345
2.2564,11,1.3452e+07,1.1613e+07,1.8395e+06,0.1344
2.3982,12,1.2818e+07,1.0951e+07,1.8667e+06,0.1344
2.5403,13,1.2057e+07,1.0159e+07,1.8987e+06,0.1345
2.6819,14,1.1277e+07,9.3495e+06,1.9279e+06,0.1341
2.8244,15,1.0759e+07,8.8105e+06,1.9487e+06,0.1346
2.9659,16,1.0693e+07,8.7332e+06,1.9599e+06,0.1340
3.1078,17,1.0860e+07,8.8952e+06,1.9650e+06,0.1344
3.2460,18,1.0819e+07,8.8555e+06,1.9639e+06,0.1375
3.3812,19,1.0417e+07,8.4593e+06,1.9578e+06,0.1343
3.5210,20,9.8485e+06,7.8997e+06,1.9489e+06,0.1323
3.6614,21,9.3718e+06,7.4329e+06,1.9389e+06,0.1330
3.8016,22,9.0732e+06,7.1449e+06,1.9283e+06,0.1330
3.9427,23,8.8902e+06,6.9726e+06,1.9176e+06,0.1338
4.0832,24,8.7568e+06,6.8495e+06,1.9072e+06,0.1334
4.2270,25,8.6460e+06,6.7481e+06,1.8980e+06,0.1365
4.3672,26,8.5412e+06,6.6503e+06,1.8910e+06,0.1327
4.5078,27,8.4075e+06,6.5194e+06,1.8881e+06,0.1331
4.6495,28,8.2158e+06,6.3270e+06,1.8888e+06,0.1342
4.7921,29,7.9824e+06,6.0897e+06,1.8927e+06,0.1353
4.9346,30,7.7759e+06,5.8770e+06,1.8989e+06,0.1348
5.0776,31,7.6698e+06,5.7641e+06,1.9057e+06,0.1356
5.2186,32,7.6681e+06,5.7569e+06,1.9112e+06,0.1334
5.3622,33,7.7004e+06,5.7864e+06,1.9140e+06,0.1312
5.4997,34,7.6848e+06,5.7720e+06,1.9128e+06,0.1366
5.6375,35,7.6005e+06,5.6933e+06,1.9072e+06,0.1370
5.7788,36,7.4892e+06,5.5902e+06,1.8989e+06,0.1339
5.9212,37,7.3979e+06,5.5081e+06,1.8898e+06,0.1350
6.0638,38,7.3346e+06,5.4535e+06,1.8811e+06,0.1355
6.2084,39,7.2693e+06,5.3960e+06,1.8733e+06,0.1369
6.3508,40,7.1787e+06,5.3123e+06,1.8665e+06,0.1349
6.4929,41,7.0650e+06,5.2042e+06,1.8609e+06,0.1345
6.6349,42,6.9464e+06,5.0906e+06,1.8558e+06,0.1347
6.7771,43,6.8365e+06,4.9860e+06,1.8505e+06,0.1348
6.9195,44,6.7404e+06,4.8954e+06,1.8450e+06,0.1350
7.0610,45,6.6550e+06,4.8162e+06,1.8388e+06,0.1340
7.2034,46,6.5788e+06,4.7469e+06,1.8319e+06,0.1350
7.3466,47,6.5167e+06,4.6920e+06,1.8247e+06,0.1356
7.4880,48,6.4746e+06,4.6568e+06,1.8178e+06,0.1342
7.6301,49,6.4529e+06,4.6415e+06,1.8114e+06,0.1347
7.7713,50,6.4439e+06,4.6383e+06,1.8056e+06,0.1340
7.9121,51,6.4350e+06,4.6346e+06,1.8004e+06,0.1335
8.0541,52,6.4136e+06,4.6184e+06,1.7953e+06,0.1348
8.1966,53,6.3714e+06,4.5816e+06,1.7897e+06,0.1350
8.3387,54,6.3080e+06,4.5246e+06,1.7833e+06,0.1346
8.4804,55,6.2288e+06,4.4531e+06,1.7758e+06,0.1340
8.6232,56,6.1450e+06,4.3779e+06,1.7671e+06,0.1348
8.7650,57,6.0630e+06,4.3054e+06,1.7576e+06,0.1343
8.9058,58,5.9859e+06,4.2384e+06,1.7475e+06,0.1334
9.0484,59,5.9124e+06,4.1751e+06,1.7374e+06,0.1352
9.1902,60,5.8393e+06,4.1117e+06,1.7277e+06,0.1345
9.3331,61,5.7657e+06,4.0470e+06,1.7187e+06,0.1355
9.4745,62,5.6971e+06,3.9862e+06,1.7109e+06,0.1337
9.6163,63,5.6406e+06,3.9366e+06,1.7040e+06,0.1345
9.7585,64,5.5987e+06,3.9008e+06,1.6979e+06,0.1348
9.8995,65,5.5653e+06,3.8732e+06,1.6920e+06,0.1336
10.0414,66,5.5282e+06,3.8423e+06,1.6859e+06,0.1344
10.1836,67,5.4783e+06,3.7991e+06,1.6792e+06,0.1347
10.3267,68,5.4170e+06,3.7454e+06,1.6716e+06,0.1356
10.4683,69,5.3552e+06,3.6920e+06,1.6632e+06,0.1338
10.6109,70,5.3054e+06,3.6512e+06,1.6543e+06,0.1353
10.7530,71,5.2717e+06,3.6264e+06,1.6453e+06,0.1347
10.8942,72,5.2481e+06,3.6114e+06,1.6367e+06,0.1336
11.0357,73,5.2223e+06,3.5938e+06,1.6285e+06,0.1341
11.1779,74,5.1867e+06,3.5658e+06,1.6209e+06,0.1347
11.3203,75,5.1422e+06,3.5283e+06,1.6139e+06,0.1348
11.4627,76,5.0941e+06,3.4870e+06,1.6071e+06,0.1348
11.6057,77,5.0469e+06,3.4463e+06,1.6007e+06,0.1356
11.7460,78,4.9988e+06,3.4047e+06,1.5941e+06,0.1328
11.8882,79,4.9454e+06,3.3580e+06,1.5874e+06,0.1348
12.0302,80,4.8835e+06,3.3032e+06,1.5803e+06,0.1346
12.1726,81,4.8169e+06,3.2441e+06,1.5728e+06,0.1349
12.3147,82,4.7535e+06,3.1885e+06,1.5650e+06,0.1345
12.4570,83,4.6999e+06,3.1424e+06,1.5575e+06,0.1346
12.5994,84,4.6565e+06,3.1065e+06,1.5500e+06,0.1351
12.7413,85,4.6185e+06,3.0757e+06,1.5428e+06,0.1345
12.8835,86,4.5797e+06,3.0436e+06,1.5361e+06,0.1324
13.0241,87,4.5365e+06,3.0068e+06,1.5298e+06,0.1334
13.1657,88,4.4907e+06,2.9669e+06,1.5237e+06,0.1343
13.3103,89,4.4472e+06,2.9295e+06,1.5177e+06,0.1369
13.4534,90,4.4107e+06,2.8990e+06,1.5117e+06,0.1317
13.5937,91,4.3828e+06,2.8771e+06,1.5056e+06,0.1330
13.7337,92,4.3605e+06,2.8613e+06,1.4993e+06,0.1328
13.8761,93,4.3388e+06,2.8461e+06,1.4927e+06,0.1350
14.0378,94,4.3128e+06,2.8267e+06,1.4860e+06,0.1289
14.1797,95,4.2797e+06,2.8004e+06,1.4793e+06,0.1342
14.3211,96,4.2405e+06,2.7678e+06,1.4727e+06,0.1340
14.4651,97,4.1977e+06,2.7312e+06,1.4665e+06,0.1316
14.6066,98,4.1540e+06,2.6933e+06,1.4607e+06,0.1340
14.7465,99,4.1111e+06,2.6559e+06,1.4551e+06,0.1327
14.8919,100,4.0689e+06,2.6193e+06,1.4497e+06,0.1380
15.0337,101,4.0267e+06,2.5826e+06,1.4442e+06,0.1316
15.1741,102,3.9843e+06,2.5458e+06,1.4385e+06,0.1328
15.3147,103,3.9430e+06,2.5105e+06,1.4325e+06,0.1326
15.4563,104,3.9053e+06,2.4792e+06,1.4261e+06,0.1340
15.5997,105,3.8729e+06,2.4535e+06,1.4194e+06,0.1361
15.7415,106,3.8444e+06,2.4319e+06,1.4125e+06,0.1343
15.8850,107,3.8157e+06,2.4104e+06,1.4054e+06,0.1363
16.0258,108,3.7835e+06,2.3850e+06,1.3985e+06,0.1336
16.1679,109,3.7470e+06,2.3551e+06,1.3919e+06,0.1346
16.3096,110,3.7091e+06,2.3235e+06,1.3856e+06,0.1341
16.4507,111,3.6736e+06,2.2939e+06,1.3798e+06,0.1338
16.5929,112,3.6429e+06,2.2684e+06,1.3744e+06,0.1348
16.7352,113,3.6157e+06,2.2462e+06,1.3695e+06,0.1349
16.8777,114,3.5886e+06,2.2238e+06,1.3648e+06,0.1349
17.0190,115,3.5590e+06,2.1987e+06,1.3603e+06,0.1339
17.1610,116,3.5276e+06,2.1718e+06,1.3559e+06,0.1347
17.3035,117,3.4978e+06,2.1463e+06,1.3515e+06,0.1350
17.4459,118,3.4721e+06,2.1250e+06,1.3471e+06,0.1351
17.5879,119,3.4499e+06,2.1072e+06,1.3427e+06,0.1328
17.7293,120,3.4274e+06,2.0892e+06,1.3382e+06,0.1342
17.8706,121,3.4003e+06,2.0668e+06,1.3334e+06,0.1341
18.0135,122,3.3672e+06,2.0388e+06,1.3285e+06,0.1356
18.1546,123,3.3305e+06,2.0073e+06,1.3232e+06,0.1338
18.2970,124,3.2944e+06,1.9766e+06,1.3178e+06,0.1351
18.4391,125,3.2619e+06,1.9499e+06,1.3120e+06,0.1344
18.5802,126,3.2336e+06,1.9275e+06,1.3061e+06,0.1338
18.7215,127,3.2079e+06,1.9078e+06,1.3001e+06,0.1338
18.8639,128,3.1827e+06,1.8885e+06,1.2942e+06,0.1350
19.0065,129,3.1570e+06,1.8686e+06,1.2884e+06,0.1350
19.1484,130,3.1316e+06,1.8486e+06,1.2830e+06,0.1347
19.2904,131,3.1072e+06,1.8292e+06,1.2780e+06,0.1346
19.4326,132,3.0841e+06,1.8107e+06,1.2734e+06,0.1346
