run_time,iteration,loss,style_loss,content_loss,time
0.1305,0,3.7892e+08,3.7892e+08,0.0000e+00,0.1305
0.2748,1,2.3938e+08,2.3865e+08,7.2823e+05,0.1339
0.4162,2,1.3469e+08,1.3348e+08,1.2120e+06,0.1342
0.5574,3,7.8953e+07,7.7377e+07,1.5762e+06,0.1337
0.6993,4,6.2041e+07,6.0266e+07,1.7743e+06,0.1346
0.8414,5,5.3027e+07,5.1163e+07,1.8636e+06,0.1348
0.9853,6,4.7472e+07,4.5543e+07,1.9289e+06,0.1367
1.1260,7,4.3000e+07,4.1015e+07,1.9854e+06,0.1335
1.2675,8,3.9028e+07,3.6984e+07,2.0435e+06,0.1342
1.4098,9,3.5796e+07,3.3691e+07,2.1056e+06,0.1349
1.5532,10,3.3261e+07,3.1103e+07,2.1589e+06,0.1328
1.6945,11,3.0969e+07,2.8773e+07,2.1964e+06,0.1339
1.8357,12,2.8891e+07,2.6670e+07,2.2203e+06,0.1340
1.9781,13,2.7244e+07,2.5006e+07,2.2386e+06,0.1344
2.1191,14,2.6074e+07,2.3818e+07,2.2556e+06,0.1338
2.2609,15,2.5137e+07,2.2865e+07,2.2725e+06,0.1343
2.4034,16,2.4192e+07,2.1901e+07,2.2906e+06,0.1351
2.5451,17,2.3236e+07,2.0928e+07,2.3076e+06,0.1345
2.6876,18,2.2371e+07,2.0050e+07,2.3214e+06,0.1352
2.8278,19,2.1614e+07,1.9286e+07,2.3289e+06,0.1328
2.9705,20,2.0906e+07,1.8576e+07,2.3294e+06,0.1353
3.1127,21,2.0195e+07,1.7871e+07,2.3240e+06,0.1349
3.2543,22,1.9518e+07,1.7203e+07,2.3153e+06,0.1343
3.3955,23,1.8902e+07,1.6596e+07,2.3065e+06,0.1337
3.5400,24,1.8352e+07,1.6052e+07,2.2998e+06,0.1371
3.6810,25,1.7843e+07,1.5547e+07,2.2958e+06,0.1333
3.8218,26,1.7351e+07,1.5057e+07,2.2942e+06,0.1335
3.9646,27,1.6877e+07,1.4583e+07,2.2932e+06,0.1344
4.1069,28,1.6432e+07,1.4140e+07,2.2921e+06,0.1350
4.2484,29,1.6024e+07,1.3735e+07,2.2893e+06,0.1339
4.3902,30,1.5647e+07,1.3362e+07,2.2841e+06,0.1345
4.5318,31,1.5300e+07,1.3024e+07,2.2758e+06,0.1340
4.6736,32,1.4980e+07,1.2714e+07,2.2660e+06,0.1346
4.8165,33,1.4678e+07,1.2423e+07,2.2556e+06,0.1354
4.9594,34,1.4389e+07,1.2143e+07,2.2462e+06,0.1342
5.1022,35,1.4104e+07,1.1865e+07,2.2390e+06,0.1343
5.2427,36,1.3828e+07,1.1595e+07,2.2338e+06,0.1329
5.3853,37,1.3566e+07,1.1336e+07,2.2303e+06,0.1345
5.5271,38,1.3322e+07,1.1095e+07,2.2278e+06,0.1341
5.6686,39,1.3098e+07,1.0873e+07,2.2258e+06,0.1326
5.8101,40,1.2885e+07,1.0661e+07,2.2235e+06,0.1338
5.9513,41,1.2678e+07,1.0457e+07,2.2203e+06,0.1336
6.1044,42,1.2477e+07,1.0261e+07,2.2157e+06,0.1312
6.2451,43,1.2281e+07,1.0071e+07,2.2105e+06,0.1333
6.3850,44,1.2087e+07,9.8822e+06,2.2050e+06,0.1326
6.5256,45,1.1888e+07,9.6889e+06,2.1996e+06,0.1329
6.6662,46,1.1684e+07,9.4891e+06,2.1948e+06,0.1325
6.8066,47,1.1476e+07,9.2849e+06,2.1907e+06,0.1329
6.9471,48,1.1269e+07,9.0812e+06,2.1873e+06,0.1333
7.0868,49,1.1070e+07,8.8854e+06,2.1847e+06,0.1323
7.2279,50,1.0886e+07,8.7033e+06,2.1826e+06,0.1338
7.3690,51,1.0715e+07,8.5348e+06,2.1804e+06,0.1338
7.5102,52,1.0554e+07,8.3757e+06,2.1779e+06,0.1336
7.6519,53,1.0396e+07,8.2215e+06,2.1745e+06,0.1340
7.7948,54,1.0242e+07,8.0717e+06,2.1705e+06,0.1349
7.9376,55,1.0095e+07,7.9291e+06,2.1661e+06,0.1351
8.0784,56,9.9542e+06,7.7928e+06,2.1614e+06,0.1335
8.2195,57,9.8177e+06,7.6613e+06,2.1564e+06,0.1335
8.3610,58,9.6811e+06,7.5295e+06,2.1516e+06,0.1340
8.5034,59,9.5428e+06,7.3958e+06,2.1469e+06,0.1350
8.6450,60,9.4051e+06,7.2623e+06,2.1429e+06,0.1338
8.7877,61,9.2727e+06,7.1337e+06,2.1390e+06,0.1354
8.9301,62,9.1471e+06,7.0119e+06,2.1353e+06,0.1351
9.0732,63,9.0309e+06,6.8995e+06,2.1314e+06,0.1356
9.2133,64,8.9253e+06,6.7980e+06,2.1273e+06,0.1327
9.3547,65,8.8283e+06,6.7052e+06,2.1231e+06,0.1339
9.4966,66,8.7402e+06,6.6217e+06,2.1186e+06,0.1341
9.6384,67,8.6573e+06,6.5437e+06,2.1137e+06,0.1343
9.7812,68,8.5765e+06,6.4679e+06,2.1086e+06,0.1354
9.9241,69,8.4950e+06,6.3918e+06,2.1032e+06,0.1354
10.0655,70,8.4098e+06,6.3120e+06,2.0978e+06,0.1339
10.2055,71,8.3200e+06,6.2276e+06,2.0924e+06,0.1327
10.3477,72,8.2267e+06,6.1395e+06,2.0872e+06,0.1346
10.4905,73,8.1317e+06,6.0495e+06,2.0822e+06,0.1352
10.6320,74,8.0352e+06,5.9579e+06,2.0773e+06,0.1340
10.7740,75,7.9354e+06,5.8632e+06,2.0723e+06,0.1341
10.9172,76,7.8308e+06,5.7634e+06,2.0674e+06,0.1360
11.0588,77,7.7221e+06,5.6595e+06,2.0627e+06,0.1339
11.2005,78,7.6129e+06,5.5549e+06,2.0580e+06,0.1343
11.3417,79,7.5081e+06,5.4546e+06,2.0534e+06,0.1336
11.4841,80,7.4110e+06,5.3621e+06,2.0490e+06,0.1350
11.6290,81,7.3213e+06,5.2769e+06,2.0444e+06,0.1375
11.7693,82,7.2355e+06,5.1956e+06,2.0399e+06,0.1330
11.9113,83,7.1504e+06,5.1149e+06,2.0356e+06,0.1346
12.0531,84,7.0649e+06,5.0337e+06,2.0312e+06,0.1346
12.1946,85,6.9802e+06,4.9534e+06,2.0267e+06,0.1340
12.3350,86,6.8991e+06,4.8769e+06,2.0222e+06,0.1330
12.4778,87,6.8245e+06,4.8070e+06,2.0175e+06,0.1349
12.6196,88,6.7568e+06,4.7440e+06,2.0129e+06,0.1343
12.7615,89,6.6937e+06,4.6856e+06,2.0081e+06,0.1342
12.9033,90,6.6321e+06,4.6288e+06,2.0032e+06,0.1346
13.0459,91,6.5689e+06,4.5706e+06,1.9982e+06,0.1348
13.1875,92,6.5042e+06,4.5112e+06,1.9930e+06,0.1341
13.3291,93,6.4395e+06,4.4518e+06,1.9877e+06,0.1341
13.4721,94,6.3762e+06,4.3938e+06,1.9824e+06,0.1333
13.6136,95,6.3138e+06,4.3366e+06,1.9772e+06,0.1340
13.7570,96,6.2507e+06,4.2784e+06,1.9722e+06,0.1356
13.8984,97,6.1846e+06,4.2173e+06,1.9674e+06,0.1340
14.0395,98,6.1151e+06,4.1524e+06,1.9627e+06,0.1338
14.1814,99,6.0439e+06,4.0857e+06,1.9583e+06,0.1342
14.3233,100,5.9729e+06,4.0189e+06,1.9539e+06,0.1344
14.4681,101,5.9042e+06,3.9543e+06,1.9499e+06,0.1316
14.6082,102,5.8388e+06,3.8927e+06,1.9461e+06,0.1326
14.7503,103,5.7761e+06,3.8339e+06,1.9423e+06,0.1344
14.8910,104,5.7146e+06,3.7762e+06,1.9384e+06,0.1335
15.0337,105,5.6535e+06,3.7191e+06,1.9345e+06,0.1351
15.1745,106,5.5929e+06,3.6625e+06,1.9305e+06,0.1335
15.3177,107,5.5336e+06,3.6071e+06,1.9264e+06,0.1357
15.4590,108,5.4762e+06,3.5540e+06,1.9223e+06,0.1340
15.6014,109,5.4205e+06,3.5024e+06,1.9181e+06,0.1352
15.7432,110,5.3658e+06,3.4520e+06,1.9137e+06,0.1341
15.8838,111,5.3113e+06,3.4020e+06,1.9093e+06,0.1332
16.0250,112,5.2574e+06,3.3526e+06,1.9048e+06,0.1339
16.1668,113,5.2043e+06,3.3042e+06,1.9001e+06,0.1343
16.3089,114,5.1526e+06,3.2572e+06,1.8954e+06,0.1346
16.4507,115,5.1027e+06,3.2119e+06,1.8908e+06,0.1345
16.5932,116,5.0546e+06,3.1682e+06,1.8864e+06,0.1353
16.7365,117,5.0079e+06,3.1260e+06,1.8820e+06,0.1350
16.8772,118,4.9626e+06,3.0849e+06,1.8777e+06,0.1322
17.0186,119,4.9185e+06,3.0449e+06,1.8736e+06,0.1341
17.1602,120,4.8755e+06,3.0060e+06,1.8696e+06,0.1342
17.3011,121,4.8331e+06,2.9673e+06,1.8658e+06,0.1337
17.4432,122,4.7905e+06,2.9284e+06,1.8621e+06,0.1348
17.5868,123,4.7470e+06,2.8887e+06,1.8584e+06,0.1362
17.7289,124,4.7028e+06,2.8483e+06,1.8546e+06,0.1347
17.8709,125,4.6589e+06,2.8084e+06,1.8506e+06,0.1345
18.0125,126,4.6162e+06,2.7698e+06,1.8464e+06,0.1345
18.1542,127,4.5752e+06,2.7332e+06,1.8420e+06,0.1342
18.2960,128,4.5357e+06,2.6982e+06,1.8375e+06,0.1345
18.4376,129,4.4967e+06,2.6640e+06,1.8327e+06,0.1344
18.5796,130,4.4577e+06,2.6298e+06,1.8279e+06,0.1348
18.7217,131,4.4189e+06,2.5960e+06,1.8229e+06,0.1346
