run_time,iteration,loss,style_loss,content_loss,time
0.1202,0,3.7936e+09,3.7936e+09,0.0000e+00,0.1202
0.2566,1,3.4988e+09,3.4982e+09,5.9984e+05,0.1234
0.3899,2,3.1212e+09,3.1199e+09,1.2998e+06,0.1260
0.5209,3,2.7726e+09,2.7707e+09,1.8390e+06,0.1241
0.6545,4,2.4849e+09,2.4826e+09,2.2541e+06,0.1266
0.7875,5,2.2572e+09,2.2546e+09,2.5801e+06,0.1262
0.9239,6,2.0760e+09,2.0732e+09,2.8388e+06,0.1293
1.0552,7,1.9232e+09,1.9201e+09,3.0456e+06,0.1245
1.1894,8,1.7855e+09,1.7822e+09,3.2135e+06,0.1273
1.3204,9,1.6591e+09,1.6558e+09,3.3595e+06,0.1240
1.4529,10,1.5439e+09,1.5404e+09,3.4922e+06,0.1257
1.5858,11,1.4400e+09,1.4364e+09,3.6198e+06,0.1259
1.7183,12,1.3475e+09,1.3438e+09,3.7386e+06,0.1256
1.8532,13,1.2652e+09,1.2613e+09,3.8476e+06,0.1277
1.9840,14,1.1920e+09,1.1881e+09,3.9455e+06,0.1239
2.1188,15,1.1270e+09,1.1229e+09,4.0365e+06,0.1269
2.2498,16,1.0689e+09,1.0648e+09,4.1222e+06,0.1240
2.3836,17,1.0170e+09,1.0128e+09,4.1990e+06,0.1265
2.5145,18,9.7034e+08,9.6608e+08,4.2684e+06,0.1239
2.6474,19,9.2811e+08,9.2378e+08,4.3300e+06,0.1257
2.7815,20,8.8953e+08,8.8514e+08,4.3882e+06,0.1267
2.9139,21,8.5437e+08,8.4993e+08,4.4423e+06,0.1249
3.0487,22,8.2225e+08,8.1776e+08,4.4942e+06,0.1275
3.1804,23,7.9271e+08,7.8817e+08,4.5426e+06,0.1242
3.3146,24,7.6520e+08,7.6061e+08,4.5867e+06,0.1268
3.4453,25,7.3960e+08,7.3497e+08,4.6308e+06,0.1233
3.5789,26,7.1548e+08,7.1080e+08,4.6746e+06,0.1263
3.7097,27,6.9264e+08,6.8792e+08,4.7187e+06,0.1235
3.8439,28,6.7121e+08,6.6644e+08,4.7641e+06,0.1267
3.9774,29,6.5092e+08,6.4611e+08,4.8087e+06,0.1261
4.1102,30,6.3159e+08,6.2674e+08,4.8514e+06,0.1255
4.2449,31,6.1326e+08,6.0836e+08,4.8919e+06,0.1271
4.3766,32,5.9588e+08,5.9095e+08,4.9290e+06,0.1244
4.5111,33,5.7939e+08,5.7442e+08,4.9632e+06,0.1270
4.6421,34,5.6372e+08,5.5873e+08,4.9951e+06,0.1236
4.7786,35,5.4878e+08,5.4376e+08,5.0239e+06,0.1237
4.9124,36,5.3460e+08,5.2955e+08,5.0514e+06,0.1264
