run_time,iteration,loss,style_loss,content_loss,time
0.1200,0,4.2473e+08,4.2473e+08,0.0000e+00,0.1200
0.2550,1,2.9021e+08,2.8951e+08,6.9785e+05,0.1257
0.3867,2,1.8137e+08,1.8013e+08,1.2350e+06,0.1240
0.5206,3,1.4557e+08,1.4408e+08,1.4900e+06,0.1265
0.6508,4,1.2764e+08,1.2598e+08,1.6579e+06,0.1233
0.7884,5,1.1583e+08,1.1402e+08,1.8064e+06,0.1305
0.9225,6,1.0378e+08,1.0183e+08,1.9484e+06,0.1273
1.0534,7,9.1380e+07,8.9289e+07,2.0906e+06,0.1236
1.1860,8,8.0850e+07,7.8630e+07,2.2198e+06,0.1255
1.3165,9,7.2412e+07,7.0100e+07,2.3129e+06,0.1232
1.4498,10,6.5289e+07,6.2930e+07,2.3589e+06,0.1265
1.5814,11,5.9431e+07,5.7060e+07,2.3703e+06,0.1242
1.7159,12,5.5100e+07,5.2735e+07,2.3644e+06,0.1275
1.8473,13,5.1939e+07,4.9581e+07,2.3580e+06,0.1245
1.9819,14,4.9239e+07,4.6878e+07,2.3611e+06,0.1275
2.1138,15,4.6699e+07,4.4324e+07,2.3759e+06,0.1250
2.2480,16,4.4400e+07,4.2000e+07,2.3992e+06,0.1271
2.3808,17,4.2448e+07,4.0021e+07,2.4276e+06,0.1259
2.5115,18,4.0864e+07,3.8409e+07,2.4545e+06,0.1239
2.6456,19,3.9600e+07,3.7123e+07,2.4771e+06,0.1269
2.7777,20,3.8601e+07,3.6107e+07,2.4939e+06,0.1247
2.9126,21,3.7788e+07,3.5283e+07,2.5051e+06,0.1277
3.0440,22,3.7035e+07,3.4522e+07,2.5134e+06,0.1244
3.1783,23,3.6240e+07,3.3718e+07,2.5214e+06,0.1272
3.3106,24,3.5397e+07,3.2867e+07,2.5297e+06,0.1252
3.4436,25,3.4562e+07,3.2024e+07,2.5381e+06,0.1258
3.5776,26,3.3803e+07,3.1257e+07,2.5457e+06,0.1270
3.7087,27,3.3125e+07,3.0573e+07,2.5522e+06,0.1241
3.8442,28,3.2480e+07,2.9923e+07,2.5574e+06,0.1284
3.9771,29,3.1822e+07,2.9261e+07,2.5608e+06,0.1228
4.1114,30,3.1159e+07,2.8597e+07,2.5625e+06,0.1270
4.2441,31,3.0539e+07,2.7976e+07,2.5635e+06,0.1256
4.3768,32,2.9993e+07,2.7429e+07,2.5647e+06,0.1258
4.5111,33,2.9507e+07,2.6940e+07,2.5670e+06,0.1271
4.6425,34,2.9056e+07,2.6485e+07,2.5709e+06,0.1244
4.7785,35,2.8621e+07,2.6046e+07,2.5749e+06,0.1288
4.9108,36,2.8210e+07,2.5632e+07,2.5786e+06,0.1246
5.0519,37,2.7828e+07,2.5247e+07,2.5812e+06,0.1330
5.1862,38,2.7478e+07,2.4896e+07,2.5821e+06,0.1264
5.3197,39,2.7149e+07,2.4568e+07,2.5808e+06,0.1257
5.4517,40,2.6836e+07,2.4259e+07,2.5778e+06,0.1249
5.5858,41,2.6535e+07,2.3961e+07,2.5737e+06,0.1266
5.7162,42,2.6245e+07,2.3677e+07,2.5688e+06,0.1232
5.8512,43,2.5966e+07,2.3403e+07,2.5635e+06,0.1276
5.9823,44,2.5693e+07,2.3134e+07,2.5588e+06,0.1237
6.1167,45,2.5414e+07,2.2860e+07,2.5548e+06,0.1268
6.2491,46,2.5116e+07,2.2564e+07,2.5521e+06,0.1253
6.3830,47,2.4804e+07,2.2254e+07,2.5507e+06,0.1268
6.5159,48,2.4498e+07,2.1948e+07,2.5499e+06,0.1257
6.6476,49,2.4204e+07,2.1655e+07,2.5492e+06,0.1245
6.7819,50,2.3922e+07,2.1373e+07,2.5483e+06,0.1272
6.9124,51,2.3646e+07,2.1100e+07,2.5467e+06,0.1235
7.0500,52,2.3371e+07,2.0827e+07,2.5443e+06,0.1304
7.1823,53,2.3095e+07,2.0554e+07,2.5409e+06,0.1248
7.3165,54,2.2827e+07,2.0290e+07,2.5369e+06,0.1269
7.4515,55,2.2573e+07,2.0040e+07,2.5325e+06,0.1274
7.5819,56,2.2338e+07,1.9810e+07,2.5285e+06,0.1231
7.7162,57,2.2119e+07,1.9594e+07,2.5248e+06,0.1267
7.8474,58,2.1902e+07,1.9380e+07,2.5221e+06,0.1242
7.9854,59,2.1684e+07,1.9163e+07,2.5204e+06,0.1298
8.1210,60,2.1464e+07,1.8944e+07,2.5193e+06,0.1274
8.2525,61,2.1243e+07,1.8725e+07,2.5185e+06,0.1240
8.3866,62,2.1026e+07,1.8509e+07,2.5174e+06,0.1267
8.5177,63,2.0811e+07,1.8296e+07,2.5156e+06,0.1239
8.6526,64,2.0593e+07,1.8081e+07,2.5128e+06,0.1274
8.7865,65,2.0376e+07,1.7867e+07,2.5088e+06,0.1260
8.9184,66,2.0161e+07,1.7657e+07,2.5038e+06,0.1246
9.0565,67,1.9952e+07,1.7454e+07,2.4983e+06,0.1307
9.1886,68,1.9754e+07,1.7261e+07,2.4927e+06,0.1246
9.3229,69,1.9563e+07,1.7076e+07,2.4871e+06,0.1268
9.4569,70,1.9375e+07,1.6894e+07,2.4817e+06,0.1269
9.5893,71,1.9185e+07,1.6708e+07,2.4768e+06,0.1251
9.7253,72,1.8988e+07,1.6516e+07,2.4729e+06,0.1275
9.8581,73,1.8790e+07,1.6320e+07,2.4701e+06,0.1251
9.9917,74,1.8597e+07,1.6129e+07,2.4682e+06,0.1262
10.1262,75,1.8412e+07,1.5945e+07,2.4666e+06,0.1270
10.2568,76,1.8234e+07,1.5769e+07,2.4650e+06,0.1234
10.3918,77,1.8059e+07,1.5596e+07,2.4632e+06,0.1276
10.5240,78,1.7881e+07,1.5420e+07,2.4610e+06,0.1251
10.6589,79,1.7699e+07,1.5240e+07,2.4583e+06,0.1276
10.7929,80,1.7514e+07,1.5059e+07,2.4554e+06,0.1269
10.9281,81,1.7331e+07,1.4878e+07,2.4523e+06,0.1282
11.0625,82,1.7149e+07,1.4700e+07,2.4494e+06,0.1252
11.1943,83,1.6971e+07,1.4525e+07,2.4468e+06,0.1245
11.3286,84,1.6796e+07,1.4352e+07,2.4446e+06,0.1272
11.4642,85,1.6623e+07,1.4180e+07,2.4429e+06,0.1279
11.5964,86,1.6452e+07,1.4011e+07,2.4416e+06,0.1246
11.7327,87,1.6287e+07,1.3847e+07,2.4406e+06,0.1249
11.8663,88,1.6129e+07,1.3689e+07,2.4397e+06,0.1263
11.9971,89,1.5974e+07,1.3536e+07,2.4385e+06,0.1237
12.1308,90,1.5821e+07,1.3384e+07,2.4370e+06,0.1265
12.2614,91,1.5668e+07,1.3233e+07,2.4350e+06,0.1234
12.3956,92,1.5514e+07,1.3082e+07,2.4326e+06,0.1271
12.5264,93,1.5364e+07,1.2934e+07,2.4299e+06,0.1238
12.6614,94,1.5218e+07,1.2792e+07,2.4268e+06,0.1278
12.7921,95,1.5078e+07,1.2654e+07,2.4239e+06,0.1236
12.9254,96,1.4941e+07,1.2519e+07,2.4212e+06,0.1263
13.0579,97,1.4801e+07,1.2383e+07,2.4187e+06,0.1254
13.1919,98,1.4658e+07,1.2242e+07,2.4166e+06,0.1269
13.3266,99,1.4513e+07,1.2098e+07,2.4150e+06,0.1275
13.4578,100,1.4368e+07,1.1954e+07,2.4137e+06,0.1242
13.5952,101,1.4226e+07,1.1814e+07,2.4125e+06,0.1261
13.7283,102,1.4089e+07,1.1678e+07,2.4112e+06,0.1258
13.8605,103,1.3957e+07,1.1547e+07,2.4097e+06,0.1251
13.9946,104,1.3826e+07,1.1418e+07,2.4081e+06,0.1268
14.1253,105,1.3696e+07,1.1290e+07,2.4063e+06,0.1234
14.2608,106,1.3568e+07,1.1164e+07,2.4044e+06,0.1283
14.3934,107,1.3442e+07,1.1040e+07,2.4021e+06,0.1254
