run_time,iteration,loss,style_loss,content_loss,time
0.1302,0,1.0400e+09,1.0400e+09,0.0000e+00,0.1302
0.2635,1,7.2782e+08,7.2706e+08,7.5393e+05,0.1239
0.3987,2,4.6514e+08,4.6347e+08,1.6648e+06,0.1280
0.5296,3,3.1529e+08,3.1291e+08,2.3734e+06,0.1238
0.6635,4,2.3997e+08,2.3724e+08,2.7317e+06,0.1269
0.7957,5,1.9869e+08,1.9590e+08,2.7959e+06,0.1253
0.9315,6,1.7628e+08,1.7350e+08,2.7825e+06,0.1289
1.0642,7,1.5968e+08,1.5687e+08,2.8157e+06,0.1257
1.1966,8,1.4395e+08,1.4105e+08,2.8956e+06,0.1255
1.3307,9,1.2831e+08,1.2531e+08,3.0009e+06,0.1269
1.4613,10,1.1437e+08,1.1125e+08,3.1157e+06,0.1237
1.5956,11,1.0411e+08,1.0089e+08,3.2189e+06,0.1273
1.7256,12,9.7024e+07,9.3729e+07,3.2950e+06,0.1231
1.8625,13,9.0827e+07,8.7483e+07,3.3448e+06,0.1295
1.9956,14,8.4081e+07,8.0709e+07,3.3726e+06,0.1260
2.1307,15,7.7015e+07,7.3624e+07,3.3915e+06,0.1280
2.2671,16,7.0353e+07,6.6941e+07,3.4127e+06,0.1269
2.3994,17,6.4627e+07,6.1185e+07,3.4420e+06,0.1252
2.5326,18,6.0052e+07,5.6569e+07,3.4828e+06,0.1261
2.6669,19,5.6596e+07,5.3065e+07,3.5308e+06,0.1272
2.7975,20,5.4108e+07,5.0527e+07,3.5810e+06,0.1235
2.9325,21,5.2347e+07,4.8721e+07,3.6266e+06,0.1279
3.0644,22,5.1011e+07,4.7348e+07,3.6632e+06,0.1247
3.1985,23,4.9835e+07,4.6147e+07,3.6888e+06,0.1268
3.3307,24,4.8641e+07,4.4937e+07,3.7034e+06,0.1252
3.4642,25,4.7379e+07,4.3669e+07,3.7099e+06,0.1264
3.5987,26,4.6100e+07,4.2390e+07,3.7103e+06,0.1270
3.7305,27,4.4901e+07,4.1193e+07,3.7086e+06,0.1246
3.8655,28,4.3837e+07,4.0130e+07,3.7069e+06,0.1279
3.9973,29,4.2906e+07,3.9199e+07,3.7072e+06,0.1247
4.1311,30,4.2059e+07,3.8349e+07,3.7096e+06,0.1267
4.2664,31,4.1239e+07,3.7526e+07,3.7126e+06,0.1277
4.3972,32,4.0414e+07,3.6698e+07,3.7156e+06,0.1236
4.5328,33,3.9591e+07,3.5874e+07,3.7168e+06,0.1281
4.6647,34,3.8817e+07,3.5101e+07,3.7158e+06,0.1246
4.7993,35,3.8123e+07,3.4410e+07,3.7132e+06,0.1272
4.9328,36,3.7489e+07,3.3782e+07,3.7071e+06,0.1263
5.0641,37,3.6878e+07,3.3179e+07,3.6991e+06,0.1242
5.1995,38,3.6257e+07,3.2566e+07,3.6904e+06,0.1282
