run_time,iteration,loss,style_loss,content_loss,time
0.1213,0,1.0733e+08,1.0733e+08,0.0000e+00,0.1213
0.2529,1,4.6352e+07,4.5613e+07,7.3913e+05,0.1227
0.3868,2,3.3036e+07,3.1774e+07,1.2621e+06,0.1262
0.5173,3,2.8524e+07,2.6879e+07,1.6451e+06,0.1233
0.6512,4,2.6345e+07,2.4469e+07,1.8765e+06,0.1267
0.7847,5,2.4336e+07,2.2341e+07,1.9955e+06,0.1265
0.9217,6,2.2703e+07,2.0634e+07,2.0693e+06,0.1298
1.0555,7,2.1413e+07,1.9295e+07,2.1180e+06,0.1267
1.1851,8,2.0310e+07,1.8148e+07,2.1617e+06,0.1228
1.3204,9,1.9352e+07,1.7152e+07,2.2003e+06,0.1281
1.4515,10,1.8529e+07,1.6302e+07,2.2271e+06,0.1231
1.5853,11,1.7799e+07,1.5561e+07,2.2376e+06,0.1264
1.7153,12,1.7134e+07,1.4896e+07,2.2375e+06,0.1229
1.8500,13,1.6535e+07,1.4303e+07,2.2319e+06,0.1276
1.9812,14,1.5997e+07,1.3771e+07,2.2256e+06,0.1242
2.1152,15,1.5521e+07,1.3299e+07,2.2222e+06,0.1270
2.2490,16,1.5093e+07,1.2872e+07,2.2215e+06,0.1269
2.3807,17,1.4688e+07,1.2469e+07,2.2195e+06,0.1247
2.5145,18,1.4293e+07,1.2077e+07,2.2166e+06,0.1266
2.6445,19,1.3924e+07,1.1710e+07,2.2140e+06,0.1227
2.7787,20,1.3575e+07,1.1365e+07,2.2105e+06,0.1269
2.9093,21,1.3250e+07,1.1046e+07,2.2043e+06,0.1236
3.0443,22,1.2945e+07,1.0749e+07,2.1967e+06,0.1279
3.1753,23,1.2655e+07,1.0467e+07,2.1889e+06,0.1239
3.3085,24,1.2383e+07,1.0201e+07,2.1826e+06,0.1263
3.4407,25,1.2119e+07,9.9424e+06,2.1769e+06,0.1253
3.5754,26,1.1860e+07,9.6882e+06,2.1715e+06,0.1254
3.7108,27,1.1603e+07,9.4365e+06,2.1664e+06,0.1283
3.8416,28,1.1355e+07,9.1936e+06,2.1610e+06,0.1238
3.9759,29,1.1120e+07,8.9648e+06,2.1556e+06,0.1272
4.1063,30,1.0903e+07,8.7521e+06,2.1506e+06,0.1236
4.2401,31,1.0698e+07,8.5525e+06,2.1455e+06,0.1266
4.3716,32,1.0501e+07,8.3610e+06,2.1395e+06,0.1247
4.5054,33,1.0309e+07,8.1763e+06,2.1332e+06,0.1267
4.6382,34,1.0124e+07,7.9970e+06,2.1268e+06,0.1257
4.7722,35,9.9433e+06,7.8230e+06,2.1203e+06,0.1267
4.9069,36,9.7670e+06,7.6536e+06,2.1134e+06,0.1276
5.0374,37,9.5945e+06,7.4878e+06,2.1067e+06,0.1232
5.1724,38,9.4249e+06,7.3255e+06,2.0994e+06,0.1277
5.3021,39,9.2571e+06,7.1654e+06,2.0917e+06,0.1227
5.4361,40,9.0927e+06,7.0093e+06,2.0834e+06,0.1269
5.5667,41,8.9350e+06,6.8605e+06,2.0745e+06,0.1235
5.7004,42,8.7818e+06,6.7165e+06,2.0653e+06,0.1266
5.8313,43,8.6310e+06,6.5756e+06,2.0555e+06,0.1241
5.9660,44,8.4841e+06,6.4385e+06,2.0456e+06,0.1275
6.0984,45,8.3434e+06,6.3080e+06,2.0354e+06,0.1252
6.2302,46,8.2070e+06,6.1823e+06,2.0247e+06,0.1250
6.3632,47,8.0747e+06,6.0610e+06,2.0137e+06,0.1260
6.4951,48,7.9457e+06,5.9435e+06,2.0023e+06,0.1248
6.6296,49,7.8199e+06,5.8294e+06,1.9905e+06,0.1273
6.7607,50,7.6988e+06,5.7200e+06,1.9788e+06,0.1239
6.8961,51,7.5837e+06,5.6166e+06,1.9671e+06,0.1283
7.0271,52,7.4735e+06,5.5182e+06,1.9553e+06,0.1240
7.1627,53,7.3672e+06,5.4237e+06,1.9436e+06,0.1283
7.2948,54,7.2642e+06,5.3321e+06,1.9322e+06,0.1240
7.4263,55,7.1652e+06,5.2442e+06,1.9210e+06,0.1243
7.5590,56,7.0700e+06,5.1597e+06,1.9103e+06,0.1254
7.6903,57,6.9771e+06,5.0772e+06,1.8998e+06,0.1243
7.8226,58,6.8870e+06,4.9979e+06,1.8891e+06,0.1255
7.9555,59,6.7985e+06,4.9204e+06,1.8781e+06,0.1256
8.0899,60,6.7118e+06,4.8444e+06,1.8674e+06,0.1274
8.2202,61,6.6273e+06,4.7708e+06,1.8566e+06,0.1233
8.3540,62,6.5441e+06,4.6985e+06,1.8457e+06,0.1266
8.4836,63,6.4618e+06,4.6268e+06,1.8350e+06,0.1224
8.6180,64,6.3795e+06,4.5548e+06,1.8247e+06,0.1272
8.7483,65,6.2978e+06,4.4832e+06,1.8147e+06,0.1232
8.8830,66,6.2179e+06,4.4130e+06,1.8050e+06,0.1275
9.0140,67,6.1410e+06,4.3454e+06,1.7955e+06,0.1235
9.1479,68,6.0657e+06,4.2794e+06,1.7864e+06,0.1267
9.2793,69,5.9909e+06,4.2140e+06,1.7768e+06,0.1243
9.4136,70,5.9163e+06,4.1492e+06,1.7671e+06,0.1261
9.5466,71,5.8433e+06,4.0860e+06,1.7573e+06,0.1259
9.6789,72,5.7721e+06,4.0249e+06,1.7473e+06,0.1253
9.8137,73,5.7029e+06,3.9654e+06,1.7375e+06,0.1277
9.9447,74,5.6355e+06,3.9071e+06,1.7284e+06,0.1241
10.0790,75,5.5699e+06,3.8502e+06,1.7197e+06,0.1271
10.2099,76,5.5061e+06,3.7946e+06,1.7115e+06,0.1240
10.3429,77,5.4442e+06,3.7407e+06,1.7035e+06,0.1260
10.4731,78,5.3842e+06,3.6885e+06,1.6958e+06,0.1233
10.6103,79,5.3256e+06,3.6375e+06,1.6882e+06,0.1302
10.7434,80,5.2681e+06,3.5875e+06,1.6806e+06,0.1257
10.8752,81,5.2113e+06,3.5381e+06,1.6732e+06,0.1247
11.0121,82,5.1553e+06,3.4895e+06,1.6658e+06,0.1298
11.1425,83,5.0999e+06,3.4417e+06,1.6582e+06,0.1234
11.2769,84,5.0453e+06,3.3947e+06,1.6505e+06,0.1273
11.4076,85,4.9908e+06,3.3484e+06,1.6424e+06,0.1232
11.5405,86,4.9373e+06,3.3029e+06,1.6344e+06,0.1259
11.6730,87,4.8849e+06,3.2584e+06,1.6265e+06,0.1254
11.8061,88,4.8336e+06,3.2149e+06,1.6188e+06,0.1260
11.9415,89,4.7837e+06,3.1727e+06,1.6111e+06,0.1281
12.0717,90,4.7348e+06,3.1314e+06,1.6034e+06,0.1233
12.2055,91,4.6868e+06,3.0912e+06,1.5956e+06,0.1267
12.3355,92,4.6398e+06,3.0520e+06,1.5878e+06,0.1232
12.4690,93,4.5936e+06,3.0136e+06,1.5800e+06,0.1264
12.5993,94,4.5485e+06,2.9764e+06,1.5721e+06,0.1235
12.7328,95,4.5044e+06,2.9401e+06,1.5643e+06,0.1263
12.8644,96,4.4613e+06,2.9046e+06,1.5567e+06,0.1248
12.9986,97,4.4187e+06,2.8697e+06,1.5491e+06,0.1269
13.1304,98,4.3774e+06,2.8357e+06,1.5417e+06,0.1249
13.2645,99,4.3368e+06,2.8022e+06,1.5346e+06,0.1270
13.3984,100,4.2968e+06,2.7691e+06,1.5277e+06,0.1269
13.5313,101,4.2571e+06,2.7363e+06,1.5208e+06,0.1242
