run_time,iteration,loss,style_loss,content_loss,time
0.1392,0,1.0856e+08,1.0856e+08,0.0000e+00,0.1392
0.2811,1,5.2540e+07,5.1791e+07,7.4897e+05,0.1322
0.4135,2,3.7716e+07,3.6478e+07,1.2376e+06,0.1254
0.5453,3,3.1053e+07,2.9415e+07,1.6373e+06,0.1247
0.6784,4,2.7546e+07,2.5689e+07,1.8567e+06,0.1258
0.8094,5,2.5382e+07,2.3405e+07,1.9775e+06,0.1241
0.9423,6,2.3968e+07,2.1913e+07,2.0553e+06,0.1262
1.0723,7,2.2899e+07,2.0784e+07,2.1152e+06,0.1231
1.2046,8,2.2059e+07,1.9895e+07,2.1641e+06,0.1255
1.3378,9,2.1207e+07,1.9006e+07,2.2006e+06,0.1264
1.4709,10,2.0362e+07,1.8137e+07,2.2249e+06,0.1257
1.6019,11,1.9644e+07,1.7403e+07,2.2409e+06,0.1242
1.7358,12,1.9039e+07,1.6786e+07,2.2529e+06,0.1269
1.8652,13,1.8493e+07,1.6232e+07,2.2609e+06,0.1225
1.9998,14,1.8004e+07,1.5738e+07,2.2654e+06,0.1275
2.1299,15,1.7555e+07,1.5292e+07,2.2637e+06,0.1233
2.2640,16,1.7122e+07,1.4867e+07,2.2553e+06,0.1270
2.3957,17,1.6692e+07,1.4449e+07,2.2425e+06,0.1246
2.5299,18,1.6275e+07,1.4045e+07,2.2305e+06,0.1269
2.6607,19,1.5883e+07,1.3660e+07,2.2229e+06,0.1238
2.7935,20,1.5503e+07,1.3285e+07,2.2188e+06,0.1259
2.9251,21,1.5141e+07,1.2924e+07,2.2171e+06,0.1248
3.0591,22,1.4801e+07,1.2584e+07,2.2169e+06,0.1268
3.1922,23,1.4484e+07,1.2268e+07,2.2164e+06,0.1261
3.3246,24,1.4179e+07,1.1964e+07,2.2146e+06,0.1255
3.4586,25,1.3882e+07,1.1671e+07,2.2109e+06,0.1268
3.5888,26,1.3596e+07,1.1389e+07,2.2068e+06,0.1228
3.7231,27,1.3322e+07,1.1119e+07,2.2027e+06,0.1273
3.8530,28,1.3060e+07,1.0862e+07,2.1983e+06,0.1230
3.9901,29,1.2813e+07,1.0618e+07,2.1949e+06,0.1302
4.1219,30,1.2578e+07,1.0386e+07,2.1915e+06,0.1249
4.2546,31,1.2358e+07,1.0171e+07,2.1877e+06,0.1259
4.3868,32,1.2151e+07,9.9674e+06,2.1836e+06,0.1252
4.5191,33,1.1945e+07,9.7660e+06,2.1793e+06,0.1255
4.6537,34,1.1740e+07,9.5656e+06,2.1744e+06,0.1275
4.7836,35,1.1535e+07,9.3665e+06,2.1685e+06,0.1231
4.9170,36,1.1332e+07,9.1690e+06,2.1627e+06,0.1264
5.0471,37,1.1129e+07,8.9727e+06,2.1564e+06,0.1234
5.1810,38,1.0931e+07,8.7813e+06,2.1501e+06,0.1268
5.3117,39,1.0738e+07,8.5942e+06,2.1436e+06,0.1238
5.4457,40,1.0547e+07,8.4099e+06,2.1374e+06,0.1269
5.5768,41,1.0361e+07,8.2302e+06,2.1313e+06,0.1242
5.7104,42,1.0182e+07,8.0568e+06,2.1250e+06,0.1265
5.8411,43,1.0009e+07,7.8901e+06,2.1187e+06,0.1238
5.9754,44,9.8429e+06,7.7309e+06,2.1120e+06,0.1273
6.1071,45,9.6824e+06,7.5777e+06,2.1047e+06,0.1245
6.2404,46,9.5278e+06,7.4306e+06,2.0972e+06,0.1262
6.3721,47,9.3782e+06,7.2891e+06,2.0891e+06,0.1248
6.5051,48,9.2333e+06,7.1529e+06,2.0805e+06,0.1262
6.6383,49,9.0923e+06,7.0197e+06,2.0726e+06,0.1261
6.7702,50,8.9567e+06,6.8915e+06,2.0652e+06,0.1250
6.9041,51,8.8225e+06,6.7644e+06,2.0581e+06,0.1267
7.0339,52,8.6913e+06,6.6397e+06,2.0515e+06,0.1228
7.1684,53,8.5616e+06,6.5163e+06,2.0452e+06,0.1274
7.2991,54,8.4365e+06,6.3973e+06,2.0392e+06,0.1238
7.4335,55,8.3159e+06,6.2824e+06,2.0335e+06,0.1273
7.5638,56,8.1974e+06,6.1694e+06,2.0280e+06,0.1232
7.6978,57,8.0815e+06,6.0589e+06,2.0226e+06,0.1269
7.8297,58,7.9671e+06,5.9500e+06,2.0171e+06,0.1247
7.9641,59,7.8552e+06,5.8433e+06,2.0119e+06,0.1270
8.0966,60,7.7455e+06,5.7387e+06,2.0068e+06,0.1254
8.2281,61,7.6390e+06,5.6372e+06,2.0018e+06,0.1242
8.3602,62,7.5365e+06,5.5396e+06,1.9969e+06,0.1253
8.5046,63,7.4385e+06,5.4464e+06,1.9921e+06,0.1375
8.6361,64,7.3447e+06,5.3579e+06,1.9867e+06,0.1244
8.7701,65,7.2548e+06,5.2737e+06,1.9811e+06,0.1269
8.9008,66,7.1671e+06,5.1919e+06,1.9752e+06,0.1239
9.0349,67,7.0811e+06,5.1121e+06,1.9689e+06,0.1270
9.1650,68,6.9966e+06,5.0341e+06,1.9625e+06,0.1231
9.2994,69,6.9131e+06,4.9568e+06,1.9564e+06,0.1272
9.4301,70,6.8311e+06,4.8810e+06,1.9501e+06,0.1238
9.5637,71,6.7510e+06,4.8069e+06,1.9441e+06,0.1262
9.6952,72,6.6720e+06,4.7340e+06,1.9380e+06,0.1246
9.8296,73,6.5943e+06,4.6628e+06,1.9315e+06,0.1270
9.9626,74,6.5183e+06,4.5937e+06,1.9246e+06,0.1261
10.0939,75,6.4432e+06,4.5258e+06,1.9174e+06,0.1241
10.2281,76,6.3685e+06,4.4585e+06,1.9100e+06,0.1270
10.3612,77,6.2952e+06,4.3926e+06,1.9025e+06,0.1261
10.4947,78,6.2228e+06,4.3276e+06,1.8953e+06,0.1263
10.6258,79,6.1513e+06,4.2633e+06,1.8879e+06,0.1241
10.7590,80,6.0811e+06,4.2006e+06,1.8805e+06,0.1262
10.8903,81,6.0121e+06,4.1394e+06,1.8727e+06,0.1244
11.0242,82,5.9437e+06,4.0793e+06,1.8644e+06,0.1261
11.1579,83,5.8763e+06,4.0206e+06,1.8557e+06,0.1267
11.2916,84,5.8105e+06,3.9637e+06,1.8468e+06,0.1268
11.4253,85,5.7457e+06,3.9079e+06,1.8378e+06,0.1265
11.5567,86,5.6817e+06,3.8527e+06,1.8289e+06,0.1245
11.6908,87,5.6187e+06,3.7984e+06,1.8203e+06,0.1267
11.8214,88,5.5560e+06,3.7437e+06,1.8122e+06,0.1236
11.9550,89,5.4939e+06,3.6896e+06,1.8043e+06,0.1262
12.0891,90,5.4332e+06,3.6366e+06,1.7966e+06,0.1272
12.2225,91,5.3732e+06,3.5843e+06,1.7888e+06,0.1230
12.3568,92,5.3136e+06,3.5323e+06,1.7813e+06,0.1270
12.4889,93,5.2546e+06,3.4807e+06,1.7739e+06,0.1247
12.6227,94,5.1965e+06,3.4301e+06,1.7663e+06,0.1268
12.7544,95,5.1394e+06,3.3804e+06,1.7590e+06,0.1246
12.8875,96,5.0831e+06,3.3314e+06,1.7517e+06,0.1259
