run_time,iteration,loss,style_loss,content_loss,time
0.1204,0,1.5645e+09,1.5645e+09,0.0000e+00,0.1204
0.2580,1,1.0700e+09,1.0692e+09,7.4454e+05,0.1265
0.3902,2,6.0496e+08,6.0337e+08,1.5857e+06,0.1235
0.5226,3,3.4512e+08,3.4290e+08,2.2231e+06,0.1247
0.6539,4,2.2807e+08,2.2539e+08,2.6753e+06,0.1246
0.7888,5,1.8167e+08,1.7877e+08,2.9023e+06,0.1277
0.9260,6,1.8397e+08,1.8098e+08,2.9920e+06,0.1303
1.0527,7,1.8914e+08,1.8610e+08,3.0352e+06,0.1259
1.1808,8,1.8444e+08,1.8136e+08,3.0777e+06,0.1272
1.3092,9,1.7678e+08,1.7364e+08,3.1317e+06,0.1277
1.4395,10,1.6890e+08,1.6570e+08,3.2026e+06,0.1230
1.5732,11,1.5815e+08,1.5488e+08,3.2773e+06,0.1263
1.7038,12,1.4316e+08,1.3981e+08,3.3502e+06,0.1233
1.8373,13,1.2629e+08,1.2287e+08,3.4197e+06,0.1263
1.9695,14,1.1072e+08,1.0724e+08,3.4786e+06,0.1249
2.1033,15,9.8218e+07,9.4695e+07,3.5225e+06,0.1268
2.2370,16,8.9086e+07,8.5537e+07,3.5493e+06,0.1264
2.3714,17,8.2684e+07,7.9121e+07,3.5625e+06,0.1271
2.5052,18,7.8096e+07,7.4533e+07,3.5630e+06,0.1260
2.6357,19,7.4460e+07,7.0907e+07,3.5526e+06,0.1234
2.7689,20,7.1429e+07,6.7897e+07,3.5329e+06,0.1258
2.9009,21,6.8767e+07,6.5255e+07,3.5120e+06,0.1249
3.0342,22,6.6374e+07,6.2883e+07,3.4919e+06,0.1262
3.1678,23,6.4140e+07,6.0662e+07,3.4779e+06,0.1263
3.2996,24,6.1947e+07,5.8476e+07,3.4709e+06,0.1247
3.4344,25,5.9702e+07,5.6229e+07,3.4731e+06,0.1274
3.5656,26,5.7390e+07,5.3906e+07,3.4849e+06,0.1231
3.6991,27,5.5167e+07,5.1663e+07,3.5047e+06,0.1263
3.8297,28,5.3173e+07,4.9641e+07,3.5318e+06,0.1232
3.9633,29,5.1530e+07,4.7967e+07,3.5639e+06,0.1266
4.0944,30,5.0324e+07,4.6727e+07,3.5970e+06,0.1239
4.2289,31,4.9549e+07,4.5919e+07,3.6305e+06,0.1270
4.3633,32,4.9135e+07,4.5472e+07,3.6626e+06,0.1271
4.4947,33,4.8919e+07,4.5230e+07,3.6896e+06,0.1238
4.6290,34,4.8727e+07,4.5016e+07,3.7102e+06,0.1268
4.7592,35,4.8440e+07,4.4715e+07,3.7246e+06,0.1226
4.8944,36,4.8005e+07,4.4272e+07,3.7337e+06,0.1277
5.0296,37,4.7386e+07,4.3648e+07,3.7383e+06,0.1280
5.1622,38,4.6622e+07,4.2883e+07,3.7389e+06,0.1251
5.2964,39,4.5755e+07,4.2018e+07,3.7365e+06,0.1267
5.4281,40,4.4823e+07,4.1090e+07,3.7326e+06,0.1243
5.5628,41,4.3850e+07,4.0122e+07,3.7281e+06,0.1274
5.6937,42,4.2847e+07,3.9123e+07,3.7238e+06,0.1235
5.8267,43,4.1801e+07,3.8081e+07,3.7208e+06,0.1259
5.9570,44,4.0728e+07,3.7009e+07,3.7191e+06,0.1230
6.0911,45,3.9648e+07,3.5928e+07,3.7191e+06,0.1265
6.2235,46,3.8605e+07,3.4885e+07,3.7206e+06,0.1250
6.3575,47,3.7627e+07,3.3904e+07,3.7227e+06,0.1268
6.4913,48,3.6744e+07,3.3018e+07,3.7261e+06,0.1263
6.6228,49,3.5976e+07,3.2246e+07,3.7302e+06,0.1244
6.7575,50,3.5312e+07,3.1577e+07,3.7350e+06,0.1271
6.8926,51,3.4740e+07,3.1000e+07,3.7391e+06,0.1279
7.0250,52,3.4234e+07,3.0492e+07,3.7423e+06,0.1251
7.1837,53,3.3770e+07,3.0026e+07,3.7447e+06,0.1203
7.3146,54,3.3322e+07,2.9577e+07,3.7458e+06,0.1235
7.4482,55,3.2874e+07,2.9128e+07,3.7455e+06,0.1262
7.5794,56,3.2426e+07,2.8682e+07,3.7444e+06,0.1239
7.7128,57,3.1980e+07,2.8237e+07,3.7430e+06,0.1262
7.8447,58,3.1537e+07,2.7796e+07,3.7414e+06,0.1244
7.9829,59,3.1105e+07,2.7366e+07,3.7398e+06,0.1293
8.1189,60,3.0689e+07,2.6951e+07,3.7379e+06,0.1285
8.2490,61,3.0289e+07,2.6554e+07,3.7359e+06,0.1228
8.3827,62,2.9901e+07,2.6168e+07,3.7339e+06,0.1262
8.5164,63,2.9522e+07,2.5790e+07,3.7319e+06,0.1265
8.6487,64,2.9145e+07,2.5415e+07,3.7298e+06,0.1249
8.7813,65,2.8774e+07,2.5047e+07,3.7274e+06,0.1253
8.9131,66,2.8421e+07,2.4696e+07,3.7249e+06,0.1245
9.0487,67,2.8087e+07,2.4364e+07,3.7227e+06,0.1281
9.1797,68,2.7777e+07,2.4056e+07,3.7205e+06,0.1237
9.3140,69,2.7494e+07,2.3776e+07,3.7181e+06,0.1269
9.4524,70,2.7237e+07,2.3522e+07,3.7155e+06,0.1310
9.5897,71,2.6998e+07,2.3285e+07,3.7129e+06,0.1222
9.7223,72,2.6764e+07,2.3053e+07,3.7103e+06,0.1251
9.8555,73,2.6522e+07,2.2815e+07,3.7079e+06,0.1258
9.9885,74,2.6261e+07,2.2556e+07,3.7057e+06,0.1256
10.1235,75,2.5977e+07,2.2273e+07,3.7039e+06,0.1276
10.2551,76,2.5673e+07,2.1970e+07,3.7023e+06,0.1243
10.3901,77,2.5352e+07,2.1651e+07,3.7006e+06,0.1276
10.5221,78,2.5022e+07,2.1323e+07,3.6986e+06,0.1246
10.6553,79,2.4689e+07,2.0992e+07,3.6962e+06,0.1260
10.7887,80,2.4360e+07,2.0667e+07,3.6934e+06,0.1259
10.9193,81,2.4040e+07,2.0350e+07,3.6902e+06,0.1234
11.0526,82,2.3728e+07,2.0042e+07,3.6863e+06,0.1260
11.1868,83,2.3423e+07,1.9741e+07,3.6817e+06,0.1271
11.3215,84,2.3124e+07,1.9447e+07,3.6766e+06,0.1272
11.4547,85,2.2831e+07,1.9160e+07,3.6707e+06,0.1259
11.5887,86,2.2543e+07,1.8879e+07,3.6638e+06,0.1263
11.7243,87,2.2262e+07,1.8605e+07,3.6561e+06,0.1280
11.8577,88,2.1988e+07,1.8340e+07,3.6480e+06,0.1247
11.9968,89,2.1724e+07,1.8084e+07,3.6396e+06,0.1307
12.1324,90,2.1473e+07,1.7842e+07,3.6313e+06,0.1276
12.2639,91,2.1236e+07,1.7613e+07,3.6231e+06,0.1239
12.3980,92,2.1009e+07,1.7394e+07,3.6150e+06,0.1263
12.5298,93,2.0790e+07,1.7183e+07,3.6071e+06,0.1244
12.6641,94,2.0577e+07,1.6978e+07,3.5992e+06,0.1268
12.7986,95,2.0369e+07,1.6777e+07,3.5912e+06,0.1272
12.9397,96,2.0164e+07,1.6581e+07,3.5829e+06,0.1241
13.0708,97,1.9964e+07,1.6389e+07,3.5742e+06,0.1235
13.2063,98,1.9770e+07,1.6205e+07,3.5652e+06,0.1280
13.3378,99,1.9585e+07,1.6030e+07,3.5558e+06,0.1240
