run_time,iteration,loss,style_loss,content_loss,time
0.1209,0,9.7310e+08,9.7310e+08,0.0000e+00,0.1209
0.2566,1,7.4026e+08,7.3965e+08,6.1389e+05,0.1264
0.3868,2,5.2969e+08,5.2847e+08,1.2227e+06,0.1232
0.5202,3,4.0732e+08,4.0570e+08,1.6148e+06,0.1263
0.6503,4,3.3526e+08,3.3344e+08,1.8210e+06,0.1233
0.7863,5,2.8727e+08,2.8532e+08,1.9567e+06,0.1288
0.9207,6,2.5537e+08,2.5328e+08,2.0964e+06,0.1275
1.0523,7,2.3054e+08,2.2830e+08,2.2431e+06,0.1247
1.1863,8,2.1058e+08,2.0820e+08,2.3782e+06,0.1269
1.3169,9,1.9659e+08,1.9410e+08,2.4896e+06,0.1235
1.4507,10,1.8743e+08,1.8486e+08,2.5677e+06,0.1260
1.5806,11,1.8067e+08,1.7805e+08,2.6198e+06,0.1228
1.7153,12,1.7443e+08,1.7178e+08,2.6552e+06,0.1276
1.8466,13,1.6775e+08,1.6506e+08,2.6828e+06,0.1243
1.9807,14,1.6066e+08,1.5794e+08,2.7118e+06,0.1268
2.1121,15,1.5371e+08,1.5096e+08,2.7426e+06,0.1244
2.2454,16,1.4724e+08,1.4446e+08,2.7731e+06,0.1264
2.3773,17,1.4135e+08,1.3855e+08,2.8024e+06,0.1248
2.5110,18,1.3589e+08,1.3306e+08,2.8281e+06,0.1266
2.6442,19,1.3073e+08,1.2788e+08,2.8502e+06,0.1261
2.7756,20,1.2580e+08,1.2293e+08,2.8687e+06,0.1243
2.9090,21,1.2105e+08,1.1817e+08,2.8860e+06,0.1262
3.0407,22,1.1655e+08,1.1364e+08,2.9034e+06,0.1246
3.1748,23,1.1239e+08,1.0947e+08,2.9214e+06,0.1267
3.3050,24,1.0864e+08,1.0570e+08,2.9410e+06,0.1230
3.4400,25,1.0525e+08,1.0229e+08,2.9593e+06,0.1279
3.5717,26,1.0215e+08,9.9175e+07,2.9766e+06,0.1248
3.7059,27,9.9349e+07,9.6356e+07,2.9930e+06,0.1270
3.8403,28,9.6783e+07,9.3776e+07,3.0075e+06,0.1274
3.9728,29,9.4390e+07,9.1369e+07,3.0207e+06,0.1254
4.1072,30,9.2143e+07,8.9109e+07,3.0344e+06,0.1273
4.2376,31,8.9976e+07,8.6928e+07,3.0483e+06,0.1232
4.3724,32,8.7866e+07,8.4805e+07,3.0608e+06,0.1274
4.5033,33,8.5852e+07,8.2781e+07,3.0709e+06,0.1239
4.6382,34,8.3913e+07,8.0836e+07,3.0772e+06,0.1278
4.7713,35,8.2050e+07,7.8970e+07,3.0799e+06,0.1259
4.9043,36,8.0271e+07,7.7191e+07,3.0799e+06,0.1255
5.0385,37,7.8575e+07,7.5498e+07,3.0773e+06,0.1268
5.1710,38,7.6975e+07,7.3901e+07,3.0739e+06,0.1247
5.3070,39,7.5440e+07,7.2369e+07,3.0709e+06,0.1288
5.4379,40,7.3960e+07,7.0891e+07,3.0690e+06,0.1238
5.5718,41,7.2525e+07,6.9457e+07,3.0689e+06,0.1268
5.7039,42,7.1138e+07,6.8069e+07,3.0691e+06,0.1251
5.8370,43,6.9799e+07,6.6730e+07,3.0693e+06,0.1260
5.9710,44,6.8495e+07,6.5425e+07,3.0700e+06,0.1264
6.1022,45,6.7221e+07,6.4151e+07,3.0702e+06,0.1240
6.2361,46,6.5976e+07,6.2906e+07,3.0696e+06,0.1268
6.3676,47,6.4773e+07,6.1705e+07,3.0686e+06,0.1244
6.5019,48,6.3599e+07,6.0532e+07,3.0671e+06,0.1271
6.6335,49,6.2432e+07,5.9366e+07,3.0659e+06,0.1246
6.7673,50,6.1278e+07,5.8213e+07,3.0654e+06,0.1265
6.8996,51,6.0145e+07,5.7080e+07,3.0654e+06,0.1253
7.0330,52,5.9025e+07,5.5960e+07,3.0658e+06,0.1262
7.1658,53,5.7928e+07,5.4861e+07,3.0669e+06,0.1257
7.2979,54,5.6861e+07,5.3794e+07,3.0679e+06,0.1252
7.4333,55,5.5822e+07,5.2754e+07,3.0681e+06,0.1279
7.5647,56,5.4815e+07,5.1747e+07,3.0678e+06,0.1242
7.6995,57,5.3837e+07,5.0769e+07,3.0673e+06,0.1277
7.8299,58,5.2881e+07,4.9815e+07,3.0667e+06,0.1234
7.9635,59,5.1954e+07,4.8887e+07,3.0669e+06,0.1264
8.0952,60,5.1054e+07,4.7987e+07,3.0675e+06,0.1246
8.2279,61,5.0182e+07,4.7113e+07,3.0687e+06,0.1257
8.3613,62,4.9338e+07,4.6268e+07,3.0705e+06,0.1264
8.4940,63,4.8526e+07,4.5454e+07,3.0725e+06,0.1256
8.6281,64,4.7738e+07,4.4663e+07,3.0745e+06,0.1270
8.7593,65,4.6972e+07,4.3896e+07,3.0764e+06,0.1241
8.8970,66,4.6228e+07,4.3150e+07,3.0779e+06,0.1305
9.0287,67,4.5500e+07,4.2420e+07,3.0791e+06,0.1245
9.1610,68,4.4780e+07,4.1701e+07,3.0799e+06,0.1252
9.2932,69,4.4069e+07,4.0989e+07,3.0806e+06,0.1251
