run_time,iteration,loss,style_loss,content_loss,time
0.1193,0,8.6631e+08,8.6631e+08,0.0000e+00,0.1193
0.2562,1,6.0059e+08,5.9989e+08,7.0104e+05,0.1240
0.3862,2,3.8990e+08,3.8835e+08,1.5491e+06,0.1230
0.5200,3,2.9449e+08,2.9238e+08,2.1074e+06,0.1262
0.6493,4,2.4237e+08,2.4004e+08,2.3267e+06,0.1222
0.7870,5,2.0871e+08,2.0634e+08,2.3773e+06,0.1307
0.9219,6,1.8965e+08,1.8721e+08,2.4373e+06,0.1279
1.0534,7,1.7444e+08,1.7189e+08,2.5502e+06,0.1245
1.1864,8,1.5691e+08,1.5421e+08,2.7009e+06,0.1258
1.3174,9,1.3818e+08,1.3531e+08,2.8654e+06,0.1239
1.4500,10,1.2133e+08,1.1831e+08,3.0206e+06,0.1255
1.5815,11,1.0791e+08,1.0476e+08,3.1552e+06,0.1244
1.7155,12,9.7804e+07,9.4552e+07,3.2526e+06,0.1269
1.8460,13,8.9782e+07,8.6474e+07,3.3083e+06,0.1234
1.9792,14,8.2927e+07,7.9591e+07,3.3353e+06,0.1261
2.1100,15,7.6765e+07,7.3420e+07,3.3446e+06,0.1238
2.2444,16,7.1150e+07,6.7796e+07,3.3532e+06,0.1271
2.3749,17,6.6179e+07,6.2809e+07,3.3695e+06,0.1235
2.5094,18,6.1981e+07,5.8588e+07,3.3934e+06,0.1274
2.6405,19,5.8660e+07,5.5236e+07,3.4240e+06,0.1241
2.7746,20,5.6166e+07,5.2707e+07,3.4582e+06,0.1269
2.9065,21,5.4303e+07,5.0811e+07,3.4917e+06,0.1247
3.0401,22,5.2839e+07,4.9319e+07,3.5203e+06,0.1266
3.1758,23,5.1581e+07,4.8041e+07,3.5395e+06,0.1285
3.3056,24,5.0373e+07,4.6825e+07,3.5482e+06,0.1227
3.4405,25,4.9160e+07,4.5611e+07,3.5488e+06,0.1274
3.5707,26,4.7914e+07,4.4371e+07,3.5425e+06,0.1230
3.7048,27,4.6590e+07,4.3059e+07,3.5312e+06,0.1267
3.8364,28,4.5179e+07,4.1660e+07,3.5193e+06,0.1242
3.9693,29,4.3712e+07,4.0203e+07,3.5095e+06,0.1257
4.1000,30,4.2275e+07,3.8772e+07,3.5022e+06,0.1236
4.2427,31,4.0952e+07,3.7455e+07,3.4970e+06,0.1303
4.3760,32,3.9770e+07,3.6277e+07,3.4929e+06,0.1249
4.5070,33,3.8730e+07,3.5240e+07,3.4894e+06,0.1237
4.6406,34,3.7798e+07,3.4312e+07,3.4857e+06,0.1261
4.7735,35,3.6927e+07,3.3447e+07,3.4802e+06,0.1256
4.9062,36,3.6092e+07,3.2619e+07,3.4731e+06,0.1254
5.0416,37,3.5300e+07,3.1834e+07,3.4664e+06,0.1278
5.1744,38,3.4569e+07,3.1109e+07,3.4601e+06,0.1255
5.3089,39,3.3904e+07,3.0449e+07,3.4552e+06,0.1270
5.4406,40,3.3298e+07,2.9846e+07,3.4517e+06,0.1244
5.5732,41,3.2740e+07,2.9290e+07,3.4502e+06,0.1253
5.7054,42,3.2223e+07,2.8773e+07,3.4499e+06,0.1249
5.8380,43,3.1737e+07,2.8287e+07,3.4504e+06,0.1251
5.9719,44,3.1282e+07,2.7832e+07,3.4499e+06,0.1265
6.1039,45,3.0861e+07,2.7412e+07,3.4483e+06,0.1247
6.2387,46,3.0463e+07,2.7018e+07,3.4451e+06,0.1273
6.3704,47,3.0071e+07,2.6632e+07,3.4388e+06,0.1242
6.5045,48,2.9676e+07,2.6246e+07,3.4293e+06,0.1267
6.6354,49,2.9273e+07,2.5856e+07,3.4173e+06,0.1233
6.7689,50,2.8867e+07,2.5463e+07,3.4041e+06,0.1258
6.9010,51,2.8467e+07,2.5077e+07,3.3902e+06,0.1247
7.0342,52,2.8075e+07,2.4698e+07,3.3769e+06,0.1258
7.1690,53,2.7696e+07,2.4331e+07,3.3650e+06,0.1273
7.3014,54,2.7323e+07,2.3968e+07,3.3547e+06,0.1247
7.4365,55,2.6954e+07,2.3608e+07,3.3462e+06,0.1274
7.5684,56,2.6591e+07,2.3252e+07,3.3394e+06,0.1246
7.7019,57,2.6236e+07,2.2902e+07,3.3344e+06,0.1258
7.8340,58,2.5894e+07,2.2564e+07,3.3299e+06,0.1248
7.9675,59,2.5566e+07,2.2241e+07,3.3255e+06,0.1262
8.1029,60,2.5252e+07,2.1931e+07,3.3205e+06,0.1280
8.2412,61,2.4943e+07,2.1628e+07,3.3146e+06,0.1305
8.3747,62,2.4637e+07,2.1329e+07,3.3073e+06,0.1248
8.5105,63,2.4336e+07,2.1037e+07,3.2987e+06,0.1274
8.6413,64,2.4046e+07,2.0757e+07,3.2892e+06,0.1230
8.7754,65,2.3771e+07,2.0492e+07,3.2794e+06,0.1264
8.9065,66,2.3513e+07,2.0243e+07,3.2695e+06,0.1235
9.0412,67,2.3270e+07,2.0009e+07,3.2605e+06,0.1270
9.1751,68,2.3036e+07,1.9783e+07,3.2531e+06,0.1266
9.3096,69,2.2803e+07,1.9556e+07,3.2475e+06,0.1239
9.4446,70,2.2569e+07,1.9326e+07,3.2435e+06,0.1276
9.5760,71,2.2335e+07,1.9094e+07,3.2408e+06,0.1240
9.7107,72,2.2102e+07,1.8863e+07,3.2395e+06,0.1271
9.8435,73,2.1876e+07,1.8637e+07,3.2387e+06,0.1253
9.9769,74,2.1658e+07,1.8420e+07,3.2374e+06,0.1260
10.1125,75,2.1446e+07,1.8211e+07,3.2352e+06,0.1280
10.2447,76,2.1238e+07,1.8007e+07,3.2314e+06,0.1249
10.3796,77,2.1029e+07,1.7803e+07,3.2255e+06,0.1272
10.5119,78,2.0817e+07,1.7599e+07,3.2178e+06,0.1249
10.6451,79,2.0603e+07,1.7395e+07,3.2086e+06,0.1258
10.7791,80,2.0391e+07,1.7192e+07,3.1988e+06,0.1267
10.9099,81,2.0184e+07,1.6995e+07,3.1884e+06,0.1234
11.0457,82,1.9982e+07,1.6804e+07,3.1783e+06,0.1284
11.1787,83,1.9785e+07,1.6616e+07,3.1692e+06,0.1257
11.3130,84,1.9586e+07,1.6425e+07,3.1611e+06,0.1253
11.4463,85,1.9388e+07,1.6233e+07,3.1542e+06,0.1259
11.5784,86,1.9191e+07,1.6042e+07,3.1487e+06,0.1249
11.7133,87,1.8998e+07,1.5854e+07,3.1442e+06,0.1273
11.8447,88,1.8812e+07,1.5672e+07,3.1402e+06,0.1242
11.9801,89,1.8635e+07,1.5498e+07,3.1365e+06,0.1277
12.1111,90,1.8464e+07,1.5331e+07,3.1329e+06,0.1236
12.2449,91,1.8298e+07,1.5169e+07,3.1289e+06,0.1261
12.3784,92,1.8136e+07,1.5012e+07,3.1242e+06,0.1260
12.5112,93,1.7977e+07,1.4858e+07,3.1188e+06,0.1254
12.6462,94,1.7822e+07,1.4709e+07,3.1125e+06,0.1276
12.7777,95,1.7670e+07,1.4564e+07,3.1059e+06,0.1242
12.9123,96,1.7522e+07,1.4423e+07,3.0992e+06,0.1271
13.0435,97,1.7373e+07,1.4281e+07,3.0927e+06,0.1239
13.1768,98,1.7223e+07,1.4137e+07,3.0867e+06,0.1261
13.3093,99,1.7070e+07,1.3989e+07,3.0812e+06,0.1252
13.4432,100,1.6915e+07,1.3838e+07,3.0761e+06,0.1262
13.5815,101,1.6759e+07,1.3687e+07,3.0715e+06,0.1254
13.7126,102,1.6606e+07,1.3539e+07,3.0672e+06,0.1237
13.8475,103,1.6458e+07,1.3395e+07,3.0630e+06,0.1273
13.9805,104,1.6314e+07,1.3255e+07,3.0586e+06,0.1258
14.1151,105,1.6172e+07,1.3118e+07,3.0535e+06,0.1273
14.2502,106,1.6029e+07,1.2982e+07,3.0474e+06,0.1277
14.3833,107,1.5886e+07,1.2845e+07,3.0405e+06,0.1250
14.5184,108,1.5742e+07,1.2709e+07,3.0329e+06,0.1277
14.6549,109,1.5601e+07,1.2576e+07,3.0249e+06,0.1289
14.7860,110,1.5462e+07,1.2446e+07,3.0167e+06,0.1238
14.9207,111,1.5328e+07,1.2319e+07,3.0087e+06,0.1271
