run_time,iteration,loss,style_loss,content_loss,time
0.1218,0,1.7205e+08,1.7205e+08,0.0000e+00,0.1218
0.2553,1,7.6038e+07,7.5292e+07,7.4642e+05,0.1233
0.3884,2,3.9464e+07,3.8009e+07,1.4555e+06,0.1260
0.5200,3,3.3921e+07,3.2278e+07,1.6430e+06,0.1247
0.6524,4,3.1305e+07,2.9574e+07,1.7304e+06,0.1255
0.7850,5,2.7362e+07,2.5482e+07,1.8792e+06,0.1257
0.9182,6,2.2763e+07,2.0725e+07,2.0377e+06,0.1263
1.0542,7,1.9482e+07,1.7358e+07,2.1238e+06,0.1284
1.1844,8,1.6519e+07,1.4384e+07,2.1348e+06,0.1234
1.3188,9,1.4773e+07,1.2641e+07,2.1319e+06,0.1273
1.4489,10,1.4183e+07,1.2033e+07,2.1494e+06,0.1234
1.5824,11,1.3752e+07,1.1563e+07,2.1895e+06,0.1265
1.7129,12,1.3204e+07,1.0958e+07,2.2458e+06,0.1237
1.8489,13,1.2752e+07,1.0453e+07,2.2990e+06,0.1247
1.9911,14,1.2466e+07,1.0132e+07,2.3338e+06,0.1245
2.1242,15,1.2293e+07,9.9480e+06,2.3452e+06,0.1258
2.2566,16,1.2233e+07,9.8946e+06,2.3382e+06,0.1256
2.3910,17,1.2125e+07,9.8018e+06,2.3228e+06,0.1272
2.5211,18,1.1813e+07,9.5052e+06,2.3076e+06,0.1233
2.6556,19,1.1412e+07,9.1155e+06,2.2963e+06,0.1275
2.7863,20,1.1102e+07,8.8142e+06,2.2882e+06,0.1237
2.9213,21,1.0856e+07,8.5770e+06,2.2793e+06,0.1279
3.0533,22,1.0540e+07,8.2717e+06,2.2687e+06,0.1241
3.1867,23,1.0185e+07,7.9281e+06,2.2574e+06,0.1264
3.3191,24,9.9269e+06,7.6793e+06,2.2476e+06,0.1256
3.4525,25,9.7856e+06,7.5450e+06,2.2406e+06,0.1264
3.5872,26,9.6505e+06,7.4134e+06,2.2371e+06,0.1276
3.7173,27,9.4482e+06,7.2120e+06,2.2362e+06,0.1231
3.8524,28,9.2282e+06,6.9916e+06,2.2366e+06,0.1279
3.9844,29,9.0740e+06,6.8377e+06,2.2363e+06,0.1246
4.1188,30,8.9933e+06,6.7604e+06,2.2329e+06,0.1275
4.2514,31,8.9218e+06,6.6973e+06,2.2245e+06,0.1256
4.3844,32,8.8125e+06,6.6016e+06,2.2110e+06,0.1259
4.5191,33,8.6848e+06,6.4900e+06,2.1948e+06,0.1274
4.6501,34,8.5738e+06,6.3956e+06,2.1781e+06,0.1241
4.7852,35,8.4799e+06,6.3165e+06,2.1634e+06,0.1280
4.9160,36,8.3766e+06,6.2256e+06,2.1510e+06,0.1236
5.0508,37,8.2584e+06,6.1181e+06,2.1403e+06,0.1274
5.1825,38,8.1386e+06,6.0082e+06,2.1305e+06,0.1248
5.3165,39,8.0267e+06,5.9067e+06,2.1200e+06,0.1270
5.4515,40,7.9128e+06,5.8051e+06,2.1077e+06,0.1279
5.5841,41,7.7891e+06,5.6955e+06,2.0935e+06,0.1255
5.7186,42,7.6633e+06,5.5849e+06,2.0784e+06,0.1275
5.8543,43,7.5561e+06,5.4925e+06,2.0636e+06,0.1286
5.9867,44,7.4738e+06,5.4235e+06,2.0504e+06,0.1252
6.1213,45,7.4035e+06,5.3644e+06,2.0392e+06,0.1276
6.2515,46,7.3291e+06,5.2984e+06,2.0306e+06,0.1230
6.3867,47,7.2498e+06,5.2256e+06,2.0242e+06,0.1279
6.5178,48,7.1801e+06,5.1613e+06,2.0188e+06,0.1242
6.6526,49,7.1303e+06,5.1168e+06,2.0134e+06,0.1276
6.7844,50,7.0883e+06,5.0813e+06,2.0069e+06,0.1248
6.9180,51,7.0312e+06,5.0336e+06,1.9977e+06,0.1265
7.0506,52,6.9507e+06,4.9649e+06,1.9858e+06,0.1255
7.1830,53,6.8593e+06,4.8878e+06,1.9715e+06,0.1254
7.3161,54,6.7738e+06,4.8180e+06,1.9558e+06,0.1262
7.4475,55,6.6971e+06,4.7573e+06,1.9399e+06,0.1242
7.5817,56,6.6213e+06,4.6964e+06,1.9249e+06,0.1271
7.7137,57,6.5398e+06,4.6284e+06,1.9114e+06,0.1250
7.8490,58,6.4588e+06,4.5594e+06,1.8994e+06,0.1280
7.9807,59,6.3898e+06,4.5013e+06,1.8886e+06,0.1247
8.1145,60,6.3339e+06,4.4556e+06,1.8783e+06,0.1266
8.2478,61,6.2795e+06,4.4118e+06,1.8677e+06,0.1261
8.3799,62,6.2151e+06,4.3587e+06,1.8564e+06,0.1253
8.5137,63,6.1423e+06,4.2978e+06,1.8445e+06,0.1270
8.6453,64,6.0739e+06,4.2416e+06,1.8323e+06,0.1244
8.7806,65,6.0183e+06,4.1977e+06,1.8206e+06,0.1281
8.9114,66,5.9688e+06,4.1592e+06,1.8097e+06,0.1240
9.0460,67,5.9132e+06,4.1134e+06,1.7998e+06,0.1275
9.1775,68,5.8472e+06,4.0557e+06,1.7915e+06,0.1246
9.3104,69,5.7789e+06,3.9947e+06,1.7842e+06,0.1258
9.4436,70,5.7199e+06,3.9422e+06,1.7777e+06,0.1263
9.5759,71,5.6706e+06,3.8995e+06,1.7711e+06,0.1253
9.7118,72,5.6212e+06,3.8572e+06,1.7640e+06,0.1285
9.8433,73,5.5612e+06,3.8051e+06,1.7561e+06,0.1238
9.9785,74,5.4896e+06,3.7426e+06,1.7471e+06,0.1275
10.1105,75,5.4167e+06,3.6794e+06,1.7373e+06,0.1248
10.2446,76,5.3523e+06,3.6251e+06,1.7272e+06,0.1269
10.3767,77,5.2965e+06,3.5794e+06,1.7171e+06,0.1252
10.5099,78,5.2434e+06,3.5363e+06,1.7071e+06,0.1260
10.6449,79,5.1877e+06,3.4901e+06,1.6976e+06,0.1280
10.7757,80,5.1297e+06,3.4413e+06,1.6883e+06,0.1240
10.9121,81,5.0719e+06,3.3928e+06,1.6790e+06,0.1289
11.0439,82,5.0164e+06,3.3467e+06,1.6696e+06,0.1246
11.1777,83,4.9627e+06,3.3027e+06,1.6600e+06,0.1269
11.3115,84,4.9111e+06,3.2608e+06,1.6502e+06,0.1268
11.4436,85,4.8630e+06,3.2225e+06,1.6405e+06,0.1252
11.5790,86,4.8197e+06,3.1886e+06,1.6311e+06,0.1284
11.7112,87,4.7795e+06,3.1573e+06,1.6222e+06,0.1252
