run_time,iteration,loss,style_loss,content_loss,time
0.1216,0,2.7092e+08,2.7092e+08,0.0000e+00,0.1216
0.2552,1,1.2060e+08,1.1992e+08,6.8003e+05,0.1242
0.3873,2,4.9491e+07,4.8169e+07,1.3223e+06,0.1251
0.5203,3,4.3136e+07,4.1431e+07,1.7055e+06,0.1255
0.6514,4,4.4821e+07,4.2925e+07,1.8957e+06,0.1239
0.7788,5,4.0532e+07,3.8524e+07,2.0086e+06,0.1266
0.9129,6,3.2534e+07,3.0454e+07,2.0805e+06,0.1270
1.0461,7,2.5885e+07,2.3744e+07,2.1414e+06,0.1263
1.1786,8,2.2282e+07,2.0079e+07,2.2037e+06,0.1256
1.3127,9,2.0017e+07,1.7757e+07,2.2597e+06,0.1269
1.4436,10,1.8319e+07,1.6015e+07,2.3036e+06,0.1240
1.5783,11,1.7372e+07,1.5034e+07,2.3382e+06,0.1277
1.7082,12,1.6777e+07,1.4407e+07,2.3699e+06,0.1230
1.8419,13,1.6128e+07,1.3728e+07,2.3998e+06,0.1268
1.9721,14,1.5581e+07,1.3154e+07,2.4266e+06,0.1234
2.1060,15,1.5318e+07,1.2873e+07,2.4454e+06,0.1269
2.2370,16,1.5126e+07,1.2673e+07,2.4530e+06,0.1241
2.3703,17,1.4775e+07,1.2325e+07,2.4505e+06,0.1264
2.5029,18,1.4311e+07,1.1866e+07,2.4449e+06,0.1255
2.6362,19,1.3813e+07,1.1369e+07,2.4434e+06,0.1264
2.7697,20,1.3276e+07,1.0827e+07,2.4493e+06,0.1257
2.9008,21,1.2713e+07,1.0250e+07,2.4624e+06,0.1239
3.0353,22,1.2210e+07,9.7299e+06,2.4800e+06,0.1273
3.1656,23,1.1844e+07,9.3486e+06,2.4953e+06,0.1233
3.3000,24,1.1589e+07,9.0854e+06,2.5041e+06,0.1273
3.4296,25,1.1356e+07,8.8508e+06,2.5049e+06,0.1226
3.5645,26,1.1124e+07,8.6245e+06,2.4991e+06,0.1276
3.6960,27,1.0934e+07,8.4445e+06,2.4895e+06,0.1246
3.8302,28,1.0806e+07,8.3272e+06,2.4789e+06,0.1269
3.9625,29,1.0719e+07,8.2495e+06,2.4696e+06,0.1252
4.0953,30,1.0638e+07,8.1759e+06,2.4620e+06,0.1259
4.2300,31,1.0531e+07,8.0750e+06,2.4563e+06,0.1277
4.3604,32,1.0384e+07,7.9325e+06,2.4515e+06,0.1233
4.4948,33,1.0210e+07,7.7628e+06,2.4469e+06,0.1273
4.6250,34,1.0034e+07,7.5928e+06,2.4417e+06,0.1230
4.7600,35,9.8727e+06,7.4369e+06,2.4358e+06,0.1276
4.8911,36,9.7109e+06,7.2809e+06,2.4299e+06,0.1241
5.0244,37,9.5319e+06,7.1074e+06,2.4245e+06,0.1264
5.1567,38,9.3374e+06,6.9185e+06,2.4189e+06,0.1252
5.2905,39,9.1515e+06,6.7385e+06,2.4130e+06,0.1269
5.4250,40,8.9931e+06,6.5867e+06,2.4064e+06,0.1273
5.5549,41,8.8512e+06,6.4525e+06,2.3986e+06,0.1229
5.6935,42,8.7022e+06,6.3131e+06,2.3891e+06,0.1248
5.8250,43,8.5410e+06,6.1631e+06,2.3779e+06,0.1245
5.9583,44,8.3912e+06,6.0255e+06,2.3656e+06,0.1262
6.0902,45,8.2813e+06,5.9282e+06,2.3531e+06,0.1250
6.2220,46,8.2143e+06,5.8730e+06,2.3413e+06,0.1248
6.3554,47,8.1584e+06,5.8280e+06,2.3304e+06,0.1263
6.4875,48,8.0789e+06,5.7583e+06,2.3206e+06,0.1251
6.6222,49,7.9679e+06,5.6558e+06,2.3120e+06,0.1276
6.7528,50,7.8425e+06,5.5384e+06,2.3041e+06,0.1234
6.8873,51,7.7234e+06,5.4269e+06,2.2965e+06,0.1273
7.0185,52,7.6161e+06,5.3275e+06,2.2887e+06,0.1240
7.1520,53,7.5117e+06,5.2318e+06,2.2799e+06,0.1263
7.2833,54,7.4016e+06,5.1317e+06,2.2700e+06,0.1242
