run_time,iteration,loss,style_loss,content_loss,time
0.1159,0,3.7509e+09,3.7509e+09,0.0000e+00,0.1159
0.2426,1,3.3840e+09,3.3829e+09,1.1587e+06,0.1173
0.3644,2,3.0025e+09,3.0002e+09,2.2979e+06,0.1150
0.4866,3,2.6565e+09,2.6535e+09,3.0613e+06,0.1154
0.6100,4,2.3684e+09,2.3648e+09,3.5764e+06,0.1167
0.7318,5,2.1390e+09,2.1351e+09,3.9277e+06,0.1150
0.8568,6,1.9571e+09,1.9529e+09,4.1772e+06,0.1180
0.9804,7,1.8071e+09,1.8027e+09,4.3703e+06,0.1163
1.1062,8,1.6774e+09,1.6728e+09,4.5265e+06,0.1188
1.2314,9,1.5605e+09,1.5559e+09,4.6569e+06,0.1181
1.3549,10,1.4544e+09,1.4496e+09,4.7702e+06,0.1164
1.4772,11,1.3578e+09,1.3529e+09,4.8663e+06,0.1156
1.6005,12,1.2704e+09,1.2655e+09,4.9478e+06,0.1164
1.7226,13,1.1919e+09,1.1869e+09,5.0245e+06,0.1151
1.8444,14,1.1214e+09,1.1163e+09,5.0979e+06,0.1150
1.9677,15,1.0590e+09,1.0538e+09,5.1667e+06,0.1164
2.0899,16,1.0037e+09,9.9844e+08,5.2335e+06,0.1153
2.2119,17,9.5446e+08,9.4916e+08,5.2996e+06,0.1152
2.3346,18,9.1039e+08,9.0503e+08,5.3636e+06,0.1158
2.4580,19,8.7084e+08,8.6542e+08,5.4231e+06,0.1164
2.5816,20,8.3515e+08,8.2967e+08,5.4750e+06,0.1166
2.7078,21,8.0288e+08,7.9736e+08,5.5207e+06,0.1192
2.8341,22,7.7353e+08,7.6796e+08,5.5630e+06,0.1190
2.9582,23,7.4658e+08,7.4098e+08,5.6032e+06,0.1171
3.0816,24,7.2165e+08,7.1601e+08,5.6406e+06,0.1164
3.2045,25,6.9848e+08,6.9280e+08,5.6758e+06,0.1160
3.3279,26,6.7681e+08,6.7110e+08,5.7077e+06,0.1158
3.4513,27,6.5643e+08,6.5070e+08,5.7388e+06,0.1161
3.5750,28,6.3714e+08,6.3137e+08,5.7673e+06,0.1165
3.7003,29,6.1901e+08,6.1322e+08,5.7957e+06,0.1181
3.8271,30,6.0183e+08,5.9601e+08,5.8225e+06,0.1184
3.9511,31,5.8546e+08,5.7962e+08,5.8476e+06,0.1169
4.0746,32,5.7001e+08,5.6414e+08,5.8727e+06,0.1161
4.1962,33,5.5538e+08,5.4949e+08,5.8963e+06,0.1146
4.3180,34,5.4148e+08,5.3556e+08,5.9179e+06,0.1148
4.4398,35,5.2825e+08,5.2231e+08,5.9389e+06,0.1148
4.5620,36,5.1569e+08,5.0973e+08,5.9603e+06,0.1150
4.6847,37,5.0374e+08,4.9776e+08,5.9816e+06,0.1156
4.8073,38,4.9229e+08,4.8629e+08,6.0018e+06,0.1156
4.9306,39,4.8138e+08,4.7536e+08,6.0224e+06,0.1163
5.0543,40,4.7094e+08,4.6490e+08,6.0413e+06,0.1162
5.1793,41,4.6099e+08,4.5493e+08,6.0583e+06,0.1179
5.3056,42,4.5141e+08,4.4534e+08,6.0742e+06,0.1189
5.4300,43,4.4222e+08,4.3613e+08,6.0896e+06,0.1173
5.5528,44,4.3337e+08,4.2726e+08,6.1053e+06,0.1157
5.6751,45,4.2486e+08,4.1874e+08,6.1227e+06,0.1153
5.7979,46,4.1664e+08,4.1050e+08,6.1393e+06,0.1158
5.9241,47,4.0866e+08,4.0250e+08,6.1549e+06,0.1191
6.0487,48,4.0098e+08,3.9481e+08,6.1698e+06,0.1174
6.1749,49,3.9360e+08,3.8742e+08,6.1837e+06,0.1188
6.3066,50,3.8654e+08,3.8034e+08,6.1965e+06,0.1246
6.4293,51,3.7978e+08,3.7357e+08,6.2090e+06,0.1154
6.5523,52,3.7325e+08,3.6703e+08,6.2209e+06,0.1157
6.6751,53,3.6698e+08,3.6074e+08,6.2323e+06,0.1157
6.8020,54,3.6094e+08,3.5470e+08,6.2428e+06,0.1194
6.9331,55,3.5516e+08,3.4890e+08,6.2528e+06,0.1217
7.0564,56,3.4956e+08,3.4330e+08,6.2621e+06,0.1153
7.1794,57,3.4417e+08,3.3790e+08,6.2711e+06,0.1160
7.3029,58,3.3895e+08,3.3268e+08,6.2785e+06,0.1161
7.4289,59,3.3386e+08,3.2758e+08,6.2853e+06,0.1188
7.5548,60,3.2890e+08,3.2261e+08,6.2919e+06,0.1185
7.6787,61,3.2404e+08,3.1774e+08,6.2983e+06,0.1167
7.8023,62,3.1925e+08,3.1295e+08,6.3048e+06,0.1164
7.9250,63,3.1455e+08,3.0824e+08,6.3110e+06,0.1156
8.0472,64,3.0996e+08,3.0364e+08,6.3174e+06,0.1150
8.1688,65,3.0545e+08,2.9912e+08,6.3239e+06,0.1145
8.2907,66,3.0103e+08,2.9470e+08,6.3296e+06,0.1148
8.4123,67,2.9672e+08,2.9038e+08,6.3352e+06,0.1142
8.5349,68,2.9249e+08,2.8615e+08,6.3409e+06,0.1152
8.6563,69,2.8839e+08,2.8204e+08,6.3464e+06,0.1143
8.7783,70,2.8441e+08,2.7806e+08,6.3514e+06,0.1147
8.9004,71,2.8054e+08,2.7419e+08,6.3556e+06,0.1150
9.0228,72,2.7676e+08,2.7041e+08,6.3590e+06,0.1153
9.1454,73,2.7309e+08,2.6673e+08,6.3620e+06,0.1156
