run_time,iteration,loss,style_loss,content_loss,time
0.1077,0,4.1898e+08,4.1898e+08,0.0000e+00,0.1077
0.2255,1,2.4390e+08,2.4261e+08,1.2925e+06,0.1078
0.3429,2,1.6694e+08,1.6482e+08,2.1247e+06,0.1105
0.4633,3,1.3433e+08,1.3205e+08,2.2831e+06,0.1134
0.5817,4,1.1325e+08,1.1092e+08,2.3362e+06,0.1114
0.7015,5,9.6745e+07,9.4339e+07,2.4060e+06,0.1117
0.8186,6,8.3030e+07,8.0530e+07,2.5003e+06,0.1102
0.9354,7,7.3548e+07,7.0963e+07,2.5849e+06,0.1097
1.0526,8,6.6665e+07,6.4042e+07,2.6231e+06,0.1098
1.1698,9,6.0574e+07,5.7957e+07,2.6174e+06,0.1103
1.2874,10,5.5492e+07,5.2899e+07,2.5936e+06,0.1108
1.4032,11,5.1670e+07,4.9096e+07,2.5745e+06,0.1089
1.5189,12,4.8678e+07,4.6107e+07,2.5715e+06,0.1090
1.6369,13,4.6076e+07,4.3491e+07,2.5847e+06,0.1111
1.7563,14,4.3710e+07,4.1098e+07,2.6121e+06,0.1117
1.8740,15,4.1563e+07,3.8915e+07,2.6483e+06,0.1101
1.9896,16,3.9617e+07,3.6930e+07,2.6865e+06,0.1085
2.1059,17,3.7865e+07,3.5142e+07,2.7225e+06,0.1096
2.2230,18,3.6342e+07,3.3586e+07,2.7555e+06,0.1101
2.3398,19,3.5058e+07,3.2272e+07,2.7868e+06,0.1099
2.4555,20,3.3942e+07,3.1126e+07,2.8164e+06,0.1086
2.5719,21,3.2914e+07,3.0068e+07,2.8456e+06,0.1093
2.6910,22,3.1977e+07,2.9104e+07,2.8739e+06,0.1122
2.8090,23,3.1177e+07,2.8277e+07,2.8996e+06,0.1109
2.9253,24,3.0533e+07,2.7612e+07,2.9215e+06,0.1093
3.0408,25,3.0007e+07,2.7068e+07,2.9390e+06,0.1087
3.1578,26,2.9522e+07,2.6571e+07,2.9517e+06,0.1101
