run_time,iteration,loss,style_loss,content_loss,time
0.1056,0,9.5281e+08,9.5281e+08,0.0000e+00,0.1056
0.2224,1,5.9586e+08,5.9441e+08,1.4474e+06,0.1088
0.3365,2,3.8240e+08,3.7979e+08,2.6041e+06,0.1072
0.4514,3,2.6254e+08,2.5950e+08,3.0371e+06,0.1081
0.5675,4,1.8729e+08,1.8411e+08,3.1797e+06,0.1092
0.6823,5,1.4550e+08,1.4223e+08,3.2646e+06,0.1076
0.7959,6,1.2236e+08,1.1899e+08,3.3721e+06,0.1068
0.9124,7,1.1032e+08,1.0683e+08,3.4915e+06,0.1095
1.0276,8,1.0368e+08,1.0010e+08,3.5869e+06,0.1078
1.1421,9,9.8065e+07,9.4423e+07,3.6416e+06,0.1077
1.2574,10,9.3008e+07,8.9342e+07,3.6666e+06,0.1085
1.3723,11,8.8765e+07,8.5086e+07,3.6787e+06,0.1077
1.4861,12,8.4238e+07,8.0548e+07,3.6905e+06,0.1069
1.6020,13,7.8661e+07,7.4951e+07,3.7095e+06,0.1092
1.7191,14,7.2456e+07,6.8720e+07,3.7357e+06,0.1079
1.8325,15,6.6605e+07,6.2836e+07,3.7690e+06,0.1065
1.9483,16,6.1585e+07,5.7779e+07,3.8053e+06,0.1090
2.0653,17,5.7314e+07,5.3471e+07,3.8431e+06,0.1098
2.1799,18,5.3696e+07,4.9813e+07,3.8828e+06,0.1070
2.2950,19,5.0615e+07,4.6692e+07,3.9229e+06,0.1082
2.4118,20,4.7975e+07,4.4015e+07,3.9601e+06,0.1095
2.5260,21,4.5627e+07,4.1630e+07,3.9968e+06,0.1073
2.6397,22,4.3432e+07,3.9400e+07,4.0319e+06,0.1069
2.7556,23,4.1408e+07,3.7345e+07,4.0628e+06,0.1087
2.8694,24,3.9631e+07,3.5540e+07,4.0907e+06,0.1070
2.9852,25,3.8194e+07,3.4079e+07,4.1149e+06,0.1083
3.1013,26,3.7093e+07,3.2958e+07,4.1350e+06,0.1089
3.2156,27,3.6215e+07,3.2064e+07,4.1510e+06,0.1071
3.3303,28,3.5437e+07,3.1272e+07,4.1645e+06,0.1079
3.4471,29,3.4684e+07,3.0508e+07,4.1759e+06,0.1094
3.5623,30,3.3956e+07,2.9771e+07,4.1847e+06,0.1082
3.6767,31,3.3284e+07,2.9093e+07,4.1908e+06,0.1071
3.7924,32,3.2694e+07,2.8498e+07,4.1961e+06,0.1084
3.9117,33,3.2179e+07,2.7979e+07,4.1998e+06,0.1122
4.0263,34,3.1702e+07,2.7500e+07,4.2018e+06,0.1075
4.1417,35,3.1229e+07,2.7030e+07,4.1997e+06,0.1086
4.2582,36,3.0737e+07,2.6544e+07,4.1934e+06,0.1090
4.3730,37,3.0213e+07,2.6030e+07,4.1832e+06,0.1078
4.4878,38,2.9669e+07,2.5498e+07,4.1707e+06,0.1074
4.6033,39,2.9123e+07,2.4967e+07,4.1565e+06,0.1085
4.7184,40,2.8583e+07,2.4441e+07,4.1421e+06,0.1081
4.8320,41,2.8058e+07,2.3930e+07,4.1282e+06,0.1067
4.9483,42,2.7559e+07,2.3443e+07,4.1163e+06,0.1094
5.0646,43,2.7102e+07,2.2995e+07,4.1071e+06,0.1089
5.1791,44,2.6692e+07,2.2591e+07,4.1012e+06,0.1066
5.2951,45,2.6319e+07,2.2221e+07,4.0981e+06,0.1089
5.4140,46,2.5976e+07,2.1878e+07,4.0980e+06,0.1087
5.5293,47,2.5649e+07,2.1550e+07,4.0996e+06,0.1082
5.6424,48,2.5308e+07,2.1206e+07,4.1017e+06,0.1063
