run_time,iteration,loss,style_loss,content_loss,time
0.1109,0,1.1147e+08,1.1147e+08,0.0000e+00,0.1109
0.2337,1,5.0418e+07,4.9214e+07,1.2034e+06,0.1149
0.3555,2,3.6259e+07,3.4458e+07,1.8017e+06,0.1148
0.4835,3,2.9840e+07,2.7759e+07,2.0814e+06,0.1213
0.6080,4,2.5337e+07,2.3082e+07,2.2550e+06,0.1179
0.7325,5,2.2347e+07,1.9962e+07,2.3852e+06,0.1174
0.8545,6,2.0252e+07,1.7779e+07,2.4724e+06,0.1143
0.9773,7,1.8558e+07,1.6032e+07,2.5251e+06,0.1161
1.0991,8,1.7320e+07,1.4763e+07,2.5572e+06,0.1152
1.2206,9,1.6444e+07,1.3871e+07,2.5727e+06,0.1137
1.3421,10,1.5748e+07,1.3171e+07,2.5773e+06,0.1147
1.4636,11,1.5164e+07,1.2586e+07,2.5771e+06,0.1148
1.5854,12,1.4673e+07,1.2103e+07,2.5708e+06,0.1153
1.7067,13,1.4231e+07,1.1671e+07,2.5602e+06,0.1146
1.8281,14,1.3818e+07,1.1273e+07,2.5452e+06,0.1148
1.9497,15,1.3409e+07,1.0881e+07,2.5283e+06,0.1148
2.0709,16,1.3005e+07,1.0494e+07,2.5110e+06,0.1146
2.1924,17,1.2609e+07,1.0112e+07,2.4968e+06,0.1148
2.3144,18,1.2230e+07,9.7456e+06,2.4843e+06,0.1150
2.4357,19,1.1876e+07,9.4035e+06,2.4723e+06,0.1146
2.5572,20,1.1556e+07,9.0942e+06,2.4615e+06,0.1150
2.6789,21,1.1275e+07,8.8215e+06,2.4531e+06,0.1151
2.8011,22,1.1030e+07,8.5835e+06,2.4463e+06,0.1149
2.9225,23,1.0810e+07,8.3724e+06,2.4378e+06,0.1145
3.0441,24,1.0601e+07,8.1744e+06,2.4264e+06,0.1151
3.1653,25,1.0393e+07,7.9823e+06,2.4112e+06,0.1145
3.2867,26,1.0192e+07,7.7984e+06,2.3934e+06,0.1148
3.4082,27,9.9895e+06,7.6146e+06,2.3748e+06,0.1149
3.5301,28,9.7927e+06,7.4362e+06,2.3565e+06,0.1154
3.6518,29,9.5987e+06,7.2586e+06,2.3400e+06,0.1152
3.7742,30,9.4047e+06,7.0784e+06,2.3263e+06,0.1157
3.8957,31,9.2138e+06,6.8981e+06,2.3156e+06,0.1150
4.0170,32,9.0278e+06,6.7205e+06,2.3073e+06,0.1147
4.1382,33,8.8533e+06,6.5547e+06,2.2986e+06,0.1146
4.2595,34,8.6894e+06,6.4001e+06,2.2894e+06,0.1147
4.3812,35,8.5363e+06,6.2569e+06,2.2795e+06,0.1150
4.5032,36,8.3913e+06,6.1236e+06,2.2677e+06,0.1155
4.6245,37,8.2537e+06,5.9999e+06,2.2537e+06,0.1149
4.7463,38,8.1263e+06,5.8872e+06,2.2391e+06,0.1151
4.8680,39,8.0051e+06,5.7809e+06,2.2242e+06,0.1149
4.9897,40,7.8914e+06,5.6821e+06,2.2094e+06,0.1150
5.1116,41,7.7808e+06,5.5859e+06,2.1949e+06,0.1151
5.2332,42,7.6711e+06,5.4899e+06,2.1812e+06,0.1149
5.3546,43,7.5623e+06,5.3934e+06,2.1689e+06,0.1148
5.4761,44,7.4530e+06,5.2956e+06,2.1574e+06,0.1149
5.5981,45,7.3438e+06,5.1972e+06,2.1466e+06,0.1155
5.7199,46,7.2366e+06,5.0999e+06,2.1367e+06,0.1152
5.8416,47,7.1316e+06,5.0048e+06,2.1268e+06,0.1153
5.9637,48,7.0301e+06,4.9134e+06,2.1167e+06,0.1150
6.0847,49,6.9326e+06,4.8256e+06,2.1070e+06,0.1143
6.2066,50,6.8395e+06,4.7423e+06,2.0972e+06,0.1153
6.3282,51,6.7505e+06,4.6629e+06,2.0875e+06,0.1148
6.4506,52,6.6634e+06,4.5853e+06,2.0781e+06,0.1154
6.5722,53,6.5784e+06,4.5090e+06,2.0694e+06,0.1150
6.6934,54,6.4944e+06,4.4331e+06,2.0613e+06,0.1146
6.8149,55,6.4109e+06,4.3576e+06,2.0534e+06,0.1148
6.9363,56,6.3286e+06,4.2833e+06,2.0453e+06,0.1150
7.0610,57,6.2459e+06,4.2086e+06,2.0373e+06,0.1177
7.1842,58,6.1646e+06,4.1357e+06,2.0289e+06,0.1135
7.3045,59,6.0865e+06,4.0662e+06,2.0203e+06,0.1137
