run_time,iteration,loss,style_loss,content_loss,time
0.1113,0,1.3578e+08,1.3578e+08,0.0000e+00,0.1113
0.2379,1,6.0947e+07,5.9984e+07,9.6256e+05,0.1164
0.3610,2,4.3288e+07,4.1606e+07,1.6817e+06,0.1149
0.4850,3,3.6712e+07,3.4651e+07,2.0604e+06,0.1165
0.6074,4,3.2972e+07,3.0724e+07,2.2478e+06,0.1149
0.7283,5,2.9915e+07,2.7577e+07,2.3373e+06,0.1132
0.8496,6,2.7962e+07,2.5556e+07,2.4057e+06,0.1138
0.9724,7,2.6584e+07,2.4122e+07,2.4617e+06,0.1154
1.0931,8,2.5402e+07,2.2901e+07,2.5020e+06,0.1133
1.2149,9,2.4496e+07,2.1956e+07,2.5393e+06,0.1146
1.3360,10,2.3734e+07,2.1157e+07,2.5777e+06,0.1136
1.4577,11,2.3045e+07,2.0431e+07,2.6134e+06,0.1143
1.5791,12,2.2389e+07,1.9747e+07,2.6417e+06,0.1141
1.7002,13,2.1751e+07,1.9091e+07,2.6609e+06,0.1138
1.8215,14,2.1158e+07,1.8483e+07,2.6746e+06,0.1140
1.9439,15,2.0624e+07,1.7938e+07,2.6858e+06,0.1148
2.0658,16,2.0132e+07,1.7437e+07,2.6948e+06,0.1145
2.1868,17,1.9666e+07,1.6964e+07,2.7020e+06,0.1137
2.3083,18,1.9213e+07,1.6506e+07,2.7062e+06,0.1142
2.4297,19,1.8761e+07,1.6055e+07,2.7061e+06,0.1140
2.5512,20,1.8306e+07,1.5603e+07,2.7026e+06,0.1142
2.6731,21,1.7866e+07,1.5168e+07,2.6977e+06,0.1146
2.7965,22,1.7451e+07,1.4758e+07,2.6924e+06,0.1126
2.9178,23,1.7067e+07,1.4380e+07,2.6868e+06,0.1137
3.0390,24,1.6701e+07,1.4020e+07,2.6812e+06,0.1138
3.1596,25,1.6349e+07,1.3674e+07,2.6753e+06,0.1132
3.2809,26,1.6018e+07,1.3346e+07,2.6717e+06,0.1139
3.4028,27,1.5713e+07,1.3045e+07,2.6676e+06,0.1139
3.5242,28,1.5424e+07,1.2762e+07,2.6621e+06,0.1135
3.6456,29,1.5145e+07,1.2489e+07,2.6561e+06,0.1140
3.7679,30,1.4874e+07,1.2225e+07,2.6493e+06,0.1148
3.8890,31,1.4608e+07,1.1965e+07,2.6424e+06,0.1137
4.0100,32,1.4345e+07,1.1711e+07,2.6344e+06,0.1137
4.1318,33,1.4089e+07,1.1462e+07,2.6262e+06,0.1146
4.2534,34,1.3837e+07,1.1219e+07,2.6184e+06,0.1139
4.3750,35,1.3596e+07,1.0985e+07,2.6107e+06,0.1142
4.4964,36,1.3367e+07,1.0763e+07,2.6036e+06,0.1143
4.6179,37,1.3150e+07,1.0553e+07,2.5969e+06,0.1141
4.7395,38,1.2938e+07,1.0347e+07,2.5910e+06,0.1141
4.8608,39,1.2733e+07,1.0148e+07,2.5852e+06,0.1139
4.9823,40,1.2536e+07,9.9567e+06,2.5797e+06,0.1142
5.1038,41,1.2349e+07,9.7739e+06,2.5750e+06,0.1140
5.2258,42,1.2167e+07,9.5959e+06,2.5711e+06,0.1148
5.3490,43,1.1990e+07,9.4225e+06,2.5672e+06,0.1161
5.4705,44,1.1818e+07,9.2555e+06,2.5629e+06,0.1140
5.5913,45,1.1651e+07,9.0932e+06,2.5579e+06,0.1135
5.7122,46,1.1489e+07,8.9365e+06,2.5526e+06,0.1136
5.8362,47,1.1330e+07,8.7826e+06,2.5470e+06,0.1129
5.9581,48,1.1174e+07,8.6331e+06,2.5411e+06,0.1142
6.0796,49,1.1022e+07,8.4867e+06,2.5348e+06,0.1134
6.2030,50,1.0873e+07,8.3443e+06,2.5286e+06,0.1160
6.3235,51,1.0727e+07,8.2045e+06,2.5224e+06,0.1130
6.4450,52,1.0583e+07,8.0669e+06,2.5160e+06,0.1138
6.5660,53,1.0438e+07,7.9295e+06,2.5086e+06,0.1136
6.6894,54,1.0295e+07,7.7946e+06,2.5004e+06,0.1132
6.8145,55,1.0156e+07,7.6645e+06,2.4916e+06,0.1175
