run_time,iteration,loss,style_loss,content_loss,time
0.1132,0,1.6231e+09,1.6231e+09,0.0000e+00,0.1132
0.2389,1,1.0055e+09,1.0039e+09,1.5846e+06,0.1150
0.3619,2,5.5624e+08,5.5330e+08,2.9415e+06,0.1149
0.4853,3,3.4392e+08,3.4027e+08,3.6550e+06,0.1158
0.6063,4,2.4908e+08,2.4508e+08,4.0042e+06,0.1134
0.7279,5,2.0521e+08,2.0105e+08,4.1507e+06,0.1141
0.8495,6,2.0063e+08,1.9642e+08,4.2136e+06,0.1138
0.9711,7,1.9746e+08,1.9320e+08,4.2668e+06,0.1139
1.0928,8,1.8376e+08,1.7943e+08,4.3320e+06,0.1142
1.2147,9,1.6780e+08,1.6340e+08,4.4063e+06,0.1140
1.3361,10,1.5453e+08,1.5005e+08,4.4779e+06,0.1137
1.4572,11,1.4216e+08,1.3762e+08,4.5377e+06,0.1136
1.5794,12,1.2873e+08,1.2415e+08,4.5746e+06,0.1147
1.7009,13,1.1508e+08,1.1049e+08,4.5910e+06,0.1141
1.8228,14,1.0298e+08,9.8392e+07,4.5856e+06,0.1143
1.9448,15,9.3270e+07,8.8702e+07,4.5675e+06,0.1137
2.0669,16,8.5873e+07,8.1326e+07,4.5468e+06,0.1143
2.1890,17,8.0297e+07,7.5767e+07,4.5297e+06,0.1145
2.3109,18,7.5949e+07,7.1430e+07,4.5185e+06,0.1139
2.4329,19,7.2572e+07,6.8060e+07,4.5115e+06,0.1141
2.5548,20,6.9953e+07,6.5448e+07,4.5053e+06,0.1143
2.6763,21,6.7759e+07,6.3259e+07,4.5002e+06,0.1138
2.7994,22,6.5672e+07,6.1178e+07,4.4943e+06,0.1149
2.9224,23,6.3478e+07,5.8989e+07,4.4883e+06,0.1153
3.0447,24,6.1152e+07,5.6669e+07,4.4826e+06,0.1146
3.1672,25,5.8807e+07,5.4328e+07,4.4792e+06,0.1148
3.2929,26,5.6554e+07,5.2074e+07,4.4799e+06,0.1175
3.4190,27,5.4528e+07,5.0043e+07,4.4846e+06,0.1182
3.5429,28,5.2807e+07,4.8313e+07,4.4937e+06,0.1162
3.6658,29,5.1434e+07,4.6926e+07,4.5083e+06,0.1152
3.7882,30,5.0392e+07,4.5867e+07,4.5250e+06,0.1148
3.9106,31,4.9640e+07,4.5098e+07,4.5424e+06,0.1146
4.0324,32,4.9076e+07,4.4518e+07,4.5589e+06,0.1139
4.1540,33,4.8577e+07,4.4005e+07,4.5726e+06,0.1141
4.2764,34,4.8042e+07,4.3459e+07,4.5832e+06,0.1143
4.3980,35,4.7390e+07,4.2802e+07,4.5884e+06,0.1138
4.5192,36,4.6624e+07,4.2036e+07,4.5887e+06,0.1136
4.6409,37,4.5801e+07,4.1215e+07,4.5862e+06,0.1140
4.7627,38,4.4944e+07,4.0363e+07,4.5810e+06,0.1142
4.8849,39,4.4108e+07,3.9533e+07,4.5749e+06,0.1146
5.0067,40,4.3274e+07,3.8704e+07,4.5695e+06,0.1131
5.1289,41,4.2405e+07,3.7839e+07,4.5668e+06,0.1144
5.2515,42,4.1481e+07,3.6914e+07,4.5668e+06,0.1138
5.3731,43,4.0500e+07,3.5931e+07,4.5693e+06,0.1138
5.4958,44,3.9499e+07,3.4924e+07,4.5750e+06,0.1144
5.6182,45,3.8512e+07,3.3930e+07,4.5826e+06,0.1146
5.7422,46,3.7579e+07,3.2986e+07,4.5922e+06,0.1148
5.8693,47,3.6742e+07,3.2139e+07,4.6024e+06,0.1184
5.9962,48,3.6005e+07,3.1392e+07,4.6129e+06,0.1179
6.1190,49,3.5353e+07,3.0731e+07,4.6220e+06,0.1152
6.2418,50,3.4760e+07,3.0131e+07,4.6290e+06,0.1150
6.3652,51,3.4208e+07,2.9575e+07,4.6335e+06,0.1153
6.4877,52,3.3680e+07,2.9045e+07,4.6351e+06,0.1143
6.6186,53,3.3182e+07,2.8547e+07,4.6342e+06,0.1229
