run_time,iteration,loss,style_loss,content_loss,time
0.1091,0,9.1465e+08,9.1465e+08,0.0000e+00,0.1091
0.2301,1,6.4147e+08,6.4026e+08,1.2087e+06,0.1115
0.3527,2,4.8154e+08,4.7949e+08,2.0549e+06,0.1159
0.4786,3,3.8332e+08,3.8101e+08,2.3105e+06,0.1188
0.6002,4,3.1208e+08,3.0964e+08,2.4427e+06,0.1145
0.7218,5,2.6309e+08,2.6050e+08,2.5912e+06,0.1148
0.8440,6,2.2827e+08,2.2551e+08,2.7602e+06,0.1153
0.9668,7,2.0350e+08,2.0059e+08,2.9140e+06,0.1156
1.0881,8,1.8679e+08,1.8376e+08,3.0295e+06,0.1144
1.2090,9,1.7572e+08,1.7262e+08,3.1005e+06,0.1141
1.3306,10,1.6800e+08,1.6485e+08,3.1422e+06,0.1148
1.4538,11,1.6187e+08,1.5869e+08,3.1724e+06,0.1162
1.5757,12,1.5633e+08,1.5313e+08,3.2021e+06,0.1151
1.6967,13,1.5101e+08,1.4778e+08,3.2315e+06,0.1138
1.8178,14,1.4603e+08,1.4277e+08,3.2612e+06,0.1142
1.9390,15,1.4131e+08,1.3802e+08,3.2879e+06,0.1145
2.0604,16,1.3662e+08,1.3331e+08,3.3112e+06,0.1143
2.1811,17,1.3186e+08,1.2853e+08,3.3321e+06,0.1138
2.3022,18,1.2698e+08,1.2363e+08,3.3538e+06,0.1142
2.4239,19,1.2201e+08,1.1863e+08,3.3750e+06,0.1149
2.5464,20,1.1708e+08,1.1368e+08,3.3962e+06,0.1156
2.6681,21,1.1234e+08,1.0892e+08,3.4174e+06,0.1149
2.7898,22,1.0794e+08,1.0450e+08,3.4369e+06,0.1148
2.9118,23,1.0394e+08,1.0049e+08,3.4532e+06,0.1150
3.0341,24,1.0034e+08,9.6873e+07,3.4673e+06,0.1155
3.1555,25,9.7081e+07,9.3600e+07,3.4811e+06,0.1143
3.2770,26,9.4147e+07,9.0653e+07,3.4945e+06,0.1146
