run_time,iteration,loss,style_loss,content_loss,time
0.1118,0,7.9805e+08,7.9805e+08,0.0000e+00,0.1118
0.2378,1,4.8776e+08,4.8631e+08,1.4474e+06,0.1170
0.3685,2,3.3836e+08,3.3575e+08,2.6096e+06,0.1238
0.4934,3,2.6004e+08,2.5715e+08,2.8855e+06,0.1180
0.6152,4,2.0461e+08,2.0166e+08,2.9403e+06,0.1151
0.7352,5,1.7359e+08,1.7057e+08,3.0233e+06,0.1133
0.8557,6,1.5334e+08,1.5018e+08,3.1608e+06,0.1139
0.9759,7,1.3848e+08,1.3517e+08,3.3114e+06,0.1134
1.0966,8,1.2694e+08,1.2351e+08,3.4320e+06,0.1140
1.2179,9,1.1653e+08,1.1302e+08,3.5030e+06,0.1146
1.3394,10,1.0694e+08,1.0342e+08,3.5205e+06,0.1147
1.4615,11,9.8583e+07,9.5073e+07,3.5103e+06,0.1152
1.5826,12,9.1151e+07,8.7654e+07,3.4969e+06,0.1143
1.7046,13,8.3988e+07,8.0492e+07,3.4965e+06,0.1153
1.8254,14,7.7001e+07,7.3486e+07,3.5147e+06,0.1140
1.9476,15,7.0566e+07,6.7019e+07,3.5471e+06,0.1154
2.0694,16,6.5065e+07,6.1479e+07,3.5862e+06,0.1148
2.1920,17,6.0489e+07,5.6865e+07,3.6233e+06,0.1149
2.3135,18,5.6691e+07,5.3039e+07,3.6528e+06,0.1141
2.4345,19,5.3509e+07,4.9835e+07,3.6738e+06,0.1142
2.5556,20,5.0840e+07,4.7152e+07,3.6884e+06,0.1143
2.6774,21,4.8587e+07,4.4887e+07,3.7008e+06,0.1149
2.7986,22,4.6642e+07,4.2930e+07,3.7115e+06,0.1142
2.9202,23,4.4863e+07,4.1138e+07,3.7251e+06,0.1147
3.0428,24,4.3165e+07,3.9421e+07,3.7432e+06,0.1151
3.1642,25,4.1541e+07,3.7775e+07,3.7661e+06,0.1143
3.2895,26,4.0018e+07,3.6228e+07,3.7903e+06,0.1127
3.4105,27,3.8657e+07,3.4845e+07,3.8126e+06,0.1138
3.5314,28,3.7455e+07,3.3625e+07,3.8300e+06,0.1138
3.6521,29,3.6392e+07,3.2550e+07,3.8412e+06,0.1137
3.7770,30,3.5439e+07,3.1593e+07,3.8460e+06,0.1180
3.8982,31,3.4597e+07,3.0751e+07,3.8459e+06,0.1142
4.0192,32,3.3846e+07,3.0003e+07,3.8423e+06,0.1140
4.1402,33,3.3191e+07,2.9354e+07,3.8375e+06,0.1141
4.2630,34,3.2600e+07,2.8766e+07,3.8340e+06,0.1159
4.3838,35,3.2043e+07,2.8209e+07,3.8342e+06,0.1140
4.5040,36,3.1504e+07,2.7665e+07,3.8384e+06,0.1133
4.6241,37,3.0992e+07,2.7145e+07,3.8462e+06,0.1133
4.7458,38,3.0523e+07,2.6667e+07,3.8562e+06,0.1149
4.8675,39,3.0104e+07,2.6238e+07,3.8668e+06,0.1148
4.9897,40,2.9721e+07,2.5845e+07,3.8761e+06,0.1152
5.1108,41,2.9346e+07,2.5463e+07,3.8822e+06,0.1141
5.2318,42,2.8960e+07,2.5076e+07,3.8845e+06,0.1141
5.3538,43,2.8558e+07,2.4674e+07,3.8840e+06,0.1152
5.4755,44,2.8137e+07,2.4256e+07,3.8814e+06,0.1146
5.5972,45,2.7713e+07,2.3835e+07,3.8775e+06,0.1139
5.7185,46,2.7297e+07,2.3424e+07,3.8731e+06,0.1144
