run_time,iteration,loss,style_loss,content_loss,time
0.6382,0,1.4149e+08,1.4149e+08,0.0000e+00,0.6382
0.7606,1,6.7762e+07,6.6416e+07,1.3459e+06,0.1038
0.8754,2,4.4013e+07,4.2125e+07,1.8885e+06,0.1080
0.9899,3,3.6463e+07,3.4315e+07,2.1486e+06,0.1074
1.1039,4,3.0515e+07,2.8260e+07,2.2552e+06,0.1072
1.2195,5,2.5840e+07,2.3541e+07,2.2982e+06,0.1086
1.3318,6,2.2202e+07,1.9877e+07,2.3245e+06,0.1054
1.4471,7,1.8984e+07,1.6633e+07,2.3517e+06,0.1087
1.5618,8,1.6626e+07,1.4228e+07,2.3977e+06,0.1079
1.6750,9,1.5360e+07,1.2903e+07,2.4572e+06,0.1065
1.7896,10,1.4712e+07,1.2195e+07,2.5172e+06,0.1077
1.9034,11,1.4150e+07,1.1583e+07,2.5678e+06,0.1072
2.0173,12,1.3583e+07,1.0975e+07,2.6084e+06,0.1067
2.1328,13,1.3097e+07,1.0454e+07,2.6426e+06,0.1089
2.2507,14,1.2732e+07,1.0061e+07,2.6712e+06,0.1057
2.3633,15,1.2475e+07,9.7820e+06,2.6931e+06,0.1060
2.4790,16,1.2258e+07,9.5516e+06,2.7061e+06,0.1086
2.5933,17,1.2016e+07,9.3074e+06,2.7085e+06,0.1074
2.7054,18,1.1724e+07,9.0210e+06,2.7032e+06,0.1056
2.8201,19,1.1406e+07,8.7126e+06,2.6939e+06,0.1080
2.9331,20,1.1080e+07,8.3972e+06,2.6829e+06,0.1063
3.0476,21,1.0764e+07,8.0909e+06,2.6728e+06,0.1080
3.1626,22,1.0492e+07,7.8289e+06,2.6635e+06,0.1077
3.2762,23,1.0300e+07,7.6449e+06,2.6554e+06,0.1068
3.3912,24,1.0166e+07,7.5185e+06,2.6474e+06,0.1083
3.5058,25,1.0032e+07,7.3939e+06,2.6386e+06,0.1077
3.6190,26,9.8692e+06,7.2405e+06,2.6288e+06,0.1066
3.7334,27,9.6826e+06,7.0638e+06,2.6188e+06,0.1075
3.8463,28,9.4987e+06,6.8887e+06,2.6100e+06,0.1063
3.9602,29,9.3354e+06,6.7323e+06,2.6030e+06,0.1073
4.0750,30,9.1893e+06,6.5927e+06,2.5966e+06,0.1080
4.1878,31,9.0557e+06,6.4662e+06,2.5895e+06,0.1060
4.3027,32,8.9295e+06,6.3482e+06,2.5813e+06,0.1081
4.4163,33,8.8074e+06,6.2354e+06,2.5719e+06,0.1069
4.5290,34,8.6897e+06,6.1281e+06,2.5616e+06,0.1062
4.6439,35,8.5749e+06,6.0245e+06,2.5504e+06,0.1081
4.7579,36,8.4574e+06,5.9185e+06,2.5389e+06,0.1074
4.8731,37,8.3277e+06,5.8001e+06,2.5276e+06,0.1081
4.9884,38,8.1919e+06,5.6753e+06,2.5166e+06,0.1081
5.1020,39,8.0610e+06,5.5550e+06,2.5059e+06,0.1067
5.2170,40,7.9495e+06,5.4543e+06,2.4952e+06,0.1081
5.3330,41,7.8646e+06,5.3798e+06,2.4847e+06,0.1086
5.4468,42,7.7975e+06,5.3242e+06,2.4733e+06,0.1070
5.5696,43,7.7330e+06,5.2717e+06,2.4613e+06,0.1162
5.6842,44,7.6612e+06,5.2123e+06,2.4488e+06,0.1080
5.7998,45,7.5813e+06,5.1447e+06,2.4365e+06,0.1078
5.9130,46,7.4964e+06,5.0716e+06,2.4248e+06,0.1067
6.0279,47,7.4066e+06,4.9927e+06,2.4139e+06,0.1083
6.1426,48,7.3156e+06,4.9114e+06,2.4042e+06,0.1080
6.2595,49,7.2250e+06,4.8296e+06,2.3954e+06,0.1100
6.3784,50,7.1374e+06,4.7506e+06,2.3869e+06,0.1059
6.4943,51,7.0519e+06,4.6738e+06,2.3781e+06,0.1090
6.6096,52,6.9675e+06,4.5987e+06,2.3688e+06,0.1084
6.7229,53,6.8825e+06,4.5240e+06,2.3585e+06,0.1068
6.8383,54,6.7992e+06,4.4520e+06,2.3472e+06,0.1089
6.9544,55,6.7179e+06,4.3832e+06,2.3347e+06,0.1088
7.0677,56,6.6380e+06,4.3167e+06,2.3213e+06,0.1065
7.1837,57,6.5597e+06,4.2525e+06,2.3072e+06,0.1089
7.3030,58,6.4843e+06,4.1915e+06,2.2928e+06,0.1088
7.4179,59,6.4166e+06,4.1383e+06,2.2783e+06,0.1079
7.5309,60,6.3590e+06,4.0952e+06,2.2638e+06,0.1064
7.6463,61,6.3078e+06,4.0585e+06,2.2493e+06,0.1089
7.7604,62,6.2561e+06,4.0209e+06,2.2352e+06,0.1076
7.8745,63,6.1979e+06,3.9767e+06,2.2212e+06,0.1076
7.9896,64,6.1320e+06,3.9245e+06,2.2076e+06,0.1079
8.1032,65,6.0616e+06,3.8668e+06,2.1948e+06,0.1071
8.2180,66,5.9906e+06,3.8076e+06,2.1830e+06,0.1081
8.3338,67,5.9223e+06,3.7498e+06,2.1724e+06,0.1088
8.4478,68,5.8576e+06,3.6946e+06,2.1630e+06,0.1074
8.5620,69,5.7968e+06,3.6428e+06,2.1540e+06,0.1076
8.6763,70,5.7388e+06,3.5937e+06,2.1451e+06,0.1078
8.7900,71,5.6817e+06,3.5460e+06,2.1357e+06,0.1069
8.9052,72,5.6243e+06,3.4987e+06,2.1255e+06,0.1087
9.0222,73,5.5673e+06,3.4531e+06,2.1142e+06,0.1100
9.1365,74,5.5118e+06,3.4098e+06,2.1020e+06,0.1074
9.2521,75,5.4570e+06,3.3680e+06,2.0890e+06,0.1089
9.3676,76,5.4017e+06,3.3260e+06,2.0756e+06,0.1087
9.4806,77,5.3453e+06,3.2829e+06,2.0625e+06,0.1064
9.5963,78,5.2889e+06,3.2391e+06,2.0498e+06,0.1091
9.7139,79,5.2349e+06,3.1970e+06,2.0379e+06,0.1096
9.8281,80,5.1844e+06,3.1579e+06,2.0265e+06,0.1068
9.9424,81,5.1361e+06,3.1205e+06,2.0156e+06,0.1077
10.0579,82,5.0875e+06,3.0823e+06,2.0052e+06,0.1088
10.1717,83,5.0359e+06,3.0409e+06,1.9950e+06,0.1066
10.2861,84,4.9815e+06,2.9967e+06,1.9848e+06,0.1079
10.4014,85,4.9268e+06,2.9521e+06,1.9747e+06,0.1083
10.5144,86,4.8735e+06,2.9089e+06,1.9646e+06,0.1065
10.6291,87,4.8226e+06,2.8680e+06,1.9547e+06,0.1083
10.7438,88,4.7741e+06,2.8292e+06,1.9449e+06,0.1079
10.8567,89,4.7277e+06,2.7926e+06,1.9352e+06,0.1066
10.9725,90,4.6838e+06,2.7583e+06,1.9255e+06,0.1092
11.0871,91,4.6421e+06,2.7263e+06,1.9158e+06,0.1079
