run_time,iteration,loss,style_loss,content_loss,time
0.1107,0,3.3500e+08,3.3500e+08,0.0000e+00,0.1107
0.2407,1,1.7808e+08,1.7693e+08,1.1467e+06,0.1198
0.3734,2,8.8084e+07,8.6206e+07,1.8786e+06,0.1231
0.4946,3,5.1240e+07,4.8903e+07,2.3365e+06,0.1138
0.6197,4,4.8694e+07,4.6104e+07,2.5897e+06,0.1177
0.7422,5,4.5415e+07,4.2719e+07,2.6957e+06,0.1147
0.8653,6,4.0310e+07,3.7549e+07,2.7607e+06,0.1155
0.9920,7,3.5069e+07,3.2267e+07,2.8016e+06,0.1184
1.1163,8,2.9694e+07,2.6867e+07,2.8265e+06,0.1163
1.2401,9,2.5951e+07,2.3103e+07,2.8480e+06,0.1163
1.3628,10,2.4058e+07,2.1180e+07,2.8778e+06,0.1153
1.4861,11,2.2677e+07,1.9761e+07,2.9159e+06,0.1159
1.6080,12,2.1084e+07,1.8125e+07,2.9593e+06,0.1142
1.7296,13,1.9760e+07,1.6755e+07,3.0050e+06,0.1139
1.8512,14,1.9046e+07,1.6002e+07,3.0446e+06,0.1142
1.9729,15,1.8729e+07,1.5653e+07,3.0768e+06,0.1144
2.0950,16,1.8480e+07,1.5380e+07,3.0998e+06,0.1146
2.2169,17,1.8199e+07,1.5085e+07,3.1141e+06,0.1137
2.3379,18,1.7949e+07,1.4827e+07,3.1218e+06,0.1133
2.4595,19,1.7691e+07,1.4564e+07,3.1267e+06,0.1140
2.5813,20,1.7294e+07,1.4163e+07,3.1318e+06,0.1141
2.7030,21,1.6719e+07,1.3581e+07,3.1380e+06,0.1140
2.8251,22,1.6072e+07,1.2924e+07,3.1477e+06,0.1144
2.9464,23,1.5498e+07,1.2339e+07,3.1589e+06,0.1137
3.0680,24,1.5069e+07,1.1897e+07,3.1718e+06,0.1139
3.1890,25,1.4716e+07,1.1533e+07,3.1829e+06,0.1133
3.3110,26,1.4360e+07,1.1169e+07,3.1913e+06,0.1146
3.4327,27,1.4006e+07,1.0808e+07,3.1974e+06,0.1143
3.5546,28,1.3724e+07,1.0523e+07,3.2011e+06,0.1146
3.6760,29,1.3570e+07,1.0369e+07,3.2019e+06,0.1138
3.7974,30,1.3515e+07,1.0315e+07,3.1998e+06,0.1140
3.9199,31,1.3472e+07,1.0276e+07,3.1965e+06,0.1150
4.0423,32,1.3364e+07,1.0172e+07,3.1926e+06,0.1140
4.1629,33,1.3171e+07,9.9829e+06,3.1884e+06,0.1130
4.2849,34,1.2926e+07,9.7413e+06,3.1842e+06,0.1145
4.4068,35,1.2687e+07,9.5064e+06,3.1808e+06,0.1137
4.5287,36,1.2485e+07,9.3064e+06,3.1782e+06,0.1143
4.6506,37,1.2304e+07,9.1289e+06,3.1755e+06,0.1143
4.7719,38,1.2125e+07,8.9523e+06,3.1727e+06,0.1137
4.8938,39,1.1936e+07,8.7669e+06,3.1695e+06,0.1138
5.0156,40,1.1751e+07,8.5861e+06,3.1653e+06,0.1144
5.1371,41,1.1583e+07,8.4226e+06,3.1603e+06,0.1139
5.2589,42,1.1431e+07,8.2764e+06,3.1547e+06,0.1144
5.3810,43,1.1285e+07,8.1358e+06,3.1489e+06,0.1135
5.5026,44,1.1133e+07,7.9902e+06,3.1425e+06,0.1137
5.6240,45,1.0976e+07,7.8410e+06,3.1353e+06,0.1136
5.7460,46,1.0828e+07,7.7001e+06,3.1275e+06,0.1143
5.8680,47,1.0693e+07,7.5735e+06,3.1196e+06,0.1140
5.9902,48,1.0562e+07,7.4509e+06,3.1114e+06,0.1143
6.1116,49,1.0428e+07,7.3250e+06,3.1027e+06,0.1140
6.2335,50,1.0285e+07,7.1912e+06,3.0940e+06,0.1145
6.3555,51,1.0144e+07,7.0588e+06,3.0851e+06,0.1146
6.4765,52,1.0023e+07,6.9473e+06,3.0759e+06,0.1136
6.5978,53,9.9312e+06,6.8647e+06,3.0665e+06,0.1140
6.7281,54,9.8601e+06,6.8032e+06,3.0569e+06,0.1177
6.8497,55,9.7883e+06,6.7413e+06,3.0470e+06,0.1130
6.9739,56,9.6916e+06,6.6548e+06,3.0368e+06,0.1165
7.0996,57,9.5657e+06,6.5394e+06,3.0263e+06,0.1180
7.2236,58,9.4239e+06,6.4080e+06,3.0159e+06,0.1166
7.3466,59,9.2894e+06,6.2839e+06,3.0055e+06,0.1155
7.4690,60,9.1777e+06,6.1825e+06,2.9953e+06,0.1151
7.5906,61,9.0870e+06,6.1012e+06,2.9858e+06,0.1141
7.7132,62,9.0016e+06,6.0246e+06,2.9770e+06,0.1152
7.8352,63,8.9078e+06,5.9392e+06,2.9685e+06,0.1146
7.9576,64,8.8017e+06,5.8412e+06,2.9605e+06,0.1141
8.0798,65,8.6932e+06,5.7405e+06,2.9528e+06,0.1140
8.2011,66,8.5953e+06,5.6500e+06,2.9453e+06,0.1135
8.3226,67,8.5114e+06,5.5736e+06,2.9378e+06,0.1140
8.4438,68,8.4348e+06,5.5047e+06,2.9302e+06,0.1138
8.5653,69,8.3542e+06,5.4321e+06,2.9221e+06,0.1139
8.6875,70,8.2643e+06,5.3505e+06,2.9138e+06,0.1147
8.8092,71,8.1681e+06,5.2631e+06,2.9050e+06,0.1140
8.9306,72,8.0733e+06,5.1776e+06,2.8957e+06,0.1138
9.0521,73,7.9876e+06,5.1013e+06,2.8862e+06,0.1140
9.1749,74,7.9105e+06,5.0338e+06,2.8766e+06,0.1155
9.2965,75,7.8356e+06,4.9683e+06,2.8672e+06,0.1140
9.4178,76,7.7560e+06,4.8977e+06,2.8583e+06,0.1140
9.5394,77,7.6704e+06,4.8206e+06,2.8498e+06,0.1143
9.6608,78,7.5832e+06,4.7415e+06,2.8417e+06,0.1141
9.7822,79,7.5009e+06,4.6666e+06,2.8343e+06,0.1138
9.9047,80,7.4256e+06,4.5985e+06,2.8271e+06,0.1147
10.0257,81,7.3537e+06,4.5340e+06,2.8197e+06,0.1136
10.1468,82,7.2791e+06,4.4671e+06,2.8121e+06,0.1136
10.2680,83,7.1983e+06,4.3940e+06,2.8043e+06,0.1139
10.3905,84,7.1133e+06,4.3174e+06,2.7958e+06,0.1142
10.5124,85,7.0310e+06,4.2444e+06,2.7866e+06,0.1143
10.6338,86,6.9570e+06,4.1802e+06,2.7768e+06,0.1139
10.7551,87,6.8913e+06,4.1247e+06,2.7666e+06,0.1133
10.8771,88,6.8280e+06,4.0723e+06,2.7557e+06,0.1145
10.9980,89,6.7626e+06,4.0180e+06,2.7446e+06,0.1135
11.1195,90,6.6941e+06,3.9608e+06,2.7333e+06,0.1141
11.2410,91,6.6264e+06,3.9043e+06,2.7221e+06,0.1141
11.3627,92,6.5652e+06,3.8542e+06,2.7110e+06,0.1144
