run_time,iteration,loss,style_loss,content_loss,time
0.1596,0,3.6542e+09,3.6542e+09,0.0000e+00,0.1596
0.3288,1,3.4497e+09,3.4490e+09,7.4352e+05,0.1593
0.4982,2,3.1334e+09,3.1318e+09,1.5672e+06,0.1605
0.6697,3,2.8270e+09,2.8247e+09,2.3737e+06,0.1624
0.8477,4,2.5548e+09,2.5518e+09,3.0442e+06,0.1680
1.0188,5,2.3188e+09,2.3153e+09,3.5661e+06,0.1619
1.1886,6,2.1170e+09,2.1130e+09,3.9631e+06,0.1605
1.3589,7,1.9480e+09,1.9438e+09,4.2617e+06,0.1609
1.5277,8,1.8083e+09,1.8038e+09,4.4876e+06,0.1595
1.6985,9,1.6912e+09,1.6865e+09,4.6628e+06,0.1609
1.8718,10,1.5907e+09,1.5859e+09,4.8056e+06,0.1640
2.0438,11,1.5020e+09,1.4970e+09,4.9317e+06,0.1627
2.2144,12,1.4224e+09,1.4174e+09,5.0402e+06,0.1613
2.3852,13,1.3500e+09,1.3449e+09,5.1399e+06,0.1607
2.5553,14,1.2837e+09,1.2784e+09,5.2335e+06,0.1607
2.7259,15,1.2225e+09,1.2171e+09,5.3222e+06,0.1606
2.8982,16,1.1660e+09,1.1606e+09,5.4073e+06,0.1627
3.0678,17,1.1141e+09,1.1086e+09,5.4898e+06,0.1600
3.2395,18,1.0664e+09,1.0608e+09,5.5677e+06,0.1624
3.4088,19,1.0222e+09,1.0166e+09,5.6401e+06,0.1595
3.5805,20,9.8150e+08,9.7579e+08,5.7080e+06,0.1618
3.7520,21,9.4389e+08,9.3812e+08,5.7730e+06,0.1615
3.9244,22,9.0903e+08,9.0319e+08,5.8330e+06,0.1624
4.0954,23,8.7672e+08,8.7083e+08,5.8889e+06,0.1614
4.2675,24,8.4672e+08,8.4077e+08,5.9409e+06,0.1622
4.4384,25,8.1875e+08,8.1276e+08,5.9889e+06,0.1612
4.6122,26,7.9266e+08,7.8663e+08,6.0345e+06,0.1619
4.7859,27,7.6827e+08,7.6219e+08,6.0793e+06,0.1621
4.9599,28,7.4537e+08,7.3925e+08,6.1226e+06,0.1627
5.1316,29,7.2377e+08,7.1760e+08,6.1647e+06,0.1617
5.3033,30,7.0337e+08,6.9716e+08,6.2052e+06,0.1619
5.4743,31,6.8411e+08,6.7786e+08,6.2454e+06,0.1608
5.6481,32,6.6590e+08,6.5962e+08,6.2852e+06,0.1634
5.8200,33,6.4860e+08,6.4227e+08,6.3246e+06,0.1613
5.9929,34,6.3219e+08,6.2583e+08,6.3623e+06,0.1627
6.1641,35,6.1658e+08,6.1018e+08,6.3977e+06,0.1613
6.3404,36,6.0172e+08,5.9529e+08,6.4315e+06,0.1611
6.5102,37,5.8749e+08,5.8102e+08,6.4645e+06,0.1597
6.6817,38,5.7380e+08,5.6731e+08,6.4957e+06,0.1615
6.8526,39,5.6058e+08,5.5406e+08,6.5242e+06,0.1607
7.0247,40,5.4784e+08,5.4129e+08,6.5500e+06,0.1621
7.1985,41,5.3560e+08,5.2903e+08,6.5742e+06,0.1639
7.3707,42,5.2389e+08,5.1730e+08,6.5964e+06,0.1620
7.5415,43,5.1261e+08,5.0600e+08,6.6170e+06,0.1609
7.7147,44,5.0177e+08,4.9513e+08,6.6356e+06,0.1626
7.8860,45,4.9133e+08,4.8467e+08,6.6524e+06,0.1613
8.0608,46,4.8130e+08,4.7463e+08,6.6677e+06,0.1646
8.2324,47,4.7164e+08,4.6496e+08,6.6814e+06,0.1613
8.4047,48,4.6230e+08,4.5560e+08,6.6944e+06,0.1622
8.5806,49,4.5325e+08,4.4655e+08,6.7066e+06,0.1659
8.7519,50,4.4451e+08,4.3779e+08,6.7183e+06,0.1609
8.9214,51,4.3606e+08,4.2933e+08,6.7292e+06,0.1592
9.0973,52,4.2790e+08,4.2116e+08,6.7392e+06,0.1657
9.2677,53,4.2003e+08,4.1328e+08,6.7494e+06,0.1601
9.4416,54,4.1245e+08,4.0569e+08,6.7599e+06,0.1638
9.6136,55,4.0511e+08,3.9834e+08,6.7703e+06,0.1615
9.7851,56,3.9799e+08,3.9121e+08,6.7808e+06,0.1614
9.9555,57,3.9110e+08,3.8431e+08,6.7913e+06,0.1601
10.1285,58,3.8441e+08,3.7761e+08,6.8010e+06,0.1630
10.3006,59,3.7791e+08,3.7110e+08,6.8097e+06,0.1622
10.4732,60,3.7157e+08,3.6475e+08,6.8182e+06,0.1622
10.6450,61,3.6541e+08,3.5858e+08,6.8261e+06,0.1619
10.8167,62,3.5944e+08,3.5260e+08,6.8339e+06,0.1614
10.9875,63,3.5364e+08,3.4680e+08,6.8411e+06,0.1604
11.1579,64,3.4801e+08,3.4116e+08,6.8472e+06,0.1604
11.3308,65,3.4254e+08,3.3569e+08,6.8524e+06,0.1626
11.5020,66,3.3721e+08,3.3036e+08,6.8572e+06,0.1611
11.6741,67,3.3203e+08,3.2517e+08,6.8616e+06,0.1618
11.8442,68,3.2700e+08,3.2013e+08,6.8661e+06,0.1597
12.0154,69,3.2209e+08,3.1522e+08,6.8700e+06,0.1610
12.1872,70,3.1729e+08,3.1042e+08,6.8736e+06,0.1619
12.3594,71,3.1261e+08,3.0573e+08,6.8775e+06,0.1620
12.5322,72,3.0801e+08,3.0113e+08,6.8815e+06,0.1626
12.7053,73,3.0352e+08,2.9664e+08,6.8857e+06,0.1627
12.8757,74,2.9911e+08,2.9222e+08,6.8897e+06,0.1601
