run_time,iteration,loss,style_loss,content_loss,time
0.1567,0,3.1114e+08,3.1114e+08,0.0000e+00,0.1567
0.3294,1,2.0235e+08,2.0153e+08,8.2337e+05,0.1599
0.4984,2,1.0567e+08,1.0402e+08,1.6530e+06,0.1600
0.6676,3,7.6509e+07,7.4220e+07,2.2892e+06,0.1600
0.8479,4,7.1629e+07,6.8998e+07,2.6311e+06,0.1712
1.0193,5,7.0855e+07,6.8023e+07,2.8316e+06,0.1622
1.1897,6,6.5279e+07,6.2324e+07,2.9551e+06,0.1599
1.3611,7,5.7484e+07,5.4442e+07,3.0425e+06,0.1609
1.5314,8,5.0773e+07,4.7663e+07,3.1096e+06,0.1611
1.7009,9,4.5444e+07,4.2289e+07,3.1553e+06,0.1603
1.8747,10,4.1081e+07,3.7903e+07,3.1782e+06,0.1645
2.0450,11,3.7759e+07,3.4569e+07,3.1898e+06,0.1610
2.2168,12,3.5440e+07,3.2237e+07,3.2029e+06,0.1625
2.3872,13,3.3595e+07,3.0374e+07,3.2215e+06,0.1611
2.5567,14,3.1843e+07,2.8593e+07,3.2498e+06,0.1602
2.7274,15,3.0203e+07,2.6918e+07,3.2858e+06,0.1613
2.8993,16,2.8816e+07,2.5492e+07,3.3240e+06,0.1624
3.0712,17,2.7698e+07,2.4338e+07,3.3605e+06,0.1626
3.2412,18,2.6819e+07,2.3425e+07,3.3941e+06,0.1605
3.4123,19,2.6157e+07,2.2733e+07,3.4233e+06,0.1618
3.5823,20,2.5661e+07,2.2213e+07,3.4482e+06,0.1607
3.7540,21,2.5234e+07,2.1765e+07,3.4691e+06,0.1622
3.9261,22,2.4758e+07,2.1271e+07,3.4871e+06,0.1625
4.0980,23,2.4201e+07,2.0698e+07,3.5022e+06,0.1626
4.2696,24,2.3618e+07,2.0104e+07,3.5143e+06,0.1622
4.4419,25,2.3114e+07,1.9591e+07,3.5233e+06,0.1629
4.6131,26,2.2717e+07,1.9188e+07,3.5290e+06,0.1619
4.7840,27,2.2391e+07,1.8859e+07,3.5320e+06,0.1613
4.9565,28,2.2085e+07,1.8552e+07,3.5334e+06,0.1629
5.1271,29,2.1759e+07,1.8225e+07,3.5341e+06,0.1609
5.2982,30,2.1415e+07,1.7881e+07,3.5347e+06,0.1618
5.4687,31,2.1063e+07,1.7527e+07,3.5359e+06,0.1608
5.6397,32,2.0706e+07,1.7167e+07,3.5390e+06,0.1612
5.8113,33,2.0346e+07,1.6802e+07,3.5438e+06,0.1620
5.9830,34,2.0000e+07,1.6450e+07,3.5500e+06,0.1621
6.1556,35,1.9690e+07,1.6133e+07,3.5569e+06,0.1617
6.3288,36,1.9421e+07,1.5857e+07,3.5637e+06,0.1630
6.5002,37,1.9184e+07,1.5615e+07,3.5694e+06,0.1615
6.6730,38,1.8956e+07,1.5383e+07,3.5731e+06,0.1627
6.8448,39,1.8730e+07,1.5156e+07,3.5745e+06,0.1623
7.0175,40,1.8515e+07,1.4941e+07,3.5738e+06,0.1630
7.1886,41,1.8318e+07,1.4747e+07,3.5709e+06,0.1616
7.3602,42,1.8137e+07,1.4570e+07,3.5667e+06,0.1616
7.5323,43,1.7961e+07,1.4400e+07,3.5616e+06,0.1627
7.7047,44,1.7779e+07,1.4222e+07,3.5564e+06,0.1625
7.8762,45,1.7583e+07,1.4032e+07,3.5508e+06,0.1621
8.0465,46,1.7379e+07,1.3833e+07,3.5455e+06,0.1607
8.2193,47,1.7172e+07,1.3632e+07,3.5401e+06,0.1634
8.3894,48,1.6970e+07,1.3436e+07,3.5343e+06,0.1606
8.5599,49,1.6776e+07,1.3248e+07,3.5282e+06,0.1610
8.7313,50,1.6586e+07,1.3064e+07,3.5220e+06,0.1621
8.9048,51,1.6396e+07,1.2881e+07,3.5154e+06,0.1619
9.0767,52,1.6207e+07,1.2698e+07,3.5088e+06,0.1623
9.2478,53,1.6018e+07,1.2516e+07,3.5024e+06,0.1616
9.4199,54,1.5831e+07,1.2335e+07,3.4964e+06,0.1623
9.5927,55,1.5644e+07,1.2153e+07,3.4908e+06,0.1631
9.7641,56,1.5459e+07,1.1972e+07,3.4862e+06,0.1615
9.9361,57,1.5280e+07,1.1798e+07,3.4822e+06,0.1625
10.1076,58,1.5116e+07,1.1638e+07,3.4784e+06,0.1622
10.2831,59,1.4969e+07,1.1495e+07,3.4748e+06,0.1616
10.4541,60,1.4840e+07,1.1369e+07,3.4710e+06,0.1616
10.6260,61,1.4722e+07,1.1255e+07,3.4669e+06,0.1622
10.7980,62,1.4607e+07,1.1145e+07,3.4621e+06,0.1627
10.9740,63,1.4489e+07,1.1032e+07,3.4564e+06,0.1612
11.1444,64,1.4366e+07,1.0916e+07,3.4499e+06,0.1608
11.3161,65,1.4241e+07,1.0798e+07,3.4429e+06,0.1619
11.4872,66,1.4118e+07,1.0683e+07,3.4354e+06,0.1619
11.6583,67,1.3997e+07,1.0570e+07,3.4277e+06,0.1615
11.8307,68,1.3878e+07,1.0458e+07,3.4199e+06,0.1628
12.0023,69,1.3758e+07,1.0346e+07,3.4121e+06,0.1615
12.1742,70,1.3635e+07,1.0231e+07,3.4047e+06,0.1626
12.3456,71,1.3510e+07,1.0112e+07,3.3977e+06,0.1616
12.5179,72,1.3385e+07,9.9940e+06,3.3907e+06,0.1629
12.6885,73,1.3260e+07,9.8757e+06,3.3838e+06,0.1611
12.8595,74,1.3137e+07,9.7595e+06,3.3770e+06,0.1617
13.0291,75,1.3016e+07,9.6454e+06,3.3703e+06,0.1599
13.1995,76,1.2897e+07,9.5330e+06,3.3638e+06,0.1612
13.3708,77,1.2781e+07,9.4236e+06,3.3573e+06,0.1613
13.5428,78,1.2670e+07,9.3190e+06,3.3507e+06,0.1624
13.7152,79,1.2563e+07,9.2188e+06,3.3442e+06,0.1630
13.8923,80,1.2458e+07,9.1208e+06,3.3376e+06,0.1599
14.0632,81,1.2353e+07,9.0218e+06,3.3311e+06,0.1612
14.2332,82,1.2246e+07,8.9209e+06,3.3248e+06,0.1605
14.4035,83,1.2136e+07,8.8175e+06,3.3187e+06,0.1609
14.5749,84,1.2027e+07,8.7149e+06,3.3126e+06,0.1620
