run_time,iteration,loss,style_loss,content_loss,time
0.1595,0,7.5331e+08,7.5331e+08,0.0000e+00,0.1595
0.3320,1,4.7762e+08,4.7673e+08,8.8625e+05,0.1607
0.5036,2,2.9317e+08,2.9145e+08,1.7186e+06,0.1621
0.6742,3,1.9880e+08,1.9648e+08,2.3149e+06,0.1610
0.8546,4,1.5276e+08,1.5009e+08,2.6722e+06,0.1709
1.0234,5,1.3951e+08,1.3660e+08,2.9091e+06,0.1595
1.1948,6,1.3729e+08,1.3419e+08,3.0939e+06,0.1621
1.3652,7,1.3327e+08,1.3003e+08,3.2378e+06,0.1604
1.5355,8,1.2470e+08,1.2135e+08,3.3445e+06,0.1604
1.7074,9,1.1321e+08,1.0978e+08,3.4241e+06,0.1628
1.8806,10,1.0141e+08,9.7924e+07,3.4823e+06,0.1636
2.0527,11,9.0632e+07,8.7100e+07,3.5320e+06,0.1626
2.2229,12,8.0965e+07,7.7386e+07,3.5787e+06,0.1606
2.3940,13,7.2097e+07,6.8472e+07,3.6244e+06,0.1617
2.5647,14,6.4089e+07,6.0418e+07,3.6709e+06,0.1614
2.7355,15,5.7249e+07,5.3531e+07,3.7182e+06,0.1614
2.9076,16,5.1674e+07,4.7907e+07,3.7678e+06,0.1628
3.0797,17,4.7272e+07,4.3455e+07,3.8176e+06,0.1627
3.2509,18,4.3807e+07,3.9940e+07,3.8667e+06,0.1618
3.4217,19,4.1087e+07,3.7174e+07,3.9129e+06,0.1612
3.5924,20,3.8936e+07,3.4981e+07,3.9551e+06,0.1613
3.7626,21,3.7230e+07,3.3239e+07,3.9907e+06,0.1608
3.9345,22,3.5866e+07,3.1847e+07,4.0192e+06,0.1625
4.1061,23,3.4784e+07,3.0745e+07,4.0391e+06,0.1623
4.2786,24,3.3940e+07,2.9888e+07,4.0522e+06,0.1629
4.4505,25,3.3223e+07,2.9165e+07,4.0588e+06,0.1623
4.6213,26,3.2545e+07,2.8485e+07,4.0593e+06,0.1612
4.7936,27,3.1847e+07,2.7790e+07,4.0567e+06,0.1629
