run_time,iteration,loss,style_loss,content_loss,time
0.1584,0,1.7693e+08,1.7693e+08,0.0000e+00,0.1584
0.3303,1,6.6348e+07,6.4889e+07,1.4596e+06,0.1607
0.4996,2,5.0572e+07,4.8153e+07,2.4186e+06,0.1602
0.6697,3,4.4743e+07,4.1833e+07,2.9102e+06,0.1608
0.8543,4,4.0792e+07,3.7617e+07,3.1749e+06,0.1749
1.0243,5,3.8167e+07,3.4848e+07,3.3190e+06,0.1607
1.1941,6,3.6159e+07,3.2755e+07,3.4039e+06,0.1608
1.3647,7,3.4458e+07,3.1001e+07,3.4574e+06,0.1616
1.5330,8,3.2992e+07,2.9502e+07,3.4897e+06,0.1590
1.7031,9,3.1684e+07,2.8172e+07,3.5112e+06,0.1610
1.8781,10,3.0454e+07,2.6923e+07,3.5306e+06,0.1659
2.0496,11,2.9299e+07,2.5748e+07,3.5516e+06,0.1625
2.2201,12,2.8253e+07,2.4683e+07,3.5701e+06,0.1613
2.3903,13,2.7304e+07,2.3717e+07,3.5867e+06,0.1610
2.5621,14,2.6411e+07,2.2812e+07,3.5991e+06,0.1627
2.7311,15,2.5566e+07,2.1959e+07,3.6071e+06,0.1598
2.9036,16,2.4771e+07,2.1160e+07,3.6111e+06,0.1635
3.0745,17,2.4051e+07,2.0438e+07,3.6125e+06,0.1616
3.2497,18,2.3409e+07,1.9796e+07,3.6123e+06,0.1611
3.4192,19,2.2814e+07,1.9202e+07,3.6119e+06,0.1602
3.5894,20,2.2256e+07,1.8645e+07,3.6109e+06,0.1611
3.7606,21,2.1712e+07,1.8102e+07,3.6095e+06,0.1619
3.9323,22,2.1186e+07,1.7579e+07,3.6071e+06,0.1626
4.1051,23,2.0679e+07,1.7076e+07,3.6033e+06,0.1637
4.2765,24,2.0190e+07,1.6591e+07,3.5987e+06,0.1620
4.4490,25,1.9717e+07,1.6125e+07,3.5922e+06,0.1635
4.6202,26,1.9259e+07,1.5675e+07,3.5839e+06,0.1617
4.7915,27,1.8811e+07,1.5236e+07,3.5743e+06,0.1617
4.9610,28,1.8373e+07,1.4809e+07,3.5640e+06,0.1604
5.1328,29,1.7947e+07,1.4394e+07,3.5524e+06,0.1626
5.3036,30,1.7540e+07,1.3999e+07,3.5408e+06,0.1618
5.4741,31,1.7162e+07,1.3633e+07,3.5292e+06,0.1615
5.6486,32,1.6814e+07,1.3296e+07,3.5180e+06,0.1647
5.8194,33,1.6487e+07,1.2980e+07,3.5074e+06,0.1599
5.9905,34,1.6179e+07,1.2682e+07,3.4970e+06,0.1616
6.1610,35,1.5887e+07,1.2399e+07,3.4874e+06,0.1612
6.3320,36,1.5607e+07,1.2128e+07,3.4788e+06,0.1619
6.5030,37,1.5331e+07,1.1861e+07,3.4704e+06,0.1618
6.6761,38,1.5065e+07,1.1603e+07,3.4621e+06,0.1641
6.8449,39,1.4807e+07,1.1353e+07,3.4538e+06,0.1595
7.0159,40,1.4556e+07,1.1110e+07,3.4457e+06,0.1618
7.1867,41,1.4307e+07,1.0870e+07,3.4373e+06,0.1617
7.3586,42,1.4065e+07,1.0636e+07,3.4287e+06,0.1625
