run_time,iteration,loss,style_loss,content_loss,time
0.1774,0,1.8971e+08,1.8971e+08,0.0000e+00,0.1774
0.3506,1,8.8479e+07,8.7044e+07,1.4350e+06,0.1604
0.5187,2,6.7700e+07,6.5343e+07,2.3571e+06,0.1590
0.6887,3,5.9542e+07,5.6699e+07,2.8429e+06,0.1606
0.8585,4,5.4685e+07,5.1577e+07,3.1074e+06,0.1610
1.0292,5,5.1390e+07,4.8126e+07,3.2640e+06,0.1614
1.2020,6,4.8678e+07,4.5321e+07,3.3563e+06,0.1636
1.3715,7,4.6231e+07,4.2819e+07,3.4124e+06,0.1604
1.5414,8,4.4077e+07,4.0628e+07,3.4483e+06,0.1607
1.7127,9,4.2287e+07,3.8810e+07,3.4767e+06,0.1622
1.8839,10,4.0823e+07,3.7318e+07,3.5055e+06,0.1619
2.0570,11,3.9582e+07,3.6043e+07,3.5382e+06,0.1620
2.2276,12,3.8478e+07,3.4905e+07,3.5735e+06,0.1614
2.3987,13,3.7444e+07,3.3840e+07,3.6046e+06,0.1619
2.5680,14,3.6439e+07,3.2807e+07,3.6318e+06,0.1601
2.7379,15,3.5445e+07,3.1790e+07,3.6554e+06,0.1608
2.9093,16,3.4482e+07,3.0809e+07,3.6737e+06,0.1625
3.0798,17,3.3563e+07,2.9877e+07,3.6862e+06,0.1610
3.2512,18,3.2691e+07,2.8996e+07,3.6954e+06,0.1624
3.4207,19,3.1875e+07,2.8174e+07,3.7010e+06,0.1603
3.5917,20,3.1140e+07,2.7435e+07,3.7049e+06,0.1619
3.7630,21,3.0469e+07,2.6760e+07,3.7095e+06,0.1624
3.9337,22,2.9841e+07,2.6127e+07,3.7147e+06,0.1615
4.1061,23,2.9249e+07,2.5531e+07,3.7186e+06,0.1631
4.2767,24,2.8687e+07,2.4966e+07,3.7218e+06,0.1615
4.4492,25,2.8152e+07,2.4427e+07,3.7244e+06,0.1634
4.6179,26,2.7640e+07,2.3914e+07,3.7255e+06,0.1597
4.7890,27,2.7145e+07,2.3419e+07,3.7251e+06,0.1621
4.9603,28,2.6661e+07,2.2938e+07,3.7234e+06,0.1621
5.1316,29,2.6195e+07,2.2473e+07,3.7211e+06,0.1620
5.3033,30,2.5736e+07,2.2019e+07,3.7177e+06,0.1627
5.4740,31,2.5287e+07,2.1573e+07,3.7139e+06,0.1616
5.6461,32,2.4850e+07,2.1140e+07,3.7107e+06,0.1630
5.8170,33,2.4429e+07,2.0720e+07,3.7084e+06,0.1618
5.9877,34,2.4023e+07,2.0317e+07,3.7062e+06,0.1616
6.1595,35,2.3628e+07,1.9924e+07,3.7037e+06,0.1613
6.3331,36,2.3242e+07,1.9542e+07,3.7005e+06,0.1636
6.5031,37,2.2873e+07,1.9176e+07,3.6969e+06,0.1594
