run_time,iteration,loss,style_loss,content_loss,time
0.1576,0,1.4291e+09,1.4291e+09,0.0000e+00,0.1576
0.3321,1,9.7429e+08,9.7336e+08,9.2221e+05,0.1601
0.5024,2,5.6566e+08,5.6349e+08,2.1632e+06,0.1607
0.6734,3,3.4054e+08,3.3733e+08,3.2142e+06,0.1617
0.8556,4,2.4632e+08,2.4248e+08,3.8346e+06,0.1731
1.0263,5,2.0223e+08,1.9815e+08,4.0815e+06,0.1615
1.1975,6,1.9689e+08,1.9274e+08,4.1475e+06,0.1621
1.3691,7,2.0414e+08,1.9998e+08,4.1585e+06,0.1620
1.5348,8,2.0345e+08,1.9927e+08,4.1767e+06,0.1648
1.6990,9,1.9370e+08,1.8948e+08,4.2220e+06,0.1635
1.8722,10,1.7911e+08,1.7481e+08,4.2928e+06,0.1638
2.0435,11,1.6214e+08,1.5776e+08,4.3799e+06,0.1618
2.2157,12,1.4465e+08,1.4018e+08,4.4672e+06,0.1629
2.3860,13,1.2802e+08,1.2347e+08,4.5453e+06,0.1609
2.5575,14,1.1347e+08,1.0886e+08,4.6070e+06,0.1621
2.7296,15,1.0158e+08,9.6932e+07,4.6506e+06,0.1628
2.9034,16,9.2246e+07,8.7566e+07,4.6795e+06,0.1637
3.0756,17,8.5071e+07,8.0377e+07,4.6942e+06,0.1628
3.2467,18,7.9637e+07,7.4938e+07,4.6988e+06,0.1617
3.4179,19,7.5508e+07,7.0811e+07,4.6974e+06,0.1618
3.5899,20,7.2395e+07,6.7701e+07,4.6938e+06,0.1626
3.7623,21,7.0009e+07,6.5316e+07,4.6926e+06,0.1628
3.9352,22,6.8071e+07,6.3374e+07,4.6972e+06,0.1635
4.1071,23,6.6244e+07,6.1537e+07,4.7072e+06,0.1626
4.2791,24,6.4341e+07,5.9618e+07,4.7236e+06,0.1625
4.4508,25,6.2285e+07,5.7540e+07,4.7453e+06,0.1618
4.6229,26,6.0149e+07,5.5377e+07,4.7715e+06,0.1625
4.7940,27,5.8029e+07,5.3228e+07,4.8010e+06,0.1616
4.9640,28,5.6084e+07,5.1253e+07,4.8311e+06,0.1604
5.1361,29,5.4426e+07,4.9564e+07,4.8617e+06,0.1626
5.3086,30,5.3091e+07,4.8200e+07,4.8913e+06,0.1631
5.4804,31,5.2038e+07,4.7118e+07,4.9200e+06,0.1623
5.6523,32,5.1178e+07,4.6231e+07,4.9476e+06,0.1621
5.8240,33,5.0410e+07,4.5437e+07,4.9727e+06,0.1622
5.9947,34,4.9655e+07,4.4660e+07,4.9951e+06,0.1613
6.1663,35,4.8873e+07,4.3859e+07,5.0139e+06,0.1622
6.3408,36,4.8058e+07,4.3029e+07,5.0296e+06,0.1651
6.5133,37,4.7224e+07,4.2182e+07,5.0416e+06,0.1628
6.6848,38,4.6376e+07,4.1325e+07,5.0504e+06,0.1621
6.8568,39,4.5531e+07,4.0475e+07,5.0565e+06,0.1624
7.0285,40,4.4681e+07,3.9621e+07,5.0600e+06,0.1621
7.2016,41,4.3814e+07,3.8752e+07,5.0623e+06,0.1636
7.3738,42,4.2923e+07,3.7860e+07,5.0635e+06,0.1627
7.5465,43,4.2011e+07,3.6948e+07,5.0637e+06,0.1631
7.7179,44,4.1081e+07,3.6018e+07,5.0637e+06,0.1620
7.8899,45,4.0154e+07,3.5089e+07,5.0641e+06,0.1625
8.0619,46,3.9259e+07,3.4194e+07,5.0648e+06,0.1624
8.2346,47,3.8409e+07,3.3343e+07,5.0665e+06,0.1629
8.4081,48,3.7604e+07,3.2535e+07,5.0690e+06,0.1608
8.5807,49,3.6850e+07,3.1779e+07,5.0717e+06,0.1627
8.7520,50,3.6150e+07,3.1076e+07,5.0748e+06,0.1619
8.9250,51,3.5493e+07,3.0415e+07,5.0777e+06,0.1635
9.0971,52,3.4874e+07,2.9795e+07,5.0793e+06,0.1627
9.2697,53,3.4298e+07,2.9218e+07,5.0802e+06,0.1630
9.4413,54,3.3762e+07,2.8682e+07,5.0803e+06,0.1618
9.6133,55,3.3263e+07,2.8184e+07,5.0793e+06,0.1624
9.7856,56,3.2799e+07,2.7722e+07,5.0771e+06,0.1627
9.9598,57,3.2368e+07,2.7294e+07,5.0737e+06,0.1637
10.1334,58,3.1969e+07,2.6899e+07,5.0696e+06,0.1628
10.3068,59,3.1588e+07,2.6523e+07,5.0650e+06,0.1630
10.4790,60,3.1222e+07,2.6162e+07,5.0599e+06,0.1617
10.6510,61,3.0864e+07,2.5809e+07,5.0546e+06,0.1624
10.8223,62,3.0508e+07,2.5458e+07,5.0498e+06,0.1619
10.9946,63,3.0150e+07,2.5105e+07,5.0453e+06,0.1627
11.1673,64,2.9799e+07,2.4757e+07,5.0415e+06,0.1633
11.3391,65,2.9460e+07,2.4421e+07,5.0385e+06,0.1621
11.5114,66,2.9141e+07,2.4105e+07,5.0360e+06,0.1623
11.6823,67,2.8847e+07,2.3813e+07,5.0340e+06,0.1611
11.8541,68,2.8580e+07,2.3548e+07,5.0320e+06,0.1621
12.0274,69,2.8337e+07,2.3307e+07,5.0302e+06,0.1619
12.1991,70,2.8112e+07,2.3084e+07,5.0281e+06,0.1622
12.3719,71,2.7894e+07,2.2869e+07,5.0254e+06,0.1630
12.5436,72,2.7667e+07,2.2645e+07,5.0222e+06,0.1619
12.7160,73,2.7418e+07,2.2400e+07,5.0180e+06,0.1626
12.8875,74,2.7139e+07,2.2126e+07,5.0128e+06,0.1622
13.0615,75,2.6831e+07,2.1824e+07,5.0068e+06,0.1640
13.2330,76,2.6503e+07,2.1503e+07,5.0006e+06,0.1621
13.4060,77,2.6162e+07,2.1168e+07,4.9941e+06,0.1631
13.5776,78,2.5819e+07,2.0832e+07,4.9876e+06,0.1621
13.7498,79,2.5480e+07,2.0499e+07,4.9814e+06,0.1627
13.9220,80,2.5148e+07,2.0173e+07,4.9758e+06,0.1623
14.0940,81,2.4824e+07,1.9853e+07,4.9709e+06,0.1624
14.2654,82,2.4504e+07,1.9538e+07,4.9666e+06,0.1619
14.4377,83,2.4192e+07,1.9230e+07,4.9628e+06,0.1627
14.6094,84,2.3891e+07,1.8931e+07,4.9596e+06,0.1619
14.7818,85,2.3602e+07,1.8645e+07,4.9566e+06,0.1628
14.9536,86,2.3327e+07,1.8374e+07,4.9535e+06,0.1624
15.1266,87,2.3069e+07,1.8119e+07,4.9503e+06,0.1633
15.2986,88,2.2825e+07,1.7879e+07,4.9464e+06,0.1626
15.4714,89,2.2595e+07,1.7654e+07,4.9417e+06,0.1629
15.6436,90,2.2376e+07,1.7440e+07,4.9360e+06,0.1618
15.8166,91,2.2164e+07,1.7235e+07,4.9294e+06,0.1632
15.9876,92,2.1958e+07,1.7036e+07,4.9218e+06,0.1615
16.1600,93,2.1756e+07,1.6843e+07,4.9136e+06,0.1628
16.3341,94,2.1560e+07,1.6655e+07,4.9047e+06,0.1645
16.5089,95,2.1369e+07,1.6474e+07,4.8956e+06,0.1635
16.6803,96,2.1186e+07,1.6300e+07,4.8860e+06,0.1619
16.8524,97,2.1012e+07,1.6135e+07,4.8765e+06,0.1625
17.0236,98,2.0846e+07,1.5978e+07,4.8672e+06,0.1612
17.1951,99,2.0687e+07,1.5828e+07,4.8584e+06,0.1616
17.3672,100,2.0532e+07,1.5682e+07,4.8503e+06,0.1627
17.5427,101,2.0380e+07,1.5537e+07,4.8429e+06,0.1624
17.7152,102,2.0227e+07,1.5391e+07,4.8362e+06,0.1621
17.8866,103,2.0072e+07,1.5242e+07,4.8301e+06,0.1620
18.0579,104,1.9914e+07,1.5090e+07,4.8245e+06,0.1617
18.2296,105,1.9752e+07,1.4933e+07,4.8190e+06,0.1618
18.4017,106,1.9586e+07,1.4772e+07,4.8138e+06,0.1627
18.5743,107,1.9417e+07,1.4609e+07,4.8085e+06,0.1627
18.7465,108,1.9249e+07,1.4446e+07,4.8030e+06,0.1628
18.9215,109,1.9084e+07,1.4287e+07,4.7974e+06,0.1651
19.0928,110,1.8924e+07,1.4133e+07,4.7914e+06,0.1614
19.2651,111,1.8770e+07,1.3985e+07,4.7851e+06,0.1628
19.4367,112,1.8620e+07,1.3841e+07,4.7784e+06,0.1619
19.6097,113,1.8472e+07,1.3701e+07,4.7716e+06,0.1630
19.7802,114,1.8324e+07,1.3559e+07,4.7646e+06,0.1611
19.9534,115,1.8173e+07,1.3415e+07,4.7575e+06,0.1635
20.1250,116,1.8017e+07,1.3267e+07,4.7504e+06,0.1620
20.2980,117,1.7857e+07,1.3114e+07,4.7432e+06,0.1631
20.4702,118,1.7696e+07,1.2960e+07,4.7359e+06,0.1627
20.6430,119,1.7537e+07,1.2808e+07,4.7285e+06,0.1629
20.8144,120,1.7382e+07,1.2660e+07,4.7210e+06,0.1617
20.9867,121,1.7232e+07,1.2519e+07,4.7133e+06,0.1626
21.1589,122,1.7088e+07,1.2382e+07,4.7054e+06,0.1628
21.3308,123,1.6948e+07,1.2251e+07,4.6974e+06,0.1623
21.5044,124,1.6811e+07,1.2121e+07,4.6893e+06,0.1642
21.6765,125,1.6675e+07,1.1994e+07,4.6810e+06,0.1622
21.8478,126,1.6540e+07,1.1867e+07,4.6727e+06,0.1620
22.0208,127,1.6407e+07,1.1742e+07,4.6642e+06,0.1634
22.1927,128,1.6275e+07,1.1620e+07,4.6557e+06,0.1625
22.3657,129,1.6148e+07,1.1501e+07,4.6473e+06,0.1636
22.5382,130,1.6025e+07,1.1386e+07,4.6390e+06,0.1628
22.7104,131,1.5905e+07,1.1274e+07,4.6308e+06,0.1624
22.8820,132,1.5788e+07,1.1166e+07,4.6229e+06,0.1624
23.0535,133,1.5673e+07,1.1057e+07,4.6151e+06,0.1616
23.2253,134,1.5556e+07,1.0949e+07,4.6075e+06,0.1624
23.3978,135,1.5440e+07,1.0840e+07,4.6001e+06,0.1630
23.5713,136,1.5323e+07,1.0730e+07,4.5926e+06,0.1612
23.7449,137,1.5206e+07,1.0621e+07,4.5850e+06,0.1641
23.9157,138,1.5091e+07,1.0513e+07,4.5771e+06,0.1612
24.0874,139,1.4978e+07,1.0409e+07,4.5691e+06,0.1624
24.2598,140,1.4870e+07,1.0309e+07,4.5608e+06,0.1630
24.4324,141,1.4767e+07,1.0214e+07,4.5522e+06,0.1632
24.6048,142,1.4668e+07,1.0125e+07,4.5433e+06,0.1627
24.7781,143,1.4575e+07,1.0041e+07,4.5342e+06,0.1637
24.9501,144,1.4485e+07,9.9601e+06,4.5249e+06,0.1627
25.1231,145,1.4397e+07,9.8817e+06,4.5156e+06,0.1634
25.2952,146,1.4310e+07,9.8039e+06,4.5062e+06,0.1626
25.4677,147,1.4222e+07,9.7250e+06,4.4970e+06,0.1633
25.6401,148,1.4132e+07,9.6436e+06,4.4880e+06,0.1627
25.8124,149,1.4038e+07,9.5587e+06,4.4794e+06,0.1629
25.9835,150,1.3941e+07,9.4700e+06,4.4713e+06,0.1618
26.1546,151,1.3842e+07,9.3782e+06,4.4635e+06,0.1615
26.3265,152,1.3740e+07,9.2839e+06,4.4560e+06,0.1628
26.4987,153,1.3637e+07,9.1882e+06,4.4488e+06,0.1630
26.6707,154,1.3534e+07,9.0922e+06,4.4418e+06,0.1618
26.8435,155,1.3432e+07,8.9967e+06,4.4348e+06,0.1629
27.0156,156,1.3330e+07,8.9022e+06,4.4278e+06,0.1628
27.1873,157,1.3229e+07,8.8087e+06,4.4207e+06,0.1624
27.3597,158,1.3129e+07,8.7163e+06,4.4132e+06,0.1631
27.5327,159,1.3031e+07,8.6252e+06,4.4053e+06,0.1635
27.7047,160,1.2933e+07,8.5363e+06,4.3972e+06,0.1626
27.8765,161,1.2839e+07,8.4502e+06,4.3888e+06,0.1623
28.0482,162,1.2748e+07,8.3676e+06,4.3802e+06,0.1625
28.2196,163,1.2660e+07,8.2887e+06,4.3714e+06,0.1621
28.3924,164,1.2576e+07,8.2133e+06,4.3626e+06,0.1637
28.5650,165,1.2494e+07,8.1404e+06,4.3539e+06,0.1634
28.7366,166,1.2414e+07,8.0685e+06,4.3453e+06,0.1623
28.9098,167,1.2333e+07,7.9961e+06,4.3369e+06,0.1636
29.0821,168,1.2252e+07,7.9227e+06,4.3288e+06,0.1630
29.2544,169,1.2169e+07,7.8485e+06,4.3209e+06,0.1630
29.4261,170,1.2087e+07,7.7742e+06,4.3133e+06,0.1626
29.5998,171,1.2006e+07,7.7007e+06,4.3057e+06,0.1640
29.7715,172,1.1927e+07,7.6292e+06,4.2982e+06,0.1620
29.9439,173,1.1851e+07,7.5600e+06,4.2905e+06,0.1621
30.1158,174,1.1776e+07,7.4931e+06,4.2827e+06,0.1627
30.2888,175,1.1702e+07,7.4278e+06,4.2746e+06,0.1636
30.4600,176,1.1629e+07,7.3632e+06,4.2663e+06,0.1618
30.6334,177,1.1556e+07,7.2983e+06,4.2577e+06,0.1640
30.8057,178,1.1482e+07,7.2330e+06,4.2489e+06,0.1627
30.9776,179,1.1407e+07,7.1672e+06,4.2400e+06,0.1621
31.1496,180,1.1332e+07,7.1012e+06,4.2309e+06,0.1627
