run_time,iteration,loss,style_loss,content_loss,time
0.1596,0,7.3508e+08,7.3508e+08,0.0000e+00,0.1596
0.3307,1,5.5224e+08,5.5152e+08,7.1960e+05,0.1606
0.5005,2,3.9668e+08,3.9537e+08,1.3134e+06,0.1605
0.6702,3,3.1116e+08,3.0939e+08,1.7697e+06,0.1606
0.8493,4,2.6767e+08,2.6554e+08,2.1349e+06,0.1698
1.0183,5,2.4805e+08,2.4563e+08,2.4175e+06,0.1596
1.1887,6,2.3290e+08,2.3029e+08,2.6108e+06,0.1611
1.3590,7,2.1822e+08,2.1548e+08,2.7436e+06,0.1610
1.5296,8,2.0662e+08,2.0377e+08,2.8467e+06,0.1612
1.7003,9,1.9774e+08,1.9481e+08,2.9350e+06,0.1613
1.8726,10,1.9003e+08,1.8702e+08,3.0139e+06,0.1631
2.0432,11,1.8251e+08,1.7942e+08,3.0891e+06,0.1614
2.2137,12,1.7468e+08,1.7151e+08,3.1632e+06,0.1613
2.3840,13,1.6674e+08,1.6351e+08,3.2346e+06,0.1611
2.5542,14,1.5917e+08,1.5587e+08,3.2987e+06,0.1610
2.7244,15,1.5205e+08,1.4870e+08,3.3508e+06,0.1606
2.8969,16,1.4528e+08,1.4189e+08,3.3913e+06,0.1633
3.0670,17,1.3883e+08,1.3541e+08,3.4242e+06,0.1607
3.2379,18,1.3281e+08,1.2936e+08,3.4521e+06,0.1617
3.4085,19,1.2716e+08,1.2368e+08,3.4798e+06,0.1612
3.5800,20,1.2178e+08,1.1827e+08,3.5099e+06,0.1619
3.7510,21,1.1677e+08,1.1323e+08,3.5389e+06,0.1617
3.9225,22,1.1221e+08,1.0864e+08,3.5648e+06,0.1622
4.0945,23,1.0806e+08,1.0447e+08,3.5881e+06,0.1625
4.2647,24,1.0429e+08,1.0068e+08,3.6084e+06,0.1610
4.4370,25,1.0086e+08,9.7233e+07,3.6248e+06,0.1631
4.6118,26,9.7722e+07,9.4084e+07,3.6375e+06,0.1603
4.7831,27,9.4794e+07,9.1147e+07,3.6469e+06,0.1620
4.9545,28,9.2004e+07,8.8351e+07,3.6535e+06,0.1620
5.1261,29,8.9386e+07,8.5727e+07,3.6581e+06,0.1622
5.2968,30,8.6975e+07,8.3314e+07,3.6610e+06,0.1612
5.4695,31,8.4754e+07,8.1091e+07,3.6630e+06,0.1628
5.6388,32,8.2713e+07,7.9049e+07,3.6645e+06,0.1599
5.8101,33,8.0814e+07,7.7149e+07,3.6653e+06,0.1621
5.9812,34,7.9031e+07,7.5366e+07,3.6657e+06,0.1619
6.1527,35,7.7346e+07,7.3679e+07,3.6670e+06,0.1621
6.3251,36,7.5726e+07,7.2056e+07,3.6699e+06,0.1629
6.4964,37,7.4162e+07,7.0487e+07,3.6748e+06,0.1614
6.6675,38,7.2659e+07,6.8978e+07,3.6803e+06,0.1617
6.8386,39,7.1207e+07,6.7521e+07,3.6854e+06,0.1615
7.0104,40,6.9810e+07,6.6119e+07,3.6909e+06,0.1626
7.1812,41,6.8465e+07,6.4769e+07,3.6961e+06,0.1613
7.3522,42,6.7173e+07,6.3472e+07,3.7005e+06,0.1618
7.5232,43,6.5924e+07,6.2219e+07,3.7050e+06,0.1616
7.6969,44,6.4713e+07,6.1004e+07,3.7095e+06,0.1631
7.8691,45,6.3530e+07,5.9817e+07,3.7133e+06,0.1609
8.0400,46,6.2364e+07,5.8647e+07,3.7174e+06,0.1605
8.2103,47,6.1233e+07,5.7512e+07,3.7213e+06,0.1605
8.3817,48,6.0148e+07,5.6423e+07,3.7249e+06,0.1620
8.5526,49,5.9096e+07,5.5369e+07,3.7275e+06,0.1615
8.7251,50,5.8077e+07,5.4347e+07,3.7298e+06,0.1628
8.8961,51,5.7089e+07,5.3358e+07,3.7313e+06,0.1616
9.0667,52,5.6133e+07,5.2400e+07,3.7326e+06,0.1610
9.2379,53,5.5201e+07,5.1467e+07,3.7340e+06,0.1618
9.4079,54,5.4293e+07,5.0557e+07,3.7358e+06,0.1607
9.5804,55,5.3398e+07,4.9660e+07,3.7378e+06,0.1631
9.7508,56,5.2527e+07,4.8787e+07,3.7401e+06,0.1606
9.9244,57,5.1671e+07,4.7928e+07,3.7430e+06,0.1628
10.0959,58,5.0842e+07,4.7096e+07,3.7465e+06,0.1622
10.2686,59,5.0039e+07,4.6289e+07,3.7498e+06,0.1604
10.4391,60,4.9259e+07,4.5506e+07,3.7534e+06,0.1611
10.6114,61,4.8500e+07,4.4743e+07,3.7569e+06,0.1628
10.7818,62,4.7764e+07,4.4003e+07,3.7604e+06,0.1609
10.9536,63,4.7047e+07,4.3283e+07,3.7637e+06,0.1623
11.1258,64,4.6344e+07,4.2577e+07,3.7672e+06,0.1629
11.3046,65,4.5656e+07,4.1885e+07,3.7705e+06,0.1694
11.4741,66,4.4986e+07,4.1212e+07,3.7740e+06,0.1591
11.6453,67,4.4328e+07,4.0550e+07,3.7773e+06,0.1616
11.8160,68,4.3681e+07,3.9900e+07,3.7813e+06,0.1613
