run_time,iteration,loss,style_loss,content_loss,time
0.1589,0,6.0244e+08,6.0244e+08,0.0000e+00,0.1589
0.3336,1,3.9229e+08,3.9143e+08,8.6532e+05,0.1597
0.5048,2,2.5814e+08,2.5654e+08,1.6026e+06,0.1616
0.6760,3,1.9204e+08,1.9004e+08,1.9918e+06,0.1616
0.8530,4,1.5591e+08,1.5367e+08,2.2418e+06,0.1676
1.0228,5,1.4659e+08,1.4412e+08,2.4692e+06,0.1605
1.1954,6,1.4369e+08,1.4101e+08,2.6765e+06,0.1632
1.3656,7,1.3558e+08,1.3274e+08,2.8403e+06,0.1605
1.5348,8,1.2237e+08,1.1941e+08,2.9628e+06,0.1597
1.7065,9,1.0754e+08,1.0449e+08,3.0524e+06,0.1624
1.8771,10,9.3921e+07,9.0806e+07,3.1147e+06,0.1615
2.0479,11,8.2746e+07,7.9592e+07,3.1542e+06,0.1614
2.2197,12,7.3971e+07,7.0791e+07,3.1796e+06,0.1626
2.3909,13,6.7043e+07,6.3841e+07,3.2018e+06,0.1617
2.5622,14,6.1329e+07,5.8105e+07,3.2247e+06,0.1619
2.7335,15,5.6495e+07,5.3240e+07,3.2548e+06,0.1617
2.9055,16,5.2467e+07,4.9176e+07,3.2913e+06,0.1628
3.0758,17,4.9260e+07,4.5927e+07,3.3331e+06,0.1607
3.2481,18,4.6766e+07,4.3386e+07,3.3807e+06,0.1631
3.4176,19,4.4815e+07,4.1385e+07,3.4302e+06,0.1599
3.5894,20,4.3248e+07,3.9769e+07,3.4784e+06,0.1618
3.7600,21,4.1945e+07,3.8421e+07,3.5233e+06,0.1612
3.9309,22,4.0811e+07,3.7248e+07,3.5634e+06,0.1617
4.1022,23,3.9731e+07,3.6135e+07,3.5968e+06,0.1621
4.2745,24,3.8638e+07,3.5015e+07,3.6227e+06,0.1628
4.4465,25,3.7494e+07,3.3851e+07,3.6427e+06,0.1620
4.6170,26,3.6312e+07,3.2656e+07,3.6558e+06,0.1609
4.7886,27,3.5125e+07,3.1462e+07,3.6629e+06,0.1622
4.9588,28,3.3986e+07,3.0320e+07,3.6658e+06,0.1605
5.1295,29,3.2928e+07,2.9263e+07,3.6654e+06,0.1613
5.3017,30,3.1969e+07,2.8306e+07,3.6625e+06,0.1629
5.4723,31,3.1124e+07,2.7465e+07,3.6584e+06,0.1608
5.6435,32,3.0383e+07,2.6728e+07,3.6544e+06,0.1617
5.8151,33,2.9719e+07,2.6067e+07,3.6511e+06,0.1622
5.9864,34,2.9104e+07,2.5454e+07,3.6495e+06,0.1620
6.1581,35,2.8511e+07,2.4862e+07,3.6495e+06,0.1619
6.3302,36,2.7935e+07,2.4283e+07,3.6513e+06,0.1620
6.5034,37,2.7377e+07,2.3722e+07,3.6544e+06,0.1634
6.6751,38,2.6852e+07,2.3194e+07,3.6578e+06,0.1621
6.8471,39,2.6376e+07,2.2715e+07,3.6611e+06,0.1623
7.0194,40,2.5946e+07,2.2283e+07,3.6629e+06,0.1615
7.1908,41,2.5560e+07,2.1896e+07,3.6631e+06,0.1615
7.3663,42,2.5198e+07,2.1536e+07,3.6619e+06,0.1658
7.5372,43,2.4847e+07,2.1188e+07,3.6589e+06,0.1611
7.7080,44,2.4495e+07,2.0840e+07,3.6548e+06,0.1611
7.8811,45,2.4134e+07,2.0484e+07,3.6502e+06,0.1630
8.0527,46,2.3763e+07,2.0117e+07,3.6455e+06,0.1622
8.2256,47,2.3385e+07,1.9743e+07,3.6413e+06,0.1630
8.3979,48,2.3007e+07,1.9369e+07,3.6377e+06,0.1628
8.5698,49,2.2641e+07,1.9006e+07,3.6345e+06,0.1620
8.7409,50,2.2297e+07,1.8665e+07,3.6314e+06,0.1614
8.9126,51,2.1977e+07,1.8349e+07,3.6282e+06,0.1622
9.0847,52,2.1682e+07,1.8057e+07,3.6250e+06,0.1626
9.2558,53,2.1403e+07,1.7782e+07,3.6212e+06,0.1615
9.4302,54,2.1128e+07,1.7512e+07,3.6165e+06,0.1649
9.6033,55,2.0852e+07,1.7241e+07,3.6114e+06,0.1628
9.7737,56,2.0577e+07,1.6971e+07,3.6061e+06,0.1607
9.9457,57,2.0310e+07,1.6708e+07,3.6014e+06,0.1622
10.1177,58,2.0054e+07,1.6457e+07,3.5971e+06,0.1625
10.2895,59,1.9813e+07,1.6220e+07,3.5932e+06,0.1621
10.4627,60,1.9588e+07,1.5999e+07,3.5899e+06,0.1629
10.6348,61,1.9379e+07,1.5792e+07,3.5867e+06,0.1624
10.8080,62,1.9181e+07,1.5597e+07,3.5838e+06,0.1604
10.9800,63,1.8992e+07,1.5411e+07,3.5813e+06,0.1623
11.1520,64,1.8805e+07,1.5226e+07,3.5788e+06,0.1626
11.3249,65,1.8618e+07,1.5041e+07,3.5761e+06,0.1630
11.4976,66,1.8428e+07,1.4855e+07,3.5731e+06,0.1627
11.6714,67,1.8237e+07,1.4667e+07,3.5693e+06,0.1636
11.8426,68,1.8047e+07,1.4482e+07,3.5647e+06,0.1612
12.0162,69,1.7858e+07,1.4299e+07,3.5591e+06,0.1636
12.1878,70,1.7671e+07,1.4119e+07,3.5527e+06,0.1620
12.3604,71,1.7488e+07,1.3942e+07,3.5456e+06,0.1625
12.5322,72,1.7307e+07,1.3769e+07,3.5381e+06,0.1616
12.7050,73,1.7127e+07,1.3596e+07,3.5305e+06,0.1626
12.8756,74,1.6948e+07,1.3425e+07,3.5229e+06,0.1610
13.0489,75,1.6768e+07,1.3253e+07,3.5153e+06,0.1636
13.2210,76,1.6591e+07,1.3083e+07,3.5076e+06,0.1624
13.3944,77,1.6418e+07,1.2918e+07,3.4997e+06,0.1639
13.5659,78,1.6251e+07,1.2759e+07,3.4918e+06,0.1614
13.7378,79,1.6091e+07,1.2608e+07,3.4836e+06,0.1619
13.9084,80,1.5937e+07,1.2462e+07,3.4752e+06,0.1612
14.0810,81,1.5788e+07,1.2321e+07,3.4668e+06,0.1626
14.2524,82,1.5642e+07,1.2184e+07,3.4585e+06,0.1619
14.4246,83,1.5498e+07,1.2048e+07,3.4501e+06,0.1622
14.5982,84,1.5357e+07,1.1916e+07,3.4419e+06,0.1637
14.7698,85,1.5219e+07,1.1786e+07,3.4339e+06,0.1618
14.9412,86,1.5084e+07,1.1658e+07,3.4261e+06,0.1617
15.1126,87,1.4950e+07,1.1532e+07,3.4184e+06,0.1610
15.2847,88,1.4818e+07,1.1407e+07,3.4109e+06,0.1625
15.4570,89,1.4688e+07,1.1284e+07,3.4034e+06,0.1626
15.6351,90,1.4560e+07,1.1164e+07,3.3958e+06,0.1683
15.8071,91,1.4433e+07,1.1045e+07,3.3880e+06,0.1622
15.9781,92,1.4308e+07,1.0928e+07,3.3798e+06,0.1613
16.1501,93,1.4184e+07,1.0813e+07,3.3713e+06,0.1621
16.3211,94,1.4062e+07,1.0699e+07,3.3624e+06,0.1613
