run_time,iteration,loss,style_loss,content_loss,time
0.8203,0,1.6611e+08,1.6611e+08,0.0000e+00,0.8203
0.9946,1,8.6276e+07,8.4832e+07,1.4438e+06,0.1606
1.1653,2,5.5226e+07,5.2897e+07,2.3291e+06,0.1613
1.3367,3,4.9742e+07,4.6942e+07,2.8003e+06,0.1618
1.5077,4,4.5259e+07,4.2267e+07,2.9922e+06,0.1614
1.6784,5,4.0548e+07,3.7472e+07,3.0757e+06,0.1610
1.8511,6,3.7574e+07,3.4435e+07,3.1384e+06,0.1634
2.0218,7,3.3782e+07,3.0592e+07,3.1909e+06,0.1617
2.1914,8,2.9658e+07,2.6421e+07,3.2372e+06,0.1605
2.3635,9,2.6719e+07,2.3441e+07,3.2779e+06,0.1610
2.5354,10,2.4844e+07,2.1533e+07,3.3112e+06,0.1626
2.7061,11,2.3356e+07,2.0017e+07,3.3394e+06,0.1615
2.8774,12,2.2190e+07,1.8823e+07,3.3672e+06,0.1620
3.0490,13,2.1385e+07,1.7988e+07,3.3972e+06,0.1621
3.2200,14,2.0707e+07,1.7279e+07,3.4276e+06,0.1620
3.3918,15,1.9936e+07,1.6480e+07,3.4561e+06,0.1624
3.5696,16,1.9169e+07,1.5686e+07,3.4830e+06,0.1685
3.7400,17,1.8624e+07,1.5117e+07,3.5068e+06,0.1611
3.9095,18,1.8279e+07,1.4754e+07,3.5254e+06,0.1603
4.0808,19,1.7885e+07,1.4350e+07,3.5353e+06,0.1620
4.2510,20,1.7335e+07,1.3799e+07,3.5361e+06,0.1610
4.4216,21,1.6756e+07,1.3226e+07,3.5295e+06,0.1612
4.5944,22,1.6278e+07,1.2761e+07,3.5173e+06,0.1637
4.7633,23,1.5890e+07,1.2388e+07,3.5017e+06,0.1594
4.9336,24,1.5518e+07,1.2034e+07,3.4839e+06,0.1611
5.1040,25,1.5160e+07,1.1693e+07,3.4666e+06,0.1612
5.2754,26,1.4863e+07,1.1412e+07,3.4510e+06,0.1620
5.4482,27,1.4644e+07,1.1208e+07,3.4365e+06,0.1633
5.6209,28,1.4462e+07,1.1039e+07,3.4230e+06,0.1629
5.7915,29,1.4250e+07,1.0839e+07,3.4103e+06,0.1615
5.9614,30,1.3998e+07,1.0600e+07,3.3988e+06,0.1603
6.1321,31,1.3745e+07,1.0357e+07,3.3885e+06,0.1616
6.3025,32,1.3523e+07,1.0144e+07,3.3788e+06,0.1610
6.4742,33,1.3325e+07,9.9558e+06,3.3694e+06,0.1623
6.6456,34,1.3116e+07,9.7568e+06,3.3597e+06,0.1621
6.8166,35,1.2880e+07,9.5311e+06,3.3493e+06,0.1618
6.9874,36,1.2646e+07,9.3080e+06,3.3384e+06,0.1616
7.1581,37,1.2453e+07,9.1259e+06,3.3270e+06,0.1613
