run_time,iteration,loss,style_loss,content_loss,time
0.1599,0,2.9663e+08,2.9663e+08,0.0000e+00,0.1598
0.3410,1,1.4672e+08,1.4531e+08,1.4150e+06,0.1683
0.5116,2,6.8348e+07,6.6122e+07,2.2264e+06,0.1615
0.6813,3,4.2608e+07,3.9827e+07,2.7813e+06,0.1607
0.8562,4,4.6146e+07,4.3020e+07,3.1257e+06,0.1659
1.0227,5,4.3020e+07,3.9731e+07,3.2891e+06,0.1657
1.1887,6,3.8208e+07,3.4831e+07,3.3770e+06,0.1650
1.3603,7,3.3122e+07,2.9682e+07,3.4396e+06,0.1618
1.5314,8,2.8641e+07,2.5143e+07,3.4982e+06,0.1621
1.7024,9,2.5284e+07,2.1716e+07,3.5683e+06,0.1621
1.8754,10,2.3075e+07,1.9426e+07,3.6490e+06,0.1638
2.0475,11,2.1481e+07,1.7750e+07,3.7311e+06,0.1628
2.2196,12,2.0046e+07,1.6246e+07,3.8005e+06,0.1628
2.3946,13,1.8765e+07,1.4914e+07,3.8505e+06,0.1619
2.5677,14,1.7758e+07,1.3875e+07,3.8829e+06,0.1627
2.7403,15,1.7074e+07,1.3173e+07,3.9011e+06,0.1622
2.9130,16,1.6680e+07,1.2767e+07,3.9133e+06,0.1622
3.0845,17,1.6467e+07,1.2545e+07,3.9219e+06,0.1623
3.2568,18,1.6252e+07,1.2322e+07,3.9292e+06,0.1631
3.4293,19,1.5861e+07,1.1925e+07,3.9355e+06,0.1632
3.6010,20,1.5291e+07,1.1352e+07,3.9395e+06,0.1626
3.7731,21,1.4703e+07,1.0761e+07,3.9421e+06,0.1631
3.9489,22,1.4260e+07,1.0317e+07,3.9426e+06,0.1660
4.1209,23,1.3963e+07,1.0022e+07,3.9413e+06,0.1626
4.2937,24,1.3683e+07,9.7451e+06,3.9378e+06,0.1635
4.4651,25,1.3338e+07,9.4074e+06,3.9308e+06,0.1620
4.6368,26,1.2961e+07,9.0416e+06,3.9198e+06,0.1624
4.8088,27,1.2635e+07,8.7287e+06,3.9066e+06,0.1628
4.9809,28,1.2394e+07,8.5019e+06,3.8925e+06,0.1627
5.1532,29,1.2211e+07,8.3323e+06,3.8784e+06,0.1629
5.3259,30,1.2044e+07,8.1785e+06,3.8651e+06,0.1633
5.4987,31,1.1877e+07,8.0241e+06,3.8532e+06,0.1635
5.6706,32,1.1745e+07,7.9019e+06,3.8431e+06,0.1626
5.8439,33,1.1676e+07,7.8421e+06,3.8336e+06,0.1628
6.0154,34,1.1652e+07,7.8275e+06,3.8248e+06,0.1621
6.1872,35,1.1619e+07,7.8029e+06,3.8161e+06,0.1625
6.3589,36,1.1523e+07,7.7172e+06,3.8062e+06,0.1623
6.5323,37,1.1359e+07,7.5646e+06,3.7948e+06,0.1643
6.7057,38,1.1162e+07,7.3805e+06,3.7812e+06,0.1639
6.8783,39,1.0964e+07,7.1986e+06,3.7656e+06,0.1633
7.0506,40,1.0777e+07,7.0281e+06,3.7493e+06,0.1627
7.2222,41,1.0588e+07,6.8559e+06,3.7321e+06,0.1623
7.3984,42,1.0391e+07,6.6771e+06,3.7139e+06,0.1618
7.5700,43,1.0200e+07,6.5043e+06,3.6957e+06,0.1624
7.7410,44,1.0042e+07,6.3634e+06,3.6790e+06,0.1620
7.9139,45,9.9313e+06,6.2671e+06,3.6643e+06,0.1637
8.0858,46,9.8559e+06,6.2043e+06,3.6515e+06,0.1622
8.2585,47,9.7863e+06,6.1464e+06,3.6399e+06,0.1634
8.4303,48,9.6949e+06,6.0658e+06,3.6291e+06,0.1626
8.6018,49,9.5754e+06,5.9569e+06,3.6184e+06,0.1619
8.7733,50,9.4461e+06,5.8385e+06,3.6076e+06,0.1624
8.9469,51,9.3346e+06,5.7390e+06,3.5956e+06,0.1638
9.1237,52,9.2546e+06,5.6722e+06,3.5823e+06,0.1618
9.2930,53,9.1971e+06,5.6293e+06,3.5678e+06,0.1602
9.4656,54,9.1362e+06,5.5843e+06,3.5519e+06,0.1626
9.6366,55,9.0484e+06,5.5136e+06,3.5348e+06,0.1618
9.8080,56,8.9291e+06,5.4116e+06,3.5175e+06,0.1623
9.9833,57,8.7894e+06,5.2887e+06,3.5007e+06,0.1600
10.1553,58,8.6508e+06,5.1661e+06,3.4848e+06,0.1625
10.3271,59,8.5328e+06,5.0627e+06,3.4701e+06,0.1621
10.4997,60,8.4408e+06,4.9846e+06,3.4562e+06,0.1633
10.6711,61,8.3688e+06,4.9255e+06,3.4432e+06,0.1622
10.8441,62,8.3004e+06,4.8702e+06,3.4303e+06,0.1639
