run_time,iteration,loss,style_loss,content_loss,time
0.1223,0,3.7204e+09,3.7204e+09,0.0000e+00,0.1223
0.2578,1,3.1428e+09,3.1419e+09,8.6948e+05,0.1260
0.3915,2,2.7866e+09,2.7849e+09,1.6604e+06,0.1265
0.5232,3,2.5047e+09,2.5025e+09,2.1524e+06,0.1245
0.6567,4,2.2880e+09,2.2855e+09,2.4959e+06,0.1263
0.7899,5,2.1228e+09,2.1200e+09,2.7556e+06,0.1257
0.9270,6,1.9889e+09,1.9859e+09,2.9554e+06,0.1296
1.0606,7,1.8726e+09,1.8695e+09,3.1139e+06,0.1264
1.1926,8,1.7667e+09,1.7635e+09,3.2403e+06,0.1247
1.3266,9,1.6694e+09,1.6661e+09,3.3444e+06,0.1265
1.4576,10,1.5805e+09,1.5770e+09,3.4329e+06,0.1235
1.5922,11,1.4987e+09,1.4952e+09,3.5131e+06,0.1269
1.7279,12,1.4231e+09,1.4195e+09,3.5848e+06,0.1283
1.8608,13,1.3534e+09,1.3497e+09,3.6502e+06,0.1253
1.9946,14,1.2891e+09,1.2854e+09,3.7097e+06,0.1265
2.1260,15,1.2301e+09,1.2263e+09,3.7644e+06,0.1239
2.2602,16,1.1759e+09,1.1721e+09,3.8159e+06,0.1266
2.3911,17,1.1261e+09,1.1222e+09,3.8657e+06,0.1233
2.5261,18,1.0799e+09,1.0760e+09,3.9126e+06,0.1273
2.6571,19,1.0372e+09,1.0332e+09,3.9582e+06,0.1235
2.7909,20,9.9749e+08,9.9349e+08,4.0028e+06,0.1260
2.9226,21,9.6066e+08,9.5661e+08,4.0440e+06,0.1242
3.0566,22,9.2638e+08,9.2230e+08,4.0811e+06,0.1264
3.1900,23,8.9453e+08,8.9041e+08,4.1153e+06,0.1259
3.3215,24,8.6485e+08,8.6070e+08,4.1461e+06,0.1240
3.4558,25,8.3698e+08,8.3280e+08,4.1757e+06,0.1266
3.5876,26,8.1066e+08,8.0645e+08,4.2034e+06,0.1243
3.7221,27,7.8567e+08,7.8144e+08,4.2306e+06,0.1266
3.8523,28,7.6203e+08,7.5777e+08,4.2562e+06,0.1228
3.9867,29,7.3964e+08,7.3536e+08,4.2808e+06,0.1267
4.1184,30,7.1838e+08,7.1408e+08,4.3037e+06,0.1243
4.2540,31,6.9828e+08,6.9395e+08,4.3269e+06,0.1277
4.3902,32,6.7917e+08,6.7482e+08,4.3511e+06,0.1262
4.5207,33,6.6110e+08,6.5673e+08,4.3747e+06,0.1230
4.6554,34,6.4393e+08,6.3954e+08,4.3980e+06,0.1269
4.7870,35,6.2757e+08,6.2315e+08,4.4218e+06,0.1234
4.9209,36,6.1193e+08,6.0748e+08,4.4461e+06,0.1261
5.0544,37,5.9706e+08,5.9259e+08,4.4704e+06,0.1258
5.1878,38,5.8298e+08,5.7848e+08,4.4954e+06,0.1258
5.3229,39,5.6952e+08,5.6500e+08,4.5200e+06,0.1274
5.4539,40,5.5669e+08,5.5214e+08,4.5432e+06,0.1232
5.5884,41,5.4440e+08,5.3983e+08,4.5662e+06,0.1267
5.7203,42,5.3258e+08,5.2800e+08,4.5888e+06,0.1244
5.8540,43,5.2123e+08,5.1662e+08,4.6103e+06,0.1257
5.9875,44,5.1032e+08,5.0569e+08,4.6305e+06,0.1260
6.1193,45,4.9981e+08,4.9516e+08,4.6503e+06,0.1241
6.2542,46,4.8970e+08,4.8503e+08,4.6693e+06,0.1270
6.3861,47,4.7999e+08,4.7530e+08,4.6871e+06,0.1241
