run_time,iteration,loss,style_loss,content_loss,time
0.1226,0,6.7591e+08,6.7591e+08,0.0000e+00,0.1225
0.2622,1,2.6768e+08,2.6676e+08,9.1230e+05,0.1302
0.3973,2,1.6871e+08,1.6713e+08,1.5824e+06,0.1276
0.5291,3,1.4548e+08,1.4363e+08,1.8468e+06,0.1246
0.6633,4,1.2871e+08,1.2682e+08,1.8955e+06,0.1270
0.8011,5,1.1094e+08,1.0909e+08,1.8501e+06,0.1303
0.9365,6,1.0324e+08,1.0143e+08,1.8131e+06,0.1283
1.0685,7,1.0016e+08,9.8327e+07,1.8368e+06,0.1248
1.2024,8,9.5040e+07,9.3126e+07,1.9134e+06,0.1264
1.3337,9,8.7753e+07,8.5738e+07,2.0146e+06,0.1240
1.4687,10,8.0725e+07,7.8613e+07,2.1121e+06,0.1277
1.6001,11,7.5594e+07,7.3406e+07,2.1878e+06,0.1241
1.7376,12,7.1955e+07,6.9717e+07,2.2380e+06,0.1302
1.8732,13,6.8873e+07,6.6606e+07,2.2668e+06,0.1279
2.0049,14,6.5860e+07,6.3578e+07,2.2826e+06,0.1244
2.1414,15,6.2979e+07,6.0685e+07,2.2938e+06,0.1290
2.2746,16,6.0474e+07,5.8167e+07,2.3078e+06,0.1259
2.4081,17,5.8409e+07,5.6081e+07,2.3274e+06,0.1263
2.5440,18,5.6661e+07,5.4306e+07,2.3548e+06,0.1286
2.6756,19,5.5076e+07,5.2687e+07,2.3894e+06,0.1244
2.8100,20,5.3545e+07,5.1118e+07,2.4277e+06,0.1270
2.9437,21,5.1936e+07,4.9471e+07,2.4652e+06,0.1265
3.0756,22,5.0193e+07,4.7695e+07,2.4975e+06,0.1247
3.2109,23,4.8311e+07,4.5790e+07,2.5215e+06,0.1279
3.3423,24,4.6384e+07,4.3846e+07,2.5373e+06,0.1242
3.4768,25,4.4572e+07,4.2026e+07,2.5468e+06,0.1272
3.6100,26,4.3029e+07,4.0477e+07,2.5514e+06,0.1259
3.7449,27,4.1790e+07,3.9237e+07,2.5535e+06,0.1276
3.8841,28,4.0819e+07,3.8264e+07,2.5555e+06,0.1319
4.0180,29,4.0023e+07,3.7464e+07,2.5584e+06,0.1264
4.1489,30,3.9286e+07,3.6722e+07,2.5645e+06,0.1236
4.2835,31,3.8538e+07,3.5964e+07,2.5742e+06,0.1270
4.4149,32,3.7781e+07,3.5194e+07,2.5869e+06,0.1241
4.5499,33,3.7064e+07,3.4462e+07,2.6022e+06,0.1275
4.6825,34,3.6437e+07,3.3817e+07,2.6195e+06,0.1253
4.8171,35,3.5911e+07,3.3274e+07,2.6371e+06,0.1272
